"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
583,vt7_Petäjäsuo,2020/07/01,1,"11 HA-PA",33,9,7,2,12,72,245,297,268,293,338,375,376,377,384,396,425,380,287,229,182,127,104,49
583,vt7_Petäjäsuo,2020/07/01,1,"12 KAIP",,,1,1,2,6,13,14,12,16,18,14,11,8,10,14,4,13,6,7,1,1,,
583,vt7_Petäjäsuo,2020/07/01,1,"13 Linja-autot",,,,,,,1,,1,2,,,,1,,3,,2,1,1,2,1,,
583,vt7_Petäjäsuo,2020/07/01,1,"14 KAPP",7,,1,1,2,3,3,9,9,18,15,16,14,21,11,13,18,11,10,10,6,3,1,8
583,vt7_Petäjäsuo,2020/07/01,1,"15 KATP",2,5,2,6,2,6,14,18,22,19,15,22,19,24,31,21,27,19,8,10,4,5,3,5
583,vt7_Petäjäsuo,2020/07/01,1,"16 HA + PK",2,,,,,,1,4,4,9,5,11,12,15,12,11,17,8,6,4,8,8,7,1
583,vt7_Petäjäsuo,2020/07/01,1,"17 HA + AV",,,,,,,,1,,,1,,,,1,,1,2,4,2,,,1,2
583,vt7_Petäjäsuo,2020/07/01,2,"11 HA-PA",12,11,10,6,24,122,228,207,174,203,242,300,362,309,370,546,468,404,307,218,201,142,81,37
583,vt7_Petäjäsuo,2020/07/01,2,"12 KAIP",1,,1,2,2,5,10,12,14,13,15,14,12,9,10,13,11,4,5,6,2,1,1,
583,vt7_Petäjäsuo,2020/07/01,2,"13 Linja-autot",,,,,,1,,,2,1,1,2,2,3,1,5,2,2,,,,,1,
583,vt7_Petäjäsuo,2020/07/01,2,"14 KAPP",1,,,3,4,5,4,10,12,13,13,15,7,13,11,4,12,7,6,5,2,2,2,
583,vt7_Petäjäsuo,2020/07/01,2,"15 KATP",1,1,3,5,5,7,27,22,20,25,27,30,27,32,27,31,30,12,17,12,11,7,3,4
583,vt7_Petäjäsuo,2020/07/01,2,"16 HA + PK",,1,,1,,3,7,7,8,12,9,7,15,11,15,15,16,10,7,12,4,2,2,
583,vt7_Petäjäsuo,2020/07/01,2,"17 HA + AV",,,,,,1,,3,1,3,2,3,2,2,1,2,2,,,2,,1,1,1
583,vt7_Petäjäsuo,2020/07/02,1,"11 HA-PA",38,14,6,6,15,74,234,301,248,296,376,403,380,407,405,461,504,403,394,280,232,187,93,62
583,vt7_Petäjäsuo,2020/07/02,1,"12 KAIP",1,2,,,4,5,6,18,15,15,19,16,12,13,14,10,9,8,2,1,1,3,,
583,vt7_Petäjäsuo,2020/07/02,1,"13 Linja-autot",,,,1,,,1,,,2,1,2,2,2,,3,1,2,1,,2,1,1,
583,vt7_Petäjäsuo,2020/07/02,1,"14 KAPP",5,2,2,2,5,,7,12,14,17,11,17,16,12,19,17,14,10,11,12,11,3,2,2
583,vt7_Petäjäsuo,2020/07/02,1,"15 KATP",5,1,3,7,3,7,17,25,24,27,29,24,28,24,15,23,14,14,13,9,8,6,7,4
583,vt7_Petäjäsuo,2020/07/02,1,"16 HA + PK",,,,,,,3,6,6,10,14,13,16,9,11,19,21,14,7,5,9,3,4,2
583,vt7_Petäjäsuo,2020/07/02,1,"17 HA + AV",,,,,,1,1,2,,,1,1,1,2,1,1,2,2,,2,,,1,
583,vt7_Petäjäsuo,2020/07/02,2,"11 HA-PA",20,20,10,10,35,110,209,198,180,231,290,287,326,373,426,507,512,408,340,266,199,147,77,24
583,vt7_Petäjäsuo,2020/07/02,2,"12 KAIP",2,1,1,2,1,7,10,16,13,11,17,8,16,13,11,17,11,9,6,6,6,2,,
583,vt7_Petäjäsuo,2020/07/02,2,"13 Linja-autot",,,,,,,2,2,2,1,6,2,3,1,2,3,3,2,2,1,,,,1
583,vt7_Petäjäsuo,2020/07/02,2,"14 KAPP",1,,1,2,7,5,5,8,15,12,14,11,11,10,15,5,10,12,3,5,4,3,2,1
583,vt7_Petäjäsuo,2020/07/02,2,"15 KATP",2,1,2,6,3,15,22,17,23,32,35,24,29,35,34,28,24,29,21,7,15,6,6,2
583,vt7_Petäjäsuo,2020/07/02,2,"16 HA + PK",,,,,,2,3,16,13,9,16,21,14,15,13,20,12,17,11,6,4,4,1,1
583,vt7_Petäjäsuo,2020/07/02,2,"17 HA + AV",,,,,,,5,4,3,,3,3,3,3,4,2,4,,,,1,,,1
583,vt7_Petäjäsuo,2020/07/03,1,"11 HA-PA",32,17,15,3,10,88,227,266,232,295,399,433,459,496,530,628,697,618,518,357,278,196,145,80
583,vt7_Petäjäsuo,2020/07/03,1,"12 KAIP",,,1,,1,4,13,15,11,9,15,12,13,13,21,10,1,7,5,3,3,2,1,
583,vt7_Petäjäsuo,2020/07/03,1,"13 Linja-autot",,,,,,,,1,,,,3,1,1,2,2,1,1,,1,1,1,,1
583,vt7_Petäjäsuo,2020/07/03,1,"14 KAPP",,2,,2,5,1,5,5,11,14,18,15,21,16,21,11,12,14,10,9,7,,1,14
583,vt7_Petäjäsuo,2020/07/03,1,"15 KATP",6,2,8,6,1,10,14,16,17,14,22,30,17,17,23,15,12,10,7,6,8,7,3,4
583,vt7_Petäjäsuo,2020/07/03,1,"16 HA + PK",1,3,,1,2,,4,1,10,9,13,13,21,15,11,8,14,21,25,16,4,3,3,4
583,vt7_Petäjäsuo,2020/07/03,1,"17 HA + AV",,,,,,1,,,,1,2,5,,3,2,,4,3,,4,,2,,1
583,vt7_Petäjäsuo,2020/07/03,2,"11 HA-PA",21,13,9,13,31,123,199,182,191,217,314,342,373,418,465,630,576,437,342,266,212,150,85,46
583,vt7_Petäjäsuo,2020/07/03,2,"12 KAIP",1,,1,,,6,5,12,10,11,11,13,11,7,13,12,13,8,5,1,1,,3,
583,vt7_Petäjäsuo,2020/07/03,2,"13 Linja-autot",,,,,1,1,2,1,2,1,2,1,3,1,2,1,2,1,1,5,1,,,
583,vt7_Petäjäsuo,2020/07/03,2,"14 KAPP",,,,,2,7,3,5,8,13,14,11,13,11,12,9,9,9,4,1,4,1,1,
583,vt7_Petäjäsuo,2020/07/03,2,"15 KATP",1,3,4,5,11,10,17,18,25,26,29,29,15,33,23,20,15,14,12,13,13,8,4,3
583,vt7_Petäjäsuo,2020/07/03,2,"16 HA + PK",1,,,,2,1,4,2,9,12,17,12,14,21,17,21,15,11,7,10,8,2,,2
583,vt7_Petäjäsuo,2020/07/03,2,"17 HA + AV",,,,,,2,2,3,2,3,2,5,3,2,3,3,3,1,,1,2,1,,1
583,vt7_Petäjäsuo,2020/07/04,1,"11 HA-PA",60,40,31,15,22,28,65,80,133,272,437,526,520,470,446,355,337,306,249,217,154,115,89,56
583,vt7_Petäjäsuo,2020/07/04,1,"12 KAIP",,,1,,1,1,2,2,4,3,4,2,1,1,5,2,3,3,1,2,2,,1,
583,vt7_Petäjäsuo,2020/07/04,1,"13 Linja-autot",,,,,,,,,,,1,1,1,2,1,,,,1,,1,,,1
583,vt7_Petäjäsuo,2020/07/04,1,"14 KAPP",7,1,3,1,1,,,,1,1,4,2,3,3,2,1,1,,1,,,,6,9
583,vt7_Petäjäsuo,2020/07/04,1,"15 KATP",1,4,5,1,2,,4,2,1,3,4,6,2,3,1,7,2,4,2,1,1,1,,2
583,vt7_Petäjäsuo,2020/07/04,1,"16 HA + PK",1,1,,,,2,1,1,6,8,16,18,14,12,13,6,12,4,1,2,2,5,1,1
583,vt7_Petäjäsuo,2020/07/04,1,"17 HA + AV",,,,,,,,,,2,,,,,1,,,1,2,,1,,,2
583,vt7_Petäjäsuo,2020/07/04,2,"11 HA-PA",60,38,29,20,28,48,53,81,131,232,302,341,354,404,410,437,379,372,290,229,141,114,55,50
583,vt7_Petäjäsuo,2020/07/04,2,"12 KAIP",1,,1,,2,,4,4,2,,5,6,2,,3,5,3,2,4,4,2,4,,1
583,vt7_Petäjäsuo,2020/07/04,2,"13 Linja-autot",,,,,,,,,,3,1,2,2,,3,3,2,1,1,1,,3,2,1
583,vt7_Petäjäsuo,2020/07/04,2,"14 KAPP",,2,2,,,2,,1,4,2,5,3,3,4,4,3,1,1,1,2,2,3,2,
583,vt7_Petäjäsuo,2020/07/04,2,"15 KATP",1,1,,1,2,2,2,2,8,6,5,7,5,7,5,4,4,5,2,3,1,,,1
583,vt7_Petäjäsuo,2020/07/04,2,"16 HA + PK",,,,,1,,1,3,3,8,12,12,5,13,10,8,9,12,9,4,1,2,,
583,vt7_Petäjäsuo,2020/07/04,2,"17 HA + AV",,,,,,,,,1,3,2,2,1,2,,,,1,1,2,1,,,
583,vt7_Petäjäsuo,2020/07/05,1,"11 HA-PA",41,35,20,18,19,22,43,33,37,96,192,319,434,403,419,427,375,410,385,318,249,146,82,48
583,vt7_Petäjäsuo,2020/07/05,1,"12 KAIP",,,1,,,,,,1,2,3,2,1,3,1,1,1,6,2,1,3,2,1,1
583,vt7_Petäjäsuo,2020/07/05,1,"13 Linja-autot",,1,,,,,,,,,,,,1,,,1,,,1,1,,,
583,vt7_Petäjäsuo,2020/07/05,1,"14 KAPP",4,2,,1,,,,2,2,,6,1,1,4,2,1,2,1,2,2,7,1,,1
583,vt7_Petäjäsuo,2020/07/05,1,"15 KATP",,,,,,,,,,2,1,3,1,5,2,3,2,6,1,5,4,5,2,1
583,vt7_Petäjäsuo,2020/07/05,1,"16 HA + PK",,,,1,,,,,4,,6,6,14,14,12,10,8,14,7,8,5,4,3,
583,vt7_Petäjäsuo,2020/07/05,1,"17 HA + AV",,,,,,,,,,,1,1,1,,1,,2,1,2,1,,,1,
583,vt7_Petäjäsuo,2020/07/05,2,"11 HA-PA",30,39,28,12,13,36,35,40,83,136,207,347,439,503,482,565,522,486,443,414,250,162,54,33
583,vt7_Petäjäsuo,2020/07/05,2,"12 KAIP",,,1,,,1,,,1,,4,5,4,6,3,7,8,1,2,7,5,2,,2
583,vt7_Petäjäsuo,2020/07/05,2,"13 Linja-autot",,,,,,,,,,1,,1,2,4,2,,3,2,2,2,2,,,
583,vt7_Petäjäsuo,2020/07/05,2,"14 KAPP",,,1,1,,,,,3,1,4,3,2,4,4,3,6,5,4,4,1,4,3,2
583,vt7_Petäjäsuo,2020/07/05,2,"15 KATP",1,,,1,,,,1,1,,4,9,1,10,7,9,11,5,10,8,14,6,3,1
583,vt7_Petäjäsuo,2020/07/05,2,"16 HA + PK",,,,,,1,,1,4,6,8,12,13,17,15,18,15,14,11,10,8,7,2,1
583,vt7_Petäjäsuo,2020/07/05,2,"17 HA + AV",,,,,,,,,,,1,4,4,2,1,6,1,2,3,1,1,,,
583,vt7_Petäjäsuo,2020/07/06,1,"11 HA-PA",27,20,22,4,12,80,271,295,287,301,379,482,457,480,419,468,471,387,288,257,166,170,66,58
583,vt7_Petäjäsuo,2020/07/06,1,"12 KAIP",1,,,,,1,13,15,9,11,17,15,9,8,15,14,7,10,5,8,4,1,1,1
583,vt7_Petäjäsuo,2020/07/06,1,"13 Linja-autot",,,,,,,,1,2,1,1,,1,1,,3,4,4,3,1,,1,1,
583,vt7_Petäjäsuo,2020/07/06,1,"14 KAPP",4,,,2,1,5,4,12,7,17,19,21,21,15,10,19,11,19,11,10,5,3,5,4
583,vt7_Petäjäsuo,2020/07/06,1,"15 KATP",2,1,3,3,4,6,15,21,21,18,18,28,28,22,20,17,8,9,13,13,7,9,8,2
583,vt7_Petäjäsuo,2020/07/06,1,"16 HA + PK",,1,,,,,4,4,12,4,12,15,21,8,12,13,14,12,13,7,5,3,3,1
583,vt7_Petäjäsuo,2020/07/06,1,"17 HA + AV",,,1,,,,,1,1,1,2,2,3,2,4,3,1,2,2,2,,2,,
583,vt7_Petäjäsuo,2020/07/06,2,"11 HA-PA",12,13,10,9,40,173,232,209,194,226,281,340,342,363,384,492,504,391,326,286,163,129,77,25
583,vt7_Petäjäsuo,2020/07/06,2,"12 KAIP",,1,,,,4,5,12,13,8,11,10,12,7,15,11,12,7,4,3,5,2,,
583,vt7_Petäjäsuo,2020/07/06,2,"13 Linja-autot",,,,,1,,1,,2,1,1,2,4,1,1,1,,,1,,,,,1
583,vt7_Petäjäsuo,2020/07/06,2,"14 KAPP",,1,,1,3,2,1,10,11,16,17,15,14,16,5,8,12,10,5,5,8,9,2,
583,vt7_Petäjäsuo,2020/07/06,2,"15 KATP",,,1,3,5,15,24,21,26,29,37,15,36,33,24,26,25,18,19,19,11,7,6,2
583,vt7_Petäjäsuo,2020/07/06,2,"16 HA + PK",1,2,,,,3,6,12,4,12,10,11,19,16,12,19,16,17,12,5,7,1,1,1
