"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
602,vt5_Toivola,2020/07/01,1,"11 HA-PA",24,11,4,6,6,11,26,62,112,140,166,275,312,302,285,251,264,207,227,177,126,92,46,45
602,vt5_Toivola,2020/07/01,1,"12 KAIP",1,3,,,,1,2,2,6,7,8,6,8,4,9,6,8,1,5,9,3,5,2,5
602,vt5_Toivola,2020/07/01,1,"13 Linja-autot",,,,,,,,1,,1,1,2,2,1,1,3,,2,2,1,,5,,
602,vt5_Toivola,2020/07/01,1,"14 KAPP",3,1,1,,1,1,3,3,6,5,6,6,7,10,5,8,5,6,5,7,3,1,,3
602,vt5_Toivola,2020/07/01,1,"15 KATP",27,8,6,2,6,5,7,12,7,10,8,18,20,12,15,27,19,14,17,20,14,17,21,24
602,vt5_Toivola,2020/07/01,1,"16 HA + PK",3,2,1,,1,1,2,4,6,3,7,13,8,19,9,12,14,10,5,11,6,8,6,2
602,vt5_Toivola,2020/07/01,1,"17 HA + AV",1,,,,,2,,,2,1,4,6,5,2,6,5,3,3,6,4,2,,1,
602,vt5_Toivola,2020/07/01,2,"11 HA-PA",10,7,6,7,13,21,43,50,72,122,167,199,204,250,239,223,222,176,162,133,85,42,34,12
602,vt5_Toivola,2020/07/01,2,"12 KAIP",,,,1,,1,3,2,1,5,5,9,7,5,9,9,5,6,6,7,5,1,2,1
602,vt5_Toivola,2020/07/01,2,"13 Linja-autot",,,,,,,1,,,2,,3,3,1,1,3,2,,1,,,,,
602,vt5_Toivola,2020/07/01,2,"14 KAPP",,1,,2,1,1,,1,6,5,5,7,7,9,6,3,10,6,9,4,2,1,6,
602,vt5_Toivola,2020/07/01,2,"15 KATP",13,8,12,10,4,7,7,11,9,14,20,16,17,17,15,16,12,14,13,9,16,11,9,8
602,vt5_Toivola,2020/07/01,2,"16 HA + PK",,,2,,,1,4,2,7,8,12,11,10,14,14,19,13,7,12,5,6,4,5,2
602,vt5_Toivola,2020/07/01,2,"17 HA + AV",,,,,1,1,,2,2,5,3,3,2,3,8,3,3,1,3,,1,,2,
602,vt5_Toivola,2020/07/02,1,"11 HA-PA",17,11,5,4,7,15,19,56,80,157,229,298,339,310,324,289,315,292,261,227,171,122,73,30
602,vt5_Toivola,2020/07/02,1,"12 KAIP",,1,1,1,,2,2,5,4,7,7,13,10,11,10,12,7,6,4,6,6,2,4,
602,vt5_Toivola,2020/07/02,1,"13 Linja-autot",,,,,,,,,1,1,1,1,2,2,,2,1,2,,1,2,1,,1
602,vt5_Toivola,2020/07/02,1,"14 KAPP",3,,1,,,2,2,4,3,5,5,1,4,8,4,5,3,3,,5,6,3,,3
602,vt5_Toivola,2020/07/02,1,"15 KATP",12,11,5,5,4,6,4,4,11,17,13,14,15,16,21,22,33,25,15,17,18,19,23,13
602,vt5_Toivola,2020/07/02,1,"16 HA + PK",2,,1,,,1,2,4,10,11,7,8,26,15,7,12,16,17,15,8,10,5,3,1
602,vt5_Toivola,2020/07/02,1,"17 HA + AV",,,,1,,3,,1,1,5,4,2,4,6,3,9,3,5,11,6,2,2,1,2
602,vt5_Toivola,2020/07/02,2,"11 HA-PA",10,9,6,1,11,28,30,43,69,96,133,184,197,226,235,223,235,212,175,135,106,61,45,27
602,vt5_Toivola,2020/07/02,2,"12 KAIP",,1,,1,,1,4,2,6,6,8,6,2,5,5,10,6,5,6,2,4,,,2
602,vt5_Toivola,2020/07/02,2,"13 Linja-autot",,,,,1,,1,,1,1,,,1,,,2,,,1,1,2,1,,
602,vt5_Toivola,2020/07/02,2,"14 KAPP",,1,,2,1,,1,3,5,7,4,7,4,6,4,4,10,6,3,4,3,2,2,
602,vt5_Toivola,2020/07/02,2,"15 KATP",12,11,10,4,6,8,6,15,10,10,17,9,13,13,12,17,10,11,10,16,11,10,16,5
602,vt5_Toivola,2020/07/02,2,"16 HA + PK",2,,,,,2,2,4,7,6,11,10,11,12,8,4,18,14,11,14,5,1,5,2
602,vt5_Toivola,2020/07/02,2,"17 HA + AV",,1,,,,,2,4,7,4,5,4,2,6,1,3,5,3,2,6,3,1,,1
602,vt5_Toivola,2020/07/03,1,"11 HA-PA",22,14,4,13,10,12,36,49,87,143,259,334,420,458,514,521,538,572,521,410,217,141,99,58
602,vt5_Toivola,2020/07/03,1,"12 KAIP",3,,,,2,,1,1,6,3,8,6,10,7,15,25,9,12,9,9,5,1,4,2
602,vt5_Toivola,2020/07/03,1,"13 Linja-autot",,,1,,,,,,1,,1,,1,2,,2,,2,2,3,3,3,,
602,vt5_Toivola,2020/07/03,1,"14 KAPP",3,1,1,,,1,3,2,4,2,2,4,1,4,2,2,7,2,,1,1,1,2,1
602,vt5_Toivola,2020/07/03,1,"15 KATP",19,9,2,4,5,8,10,5,7,13,10,14,14,16,11,17,7,20,23,15,12,18,16,11
602,vt5_Toivola,2020/07/03,1,"16 HA + PK",,1,,,1,1,2,5,4,15,12,11,15,24,26,22,26,23,28,37,14,13,4,4
602,vt5_Toivola,2020/07/03,1,"17 HA + AV",1,,,,,,,,2,1,8,3,4,5,6,3,7,2,12,6,4,1,,1
602,vt5_Toivola,2020/07/03,2,"11 HA-PA",12,10,3,5,9,19,32,36,76,100,157,225,269,311,349,293,335,284,219,162,123,88,49,20
602,vt5_Toivola,2020/07/03,2,"12 KAIP",,,1,,1,2,2,2,3,2,6,4,10,7,4,13,12,5,3,2,6,2,4,
602,vt5_Toivola,2020/07/03,2,"13 Linja-autot",,,,,,,1,,1,1,2,2,1,1,,1,,2,,,,1,,
602,vt5_Toivola,2020/07/03,2,"14 KAPP",1,,,,2,3,2,4,6,2,3,5,4,4,2,5,4,7,5,2,2,,,2
602,vt5_Toivola,2020/07/03,2,"15 KATP",9,16,7,9,6,3,6,7,11,11,10,15,9,13,13,15,10,12,10,4,14,11,6,5
602,vt5_Toivola,2020/07/03,2,"16 HA + PK",3,1,,1,,,2,3,5,6,9,15,14,21,17,14,17,17,12,6,7,4,1,5
602,vt5_Toivola,2020/07/03,2,"17 HA + AV",,,,,,,,,3,,2,1,4,4,3,2,3,3,4,2,3,3,1,1
602,vt5_Toivola,2020/07/04,1,"11 HA-PA",25,8,12,3,9,10,21,73,122,203,323,464,467,449,366,308,229,210,206,145,92,61,38,19
602,vt5_Toivola,2020/07/04,1,"12 KAIP",,1,,1,,,1,1,2,1,3,3,6,5,7,3,5,4,3,1,2,2,,1
602,vt5_Toivola,2020/07/04,1,"13 Linja-autot",,,,,,,,,2,,1,4,2,3,1,1,,1,1,1,2,,,1
602,vt5_Toivola,2020/07/04,1,"14 KAPP",,3,,,1,,,2,1,1,1,2,1,,1,1,1,,1,,,,,2
602,vt5_Toivola,2020/07/04,1,"15 KATP",14,5,2,4,3,3,4,1,1,6,9,5,9,8,4,11,6,9,1,4,2,4,1,1
602,vt5_Toivola,2020/07/04,1,"16 HA + PK",4,,,,,4,1,4,5,17,14,18,21,16,18,11,14,18,12,10,7,4,1,2
602,vt5_Toivola,2020/07/04,1,"17 HA + AV",,,,,,,1,1,,3,5,5,5,5,4,3,2,7,6,4,2,1,2,
602,vt5_Toivola,2020/07/04,2,"11 HA-PA",15,11,8,4,11,16,27,45,100,139,193,263,308,332,298,268,298,257,190,157,102,66,43,26
602,vt5_Toivola,2020/07/04,2,"12 KAIP",,1,1,,,,2,,1,4,4,5,4,4,5,5,3,3,4,3,3,1,,
602,vt5_Toivola,2020/07/04,2,"13 Linja-autot",,,,1,,,1,,1,1,1,4,,3,1,1,,2,,,1,1,,
602,vt5_Toivola,2020/07/04,2,"14 KAPP",1,,,,1,,1,1,1,2,,2,,1,,,1,,1,,1,,1,
602,vt5_Toivola,2020/07/04,2,"15 KATP",6,4,3,5,5,3,2,3,4,4,3,4,5,2,4,3,2,3,6,3,4,3,4,4
