"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"11 HA-PA",148,95,54,57,114,396,931,1127,1042,1123,1298,1393,1466,1733,2269,2849,2584,2026,1574,1505,1186,912,572,331
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"12 KAIP",10,12,12,15,21,33,66,106,104,98,110,82,128,84,115,119,72,54,55,43,35,29,20,12
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"13 Linja-autot",,,,1,1,2,4,4,2,5,9,5,2,6,7,5,8,4,5,5,3,3,1,
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"14 KAPP",4,7,6,8,5,9,27,48,59,75,70,70,57,51,58,72,52,53,18,22,21,26,22,9
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"15 KATP",22,12,13,19,14,22,28,43,51,43,53,66,62,67,53,49,47,54,38,41,30,40,39,20
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"16 HA + PK",2,1,1,,1,1,6,8,19,14,22,22,23,25,23,26,28,20,16,29,26,11,5,
7,vt4_Vantaa_Honkanummi,2020/07/01,1,"17 HA + AV",2,1,,,2,4,4,10,7,12,8,11,6,4,11,10,13,10,4,13,5,3,3,5
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"11 HA-PA",129,97,60,101,176,894,2920,2374,1786,1392,1321,1425,1518,1580,1846,1971,2071,1814,1571,1253,1062,842,626,294
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"12 KAIP",12,10,12,14,22,64,131,82,84,104,85,100,91,105,103,89,59,49,29,36,31,21,15,11
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"13 Linja-autot",1,,,1,2,3,3,6,4,4,5,5,4,7,4,7,8,6,3,1,2,1,1,1
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"14 KAPP",4,7,8,11,11,17,41,37,36,48,56,67,60,55,60,65,55,58,41,31,18,14,5,6
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"15 KATP",28,21,23,18,27,32,42,36,48,61,45,39,55,41,70,37,46,36,39,29,29,22,13,22
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"16 HA + PK",2,,1,,1,8,29,32,30,25,20,26,34,22,27,45,37,40,16,23,13,9,6,3
7,vt4_Vantaa_Honkanummi,2020/07/01,2,"17 HA + AV",3,4,,2,3,7,10,7,19,8,4,9,14,12,4,12,7,7,6,4,3,4,2,5
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"11 HA-PA",160,147,106,67,103,394,914,1035,1083,1152,1383,1557,1682,1865,2275,3016,2555,2102,1834,1509,1200,789,553,282
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"12 KAIP",9,14,9,17,20,28,64,94,86,107,101,91,109,115,102,100,79,73,49,45,30,24,16,21
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"13 Linja-autot",,,,,3,2,4,5,3,8,6,5,5,5,4,4,4,5,1,5,2,2,1,
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"14 KAPP",4,10,10,6,4,7,19,38,54,58,83,73,66,59,51,69,44,33,41,24,12,20,22,10
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"15 KATP",15,15,16,12,11,27,24,56,43,59,73,65,64,63,52,40,60,52,39,53,37,41,29,23
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"16 HA + PK",1,2,1,,1,1,11,11,10,17,26,26,16,26,27,36,33,28,28,13,13,7,9,2
7,vt4_Vantaa_Honkanummi,2020/07/02,1,"17 HA + AV",2,,1,1,1,2,3,10,14,7,9,4,16,17,15,9,7,7,3,10,5,3,4,1
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"11 HA-PA",147,106,92,117,167,913,2847,2311,1677,1390,1313,1416,1491,1487,1809,2012,2063,1781,1667,1353,1151,788,604,283
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"12 KAIP",7,15,15,9,21,64,131,114,93,84,87,97,100,81,92,86,72,38,35,29,16,24,16,13
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"13 Linja-autot",1,,,1,1,3,5,7,4,4,4,4,1,8,4,5,5,3,2,1,2,,,
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"14 KAPP",10,6,6,8,8,24,45,33,46,50,56,68,56,70,69,53,60,61,38,30,21,15,14,11
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"15 KATP",26,13,23,26,20,35,52,51,51,62,54,37,55,58,59,51,36,39,37,22,20,24,22,26
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"16 HA + PK",2,2,1,,2,10,40,24,32,29,20,32,22,24,36,27,25,30,32,21,23,11,6,2
7,vt4_Vantaa_Honkanummi,2020/07/02,2,"17 HA + AV",2,3,1,4,2,4,14,13,6,13,15,9,6,8,10,6,8,7,9,5,8,1,5,5
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"11 HA-PA",138,119,93,58,106,391,883,1014,1110,1273,1599,1723,1922,2420,2847,2819,2633,2264,1796,1402,1227,958,636,423
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"12 KAIP",7,12,9,14,17,36,52,90,89,91,105,99,127,127,104,75,56,46,45,35,27,16,17,17
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"13 Linja-autot",,,,,3,3,2,6,3,6,5,8,3,3,5,3,4,3,7,1,2,2,,
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"14 KAPP",4,6,13,7,9,12,22,40,45,47,65,56,54,66,51,46,32,24,12,20,16,14,9,5
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"15 KATP",15,16,17,11,16,20,36,39,45,51,52,52,55,47,43,27,29,28,35,39,19,36,24,22
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"16 HA + PK",1,1,,,2,2,2,12,13,15,24,46,26,19,44,34,38,30,24,20,27,6,4,2
7,vt4_Vantaa_Honkanummi,2020/07/03,1,"17 HA + AV",2,,2,1,2,,9,10,12,11,13,10,11,14,10,11,8,8,5,4,4,5,2,1
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"11 HA-PA",163,99,89,108,184,871,2654,2056,1531,1406,1371,1430,1448,1754,1984,2138,2053,1881,1598,1400,1042,866,719,388
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"12 KAIP",9,13,12,24,21,58,128,87,78,113,82,86,81,84,76,63,43,33,30,27,28,17,15,6
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"13 Linja-autot",1,,,,4,1,3,6,5,2,7,5,3,8,3,6,4,6,4,5,2,3,2,1
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"14 KAPP",9,10,8,8,14,32,47,47,42,56,53,59,52,65,74,50,50,47,25,36,16,16,11,8
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"15 KATP",16,16,20,26,22,32,57,37,43,51,36,57,59,61,37,40,32,32,20,18,19,16,10,17
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"16 HA + PK",1,2,1,,1,10,32,31,19,25,24,43,34,28,31,29,29,26,26,31,17,10,8,1
7,vt4_Vantaa_Honkanummi,2020/07/03,2,"17 HA + AV",3,3,3,1,2,7,13,8,11,5,6,10,6,12,9,10,9,5,4,2,10,4,3,6
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"11 HA-PA",290,243,193,131,116,187,284,397,812,1190,1559,1615,1737,1684,1654,1603,1450,1360,1228,956,790,613,467,326
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"12 KAIP",10,9,14,11,3,17,13,20,29,33,26,22,25,25,22,27,15,9,12,12,11,5,8,4
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"13 Linja-autot",,,,,1,2,3,1,1,3,3,3,2,1,2,4,2,1,3,,,3,,1
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"14 KAPP",3,7,13,3,3,2,4,5,9,13,21,9,15,14,16,9,4,7,3,2,6,5,6,4
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"15 KATP",12,15,10,3,9,11,7,6,5,8,10,10,8,12,7,8,5,2,1,1,2,2,,1
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"16 HA + PK",1,,1,,,2,3,6,11,22,25,18,21,24,31,17,23,18,13,6,6,3,3,
7,vt4_Vantaa_Honkanummi,2020/07/04,1,"17 HA + AV",2,,1,,,1,1,3,2,3,4,2,5,7,2,4,3,4,4,3,,3,1,
7,vt4_Vantaa_Honkanummi,2020/07/04,2,"11 HA-PA",250,188,163,142,88,192,444,474,597,855,1093,1428,1619,1746,1880,1710,1678,1448,1311,1045,888,696,539,403
