"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
102,kt51_Soukka,2020/06/01,1,"11 HA-PA",88,46,20,14,29,95,436,627,798,743,835,898,941,1073,1279,1851,2068,1605,1269,1111,795,532,292,167
102,kt51_Soukka,2020/06/01,1,"12 KAIP",,,2,1,2,7,15,24,32,37,56,52,40,51,39,33,18,20,14,5,4,2,,1
102,kt51_Soukka,2020/06/01,1,"13 Linja-autot",2,,,,7,15,17,19,13,10,7,4,4,6,7,7,11,8,7,8,4,4,1,1
102,kt51_Soukka,2020/06/01,1,"14 KAPP",,,,1,1,7,4,4,4,6,12,3,2,3,4,4,4,2,3,1,2,1,3,1
102,kt51_Soukka,2020/06/01,1,"15 KATP",,1,,,,3,5,6,4,3,10,3,7,5,6,9,3,3,3,1,1,1,1,
102,kt51_Soukka,2020/06/01,1,"16 HA + PK",2,,,,1,,1,7,10,12,12,12,13,14,23,12,24,15,17,11,10,5,1,1
102,kt51_Soukka,2020/06/01,1,"17 HA + AV",,,,1,,,1,1,3,4,4,6,5,2,5,9,5,1,3,5,4,1,2,
102,kt51_Soukka,2020/06/01,2,"11 HA-PA",71,41,22,18,64,234,1099,1569,1414,1111,938,1015,984,1030,1051,1324,1388,1336,1103,852,756,536,279,151
102,kt51_Soukka,2020/06/01,2,"12 KAIP",,1,,,1,5,24,27,34,40,42,28,37,30,33,19,15,12,4,6,1,3,,
102,kt51_Soukka,2020/06/01,2,"13 Linja-autot",4,3,2,,2,5,8,14,15,19,11,13,14,10,13,10,13,12,13,5,6,7,4,9
102,kt51_Soukka,2020/06/01,2,"14 KAPP",2,1,,,1,,2,6,4,8,6,3,9,7,5,3,3,2,8,1,4,1,,5
102,kt51_Soukka,2020/06/01,2,"15 KATP",,,,,3,2,7,5,8,6,6,8,10,8,8,7,1,1,,4,2,1,,
102,kt51_Soukka,2020/06/01,2,"16 HA + PK",1,,,,1,3,10,25,22,27,18,17,8,15,11,14,24,23,19,18,16,4,5,
102,kt51_Soukka,2020/06/01,2,"17 HA + AV",,,,,1,1,1,7,6,4,8,9,5,2,10,3,3,3,3,2,2,1,4,2
102,kt51_Soukka,2020/06/02,1,"11 HA-PA",83,48,30,26,22,110,452,691,819,745,784,879,962,1011,1320,1930,2062,1715,1373,1096,840,568,304,170
102,kt51_Soukka,2020/06/02,1,"12 KAIP",,2,,1,3,7,18,27,36,39,40,32,45,31,57,34,20,12,10,7,5,3,1,
102,kt51_Soukka,2020/06/02,1,"13 Linja-autot",2,1,,1,6,13,21,14,11,10,12,6,6,8,5,10,9,10,6,7,4,4,2,
102,kt51_Soukka,2020/06/02,1,"14 KAPP",,,,,3,6,7,4,6,2,9,5,3,9,8,4,,4,1,1,1,2,4,3
102,kt51_Soukka,2020/06/02,1,"15 KATP",1,,,,1,,3,4,6,4,5,8,8,10,6,6,7,4,2,3,5,1,1,
102,kt51_Soukka,2020/06/02,1,"16 HA + PK",1,,,,,,,5,5,10,14,15,12,14,17,13,21,16,18,10,8,10,3,
102,kt51_Soukka,2020/06/02,1,"17 HA + AV",,,,,,,1,2,2,10,9,3,6,3,10,4,6,10,4,2,4,1,1,
102,kt51_Soukka,2020/06/02,2,"11 HA-PA",61,42,17,28,61,260,1092,1545,1371,1050,860,909,966,944,1072,1293,1398,1304,1052,957,759,531,378,174
102,kt51_Soukka,2020/06/02,2,"12 KAIP",,,1,2,2,4,30,34,36,27,40,30,24,35,30,26,20,15,11,6,4,3,1,
