"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1042,kt67_Kauhajoki_P,2020/06/01,1,"11 HA-PA",4,4,,4,12,64,89,104,65,74,75,87,68,92,132,120,158,118,68,58,51,37,24,11
1042,kt67_Kauhajoki_P,2020/06/01,1,"12 KAIP",,,,,,2,4,3,3,4,3,4,8,4,5,7,3,4,6,3,1,,1,1
1042,kt67_Kauhajoki_P,2020/06/01,1,"13 Linja-autot",,,,,,,1,,,,,1,,,,,,,,,,2,,
1042,kt67_Kauhajoki_P,2020/06/01,1,"14 KAPP",,,1,,,,2,1,2,1,4,2,2,2,2,1,,2,2,,1,1,1,1
1042,kt67_Kauhajoki_P,2020/06/01,1,"15 KATP",,,,3,,1,5,6,8,6,6,5,5,8,10,12,9,3,6,3,5,,5,1
1042,kt67_Kauhajoki_P,2020/06/01,1,"16 HA + PK",,,,,,4,3,4,7,8,3,9,9,8,7,9,3,4,7,4,3,,3,
1042,kt67_Kauhajoki_P,2020/06/01,1,"17 HA + AV",,,,,1,,1,2,,1,,4,1,,2,,3,3,,1,3,1,,
1042,kt67_Kauhajoki_P,2020/06/01,2,"11 HA-PA",7,6,1,,5,29,94,92,93,84,66,84,74,70,121,110,133,98,77,77,71,36,24,14
1042,kt67_Kauhajoki_P,2020/06/01,2,"12 KAIP",1,,1,,2,3,8,4,3,,4,2,4,3,,7,4,4,2,2,4,1,,1
1042,kt67_Kauhajoki_P,2020/06/01,2,"13 Linja-autot",,,,,1,2,1,2,,1,,,2,,1,,1,,1,,,,,
1042,kt67_Kauhajoki_P,2020/06/01,2,"14 KAPP",1,1,,,,,,3,1,1,3,2,2,1,,2,1,1,1,1,2,,1,
1042,kt67_Kauhajoki_P,2020/06/01,2,"15 KATP",,1,1,1,2,4,6,8,9,9,4,8,6,6,7,2,7,4,3,4,10,,2,2
1042,kt67_Kauhajoki_P,2020/06/01,2,"16 HA + PK",,,,,2,,3,6,8,2,8,10,6,8,4,11,8,7,7,6,4,1,2,1
1042,kt67_Kauhajoki_P,2020/06/01,2,"17 HA + AV",,,,1,1,,2,4,2,1,1,1,1,,1,,,1,2,1,,,,1
1042,kt67_Kauhajoki_P,2020/06/02,1,"11 HA-PA",10,4,3,7,7,56,94,86,81,80,76,85,83,112,120,154,173,123,81,70,69,44,27,11
1042,kt67_Kauhajoki_P,2020/06/02,1,"12 KAIP",1,,,1,1,3,5,2,4,5,5,6,2,3,3,8,4,5,2,1,,1,1,
1042,kt67_Kauhajoki_P,2020/06/02,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,1,1,1,,1,,
1042,kt67_Kauhajoki_P,2020/06/02,1,"14 KAPP",,1,,,,,2,,3,,3,4,,2,2,2,1,3,2,1,2,,,
1042,kt67_Kauhajoki_P,2020/06/02,1,"15 KATP",2,3,1,2,1,5,8,3,4,11,7,4,8,6,5,14,7,7,3,2,4,2,3,6
1042,kt67_Kauhajoki_P,2020/06/02,1,"16 HA + PK",,,,,,1,3,1,7,4,6,5,5,1,8,6,5,3,2,3,4,2,1,1
1042,kt67_Kauhajoki_P,2020/06/02,1,"17 HA + AV",1,,,,,,,4,2,1,3,4,5,3,,,3,1,1,,,,,
1042,kt67_Kauhajoki_P,2020/06/02,2,"11 HA-PA",7,6,2,1,13,42,105,92,105,64,63,66,84,71,115,128,163,118,80,89,65,44,38,10
1042,kt67_Kauhajoki_P,2020/06/02,2,"12 KAIP",1,,,,1,4,7,7,5,3,7,3,1,4,6,5,,4,3,3,1,2,2,
1042,kt67_Kauhajoki_P,2020/06/02,2,"13 Linja-autot",,,,,,,,1,,,1,,1,,,1,1,,1,,,,,
1042,kt67_Kauhajoki_P,2020/06/02,2,"14 KAPP",,,,,,1,,3,1,3,4,1,4,1,3,2,,2,1,3,,1,,
1042,kt67_Kauhajoki_P,2020/06/02,2,"15 KATP",,1,2,1,1,4,7,13,8,14,7,10,4,8,7,6,5,4,3,4,4,5,1,
1042,kt67_Kauhajoki_P,2020/06/02,2,"16 HA + PK",,,,1,,2,1,1,3,2,5,5,2,2,6,7,11,3,3,3,3,3,1,1
1042,kt67_Kauhajoki_P,2020/06/02,2,"17 HA + AV",,,,,,,4,2,,,3,3,2,1,1,1,2,,1,,,,,
1042,kt67_Kauhajoki_P,2020/06/03,1,"11 HA-PA",8,2,1,8,13,53,97,84,88,74,72,80,102,117,123,146,216,111,75,62,64,43,29,17
1042,kt67_Kauhajoki_P,2020/06/03,1,"12 KAIP",,,1,,1,3,7,2,1,4,4,7,4,5,7,2,4,5,1,1,1,,,
1042,kt67_Kauhajoki_P,2020/06/03,1,"13 Linja-autot",,,,,,,2,,1,,,,,1,,,1,1,,,,1,,
1042,kt67_Kauhajoki_P,2020/06/03,1,"14 KAPP",1,,,,,,1,1,1,2,2,5,2,2,4,,2,1,,1,,1,,
