"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"11 HA-PA",12,11,8,7,20,61,138,131,76,87,72,106,83,115,123,138,143,100,84,80,60,58,40,16
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"12 KAIP",,,2,1,,1,4,1,4,3,2,3,5,5,3,6,1,5,2,,2,2,3,2
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"14 KAPP",,,1,1,2,1,1,2,1,,,2,3,3,3,3,2,3,2,3,4,2,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"15 KATP",4,3,2,4,7,3,3,3,7,5,5,8,6,8,8,10,13,10,11,11,10,8,7,9
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"16 HA + PK",,,,,,2,,4,1,4,4,3,5,6,9,2,3,4,9,5,2,,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,1,"17 HA + AV",,1,,,,,1,2,2,,,4,1,1,,1,2,1,,1,1,1,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"11 HA-PA",6,4,6,7,22,61,108,184,106,75,89,88,80,110,119,172,182,115,92,74,74,44,20,16
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"12 KAIP",1,2,1,1,2,7,3,9,7,7,6,8,7,8,9,4,6,5,4,4,4,2,4,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"13 Linja-autot",,,,,,,,,,1,,,,1,,1,,,,1,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"14 KAPP",1,,,,2,,2,3,3,5,5,7,5,6,9,11,9,6,2,7,6,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"15 KATP",3,4,6,1,1,9,10,17,17,14,21,14,14,18,21,14,15,12,20,18,20,10,8,12
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"16 HA + PK",,,1,,2,1,,4,4,6,3,2,6,3,6,4,8,5,9,3,1,2,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/01,2,"17 HA + AV",,,,,,,1,2,4,1,1,2,4,1,4,1,1,,,2,,1,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"11 HA-PA",12,7,10,2,18,56,113,121,58,67,81,108,82,102,127,154,145,106,100,64,71,76,43,24
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"12 KAIP",,,,1,,1,5,4,5,2,9,3,3,2,3,3,6,1,2,3,1,1,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,2,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"14 KAPP",4,1,1,2,,,2,3,2,5,,1,2,2,6,3,5,1,3,1,1,3,1,4
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"15 KATP",20,10,19,11,5,2,4,9,13,9,5,13,11,12,9,14,9,16,13,14,8,11,10,16
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"16 HA + PK",,,,,1,,1,3,,3,1,3,5,1,6,4,6,6,7,2,3,3,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,1,"17 HA + AV",,,1,,,,,3,1,1,1,1,2,,2,1,1,2,3,2,1,,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"11 HA-PA",22,6,9,10,9,54,108,174,100,81,82,94,89,96,130,196,161,128,109,76,64,38,23,22
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"12 KAIP",,,1,2,,1,6,10,12,6,7,9,10,6,7,8,8,8,2,2,5,3,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"13 Linja-autot",,,,,,,,,,,,2,,,,,,,,3,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"14 KAPP",,1,,,1,,1,,3,10,4,5,8,3,7,6,3,8,3,5,1,1,3,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"15 KATP",13,10,4,8,3,7,7,13,17,15,16,16,7,18,12,16,18,18,16,17,17,18,11,7
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"16 HA + PK",,,1,,,4,1,4,3,4,6,8,9,4,5,2,7,7,3,,1,1,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/02,2,"17 HA + AV",,,,,,1,3,1,1,2,1,2,,3,1,1,2,,,2,,,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"11 HA-PA",13,4,10,5,17,55,118,122,63,77,80,69,83,100,143,146,155,117,95,83,72,57,50,18
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"12 KAIP",,,2,2,1,,2,6,2,4,3,4,5,4,4,3,3,4,1,1,2,1,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,1,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"14 KAPP",2,3,1,1,,1,7,4,3,3,2,4,5,4,2,2,3,4,2,,4,3,2,2
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"15 KATP",13,17,15,12,6,2,9,11,10,8,14,6,7,9,9,8,12,12,14,12,10,11,14,17
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"16 HA + PK",1,,,,,,3,5,,6,3,2,5,4,6,9,6,3,7,7,1,1,2,2
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,1,"17 HA + AV",,,,,,,1,1,,3,2,1,2,1,3,2,1,2,3,,2,1,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"11 HA-PA",12,8,7,6,10,57,99,152,89,63,73,91,105,108,127,176,195,161,100,63,78,52,16,24
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"12 KAIP",,,1,2,1,,8,10,8,9,5,6,10,5,7,16,12,7,7,10,7,5,4,2
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,1,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"14 KAPP",,1,1,,1,1,2,1,3,8,9,3,4,9,9,8,11,6,9,6,1,1,2,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"15 KATP",8,6,4,8,4,8,8,17,14,16,26,15,17,16,17,14,15,14,16,11,16,23,13,6
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"16 HA + PK",,1,,1,,2,2,4,3,4,5,6,10,5,7,4,5,4,8,5,4,3,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/03,2,"17 HA + AV",,1,,1,,1,1,2,2,,1,1,2,3,2,2,1,2,,5,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"11 HA-PA",13,6,13,9,18,51,106,122,62,79,85,75,82,81,136,169,168,133,108,105,92,58,47,24
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"12 KAIP",,2,1,,3,5,1,2,5,6,2,3,2,3,4,3,4,4,5,4,2,,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"13 Linja-autot",1,,,,,,,,,,,,,,,,,1,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"14 KAPP",1,2,3,,1,1,1,2,3,3,3,4,2,2,7,2,2,5,1,4,2,,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"15 KATP",18,16,20,13,3,3,6,7,6,9,7,2,6,4,7,8,19,19,12,10,9,11,12,10
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"16 HA + PK",2,,,1,,,1,3,2,1,3,4,4,8,8,10,9,12,3,1,3,10,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,1,"17 HA + AV",2,1,,,,,2,,,,2,3,,,,2,3,1,2,4,,,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"11 HA-PA",16,17,11,4,8,50,101,144,98,68,79,95,93,108,146,200,208,156,121,94,97,42,36,18
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"12 KAIP",1,1,1,1,,3,6,10,7,10,3,6,8,6,10,8,10,5,5,6,2,4,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"13 Linja-autot",,,,,,,,,,1,,,,,,2,,,,2,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"14 KAPP",1,,,,1,1,2,2,6,6,9,7,5,8,6,11,4,8,3,4,2,1,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"15 KATP",6,12,13,8,7,8,6,14,12,21,26,17,15,14,15,18,16,24,14,12,16,14,10,6
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"16 HA + PK",2,,,,1,1,,6,5,4,5,6,8,2,8,8,4,5,7,3,4,1,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/04,2,"17 HA + AV",,,,,1,,,1,1,,2,4,1,3,1,1,2,4,1,1,,1,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"11 HA-PA",18,13,3,10,18,40,106,114,71,64,88,99,124,160,150,199,175,165,153,140,117,72,45,31
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"12 KAIP",1,1,1,1,1,,3,3,1,5,5,8,6,5,8,8,4,1,4,2,2,2,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,1,,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"14 KAPP",4,,,1,2,,1,7,4,5,2,,3,,1,1,1,2,6,2,1,2,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"15 KATP",15,13,20,14,2,5,3,8,10,11,6,5,6,13,9,15,6,6,16,11,8,9,8,18
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"16 HA + PK",,,,,1,,1,2,1,4,4,4,5,6,5,5,8,5,1,8,,3,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,1,"17 HA + AV",,1,,1,,,1,1,1,1,2,3,,4,3,2,2,5,,2,1,2,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"11 HA-PA",11,11,6,6,14,49,88,129,85,85,117,134,139,187,201,264,233,196,121,98,71,51,35,25
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"12 KAIP",1,,1,,2,3,4,6,6,9,13,11,11,9,11,15,12,8,8,5,2,1,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"14 KAPP",1,2,,2,,2,1,4,8,7,6,4,10,8,4,14,3,10,3,3,6,1,2,4
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"15 KATP",10,7,7,9,8,6,6,13,15,14,15,12,13,16,8,8,14,12,11,8,14,10,10,6
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"16 HA + PK",,,,1,,1,1,5,7,3,1,6,9,6,8,11,9,11,1,4,1,3,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/05,2,"17 HA + AV",,1,,,,,1,1,1,2,1,2,1,,2,4,2,2,,4,1,1,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"11 HA-PA",27,19,7,8,8,11,25,33,42,65,101,111,116,115,127,114,110,96,99,105,81,67,40,33
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"12 KAIP",1,2,1,,,1,1,1,2,2,3,3,4,4,3,2,2,6,3,2,2,1,,2
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,1,2,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"14 KAPP",1,1,1,,,,,,,,,1,1,,,1,3,1,,,1,,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"15 KATP",10,8,13,12,2,1,4,4,1,1,1,2,2,5,2,4,3,3,6,6,2,1,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"16 HA + PK",1,,,1,,,1,5,6,,8,3,7,4,8,4,6,5,3,2,3,,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,1,"17 HA + AV",1,,,,,,,,2,,1,1,1,3,2,1,1,3,1,1,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/06/06,2,"11 HA-PA",17,16,11,10,12,15,28,61,70,103,115,124,114,153,142,148,159,113,96,78,55,39,25,17
