"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1101,vt4_Pyhäjärvi,2020/06/01,1,"11 HA-PA",13,13,10,2,15,18,26,40,74,73,64,61,86,105,112,111,84,84,59,64,52,41,20,13
1101,vt4_Pyhäjärvi,2020/06/01,1,"12 KAIP",,,1,,,1,1,1,1,,,6,5,1,5,2,4,2,2,,,1,1,
1101,vt4_Pyhäjärvi,2020/06/01,1,"13 Linja-autot",,,,,,,,,,1,,,,2,,,,,,,1,,1,
1101,vt4_Pyhäjärvi,2020/06/01,1,"14 KAPP",,1,3,2,,1,4,1,7,4,3,3,4,2,2,4,7,8,9,6,7,3,4,2
1101,vt4_Pyhäjärvi,2020/06/01,1,"15 KATP",3,2,1,3,4,4,5,5,,3,7,6,7,9,6,11,8,13,13,14,17,7,13,15
1101,vt4_Pyhäjärvi,2020/06/01,1,"16 HA + PK",,1,,1,1,2,3,1,5,2,3,6,10,11,6,6,8,6,6,2,1,3,4,3
1101,vt4_Pyhäjärvi,2020/06/01,1,"17 HA + AV",,,,,,,,1,3,2,1,1,2,4,1,,1,1,1,2,,,,
1101,vt4_Pyhäjärvi,2020/06/01,2,"11 HA-PA",12,16,2,9,9,19,28,34,52,53,65,75,79,95,85,94,71,74,69,57,19,19,31,11
1101,vt4_Pyhäjärvi,2020/06/01,2,"12 KAIP",2,1,2,2,1,,2,,1,1,4,4,7,1,4,3,3,1,,,1,,1,2
1101,vt4_Pyhäjärvi,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1101,vt4_Pyhäjärvi,2020/06/01,2,"14 KAPP",1,,,,,,1,2,1,4,2,4,5,4,9,4,10,8,5,2,1,4,2,1
1101,vt4_Pyhäjärvi,2020/06/01,2,"15 KATP",1,1,3,1,1,3,6,7,6,4,4,5,9,19,8,8,16,12,15,16,9,15,5,3
1101,vt4_Pyhäjärvi,2020/06/01,2,"16 HA + PK",,1,,,1,3,,4,4,4,3,7,6,2,3,6,4,5,3,7,3,,1,1
1101,vt4_Pyhäjärvi,2020/06/01,2,"17 HA + AV",,,,,,,,1,1,1,4,2,2,1,2,,1,3,2,1,,2,,
1101,vt4_Pyhäjärvi,2020/06/02,1,"11 HA-PA",11,4,8,8,9,16,27,33,42,50,58,62,77,64,77,77,64,71,65,55,50,35,33,20
1101,vt4_Pyhäjärvi,2020/06/02,1,"12 KAIP",,1,1,,,,2,1,,4,1,,2,2,7,1,,3,,1,2,4,2,
1101,vt4_Pyhäjärvi,2020/06/02,1,"13 Linja-autot",,,,,,,2,,1,,1,,,,1,,,1,1,,,1,,1
1101,vt4_Pyhäjärvi,2020/06/02,1,"14 KAPP",1,1,,,2,1,2,4,5,3,3,2,5,3,2,1,4,8,8,4,,6,1,2
1101,vt4_Pyhäjärvi,2020/06/02,1,"15 KATP",16,8,7,7,10,10,4,15,13,2,5,12,4,4,11,9,11,14,12,8,8,10,18,17
1101,vt4_Pyhäjärvi,2020/06/02,1,"16 HA + PK",2,1,,1,,1,1,4,3,4,1,7,5,2,9,1,2,7,8,3,3,3,2,
1101,vt4_Pyhäjärvi,2020/06/02,1,"17 HA + AV",,,,,,,,1,,1,2,2,1,1,,4,,2,,1,,,,
1101,vt4_Pyhäjärvi,2020/06/02,2,"11 HA-PA",10,7,2,9,9,8,15,34,27,47,60,54,71,88,85,94,84,60,57,44,35,32,16,10
1101,vt4_Pyhäjärvi,2020/06/02,2,"12 KAIP",,,1,,1,1,,4,3,2,2,4,,2,1,1,1,4,2,2,1,2,1,2
1101,vt4_Pyhäjärvi,2020/06/02,2,"13 Linja-autot",,,,,,,,,1,,,2,,1,,1,,,,1,,,1,
1101,vt4_Pyhäjärvi,2020/06/02,2,"14 KAPP",,1,,1,,1,1,,,4,7,4,8,3,4,6,7,5,4,3,4,,2,
1101,vt4_Pyhäjärvi,2020/06/02,2,"15 KATP",5,1,3,2,5,2,10,4,5,6,4,9,10,19,14,14,15,8,12,18,12,6,19,4
1101,vt4_Pyhäjärvi,2020/06/02,2,"16 HA + PK",2,,1,1,,1,1,1,1,5,2,2,2,6,7,5,6,5,5,4,2,4,2,1
1101,vt4_Pyhäjärvi,2020/06/02,2,"17 HA + AV",,,,,,1,,1,,,,,2,2,1,1,2,3,1,,3,1,,
1101,vt4_Pyhäjärvi,2020/06/03,1,"11 HA-PA",12,10,6,8,10,17,30,31,47,52,69,69,65,98,90,95,84,81,77,52,46,51,33,17
1101,vt4_Pyhäjärvi,2020/06/03,1,"12 KAIP",,1,,,2,,1,3,1,3,3,1,4,2,3,3,1,5,2,2,3,2,3,1
1101,vt4_Pyhäjärvi,2020/06/03,1,"13 Linja-autot",,,1,,,,1,,,,1,,2,1,,1,1,1,,,1,1,,
1101,vt4_Pyhäjärvi,2020/06/03,1,"14 KAPP",2,,3,,1,2,7,1,3,4,3,3,4,4,5,6,9,9,9,3,1,1,4,3
1101,vt4_Pyhäjärvi,2020/06/03,1,"15 KATP",8,15,12,3,13,6,8,15,14,6,8,8,11,9,6,16,15,8,12,18,12,14,14,19
1101,vt4_Pyhäjärvi,2020/06/03,1,"16 HA + PK",1,1,,1,1,,1,,3,3,6,7,7,10,10,2,7,7,7,3,8,1,3,3
1101,vt4_Pyhäjärvi,2020/06/03,1,"17 HA + AV",1,,,,,,1,,5,1,3,3,1,,,2,,3,2,2,2,,1,
1101,vt4_Pyhäjärvi,2020/06/03,2,"11 HA-PA",5,8,6,5,7,10,17,19,43,44,68,87,83,84,94,100,87,67,58,28,37,21,26,13
1101,vt4_Pyhäjärvi,2020/06/03,2,"12 KAIP",1,,,,,1,2,3,2,2,3,1,3,,3,3,4,1,1,1,3,5,,
1101,vt4_Pyhäjärvi,2020/06/03,2,"13 Linja-autot",,,,1,,1,,,1,,,1,1,,1,,,1,,1,,,,
1101,vt4_Pyhäjärvi,2020/06/03,2,"14 KAPP",,2,,1,,2,3,1,2,8,8,2,9,4,8,7,6,10,7,4,6,5,3,
1101,vt4_Pyhäjärvi,2020/06/03,2,"15 KATP",8,4,3,4,7,1,4,5,10,12,13,13,17,9,15,19,14,11,10,8,17,12,12,5
1101,vt4_Pyhäjärvi,2020/06/03,2,"16 HA + PK",,2,,1,,,2,2,3,7,5,6,7,8,6,7,4,10,5,2,2,2,1,
1101,vt4_Pyhäjärvi,2020/06/03,2,"17 HA + AV",,,,,,,,2,1,,1,2,3,,1,1,,5,,,2,1,,
1101,vt4_Pyhäjärvi,2020/06/04,1,"11 HA-PA",20,12,9,6,4,12,24,30,37,66,58,66,97,102,124,104,112,98,110,92,80,90,58,35
