"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1223,vt20_Kiiminki,2020/06/01,1,"11 HA-PA",22,20,19,21,22,64,192,257,267,306,316,392,397,438,521,780,714,468,406,345,268,177,110,55
1223,vt20_Kiiminki,2020/06/01,1,"12 KAIP",2,3,2,2,8,7,16,11,18,11,14,17,17,16,21,21,19,14,8,10,12,8,4,
1223,vt20_Kiiminki,2020/06/01,1,"13 Linja-autot",,,,,,,2,1,1,2,1,2,1,1,,1,,,,1,,,1,
1223,vt20_Kiiminki,2020/06/01,1,"14 KAPP",,,1,1,1,2,2,3,6,3,3,2,2,4,2,3,1,3,3,,,1,,
1223,vt20_Kiiminki,2020/06/01,1,"15 KATP",2,2,,3,1,11,10,13,12,18,19,14,19,9,13,15,10,12,8,1,6,3,7,4
1223,vt20_Kiiminki,2020/06/01,1,"16 HA + PK",1,,,,2,3,9,20,26,31,38,30,33,30,32,37,33,29,29,27,16,3,2,1
1223,vt20_Kiiminki,2020/06/01,1,"17 HA + AV",1,,,1,,,2,2,9,2,3,3,5,4,6,4,2,2,2,1,3,1,,
1223,vt20_Kiiminki,2020/06/01,2,"11 HA-PA",22,16,18,16,48,224,691,626,436,373,361,428,391,386,403,448,507,443,369,316,221,168,89,51
1223,vt20_Kiiminki,2020/06/01,2,"12 KAIP",2,1,1,2,3,9,15,16,11,11,15,14,17,18,8,18,16,11,7,2,4,1,1,
1223,vt20_Kiiminki,2020/06/01,2,"13 Linja-autot",,,,,,1,2,2,2,1,1,1,3,2,1,1,3,3,1,2,1,1,1,1
1223,vt20_Kiiminki,2020/06/01,2,"14 KAPP",,,,,1,2,2,,1,1,1,5,3,1,3,3,2,,3,3,1,,,
1223,vt20_Kiiminki,2020/06/01,2,"15 KATP",2,2,1,1,2,9,17,7,15,11,13,9,13,15,16,13,13,6,8,4,3,3,3,1
1223,vt20_Kiiminki,2020/06/01,2,"16 HA + PK",3,1,,,1,7,23,18,20,23,36,34,26,26,34,41,24,31,14,25,3,7,3,1
1223,vt20_Kiiminki,2020/06/01,2,"17 HA + AV",,,,,,2,2,2,5,5,3,5,4,6,6,4,1,5,2,2,2,4,,
1223,vt20_Kiiminki,2020/06/02,1,"11 HA-PA",32,21,15,16,17,73,180,276,227,232,294,377,409,415,463,756,690,510,420,349,263,191,130,55
1223,vt20_Kiiminki,2020/06/02,1,"12 KAIP",,1,1,3,4,7,12,12,18,14,10,12,19,17,15,19,13,10,14,7,8,4,4,3
1223,vt20_Kiiminki,2020/06/02,1,"13 Linja-autot",,,,,1,,,1,1,1,1,2,,1,,2,3,2,,1,,1,1,1
1223,vt20_Kiiminki,2020/06/02,1,"14 KAPP",,1,1,1,,1,1,3,3,4,2,3,1,2,3,3,,1,3,2,,,,
1223,vt20_Kiiminki,2020/06/02,1,"15 KATP",1,3,,2,5,6,10,14,14,14,14,11,13,13,15,12,8,5,4,6,7,3,7,4
1223,vt20_Kiiminki,2020/06/02,1,"16 HA + PK",1,,,,1,3,5,13,12,15,29,26,22,20,21,38,29,40,21,15,13,6,7,1
1223,vt20_Kiiminki,2020/06/02,1,"17 HA + AV",,,,1,2,2,3,9,3,3,1,3,2,1,4,9,2,4,2,1,1,,,
1223,vt20_Kiiminki,2020/06/02,2,"11 HA-PA",30,11,21,24,57,217,676,564,425,354,312,362,369,406,409,490,481,434,381,298,245,184,79,53
1223,vt20_Kiiminki,2020/06/02,2,"12 KAIP",1,,2,1,1,10,25,12,12,9,19,16,20,18,13,12,12,11,10,7,5,1,,
