"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1237,vt4_Oulu_Intiö,2020/06/01,1,"11 HA-PA",132,68,59,56,104,402,1116,1300,1201,1028,1103,1269,1358,1443,1728,2186,2151,1639,1388,1218,924,746,386,213
1237,vt4_Oulu_Intiö,2020/06/01,1,"12 KAIP",5,6,6,9,10,20,36,52,80,59,63,85,83,67,76,64,70,50,29,40,16,17,17,18
1237,vt4_Oulu_Intiö,2020/06/01,1,"13 Linja-autot",,,,,1,4,3,3,,,3,1,2,1,2,1,2,1,1,,3,2,1,2
1237,vt4_Oulu_Intiö,2020/06/01,1,"14 KAPP",1,,,,5,9,8,10,20,14,18,18,13,10,14,12,6,9,14,7,7,10,2,2
1237,vt4_Oulu_Intiö,2020/06/01,1,"15 KATP",10,11,14,8,13,25,22,29,38,46,30,34,28,30,17,11,11,17,22,17,21,16,16,17
1237,vt4_Oulu_Intiö,2020/06/01,1,"16 HA + PK",,3,1,,,7,32,37,35,41,49,55,49,64,59,46,44,61,46,47,18,9,7,4
1237,vt4_Oulu_Intiö,2020/06/01,1,"17 HA + AV",1,,,,,3,8,4,7,7,10,5,7,6,6,6,8,1,1,3,3,,2,
1237,vt4_Oulu_Intiö,2020/06/01,2,"11 HA-PA",129,62,63,56,116,487,1642,2045,1459,1248,1129,1313,1360,1437,1487,2008,1902,1615,1297,999,785,510,338,191
1237,vt4_Oulu_Intiö,2020/06/01,2,"12 KAIP",3,4,8,8,7,28,57,60,64,63,70,66,86,74,73,64,46,43,25,20,14,13,7,10
1237,vt4_Oulu_Intiö,2020/06/01,2,"13 Linja-autot",,,,,1,2,2,1,2,4,1,,2,,,3,1,1,1,,1,2,2,
1237,vt4_Oulu_Intiö,2020/06/01,2,"14 KAPP",,,,1,3,2,4,10,7,19,13,22,11,22,19,18,17,11,11,13,7,4,6,3
1237,vt4_Oulu_Intiö,2020/06/01,2,"15 KATP",7,4,4,6,5,13,30,27,44,32,53,39,36,36,43,40,38,34,39,25,22,15,26,10
1237,vt4_Oulu_Intiö,2020/06/01,2,"16 HA + PK",2,1,1,2,2,12,26,37,58,53,46,52,52,49,66,54,52,49,55,44,23,14,3,2
1237,vt4_Oulu_Intiö,2020/06/01,2,"17 HA + AV",,,,,,,6,5,8,3,,5,5,6,9,10,9,3,2,7,2,,1,1
1237,vt4_Oulu_Intiö,2020/06/02,1,"11 HA-PA",123,82,75,70,108,380,1105,1284,1135,962,1131,1203,1261,1398,1745,2285,2151,1711,1348,1211,912,764,406,210
1237,vt4_Oulu_Intiö,2020/06/02,1,"12 KAIP",7,9,6,11,11,15,50,55,65,75,69,74,78,82,67,50,71,53,33,32,26,22,16,6
1237,vt4_Oulu_Intiö,2020/06/02,1,"13 Linja-autot",,,,,2,3,3,1,4,1,,,2,1,2,1,3,1,1,,2,1,2,2
1237,vt4_Oulu_Intiö,2020/06/02,1,"14 KAPP",4,4,3,2,1,4,9,12,18,17,14,17,11,16,8,6,12,7,8,12,10,5,6,1
1237,vt4_Oulu_Intiö,2020/06/02,1,"15 KATP",21,19,15,20,32,32,22,35,39,42,38,27,26,32,21,3,15,19,21,24,18,17,11,19
1237,vt4_Oulu_Intiö,2020/06/02,1,"16 HA + PK",1,1,3,,,5,16,35,26,41,44,38,33,47,47,51,34,51,43,33,22,13,9,3
1237,vt4_Oulu_Intiö,2020/06/02,1,"17 HA + AV",,1,1,1,,2,3,7,4,3,6,6,7,2,7,7,5,8,4,2,1,2,1,
1237,vt4_Oulu_Intiö,2020/06/02,2,"11 HA-PA",127,87,75,61,109,484,1609,1959,1445,1193,1055,1238,1377,1346,1469,1939,1862,1567,1304,1035,846,565,318,192
1237,vt4_Oulu_Intiö,2020/06/02,2,"12 KAIP",5,5,5,9,7,30,76,66,66,68,92,62,70,78,79,64,49,33,29,30,19,12,14,15
1237,vt4_Oulu_Intiö,2020/06/02,2,"13 Linja-autot",2,,,,2,2,,1,1,2,2,1,,2,,1,3,2,2,1,1,2,2,
1237,vt4_Oulu_Intiö,2020/06/02,2,"14 KAPP",,2,1,,3,1,9,10,15,14,21,15,14,16,18,16,22,12,16,6,11,6,3,4
1237,vt4_Oulu_Intiö,2020/06/02,2,"15 KATP",12,1,10,15,23,14,26,27,35,34,29,34,36,42,34,46,37,29,28,38,20,15,23,15
1237,vt4_Oulu_Intiö,2020/06/02,2,"16 HA + PK",2,1,,,1,3,22,31,41,37,43,45,50,45,56,56,54,56,45,44,24,7,5,5
1237,vt4_Oulu_Intiö,2020/06/02,2,"17 HA + AV",,1,,,,,10,5,10,5,4,4,6,9,4,7,5,5,9,2,1,1,3,
1237,vt4_Oulu_Intiö,2020/06/03,1,"11 HA-PA",128,100,63,51,93,351,1051,1314,1165,987,1010,1191,1271,1414,1757,2421,2220,1719,1452,1255,966,786,382,218
1237,vt4_Oulu_Intiö,2020/06/03,1,"12 KAIP",5,12,2,7,10,17,45,59,66,63,65,74,79,69,69,79,50,49,34,34,23,14,19,15
1237,vt4_Oulu_Intiö,2020/06/03,1,"13 Linja-autot",,,,,,3,3,4,1,2,1,2,1,2,,1,1,1,2,3,2,1,1,1
1237,vt4_Oulu_Intiö,2020/06/03,1,"14 KAPP",1,1,2,2,2,7,5,11,18,9,14,14,11,22,5,9,13,5,16,3,13,7,6,4
1237,vt4_Oulu_Intiö,2020/06/03,1,"15 KATP",17,18,14,20,26,35,27,42,54,33,50,30,38,35,24,16,21,25,15,15,17,11,13,21
1237,vt4_Oulu_Intiö,2020/06/03,1,"16 HA + PK",5,1,1,2,,7,16,33,31,33,36,33,51,35,42,61,51,46,60,37,24,5,5,6
1237,vt4_Oulu_Intiö,2020/06/03,1,"17 HA + AV",,,1,,1,1,7,8,6,5,3,7,9,5,4,2,10,1,5,2,1,1,1,
1237,vt4_Oulu_Intiö,2020/06/03,2,"11 HA-PA",133,82,55,54,100,433,1580,1970,1386,1174,1113,1226,1340,1465,1449,1992,1967,1580,1290,1017,866,618,373,163
1237,vt4_Oulu_Intiö,2020/06/03,2,"12 KAIP",6,6,7,10,12,29,75,79,67,71,64,84,76,73,67,56,34,35,30,34,26,16,19,14
1237,vt4_Oulu_Intiö,2020/06/03,2,"13 Linja-autot",,,,,2,2,,1,1,2,1,,1,,2,2,1,,,1,,,,1
1237,vt4_Oulu_Intiö,2020/06/03,2,"14 KAPP",,3,3,2,4,1,8,10,21,17,14,15,24,17,20,26,24,16,11,7,4,6,8,3
