"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"11 HA-PA",74,36,25,30,49,153,398,476,480,521,596,702,741,765,1023,1537,1470,1033,879,756,552,407,244,113
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"12 KAIP",2,2,3,3,3,7,9,25,27,16,13,11,27,17,25,21,22,9,8,10,6,8,6,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"13 Linja-autot",,,,,4,6,4,,,,1,,1,,,,2,2,,,,,,
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"14 KAPP",1,,,,5,8,6,9,11,5,12,16,4,7,12,16,9,10,14,5,5,11,3,2
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"15 KATP",7,9,10,5,10,19,15,21,24,22,21,14,21,12,22,23,24,15,13,13,13,12,5,10
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"16 HA + PK",,1,,,,1,13,11,10,20,28,26,26,25,34,29,35,43,24,24,11,11,5,3
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,1,"17 HA + AV",,,1,,,,6,4,4,5,6,7,6,,3,3,5,3,2,3,1,1,,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"11 HA-PA",46,43,28,33,77,293,1249,1396,926,727,618,707,744,748,686,916,968,851,722,632,474,307,188,98
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"12 KAIP",1,1,3,4,,7,15,14,15,19,13,16,25,14,17,21,25,8,5,8,7,5,1,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"13 Linja-autot",1,,,,,,,1,,,,,,,1,1,2,2,,2,1,1,3,4
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"14 KAPP",,,,1,,1,4,6,8,8,6,9,6,9,10,12,9,7,10,9,8,4,3,2
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"15 KATP",2,1,2,1,2,6,11,9,27,19,19,19,19,28,23,27,25,21,24,15,16,6,16,4
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"16 HA + PK",1,1,1,1,2,6,27,17,27,19,16,18,23,17,21,26,26,26,27,23,16,8,3,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/01,2,"17 HA + AV",,,,,,1,6,3,7,1,,5,2,2,5,4,5,5,2,3,1,,3,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"11 HA-PA",73,39,36,31,49,148,425,489,481,547,550,651,665,740,976,1544,1485,983,879,753,566,436,225,119
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"12 KAIP",3,4,4,5,7,6,23,14,23,24,17,27,14,18,25,25,25,17,8,9,11,2,3,2
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"13 Linja-autot",,,,,4,3,5,,,,1,1,,,1,1,2,1,,,,,1,
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"14 KAPP",2,1,1,2,1,1,7,4,16,8,5,12,10,11,9,9,9,4,4,8,7,5,5,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"15 KATP",8,5,8,11,12,20,17,17,18,36,19,21,17,21,23,12,13,15,18,15,16,11,5,7
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"16 HA + PK",1,1,2,,,1,5,8,17,24,22,18,25,30,26,41,31,35,32,21,20,8,2,2
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,1,"17 HA + AV",1,,,,,2,1,3,4,2,1,3,4,2,2,1,4,5,6,3,1,1,1,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"11 HA-PA",52,47,30,30,60,268,1263,1365,916,649,557,642,728,723,727,924,940,894,737,644,496,339,179,109
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"12 KAIP",,2,1,2,1,9,16,21,24,20,29,16,14,24,26,17,21,8,9,9,5,4,4,4
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"13 Linja-autot",1,,,,,,,1,,,,,,1,,1,1,2,,1,1,1,3,4
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"14 KAPP",1,1,1,,2,,3,3,8,5,11,3,9,12,11,9,13,6,8,6,8,3,4,2
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"15 KATP",7,,3,7,9,4,7,11,21,18,15,14,29,25,23,30,25,13,22,24,10,14,10,17
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"16 HA + PK",,,,,1,2,19,19,18,18,23,19,27,16,28,36,39,24,30,23,11,6,7,3
1246,vt4_Oulu_Kuivasjärvi,2020/06/02,2,"17 HA + AV",3,,,,1,,2,1,1,1,2,1,3,9,1,3,2,3,5,4,1,1,4,1
1246,vt4_Oulu_Kuivasjärvi,2020/06/03,1,"11 HA-PA",77,36,32,24,36,146,389,458,485,442,547,677,690,784,1068,1708,1545,1099,898,763,553,385,219,130
1246,vt4_Oulu_Kuivasjärvi,2020/06/03,1,"12 KAIP",2,4,4,2,4,8,10,21,22,21,20,21,21,20,20,30,35,10,6,8,9,5,5,5
1246,vt4_Oulu_Kuivasjärvi,2020/06/03,1,"13 Linja-autot",,,,,4,4,5,1,1,,,,,,1,,2,2,,1,,,,
1246,vt4_Oulu_Kuivasjärvi,2020/06/03,1,"14 KAPP",,2,1,,1,2,1,10,14,6,13,7,9,10,10,21,8,8,15,4,10,2,2,2
