"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1326,vt28_Vuottolahti,2020/06/01,1,"11 HA-PA",6,1,3,4,12,31,68,67,63,66,55,63,73,67,148,85,86,60,44,29,14,22,20,22
1326,vt28_Vuottolahti,2020/06/01,1,"12 KAIP",,,,,1,1,,3,2,4,2,5,2,4,,3,4,2,3,1,,,1,
1326,vt28_Vuottolahti,2020/06/01,1,"14 KAPP",,,,,,,,,1,1,,1,1,,,1,,4,,2,2,1,,1
1326,vt28_Vuottolahti,2020/06/01,1,"15 KATP",,3,,1,1,2,1,2,3,3,6,4,2,8,3,3,1,2,4,5,4,2,2,2
1326,vt28_Vuottolahti,2020/06/01,1,"16 HA + PK",,,,,1,,4,3,5,5,4,5,2,4,6,1,3,6,5,3,2,2,2,1
1326,vt28_Vuottolahti,2020/06/01,1,"17 HA + AV",,,,,,,1,1,1,1,1,,1,,1,,,,1,1,,,,
1326,vt28_Vuottolahti,2020/06/01,2,"11 HA-PA",4,1,4,4,17,111,65,55,43,41,46,50,71,85,75,85,90,73,64,41,34,18,10,4
1326,vt28_Vuottolahti,2020/06/01,2,"12 KAIP",1,,,,1,,,4,1,1,5,1,2,1,3,,2,1,3,1,,,,1
1326,vt28_Vuottolahti,2020/06/01,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/06/01,2,"14 KAPP",,,,,,,,1,1,1,1,,2,2,,,,,,,1,,,
1326,vt28_Vuottolahti,2020/06/01,2,"15 KATP",,,,,2,2,1,4,2,3,4,2,6,2,2,3,3,4,5,3,1,1,2,1
1326,vt28_Vuottolahti,2020/06/01,2,"16 HA + PK",,,,2,,,1,4,7,3,4,4,1,2,3,7,1,8,2,,1,2,,
1326,vt28_Vuottolahti,2020/06/01,2,"17 HA + AV",,,,,,,1,,,,1,,2,1,,,1,1,,1,,,,
1326,vt28_Vuottolahti,2020/06/02,1,"11 HA-PA",5,3,1,2,5,23,54,57,53,47,64,64,58,50,165,88,66,68,51,41,34,16,18,18
1326,vt28_Vuottolahti,2020/06/02,1,"12 KAIP",1,,,,1,,3,3,,9,3,3,5,1,,7,2,1,,1,,,,
1326,vt28_Vuottolahti,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1326,vt28_Vuottolahti,2020/06/02,1,"14 KAPP",,,,,,,2,,,1,1,1,1,,1,1,1,2,,,2,1,1,
1326,vt28_Vuottolahti,2020/06/02,1,"15 KATP",2,1,,2,1,3,3,6,4,4,5,3,5,5,3,5,3,1,3,7,5,3,1,
1326,vt28_Vuottolahti,2020/06/02,1,"16 HA + PK",1,,,,,1,3,2,4,4,6,4,4,3,2,7,6,4,2,,2,1,,
1326,vt28_Vuottolahti,2020/06/02,1,"17 HA + AV",,,,,,,,,1,1,,,,,1,,,1,1,,,1,,
1326,vt28_Vuottolahti,2020/06/02,2,"11 HA-PA",4,2,1,,15,115,55,68,51,57,55,67,61,73,64,86,89,65,56,38,28,24,4,6
1326,vt28_Vuottolahti,2020/06/02,2,"12 KAIP",1,,,1,,2,2,6,5,5,,2,,6,,3,3,,,1,1,,,
1326,vt28_Vuottolahti,2020/06/02,2,"13 Linja-autot",,,,,,,,1,,,,,,1,,,,,,,,,,
1326,vt28_Vuottolahti,2020/06/02,2,"14 KAPP",,,,,,,,,2,1,3,1,2,2,3,2,2,1,,1,,1,1,
1326,vt28_Vuottolahti,2020/06/02,2,"15 KATP",,1,3,1,,1,1,3,4,6,3,6,9,5,8,3,6,2,3,1,3,3,,1
1326,vt28_Vuottolahti,2020/06/02,2,"16 HA + PK",,,,,,,,1,4,2,7,6,2,4,4,4,8,9,3,5,,1,,1
1326,vt28_Vuottolahti,2020/06/02,2,"17 HA + AV",,,,,,,,,1,,,1,,,2,1,1,,,,,,,
1326,vt28_Vuottolahti,2020/06/03,1,"11 HA-PA",2,3,3,3,9,21,55,58,60,55,56,73,57,61,132,87,75,54,50,35,29,16,13,19
1326,vt28_Vuottolahti,2020/06/03,1,"12 KAIP",,,,,1,,2,1,4,7,6,,1,3,3,1,1,4,4,2,2,,1,
1326,vt28_Vuottolahti,2020/06/03,1,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,,,,,,,
1326,vt28_Vuottolahti,2020/06/03,1,"14 KAPP",,,,,,,,,3,,1,,1,1,,,,1,1,,,,,
1326,vt28_Vuottolahti,2020/06/03,1,"15 KATP",1,1,1,2,,2,1,3,5,3,8,3,4,3,5,2,2,5,7,3,2,3,3,
1326,vt28_Vuottolahti,2020/06/03,1,"16 HA + PK",,,,,,,2,2,5,4,4,2,6,4,4,8,6,6,7,1,2,2,2,1
1326,vt28_Vuottolahti,2020/06/03,1,"17 HA + AV",,,,,,,,,,,,3,1,2,,,1,,1,,,,,
1326,vt28_Vuottolahti,2020/06/03,2,"11 HA-PA",2,1,1,2,14,116,56,48,40,48,37,74,67,82,55,89,86,72,51,46,27,26,13,5
1326,vt28_Vuottolahti,2020/06/03,2,"12 KAIP",,,,1,,,2,2,5,3,,,4,1,1,4,2,3,2,2,1,,2,
1326,vt28_Vuottolahti,2020/06/03,2,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,,,1
1326,vt28_Vuottolahti,2020/06/03,2,"14 KAPP",,,,,,,,1,,1,1,2,,,2,2,,,1,,1,1,1,
1326,vt28_Vuottolahti,2020/06/03,2,"15 KATP",2,1,1,,,2,5,6,3,8,4,6,3,2,3,2,4,1,5,3,2,1,2,3
1326,vt28_Vuottolahti,2020/06/03,2,"16 HA + PK",,,,,1,1,,1,4,4,5,1,9,5,4,6,8,3,5,3,1,1,2,
1326,vt28_Vuottolahti,2020/06/03,2,"17 HA + AV",,,,,,,,,,,,1,,1,,,,,,,1,,,1
1326,vt28_Vuottolahti,2020/06/04,1,"11 HA-PA",3,2,3,2,7,20,54,60,59,62,56,64,63,53,160,96,75,52,55,43,21,23,16,16
1326,vt28_Vuottolahti,2020/06/04,1,"12 KAIP",,,,,,1,2,1,1,5,1,1,7,4,1,2,2,4,2,2,3,2,1,
1326,vt28_Vuottolahti,2020/06/04,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,1,
1326,vt28_Vuottolahti,2020/06/04,1,"14 KAPP",,,,1,,,,1,,1,1,1,2,,1,2,,,2,,,,,
1326,vt28_Vuottolahti,2020/06/04,1,"15 KATP",5,,,2,1,1,,3,3,7,2,5,3,4,2,6,1,3,4,1,3,1,1,
1326,vt28_Vuottolahti,2020/06/04,1,"16 HA + PK",,,,,,,2,3,7,2,4,5,7,8,7,5,5,3,7,4,3,4,1,3
1326,vt28_Vuottolahti,2020/06/04,1,"17 HA + AV",,,,,1,,,,2,,1,,1,,,,1,1,3,,,,,
1326,vt28_Vuottolahti,2020/06/04,2,"11 HA-PA",3,,,3,14,108,56,52,32,40,43,58,79,85,99,76,113,68,87,46,22,20,11,6
1326,vt28_Vuottolahti,2020/06/04,2,"12 KAIP",,,,,2,,1,4,3,2,3,2,1,3,3,2,4,2,1,2,,1,,
1326,vt28_Vuottolahti,2020/06/04,2,"13 Linja-autot",,,,,,,1,,,,,1,,,1,,,,,,,,,
1326,vt28_Vuottolahti,2020/06/04,2,"14 KAPP",,,,,,,1,,,,,,,1,,1,,1,1,,,,,
1326,vt28_Vuottolahti,2020/06/04,2,"15 KATP",2,,3,1,2,1,5,2,,7,4,6,3,2,4,3,5,2,2,1,3,2,1,1
1326,vt28_Vuottolahti,2020/06/04,2,"16 HA + PK",1,,,2,,,,,4,3,6,5,6,8,7,5,5,2,,6,1,,,
1326,vt28_Vuottolahti,2020/06/04,2,"17 HA + AV",,,,,,,,1,,,1,,,,1,,2,,1,1,,,,
1326,vt28_Vuottolahti,2020/06/05,1,"11 HA-PA",5,,,4,4,18,48,57,57,64,62,71,88,88,156,114,84,80,74,56,49,34,28,12
1326,vt28_Vuottolahti,2020/06/05,1,"12 KAIP",1,,,,1,1,1,,2,6,4,2,,2,,6,2,1,1,1,,2,,
1326,vt28_Vuottolahti,2020/06/05,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1326,vt28_Vuottolahti,2020/06/05,1,"14 KAPP",,,,,,,,,,1,1,1,,1,,1,1,,,1,,,,
1326,vt28_Vuottolahti,2020/06/05,1,"15 KATP",1,1,2,3,1,2,2,2,3,2,7,7,4,7,2,3,5,2,1,2,1,1,,1
1326,vt28_Vuottolahti,2020/06/05,1,"16 HA + PK",,1,,,,,2,1,4,9,9,6,5,8,8,7,7,8,9,6,2,2,1,2
1326,vt28_Vuottolahti,2020/06/05,1,"17 HA + AV",,1,,,,,1,,,,,1,,1,,1,,4,2,1,,,,
1326,vt28_Vuottolahti,2020/06/05,2,"11 HA-PA",2,,,,13,98,45,39,41,57,57,76,98,89,93,118,110,96,70,56,33,22,17,10
1326,vt28_Vuottolahti,2020/06/05,2,"12 KAIP",,,,1,1,,1,1,3,3,2,2,2,3,2,1,2,4,1,,,,,
1326,vt28_Vuottolahti,2020/06/05,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,1,,,,,,
1326,vt28_Vuottolahti,2020/06/05,2,"14 KAPP",,,,,,,1,,,,2,,1,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/06/05,2,"15 KATP",2,1,,3,1,2,3,3,5,7,5,3,3,3,2,4,2,1,6,1,1,1,,
