"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
140,kt50_Järvenperä,2020/06/01,1,"11 HA-PA",81,58,41,43,109,521,1460,1768,1497,1124,957,1010,987,1248,1356,2125,1774,1253,990,805,712,507,280,145
140,kt50_Järvenperä,2020/06/01,1,"12 KAIP",2,3,5,4,6,27,60,68,96,108,117,109,109,134,139,144,89,63,38,35,24,16,5,3
140,kt50_Järvenperä,2020/06/01,1,"13 Linja-autot",,,,,,5,3,3,4,2,1,2,1,2,3,2,2,1,,1,,1,1,
140,kt50_Järvenperä,2020/06/01,1,"14 KAPP",2,5,2,5,8,11,42,43,63,97,95,53,52,54,61,57,35,29,32,18,17,21,8,7
140,kt50_Järvenperä,2020/06/01,1,"15 KATP",12,5,7,9,18,12,30,39,39,51,59,47,59,38,43,69,51,61,34,21,20,24,36,21
140,kt50_Järvenperä,2020/06/01,1,"16 HA + PK",,1,,,2,4,12,22,31,32,21,25,31,26,30,40,39,30,9,25,12,15,10,4
140,kt50_Järvenperä,2020/06/01,1,"17 HA + AV",1,,,,,2,3,10,8,6,16,9,4,5,7,11,7,10,4,2,5,,2,
140,kt50_Järvenperä,2020/06/01,2,"11 HA-PA",92,52,27,29,58,336,1435,1344,1129,891,899,979,1030,1063,1451,2149,2126,1556,1160,838,700,500,342,167
140,kt50_Järvenperä,2020/06/01,2,"12 KAIP",4,5,6,5,14,29,116,144,121,115,107,108,116,95,94,86,80,45,28,26,11,14,6,6
140,kt50_Järvenperä,2020/06/01,2,"13 Linja-autot",,,,,,,1,,3,1,2,1,,2,3,4,4,3,2,,2,2,,
140,kt50_Järvenperä,2020/06/01,2,"14 KAPP",6,4,5,9,6,11,22,51,47,44,35,56,42,52,51,46,52,49,40,13,19,9,14,9
140,kt50_Järvenperä,2020/06/01,2,"15 KATP",4,13,9,4,6,24,36,45,37,50,44,41,41,50,57,45,43,38,35,26,18,25,20,18
140,kt50_Järvenperä,2020/06/01,2,"16 HA + PK",1,1,1,,1,2,10,20,40,32,19,26,24,28,28,27,41,31,27,24,18,9,2,3
140,kt50_Järvenperä,2020/06/01,2,"17 HA + AV",1,,,1,,2,4,15,7,14,11,8,5,6,8,10,7,5,5,2,2,2,1,
140,kt50_Järvenperä,2020/06/02,1,"11 HA-PA",71,39,33,37,86,474,1387,1722,1416,1126,924,996,1065,1169,1413,2066,1799,1367,1051,858,748,521,286,133
140,kt50_Järvenperä,2020/06/02,1,"12 KAIP",2,4,6,7,11,24,64,51,104,87,108,120,120,126,136,165,93,67,38,29,24,13,13,4
140,kt50_Järvenperä,2020/06/02,1,"13 Linja-autot",,,,,1,4,3,2,,1,1,1,1,1,3,3,1,,1,,,1,,
140,kt50_Järvenperä,2020/06/02,1,"14 KAPP",2,1,2,7,10,7,31,41,48,71,69,60,49,33,42,56,42,30,19,14,14,27,22,4
140,kt50_Järvenperä,2020/06/02,1,"15 KATP",13,12,15,15,15,13,30,34,59,69,79,51,56,51,54,52,57,48,37,26,18,30,21,27
140,kt50_Järvenperä,2020/06/02,1,"16 HA + PK",1,1,,,1,2,16,21,21,22,26,19,27,30,29,23,30,25,18,24,14,12,2,7
