"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1426,vt5_Suomu,2020/06/01,1,"11 HA-PA",,,,1,1,7,5,8,9,17,11,6,12,8,9,16,17,7,12,6,4,4,2,3
1426,vt5_Suomu,2020/06/01,1,"12 KAIP",,,,1,,,,,,,,1,,,,,,,,,,1,,
1426,vt5_Suomu,2020/06/01,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/01,1,"15 KATP",,,,,,,1,3,1,1,3,,3,1,1,,,,,,,,,1
1426,vt5_Suomu,2020/06/01,1,"16 HA + PK",,,,,,1,,,,4,,2,,1,1,3,1,3,1,2,4,,,
1426,vt5_Suomu,2020/06/01,1,"17 HA + AV",,,,,,1,,,,,,2,1,,,,,,,,,,1,
1426,vt5_Suomu,2020/06/01,2,"11 HA-PA",,,,,1,3,4,8,9,9,6,10,11,7,12,16,13,11,9,2,,8,1,1
1426,vt5_Suomu,2020/06/01,2,"12 KAIP",,,,,,,,,2,1,,,,,1,,,1,,,,,,
1426,vt5_Suomu,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1426,vt5_Suomu,2020/06/01,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/01,2,"15 KATP",,,,,,2,,1,1,4,3,1,1,,3,,,2,1,,1,,,
1426,vt5_Suomu,2020/06/01,2,"16 HA + PK",,,,,,,,1,1,2,1,5,3,,1,1,1,1,2,2,1,,,
1426,vt5_Suomu,2020/06/01,2,"17 HA + AV",,,,,,,,,,,1,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/06/02,1,"11 HA-PA",1,1,1,3,,1,7,5,9,4,5,12,13,9,16,10,15,5,10,6,5,7,4,2
1426,vt5_Suomu,2020/06/02,1,"12 KAIP",,,,,,,,,1,,,,,,,,1,3,,,,1,,
1426,vt5_Suomu,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/06/02,1,"15 KATP",,,,,,1,,3,1,2,,3,,1,,,3,,,1,1,,,
1426,vt5_Suomu,2020/06/02,1,"16 HA + PK",,,,,,,,1,2,,,,2,2,2,1,,3,,,2,,,
1426,vt5_Suomu,2020/06/02,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/02,2,"11 HA-PA",,,,1,,4,2,1,11,9,8,9,11,8,10,17,10,10,9,5,5,3,4,2
1426,vt5_Suomu,2020/06/02,2,"12 KAIP",,,,,,,,,,,1,,1,1,,,,2,,,,,,
1426,vt5_Suomu,2020/06/02,2,"14 KAPP",,,,,,1,,,,,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/06/02,2,"15 KATP",,,,,,1,1,2,2,1,1,2,1,5,1,2,,2,,1,,,1,
1426,vt5_Suomu,2020/06/02,2,"16 HA + PK",,,,,1,,,,,,,2,2,1,,,,1,,,,3,,
1426,vt5_Suomu,2020/06/02,2,"17 HA + AV",,,,,,,,1,,,,,1,,,,,,,1,,,,
1426,vt5_Suomu,2020/06/03,1,"11 HA-PA",2,2,,1,,5,6,4,6,16,10,8,11,10,4,9,12,15,11,5,4,6,4,2
1426,vt5_Suomu,2020/06/03,1,"12 KAIP",,,,,1,,1,,1,,,,,1,,,,,1,,,,,1
1426,vt5_Suomu,2020/06/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1426,vt5_Suomu,2020/06/03,1,"15 KATP",,1,1,,1,1,,,1,1,1,3,1,1,,1,1,1,1,1,1,1,,
1426,vt5_Suomu,2020/06/03,1,"16 HA + PK",,,1,,,,1,,,3,2,2,,,,1,,,1,1,2,,,
1426,vt5_Suomu,2020/06/03,1,"17 HA + AV",,,,,,,,,1,,,,,,,1,,1,,,,,,
1426,vt5_Suomu,2020/06/03,2,"11 HA-PA",1,,1,,2,2,2,6,3,6,10,7,4,13,13,19,15,10,10,8,2,4,4,1
1426,vt5_Suomu,2020/06/03,2,"12 KAIP",,,,,,,,1,1,,1,1,2,,,2,3,,,,,,,
1426,vt5_Suomu,2020/06/03,2,"14 KAPP",,,,,,,,,,,,,,,2,,,,,,,,,
1426,vt5_Suomu,2020/06/03,2,"15 KATP",2,1,,,,1,1,3,,2,2,1,,,1,3,2,1,2,1,,1,,1
1426,vt5_Suomu,2020/06/03,2,"16 HA + PK",,,,,,2,1,1,1,,,,2,,1,,1,1,,1,,,,
1426,vt5_Suomu,2020/06/03,2,"17 HA + AV",,,,,,,,,,,,,,1,1,,,,,,,,,
1426,vt5_Suomu,2020/06/04,1,"11 HA-PA",,,,,2,1,5,3,7,6,7,8,12,13,16,7,16,11,10,9,9,2,,2
1426,vt5_Suomu,2020/06/04,1,"12 KAIP",,,,,,,,,,,1,,1,,1,1,2,1,,,1,,,
1426,vt5_Suomu,2020/06/04,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/04,1,"15 KATP",,,,,1,,,,1,1,,3,,1,1,1,1,2,,,2,,,
1426,vt5_Suomu,2020/06/04,1,"16 HA + PK",,,,,,,,,2,3,,,,5,2,1,2,,,2,2,1,1,1
1426,vt5_Suomu,2020/06/04,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,1,,,,,,
1426,vt5_Suomu,2020/06/04,2,"11 HA-PA",,,,,1,4,5,4,11,13,6,8,14,13,13,13,12,13,11,9,9,4,,
1426,vt5_Suomu,2020/06/04,2,"12 KAIP",,,,,,,,,1,,,,,,1,,,,,1,,,,
1426,vt5_Suomu,2020/06/04,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/04,2,"15 KATP",,1,1,,,,1,,,1,1,2,2,1,3,2,4,4,,2,1,,1,1
1426,vt5_Suomu,2020/06/04,2,"16 HA + PK",,,,,,,,1,,2,2,4,2,,,1,1,,2,1,1,1,1,
1426,vt5_Suomu,2020/06/04,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,,
1426,vt5_Suomu,2020/06/05,1,"11 HA-PA",,1,,1,,3,8,1,9,12,6,7,18,11,11,18,8,18,6,8,2,7,,2
1426,vt5_Suomu,2020/06/05,1,"12 KAIP",,,,,1,1,,,,1,,1,,,,1,,1,,,,,,
1426,vt5_Suomu,2020/06/05,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1426,vt5_Suomu,2020/06/05,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/05,1,"15 KATP",,1,,,1,2,1,1,2,2,2,,4,,1,,,,,,,,,
1426,vt5_Suomu,2020/06/05,1,"16 HA + PK",2,,,,,1,,,1,3,1,,2,3,5,5,1,2,1,1,1,1,,
1426,vt5_Suomu,2020/06/05,1,"17 HA + AV",,,,,,,,,,,,2,1,,,,2,,,,,,,
1426,vt5_Suomu,2020/06/05,2,"11 HA-PA",3,2,,,,,6,3,10,10,11,13,16,19,13,23,22,21,13,12,9,5,4,1
1426,vt5_Suomu,2020/06/05,2,"12 KAIP",,,,,,,,,1,1,,,1,,2,,1,,,,,,,
1426,vt5_Suomu,2020/06/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,1,1,,
1426,vt5_Suomu,2020/06/05,2,"14 KAPP",,,,,,,,,1,,1,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/05,2,"15 KATP",,,1,,,1,,,2,,2,2,2,,4,1,,,,,1,,,
1426,vt5_Suomu,2020/06/05,2,"16 HA + PK",,,,,,,,,,1,,4,3,1,3,1,,2,2,1,,,,
1426,vt5_Suomu,2020/06/05,2,"17 HA + AV",,,,,,,,1,1,,1,,,1,,,,,1,1,,,,
1426,vt5_Suomu,2020/06/06,1,"11 HA-PA",,,,,,1,4,3,7,7,13,10,24,14,11,20,13,11,4,8,5,7,2,1
1426,vt5_Suomu,2020/06/06,1,"12 KAIP",,,1,,,,,,,1,,,,1,,2,,,,,1,,,
1426,vt5_Suomu,2020/06/06,1,"13 Linja-autot",,,,,,,,,,1,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/06/06,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/06,1,"15 KATP",,,,,,,,,,,,,,,,1,,,,,,,,
1426,vt5_Suomu,2020/06/06,1,"16 HA + PK",,,,,,,,,1,2,1,3,1,2,3,1,2,3,3,,1,1,1,
1426,vt5_Suomu,2020/06/06,1,"17 HA + AV",,,,,,,,,,1,,,,,1,,,1,,1,,,,
1426,vt5_Suomu,2020/06/06,2,"11 HA-PA",,,,,,1,5,10,8,10,11,17,9,11,24,10,8,13,9,5,4,2,2,
1426,vt5_Suomu,2020/06/06,2,"12 KAIP",1,,,,,,,2,1,1,,,2,1,,1,1,,,,,,,
1426,vt5_Suomu,2020/06/06,2,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,,,,,,,
1426,vt5_Suomu,2020/06/06,2,"15 KATP",,,,,,,,1,,,1,1,1,,,,,1,,,,,,
1426,vt5_Suomu,2020/06/06,2,"16 HA + PK",,,,,,,,,1,1,3,4,2,2,,1,3,3,,,4,,2,
1426,vt5_Suomu,2020/06/06,2,"17 HA + AV",,,,,,,1,,1,,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/06/07,1,"11 HA-PA",,,,1,,,2,,,3,12,17,27,20,27,22,29,21,19,10,9,5,3,2
1426,vt5_Suomu,2020/06/07,1,"12 KAIP",1,,,,,1,,,,,,,1,,,1,,1,,,,,,
1426,vt5_Suomu,2020/06/07,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,1,,
1426,vt5_Suomu,2020/06/07,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,1,,,
