"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19
1430,kt82_Salla_Kelloselkä,2020/06/01,1,"11 HA-PA",2,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/06/01,1,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/01,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/01,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/01,2,"14 KAPP",,,1,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/02,1,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/02,1,"13 Linja-autot",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/02,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/02,2,"14 KAPP",,,1,1,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/06/03,1,"11 HA-PA",2,,,,,,,,,2
1430,kt82_Salla_Kelloselkä,2020/06/03,1,"14 KAPP",,1,1,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/03,2,"11 HA-PA",1,,,,,,,2,,1
1430,kt82_Salla_Kelloselkä,2020/06/03,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/06/04,1,"11 HA-PA",1,,,2,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/04,1,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/04,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/04,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/05,1,"11 HA-PA",1,1,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/05,1,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/06/05,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/05,2,"12 KAIP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/05,2,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/05,2,"14 KAPP",,,,1,2,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/06,1,"11 HA-PA",1,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/06,1,"13 Linja-autot",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/06/06,1,"14 KAPP",,,,2,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/07,1,"11 HA-PA",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/07,1,"14 KAPP",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/07,2,"13 Linja-autot",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/08,1,"11 HA-PA",1,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/08,1,"15 KATP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/08,2,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/08,2,"14 KAPP",,,,,1,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/09,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/09,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/09,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/09,2,"13 Linja-autot",,,1,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/06/10,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/06/10,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/10,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/11,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/06/12,1,"11 HA-PA",1,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/06/12,2,"11 HA-PA",,,,,,,,1,,1
1430,kt82_Salla_Kelloselkä,2020/06/12,2,"14 KAPP",,,,,,1,,,,
