"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1450,vt4_Revontuli,2020/06/01,1,"11 HA-PA",43,28,26,20,36,69,284,405,396,457,533,616,719,701,759,960,1076,743,592,435,342,213,136,70
1450,vt4_Revontuli,2020/06/01,1,"12 KAIP",,2,1,1,5,7,24,32,23,34,17,26,26,30,30,23,24,11,7,1,4,3,1,1
1450,vt4_Revontuli,2020/06/01,1,"13 Linja-autot",,,,,,,,,,1,,1,,1,2,1,,,,1,,,,
1450,vt4_Revontuli,2020/06/01,1,"14 KAPP",,,1,,1,2,1,4,4,2,2,2,5,2,4,5,4,4,1,1,,,,
1450,vt4_Revontuli,2020/06/01,1,"15 KATP",1,,2,4,13,14,13,17,18,13,20,7,11,10,10,7,11,8,7,8,3,3,1,5
1450,vt4_Revontuli,2020/06/01,1,"16 HA + PK",,1,1,,,2,10,24,38,39,44,52,53,46,59,74,73,49,16,16,15,6,3,1
1450,vt4_Revontuli,2020/06/01,1,"17 HA + AV",1,,,,,1,1,6,4,5,6,3,1,2,9,3,5,4,4,,1,,,
1450,vt4_Revontuli,2020/06/01,2,"11 HA-PA",34,40,28,15,59,186,603,737,630,613,641,710,708,689,692,780,755,615,527,432,294,232,131,67
1450,vt4_Revontuli,2020/06/01,2,"12 KAIP",,,,,2,5,14,23,31,33,30,14,39,43,41,30,24,17,13,5,7,6,1,1
1450,vt4_Revontuli,2020/06/01,2,"13 Linja-autot",,,,,,,,1,1,3,1,,2,2,3,2,2,,,,,,,
1450,vt4_Revontuli,2020/06/01,2,"14 KAPP",,1,,,1,1,2,1,1,1,,5,1,2,2,2,1,1,,3,,1,1,
1450,vt4_Revontuli,2020/06/01,2,"15 KATP",,1,1,,3,2,7,6,4,8,15,18,13,12,21,11,15,10,10,3,7,12,5,3
1450,vt4_Revontuli,2020/06/01,2,"16 HA + PK",,1,,1,1,1,31,42,33,55,58,51,51,44,53,62,60,29,21,8,5,2,2,2
1450,vt4_Revontuli,2020/06/01,2,"17 HA + AV",,,,,,,4,6,7,9,3,4,3,6,2,6,8,1,,3,,,1,
1450,vt4_Revontuli,2020/06/02,1,"11 HA-PA",38,36,18,22,29,47,254,363,378,423,519,633,663,624,706,1010,1034,722,601,452,335,212,120,56
1450,vt4_Revontuli,2020/06/02,1,"12 KAIP",,,,1,3,8,23,34,26,26,28,33,34,36,27,24,14,7,11,3,1,7,2,
1450,vt4_Revontuli,2020/06/02,1,"13 Linja-autot",,,,,,,,1,1,3,,1,,,,3,,1,,,,,,
1450,vt4_Revontuli,2020/06/02,1,"14 KAPP",,,,,,,2,1,6,4,3,1,,1,1,1,,1,1,1,2,1,1,
1450,vt4_Revontuli,2020/06/02,1,"15 KATP",,2,5,6,20,8,13,13,22,18,5,17,13,12,6,10,12,6,10,5,7,7,5,1
1450,vt4_Revontuli,2020/06/02,1,"16 HA + PK",1,,,1,,2,4,20,20,30,39,42,31,46,49,57,55,39,25,11,8,5,4,3
1450,vt4_Revontuli,2020/06/02,1,"17 HA + AV",,,,,,2,3,4,4,3,1,4,2,3,,4,4,3,1,,1,,1,
1450,vt4_Revontuli,2020/06/02,2,"11 HA-PA",33,26,11,18,49,168,562,672,582,600,607,679,628,661,685,774,713,637,500,419,299,189,125,37
1450,vt4_Revontuli,2020/06/02,2,"12 KAIP",,,1,,5,5,10,17,26,24,30,26,35,43,33,39,25,18,10,9,6,6,5,5
1450,vt4_Revontuli,2020/06/02,2,"13 Linja-autot",,,,,1,,,3,1,2,1,1,,2,1,1,1,,,,,,1,
1450,vt4_Revontuli,2020/06/02,2,"14 KAPP",1,,,,1,,1,2,1,1,3,2,2,3,2,4,5,3,3,1,,1,2,
1450,vt4_Revontuli,2020/06/02,2,"15 KATP",5,3,2,2,4,1,4,12,16,11,13,13,12,6,11,18,14,7,10,13,6,5,6,6
1450,vt4_Revontuli,2020/06/02,2,"16 HA + PK",,,,,2,3,19,26,37,37,35,48,42,43,45,41,56,32,19,8,10,5,4,1
1450,vt4_Revontuli,2020/06/02,2,"17 HA + AV",,,,,,,3,7,1,6,6,6,1,2,4,3,3,3,3,1,3,1,,1
1450,vt4_Revontuli,2020/06/03,1,"11 HA-PA",47,26,23,15,18,46,246,339,406,426,531,627,703,700,697,963,1044,754,693,479,387,205,117,65
1450,vt4_Revontuli,2020/06/03,1,"12 KAIP",,1,,3,3,7,24,32,28,24,22,21,26,23,25,22,20,12,12,4,6,4,1,2
1450,vt4_Revontuli,2020/06/03,1,"13 Linja-autot",,,,,,,,,,2,,1,1,1,,,,1,,,,,,1
1450,vt4_Revontuli,2020/06/03,1,"14 KAPP",,,1,,1,,1,2,7,1,3,4,4,,2,3,2,1,2,3,1,,1,1
1450,vt4_Revontuli,2020/06/03,1,"15 KATP",3,3,8,4,15,13,22,20,19,15,7,14,11,9,14,15,16,9,4,5,4,2,4,5
1450,vt4_Revontuli,2020/06/03,1,"16 HA + PK",1,2,1,,,4,4,27,24,20,44,48,42,32,63,44,63,59,27,25,3,4,3,1
1450,vt4_Revontuli,2020/06/03,1,"17 HA + AV",,,,,,,,3,2,,1,3,2,5,2,4,5,1,,1,,1,,1
1450,vt4_Revontuli,2020/06/03,2,"11 HA-PA",45,35,24,18,51,161,568,779,613,615,709,699,722,682,691,805,784,622,513,406,291,203,106,60
1450,vt4_Revontuli,2020/06/03,2,"12 KAIP",1,1,2,,5,2,14,25,27,27,33,27,31,28,29,23,24,19,15,9,7,6,3,2
1450,vt4_Revontuli,2020/06/03,2,"13 Linja-autot",,,,,,,,2,,1,3,1,,1,2,,1,,,,,,,
1450,vt4_Revontuli,2020/06/03,2,"14 KAPP",,,2,1,1,2,,4,3,,3,4,1,3,3,,5,1,2,,2,3,3,
1450,vt4_Revontuli,2020/06/03,2,"15 KATP",3,2,1,6,1,3,8,7,18,14,15,11,12,15,20,19,20,16,13,12,3,11,3,6
1450,vt4_Revontuli,2020/06/03,2,"16 HA + PK",,1,,1,,5,19,33,28,53,46,46,36,62,63,56,47,29,15,12,1,5,2,
1450,vt4_Revontuli,2020/06/03,2,"17 HA + AV",1,,1,,,,2,4,8,,3,1,3,5,4,7,3,4,4,5,2,1,1,1
1450,vt4_Revontuli,2020/06/04,1,"11 HA-PA",33,19,28,14,34,45,255,351,352,407,525,645,651,704,694,965,1029,772,633,524,342,221,118,84
1450,vt4_Revontuli,2020/06/04,1,"12 KAIP",2,1,1,3,2,4,27,40,28,34,28,30,30,27,25,16,16,12,7,4,5,7,2,
1450,vt4_Revontuli,2020/06/04,1,"13 Linja-autot",,,,,,,,2,,,1,2,,1,,,,,,,,1,,
1450,vt4_Revontuli,2020/06/04,1,"14 KAPP",1,1,,,1,3,2,1,3,3,3,2,2,1,3,3,2,1,,,1,1,1,
1450,vt4_Revontuli,2020/06/04,1,"15 KATP",2,4,5,5,13,11,17,29,14,15,18,11,16,20,10,7,9,6,7,7,1,4,2,2
1450,vt4_Revontuli,2020/06/04,1,"16 HA + PK",,2,,1,,3,8,19,30,35,38,54,40,49,50,58,49,49,35,26,13,8,6,2
1450,vt4_Revontuli,2020/06/04,1,"17 HA + AV",,,,,,,1,3,8,4,1,3,2,6,5,4,2,3,3,2,,,,1
1450,vt4_Revontuli,2020/06/04,2,"11 HA-PA",37,22,19,20,46,160,528,728,613,580,615,673,685,702,697,778,756,678,549,424,303,201,125,58
1450,vt4_Revontuli,2020/06/04,2,"12 KAIP",,,1,,2,3,17,24,30,30,25,26,33,34,30,35,21,8,11,11,4,5,6,1
1450,vt4_Revontuli,2020/06/04,2,"13 Linja-autot",,,,,1,,,1,1,1,,,,1,,1,,1,,,,,,
1450,vt4_Revontuli,2020/06/04,2,"14 KAPP",,1,1,1,,1,1,5,2,4,3,4,4,3,4,1,1,1,1,1,1,,1,
1450,vt4_Revontuli,2020/06/04,2,"15 KATP",5,,5,2,4,1,6,11,13,14,28,24,17,16,16,19,20,12,13,9,5,3,1,2
1450,vt4_Revontuli,2020/06/04,2,"16 HA + PK",,,,,,2,15,27,38,43,50,47,50,44,44,44,51,28,21,12,10,6,7,1
1450,vt4_Revontuli,2020/06/04,2,"17 HA + AV",,,,,1,,4,9,4,8,7,6,4,4,3,5,5,3,3,1,2,,1,
1450,vt4_Revontuli,2020/06/05,1,"11 HA-PA",49,36,35,17,22,65,236,375,389,430,516,708,736,780,949,1183,1048,795,682,482,348,214,157,91
1450,vt4_Revontuli,2020/06/05,1,"12 KAIP",,,3,4,4,7,29,32,33,32,35,26,29,21,31,14,10,9,2,4,1,5,1,
1450,vt4_Revontuli,2020/06/05,1,"13 Linja-autot",,,,,,,1,,1,1,1,2,1,,,,,2,,2,,,,
