"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1461,kt81_Vaarala,2020/06/01,1,"11 HA-PA",5,5,3,1,2,6,15,17,24,58,61,59,77,91,92,98,115,81,95,69,62,39,14,7
1461,kt81_Vaarala,2020/06/01,1,"12 KAIP",,,,,,2,,2,1,3,,1,2,,4,,1,,1,,,,,
1461,kt81_Vaarala,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1461,kt81_Vaarala,2020/06/01,1,"14 KAPP",,,,,,1,,1,,1,1,,,1,1,,,2,,,,,,
1461,kt81_Vaarala,2020/06/01,1,"15 KATP",,,,1,,1,3,,2,1,2,3,4,2,2,,4,,1,,2,,1,1
1461,kt81_Vaarala,2020/06/01,1,"16 HA + PK",,,,,1,,1,2,2,2,5,2,3,8,4,7,7,8,2,4,2,,,
1461,kt81_Vaarala,2020/06/01,1,"17 HA + AV",,,,,,,,,,,1,,,,2,1,,1,1,,1,,,
1461,kt81_Vaarala,2020/06/01,2,"11 HA-PA",10,5,6,,5,17,63,74,68,73,61,54,69,67,50,66,59,63,73,55,52,32,11,8
1461,kt81_Vaarala,2020/06/01,2,"12 KAIP",,,,,,,1,2,,1,4,,3,3,2,,2,1,,,1,,,
1461,kt81_Vaarala,2020/06/01,2,"14 KAPP",,,,,,,1,,1,,1,,1,1,,1,,,,,1,,,
1461,kt81_Vaarala,2020/06/01,2,"15 KATP",,,,,,1,,1,2,2,3,,2,3,,4,1,2,1,1,,1,2,1
1461,kt81_Vaarala,2020/06/01,2,"16 HA + PK",,,,,,1,2,3,5,3,3,3,2,6,7,8,2,5,3,5,1,1,,
1461,kt81_Vaarala,2020/06/01,2,"17 HA + AV",,,,,,,1,1,,1,,1,,,,,1,,,,,1,,
1461,kt81_Vaarala,2020/06/02,1,"11 HA-PA",4,7,,5,4,4,15,15,38,64,48,68,67,82,99,114,152,106,81,80,54,29,17,8
1461,kt81_Vaarala,2020/06/02,1,"12 KAIP",,,,,,,1,3,1,2,2,3,,1,1,3,3,,,,,,1,
1461,kt81_Vaarala,2020/06/02,1,"14 KAPP",,,,,,1,,1,,1,1,,1,,,,,,1,,,,,
1461,kt81_Vaarala,2020/06/02,1,"15 KATP",,,,,1,,2,2,5,3,4,5,2,3,2,4,3,3,,1,,,1,
