"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
156,kt51_Jorvas,2020/06/01,1,"11 HA-PA",46,29,23,10,25,87,396,544,590,518,640,624,616,686,844,1249,1409,1113,754,622,475,312,184,97
156,kt51_Jorvas,2020/06/01,1,"12 KAIP",4,,1,1,1,7,20,38,29,31,41,32,41,35,32,38,30,19,22,22,14,8,9,5
156,kt51_Jorvas,2020/06/01,1,"13 Linja-autot",,,,,,1,5,2,8,5,5,2,1,1,4,3,6,5,5,2,3,,,
156,kt51_Jorvas,2020/06/01,1,"14 KAPP",1,1,,3,2,6,7,11,6,13,9,9,9,10,9,8,7,9,7,6,3,2,1,1
156,kt51_Jorvas,2020/06/01,1,"15 KATP",3,5,2,4,4,8,9,24,19,19,29,27,21,18,24,18,22,26,19,12,11,4,5,4
156,kt51_Jorvas,2020/06/01,1,"16 HA + PK",1,1,,1,,2,14,26,21,26,24,22,26,25,43,35,32,22,23,10,8,6,3,4
156,kt51_Jorvas,2020/06/01,1,"17 HA + AV",,1,1,,1,2,6,2,5,6,7,8,7,6,2,8,2,3,,4,6,,,
156,kt51_Jorvas,2020/06/01,2,"11 HA-PA",51,29,14,15,53,249,941,1015,809,654,525,647,664,686,759,976,932,862,764,577,590,380,208,91
156,kt51_Jorvas,2020/06/01,2,"12 KAIP",1,1,,,2,11,38,26,37,36,26,39,27,34,39,26,21,22,17,10,14,6,4,1
156,kt51_Jorvas,2020/06/01,2,"13 Linja-autot",1,,,,,1,4,4,4,4,4,1,2,2,3,4,6,5,2,1,2,,3,
156,kt51_Jorvas,2020/06/01,2,"14 KAPP",1,4,2,1,2,4,14,14,19,27,16,20,21,9,15,6,6,4,6,3,1,3,1,2
156,kt51_Jorvas,2020/06/01,2,"15 KATP",7,4,2,4,4,13,27,20,20,37,22,25,27,31,25,18,20,18,13,21,9,11,10,3
156,kt51_Jorvas,2020/06/01,2,"16 HA + PK",1,1,,,2,6,15,23,24,28,29,17,15,24,26,26,24,29,21,17,12,8,6,
156,kt51_Jorvas,2020/06/01,2,"17 HA + AV",,,,,,2,2,3,7,3,4,3,4,5,4,5,10,2,1,1,,1,,2
156,kt51_Jorvas,2020/06/02,1,"11 HA-PA",43,27,16,17,21,90,404,581,570,540,553,628,653,650,788,1300,1322,1093,872,653,469,333,180,111
156,kt51_Jorvas,2020/06/02,1,"12 KAIP",1,,1,4,,5,16,26,31,38,36,39,31,27,33,36,43,28,23,22,16,13,3,3
156,kt51_Jorvas,2020/06/02,1,"13 Linja-autot",,,,,,1,3,3,5,5,3,1,4,4,1,1,4,1,5,,1,1,,
156,kt51_Jorvas,2020/06/02,1,"14 KAPP",2,2,,1,,2,5,9,10,12,16,1,8,16,7,8,8,,6,3,3,,3,1
156,kt51_Jorvas,2020/06/02,1,"15 KATP",5,5,5,5,6,5,8,22,18,21,26,19,25,19,21,23,13,6,12,12,11,4,6,2
156,kt51_Jorvas,2020/06/02,1,"16 HA + PK",3,,,,3,2,13,23,25,21,27,22,18,21,33,32,33,31,25,16,14,7,4,4
156,kt51_Jorvas,2020/06/02,1,"17 HA + AV",,2,,,,2,6,8,6,8,3,6,5,5,7,8,5,6,3,1,3,,,
156,kt51_Jorvas,2020/06/02,2,"11 HA-PA",46,22,9,17,47,256,944,976,751,572,541,567,620,621,690,907,979,856,710,686,535,418,272,127
156,kt51_Jorvas,2020/06/02,2,"12 KAIP",2,,2,1,4,9,34,27,28,28,31,30,33,29,32,28,24,26,20,10,9,13,6,2
156,kt51_Jorvas,2020/06/02,2,"13 Linja-autot",,,,,1,1,3,3,5,2,1,1,4,,4,3,5,4,3,,1,,,
156,kt51_Jorvas,2020/06/02,2,"14 KAPP",3,1,1,1,1,4,8,14,11,7,13,11,13,9,10,10,5,7,6,5,6,1,,1
