"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1,vt7_Rita,2020/06/01,1,"11 HA-PA",28,10,4,5,24,78,229,309,283,345,417,334,346,358,415,673,677,486,364,286,175,127,83,47
1,vt7_Rita,2020/06/01,1,"12 KAIP",2,1,1,4,1,8,11,8,19,19,10,19,9,11,18,18,13,18,14,9,8,4,3,
1,vt7_Rita,2020/06/01,1,"13 Linja-autot",,,,1,,,,1,,1,,1,2,3,3,,,1,1,,,1,1,
1,vt7_Rita,2020/06/01,1,"14 KAPP",3,,4,,3,5,5,12,25,31,39,47,24,34,27,28,18,19,10,18,11,6,9,2
1,vt7_Rita,2020/06/01,1,"15 KATP",12,5,3,2,8,9,27,31,38,44,35,37,40,44,34,36,29,22,20,19,21,10,13,13
1,vt7_Rita,2020/06/01,1,"16 HA + PK",,,,,,2,4,8,18,19,20,17,19,12,19,23,34,24,13,3,8,5,1,2
1,vt7_Rita,2020/06/01,1,"17 HA + AV",,,,,,1,1,3,1,1,1,1,4,7,1,6,2,2,2,1,,,,1
1,vt7_Rita,2020/06/01,2,"11 HA-PA",31,18,14,13,59,289,752,530,374,312,366,350,373,406,391,470,462,423,362,310,212,176,96,48
1,vt7_Rita,2020/06/01,2,"12 KAIP",,2,1,2,1,8,13,18,14,12,18,19,16,16,17,16,8,11,11,8,5,2,6,5
1,vt7_Rita,2020/06/01,2,"13 Linja-autot",,,,1,,4,2,,,1,1,4,1,2,1,1,,2,,,,,,
1,vt7_Rita,2020/06/01,2,"14 KAPP",2,,1,2,3,9,5,16,16,23,18,32,24,36,39,21,31,35,30,25,21,15,9,4
1,vt7_Rita,2020/06/01,2,"15 KATP",2,2,8,6,4,16,27,26,30,36,40,44,37,39,37,37,28,19,36,25,26,12,9,10
1,vt7_Rita,2020/06/01,2,"16 HA + PK",4,,2,1,2,3,8,10,16,14,25,15,22,18,13,20,24,19,13,14,9,3,6,3
1,vt7_Rita,2020/06/01,2,"17 HA + AV",,,,,,,3,3,2,4,1,3,1,1,1,1,3,3,2,1,,1,2,
1,vt7_Rita,2020/06/02,1,"11 HA-PA",32,17,7,9,10,50,187,278,300,333,381,382,380,326,419,647,663,491,343,279,184,122,95,55
1,vt7_Rita,2020/06/02,1,"12 KAIP",,,1,3,,5,12,19,8,14,14,19,13,16,19,16,14,16,10,6,5,3,11,2
1,vt7_Rita,2020/06/02,1,"13 Linja-autot",,,,,,,,1,1,1,1,1,1,1,1,,,2,,,1,,,
1,vt7_Rita,2020/06/02,1,"14 KAPP",2,1,4,3,,7,4,9,28,29,40,31,35,25,29,25,16,8,18,10,6,4,7,7
1,vt7_Rita,2020/06/02,1,"15 KATP",10,7,13,6,14,15,27,30,46,32,42,30,39,48,34,26,33,24,18,25,18,14,15,14
