"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
230,vt10_Lieto,2020/06/18,1,"11 HA-PA",36,21,14,10,18,70,189,267,296,324,377,480,515,602,740,845,797,604,440,388,307,207,107,85
230,vt10_Lieto,2020/06/18,1,"12 KAIP",2,1,1,2,,3,6,8,7,19,14,15,11,8,7,12,8,9,6,6,1,,,2
230,vt10_Lieto,2020/06/18,1,"13 Linja-autot",,,,,1,3,2,2,3,3,3,3,5,3,3,3,5,3,2,2,2,4,2,1
230,vt10_Lieto,2020/06/18,1,"14 KAPP",,1,,1,,2,3,3,3,5,7,2,2,4,3,2,2,4,,1,4,4,,
230,vt10_Lieto,2020/06/18,1,"15 KATP",2,3,,,1,3,5,12,11,6,15,9,12,11,9,8,4,6,12,7,8,2,2,
230,vt10_Lieto,2020/06/18,1,"16 HA + PK",,,,1,1,1,3,8,8,12,19,13,23,14,18,22,18,14,13,12,2,3,,2
230,vt10_Lieto,2020/06/18,1,"17 HA + AV",,,,,,,,1,1,4,2,2,2,3,4,2,1,2,1,,2,,,
230,vt10_Lieto,2020/06/18,2,"11 HA-PA",28,15,17,18,35,168,505,502,397,411,398,471,468,509,557,620,549,461,388,315,235,196,116,62
230,vt10_Lieto,2020/06/18,2,"12 KAIP",,2,1,3,3,7,9,10,6,12,6,9,11,16,4,6,7,1,5,2,1,1,1,1
230,vt10_Lieto,2020/06/18,2,"13 Linja-autot",,,,,1,3,5,4,4,5,3,5,3,4,2,3,3,3,4,2,3,2,2,2
230,vt10_Lieto,2020/06/18,2,"14 KAPP",,2,,1,,2,1,,1,1,6,5,4,5,5,9,7,3,5,3,2,2,,1
230,vt10_Lieto,2020/06/18,2,"15 KATP",3,1,9,5,2,4,5,7,10,11,4,11,8,4,11,5,6,8,8,4,6,5,1,2
230,vt10_Lieto,2020/06/18,2,"16 HA + PK",,,,1,2,3,9,6,19,19,14,13,14,23,12,15,22,25,8,11,6,4,2,
230,vt10_Lieto,2020/06/18,2,"17 HA + AV",1,,,,,,,,2,1,3,2,8,1,3,2,1,3,3,1,,1,,1
230,vt10_Lieto,2020/06/19,1,"11 HA-PA",62,33,31,14,18,15,47,71,116,278,316,442,425,361,380,288,231,189,176,177,135,108,109,99
230,vt10_Lieto,2020/06/19,1,"12 KAIP",2,,,,,1,1,2,2,3,3,1,,1,3,1,1,1,,1,2,,,
230,vt10_Lieto,2020/06/19,1,"13 Linja-autot",,,,,1,1,1,1,2,2,1,1,3,,3,2,,1,1,2,1,1,1,1
