"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"11 HA-PA",,,,,,5,50,12,14,27,24,25,29,25,24,23,20,12,14,7,8,6,1,
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"12 KAIP",1,,,,,1,2,2,,4,2,7,9,5,2,1,5,4,2,1,2,3,1,
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"14 KAPP",9,1,,,,1,,2,1,8,21,16,16,20,14,21,19,19,17,10,5,6,2,3
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"15 KATP",,,,,,1,,1,1,1,,,,,,1,2,,,,,,1,
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"16 HA + PK",,,,,,,,,2,1,,1,,,,1,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,1,"17 HA + AV",,,,,,,,,1,,,1,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"11 HA-PA",1,1,1,,1,2,21,7,6,6,14,7,23,29,29,53,28,20,27,6,7,6,9,3
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"12 KAIP",3,,,,,,,1,2,1,3,1,4,2,,2,,,,2,,2,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"13 Linja-autot",1,,,,,,,,,,1,,,,,,,1,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"14 KAPP",3,8,10,6,7,10,8,10,13,20,16,13,11,12,7,10,8,14,5,4,15,12,3,10
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"15 KATP",2,1,,,,1,,3,3,7,,,1,,1,1,2,1,,1,4,1,1,
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/01,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"11 HA-PA",,1,,,,5,39,13,9,24,25,33,29,22,21,26,31,16,16,7,3,6,3,
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"12 KAIP",,,,,,,1,1,1,3,1,2,4,,6,3,3,6,3,,2,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"14 KAPP",1,,2,,1,,,2,7,4,14,19,20,32,21,30,15,20,15,10,6,3,2,4
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"15 KATP",,,,,,,,,1,,,3,3,,2,2,1,,,1,,1,,1
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"16 HA + PK",,,,,,1,,,,,1,,,,1,1,,1,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,1,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"11 HA-PA",2,,,,,1,14,8,5,9,5,11,17,13,22,38,27,24,22,8,6,5,10,2
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"12 KAIP",,,,,,,,,,2,1,1,2,1,,1,,1,2,,1,,1,
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"13 Linja-autot",,,,1,,,,,,,,,,,,,,,,1,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"14 KAPP",,2,,3,2,7,5,2,10,10,9,5,4,8,8,7,9,4,4,5,2,1,5,2
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"15 KATP",,,,1,,,2,,,1,,1,3,,,1,,1,1,,,,,1
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"16 HA + PK",,,,,,,,,1,,,1,,,,,1,,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/02,2,"17 HA + AV",,,,,,,,,,1,,1,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,1,"11 HA-PA",1,,1,,,4,39,19,13,20,20,31,27,29,17,16,16,11,14,7,3,3,2,1
309,vt7_Virolahti_Vaalimaa,2020/06/03,1,"12 KAIP",,3,1,,,,1,1,,4,4,2,1,1,2,4,4,2,6,1,,2,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,1,"14 KAPP",2,2,,,,,,2,,16,5,16,10,21,17,16,20,18,7,4,5,3,3,2
309,vt7_Virolahti_Vaalimaa,2020/06/03,1,"15 KATP",,,,,,,,,1,3,,1,,,2,1,,1,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,1,"16 HA + PK",,,,,,,,,,,1,,2,1,1,2,,2,,2,1,,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"11 HA-PA",2,,,,1,2,12,5,4,3,7,19,29,21,21,42,33,19,21,3,7,4,11,3
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"12 KAIP",,,,,,1,,2,2,3,1,2,2,,,2,,1,1,,1,,,1
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"14 KAPP",2,4,3,3,5,6,8,5,16,8,7,9,8,7,10,6,5,5,5,3,1,,,2
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"15 KATP",,,,,,,,,2,,2,1,,,1,1,2,1,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"16 HA + PK",,,,,,,,,,,,,1,1,2,1,,,2,,1,,,
309,vt7_Virolahti_Vaalimaa,2020/06/03,2,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"11 HA-PA",5,1,,1,,6,39,12,18,14,25,34,21,30,26,11,24,18,18,5,3,7,2,
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"12 KAIP",,4,1,,,,1,1,1,4,2,1,4,2,4,2,4,1,4,,,,1,
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"14 KAPP",5,3,,1,1,,1,,1,11,10,9,18,19,24,12,14,21,15,9,5,6,2,6
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"15 KATP",,,,,,,,,2,,,,,1,1,1,,,1,2,,,1,
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"16 HA + PK",,,,,,,,,,1,,2,1,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,1,"17 HA + AV",,,,,,,,,,,,,,3,,,,,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"11 HA-PA",,,1,,,1,18,7,9,7,8,13,22,26,32,59,20,21,27,9,4,7,8,2
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"12 KAIP",,,1,,,,1,1,1,2,,1,,2,3,2,,,1,,,,1,1
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"14 KAPP",2,2,7,,2,9,5,4,13,5,11,10,6,4,15,9,9,6,8,6,5,5,5,6
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"15 KATP",,,,1,,,,,1,1,,,,,,1,1,,2,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"16 HA + PK",,,,,,,,,,1,2,,,1,,,1,,,,,1,,
309,vt7_Virolahti_Vaalimaa,2020/06/04,2,"17 HA + AV",,,,,,,,1,,1,,,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"11 HA-PA",1,,,1,1,3,31,11,15,16,36,37,31,38,24,34,45,13,20,10,9,9,1,
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"12 KAIP",4,1,,,,,1,,2,1,1,1,7,4,7,5,4,3,5,6,2,1,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"14 KAPP",1,5,,,1,,,2,1,14,12,17,28,20,23,27,26,21,12,11,7,5,4,5
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"15 KATP",1,,,,,,,,2,1,,,3,,2,1,,1,,1,1,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,1,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,1,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"11 HA-PA",,,,1,,1,15,4,4,10,15,27,30,29,44,46,43,36,23,7,1,5,10,1
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"12 KAIP",,1,,,,,1,1,3,1,1,,,1,,1,,,,,1,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"13 Linja-autot",,,,,,,,1,,,,1,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"14 KAPP",2,6,1,,4,5,3,10,18,8,6,8,5,10,5,3,2,7,6,6,9,3,2,4
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"15 KATP",,,,,,,,,1,1,2,,1,3,2,,,1,,,1,,,1
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"16 HA + PK",,,,,,,,,,,,,,,,1,,1,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/05,2,"17 HA + AV",,,,,,,,,,,,1,,,,1,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/06,1,"11 HA-PA",1,,,,,5,10,4,10,25,54,42,58,60,44,43,31,11,4,9,4,6,,2
309,vt7_Virolahti_Vaalimaa,2020/06/06,1,"12 KAIP",2,2,,,,,1,,1,1,2,3,,1,2,1,1,2,2,,,,1,
309,vt7_Virolahti_Vaalimaa,2020/06/06,1,"14 KAPP",13,7,,2,1,,2,3,4,6,14,12,3,1,3,2,,3,,,3,,,3
309,vt7_Virolahti_Vaalimaa,2020/06/06,1,"15 KATP",,,,,,,,,,1,,1,,,,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/06,1,"16 HA + PK",,,,,,,,,1,,,2,,2,1,,2,1,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/06,2,"11 HA-PA",,1,,,,1,10,4,4,3,9,24,43,45,51,44,43,33,27,7,4,5,8,3
309,vt7_Virolahti_Vaalimaa,2020/06/06,2,"12 KAIP",,,,,,,,,,,,,,,,,,2,,,2,,,
309,vt7_Virolahti_Vaalimaa,2020/06/06,2,"14 KAPP",,4,,1,,6,3,3,2,3,,1,2,1,3,4,1,4,5,11,11,3,2,6
309,vt7_Virolahti_Vaalimaa,2020/06/06,2,"15 KATP",,,1,,1,1,,1,,1,1,2,1,,1,,,1,,2,2,2,,
309,vt7_Virolahti_Vaalimaa,2020/06/06,2,"16 HA + PK",,,,,,,,,,,,3,2,,,,1,1,,,1,,,
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"11 HA-PA",,,,2,,8,10,1,1,17,22,43,40,41,17,30,23,16,12,8,3,8,2,1
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"12 KAIP",3,,,,,,1,,1,2,4,1,3,,,2,1,1,,1,,,,1
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"14 KAPP",5,2,,1,,,,,1,19,9,3,12,3,10,3,5,5,1,,,1,,11
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"15 KATP",,,,,,,,,,1,,,,,1,,,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"16 HA + PK",,,,,,,,,,1,,1,1,,,1,1,,,,,,,
309,vt7_Virolahti_Vaalimaa,2020/06/07,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
