"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
403,vt2_Humppila,2020/06/01,1,"11 HA-PA",6,4,2,2,12,21,36,40,63,70,83,77,81,67,80,78,84,94,46,56,46,21,15,11
403,vt2_Humppila,2020/06/01,1,"12 KAIP",1,,1,,1,2,5,4,8,9,5,5,3,1,5,2,4,3,5,1,,2,,2
403,vt2_Humppila,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,1,2,1,,,1,,,2,,1,,,
403,vt2_Humppila,2020/06/01,1,"14 KAPP",1,,,2,,2,5,6,7,4,9,4,10,5,10,7,9,12,3,4,3,2,2,2
403,vt2_Humppila,2020/06/01,1,"15 KATP",4,,1,2,6,6,5,5,5,10,12,19,14,11,15,16,17,19,12,6,11,8,6,4
403,vt2_Humppila,2020/06/01,1,"16 HA + PK",,,,,1,,1,2,5,6,4,3,2,12,4,8,5,9,2,4,1,3,1,
403,vt2_Humppila,2020/06/01,1,"17 HA + AV",,,,,,,1,,1,1,1,,1,1,,1,1,,1,1,,,,
403,vt2_Humppila,2020/06/01,2,"11 HA-PA",8,6,2,3,25,49,63,78,61,71,65,87,58,78,63,77,80,74,56,72,50,32,13,7
403,vt2_Humppila,2020/06/01,2,"12 KAIP",,,,1,2,3,3,4,3,2,3,2,8,2,4,3,2,9,2,2,1,2,1,
403,vt2_Humppila,2020/06/01,2,"13 Linja-autot",,,,,,,1,,2,,2,1,,1,1,,1,,,,,,,
403,vt2_Humppila,2020/06/01,2,"14 KAPP",,,,,1,,1,,4,9,6,11,8,5,17,14,12,8,8,2,1,1,2,3
403,vt2_Humppila,2020/06/01,2,"15 KATP",,1,,1,2,6,14,9,12,18,11,11,16,15,18,17,13,18,14,18,15,12,12,1
403,vt2_Humppila,2020/06/01,2,"16 HA + PK",2,,,,1,1,4,4,4,6,9,7,4,5,4,8,3,2,3,3,4,2,,1
403,vt2_Humppila,2020/06/01,2,"17 HA + AV",,,,,,,2,1,1,1,,1,,,1,,1,,,,,1,1,
403,vt2_Humppila,2020/06/02,1,"11 HA-PA",7,2,2,2,6,13,30,49,55,57,77,80,81,77,65,93,109,62,67,61,37,27,16,18
403,vt2_Humppila,2020/06/02,1,"12 KAIP",,,1,,,2,2,1,5,4,,8,2,4,4,4,2,3,2,1,2,2,2,1
403,vt2_Humppila,2020/06/02,1,"13 Linja-autot",,,,,,1,,2,1,1,1,1,1,,,1,2,,1,,1,,,
403,vt2_Humppila,2020/06/02,1,"14 KAPP",,2,2,,,3,5,8,3,5,7,12,5,1,3,6,4,7,2,5,5,2,2,1
403,vt2_Humppila,2020/06/02,1,"15 KATP",12,11,8,5,5,2,6,12,4,9,19,14,12,12,18,14,21,12,13,7,10,9,6,7
403,vt2_Humppila,2020/06/02,1,"16 HA + PK",,,1,,,,1,,4,2,2,3,3,1,4,5,6,3,3,6,4,4,,
403,vt2_Humppila,2020/06/02,1,"17 HA + AV",,,,,,,,,,,1,,,2,,,1,,,,,1,1,
403,vt2_Humppila,2020/06/02,2,"11 HA-PA",3,4,3,1,8,22,52,50,49,42,57,60,60,73,73,95,78,85,64,47,29,25,17,5
403,vt2_Humppila,2020/06/02,2,"12 KAIP",,,1,,1,,3,4,8,4,4,5,2,1,7,5,4,5,3,2,1,1,2,
403,vt2_Humppila,2020/06/02,2,"13 Linja-autot",,,,2,,,,,1,,,1,,,1,1,,1,,,,1,,1
403,vt2_Humppila,2020/06/02,2,"14 KAPP",,,,1,,1,2,,4,7,16,12,9,7,11,6,11,7,9,7,7,2,,1
403,vt2_Humppila,2020/06/02,2,"15 KATP",3,2,4,4,3,6,9,6,11,17,18,15,11,15,15,15,16,15,11,15,17,11,3,
403,vt2_Humppila,2020/06/02,2,"16 HA + PK",,,,,1,2,,2,4,1,,1,3,2,1,5,3,9,1,4,2,2,3,
403,vt2_Humppila,2020/06/02,2,"17 HA + AV",,,,,,,,2,2,,,,,1,,,,1,1,,,1,,
403,vt2_Humppila,2020/06/03,1,"11 HA-PA",5,2,3,2,6,8,35,45,49,59,69,73,79,75,76,81,98,97,80,62,57,36,23,10
403,vt2_Humppila,2020/06/03,1,"12 KAIP",1,,,1,1,1,1,1,2,2,4,4,3,3,2,1,5,1,1,3,1,2,1,1
403,vt2_Humppila,2020/06/03,1,"13 Linja-autot",,,,,,,,,,,1,2,1,,,2,,1,1,,1,1,,
403,vt2_Humppila,2020/06/03,1,"14 KAPP",2,,,,2,,6,4,9,7,9,5,2,5,7,6,9,13,3,3,1,3,2,1
403,vt2_Humppila,2020/06/03,1,"15 KATP",8,9,6,7,3,8,6,6,7,15,13,16,9,7,18,17,12,14,11,9,8,13,7,9
403,vt2_Humppila,2020/06/03,1,"16 HA + PK",1,,,,,1,,2,1,1,3,5,5,2,5,5,9,8,8,6,5,6,,
403,vt2_Humppila,2020/06/03,1,"17 HA + AV",,,,1,,,1,,,,1,,2,,2,,,1,2,2,,2,,
403,vt2_Humppila,2020/06/03,2,"11 HA-PA",4,3,3,3,12,12,42,52,54,81,55,60,74,92,95,107,106,90,83,53,39,39,17,10
403,vt2_Humppila,2020/06/03,2,"12 KAIP",,1,,,,1,1,4,5,2,3,6,4,4,1,5,2,2,,1,1,1,,
403,vt2_Humppila,2020/06/03,2,"13 Linja-autot",,,,2,,,,,2,,1,1,,1,1,,1,2,,,,,,
403,vt2_Humppila,2020/06/03,2,"14 KAPP",1,,,,1,2,,6,6,9,12,15,10,10,13,10,5,5,5,2,4,2,1,2
403,vt2_Humppila,2020/06/03,2,"15 KATP",4,3,3,7,8,8,7,4,9,13,15,15,13,17,20,11,11,16,15,19,16,8,3,2
403,vt2_Humppila,2020/06/03,2,"16 HA + PK",,,,1,,2,,4,3,3,7,6,6,1,4,9,6,6,6,3,4,2,1,2
403,vt2_Humppila,2020/06/03,2,"17 HA + AV",,1,,,,,1,,1,,1,,1,1,1,,2,5,,,1,1,,
403,vt2_Humppila,2020/06/04,1,"11 HA-PA",7,6,2,3,5,12,29,31,57,47,75,82,90,99,111,130,132,121,116,76,65,37,17,11
403,vt2_Humppila,2020/06/04,1,"12 KAIP",1,,,,1,3,3,2,5,5,1,3,5,2,5,4,3,2,5,2,2,3,1,
403,vt2_Humppila,2020/06/04,1,"13 Linja-autot",,,,,,1,,,,,,,1,,1,1,,1,2,1,1,,,
403,vt2_Humppila,2020/06/04,1,"14 KAPP",2,,,,,,4,4,3,6,10,10,2,8,11,6,11,9,8,7,3,1,2,
403,vt2_Humppila,2020/06/04,1,"15 KATP",9,6,5,5,7,5,10,9,3,17,11,9,13,15,19,20,13,14,10,15,12,5,11,9
403,vt2_Humppila,2020/06/04,1,"16 HA + PK",1,1,,,,,,,3,3,5,7,4,7,8,8,10,9,5,4,3,2,1,
403,vt2_Humppila,2020/06/04,1,"17 HA + AV",,,,,,1,,,,3,,,1,,,,,2,2,1,2,,,
403,vt2_Humppila,2020/06/04,2,"11 HA-PA",6,5,5,2,11,20,35,57,37,48,74,63,65,116,72,143,121,95,65,50,46,32,25,9
403,vt2_Humppila,2020/06/04,2,"12 KAIP",1,,,,1,4,2,4,3,9,1,4,7,4,2,3,6,4,2,2,,3,1,1
403,vt2_Humppila,2020/06/04,2,"13 Linja-autot",,,,,,,,,2,,,1,1,2,1,1,1,3,,,,,,
403,vt2_Humppila,2020/06/04,2,"14 KAPP",,,,,1,2,4,4,4,6,10,12,8,13,8,8,10,14,7,5,9,1,,3
403,vt2_Humppila,2020/06/04,2,"15 KATP",4,8,6,7,5,8,8,8,9,16,21,11,13,14,15,11,15,17,10,15,9,11,8,5
403,vt2_Humppila,2020/06/04,2,"16 HA + PK",,,,,1,1,,1,1,2,1,6,5,6,11,1,4,3,2,3,4,1,1,
403,vt2_Humppila,2020/06/04,2,"17 HA + AV",,,,,1,,2,2,1,,1,1,,1,,4,2,,,,1,,1,
403,vt2_Humppila,2020/06/05,1,"11 HA-PA",3,5,4,3,6,5,27,29,45,58,65,92,114,110,136,191,219,236,224,154,91,40,23,24
403,vt2_Humppila,2020/06/05,1,"12 KAIP",1,1,1,,1,1,,2,2,3,3,6,5,2,6,8,5,3,1,1,2,1,1,
403,vt2_Humppila,2020/06/05,1,"13 Linja-autot",,,,,,1,,,,,,,,2,,3,,2,1,,1,,,
403,vt2_Humppila,2020/06/05,1,"14 KAPP",,1,1,,,,4,6,4,6,4,5,9,7,6,3,2,2,1,,3,2,2,1
403,vt2_Humppila,2020/06/05,1,"15 KATP",12,8,6,2,6,7,11,8,7,9,13,8,15,18,11,11,12,8,16,8,10,3,8,7
403,vt2_Humppila,2020/06/05,1,"16 HA + PK",,,,,,1,2,2,2,3,5,3,8,9,7,11,7,10,18,6,8,4,1,
403,vt2_Humppila,2020/06/05,1,"17 HA + AV",,,,,1,1,1,1,1,1,2,1,1,,4,3,4,3,4,3,,1,1,
403,vt2_Humppila,2020/06/05,2,"11 HA-PA",4,5,2,3,8,18,35,39,59,64,79,100,109,107,107,132,126,133,96,68,55,23,32,14
403,vt2_Humppila,2020/06/05,2,"12 KAIP",,,,,1,1,3,2,7,3,5,3,4,5,4,7,5,2,1,5,1,3,,1
403,vt2_Humppila,2020/06/05,2,"13 Linja-autot",,,,,,,,,1,1,,1,1,1,1,1,1,1,1,,,,,
403,vt2_Humppila,2020/06/05,2,"14 KAPP",,,,,1,2,3,2,3,12,11,7,9,9,10,11,11,7,8,10,3,2,1,
403,vt2_Humppila,2020/06/05,2,"15 KATP",5,1,5,4,2,6,11,6,8,18,10,7,14,15,10,14,16,9,9,11,6,8,4,4
403,vt2_Humppila,2020/06/05,2,"16 HA + PK",,,,,,,1,2,4,6,5,5,1,5,7,5,4,3,4,5,2,1,4,1
403,vt2_Humppila,2020/06/05,2,"17 HA + AV",,,,,1,1,3,2,1,2,2,1,1,,2,2,3,4,2,,1,1,1,
403,vt2_Humppila,2020/06/06,1,"11 HA-PA",10,5,,2,2,3,11,14,48,71,105,149,139,132,104,109,98,115,87,71,47,25,17,12
403,vt2_Humppila,2020/06/06,1,"12 KAIP",1,,,,1,,,,1,,3,1,2,5,2,,1,,3,1,1,,,
403,vt2_Humppila,2020/06/06,1,"13 Linja-autot",,,,,,,,,,,,1,,,,1,,,1,,1,,,
403,vt2_Humppila,2020/06/06,1,"14 KAPP",1,,,,,,,,2,1,,1,2,5,2,1,1,,,,,1,,
403,vt2_Humppila,2020/06/06,1,"15 KATP",8,7,7,1,2,1,1,1,3,3,3,3,3,4,3,3,1,,1,2,2,1,1,2
403,vt2_Humppila,2020/06/06,1,"16 HA + PK",,,,,,,2,2,1,3,9,7,4,5,3,7,5,6,3,4,2,2,,
403,vt2_Humppila,2020/06/06,1,"17 HA + AV",,1,,,,,1,,1,,2,,1,,3,,2,3,1,,,,,
403,vt2_Humppila,2020/06/06,2,"11 HA-PA",4,4,4,5,7,9,10,30,40,93,107,96,91,115,94,88,97,89,78,68,49,36,20,7
403,vt2_Humppila,2020/06/06,2,"12 KAIP",,,,1,1,,3,,,1,,4,2,2,,1,,3,1,,,1,2,
403,vt2_Humppila,2020/06/06,2,"13 Linja-autot",,,,,,,,,1,,,2,,,1,1,,,,,,,,
403,vt2_Humppila,2020/06/06,2,"14 KAPP",,,1,,2,,1,3,,1,2,2,2,1,,,,2,1,1,,1,,
403,vt2_Humppila,2020/06/06,2,"15 KATP",6,2,3,3,,3,3,4,4,3,2,4,,,4,1,2,2,2,1,,2,1,
403,vt2_Humppila,2020/06/06,2,"16 HA + PK",,,1,,,1,,2,3,5,1,6,6,3,6,6,6,4,2,5,,1,1,2
403,vt2_Humppila,2020/06/06,2,"17 HA + AV",1,,,,,,2,2,,1,3,1,1,2,3,,,,1,,,2,,
403,vt2_Humppila,2020/06/07,1,"11 HA-PA",12,3,4,2,1,1,7,11,26,38,67,104,83,104,103,110,130,119,122,109,75,53,25,12
403,vt2_Humppila,2020/06/07,1,"12 KAIP",1,,,,1,,,,1,,2,,1,,2,4,2,3,1,1,1,,1,1
403,vt2_Humppila,2020/06/07,1,"13 Linja-autot",,,,,,,,,,1,,,1,,1,1,,,2,,1,1,2,
403,vt2_Humppila,2020/06/07,1,"14 KAPP",,,,,,,,,,,,3,1,1,1,2,2,3,5,3,4,1,,1
403,vt2_Humppila,2020/06/07,1,"15 KATP",,,,,,,,,1,,,3,3,2,3,1,3,6,4,3,3,8,2,
403,vt2_Humppila,2020/06/07,1,"16 HA + PK",1,,1,,,1,,1,3,3,2,8,7,3,4,8,2,2,3,5,6,1,3,
