"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
435,vt9_Tre_Karkuvuori,2020/06/01,1,"11 HA-PA",111,63,38,45,109,395,1119,1476,1347,1041,1058,1212,1279,1375,1707,2562,2584,1854,1428,1176,961,576,411,194
435,vt9_Tre_Karkuvuori,2020/06/01,1,"12 KAIP",9,5,1,5,10,32,58,95,104,95,66,76,81,106,81,90,53,41,23,18,18,12,3,7
435,vt9_Tre_Karkuvuori,2020/06/01,1,"13 Linja-autot",,,,,,2,,1,2,2,,1,1,2,,2,1,1,1,2,,,,
435,vt9_Tre_Karkuvuori,2020/06/01,1,"14 KAPP",4,2,4,,4,3,6,15,18,22,34,17,25,27,21,9,10,14,4,8,9,1,6,6
435,vt9_Tre_Karkuvuori,2020/06/01,1,"15 KATP",4,4,2,5,4,17,20,36,36,48,35,44,49,41,39,30,43,37,31,17,29,37,21,20
435,vt9_Tre_Karkuvuori,2020/06/01,1,"16 HA + PK",2,2,,1,,3,13,37,29,39,38,39,39,42,45,47,50,51,37,27,15,12,4,2
435,vt9_Tre_Karkuvuori,2020/06/01,1,"17 HA + AV",3,,,,,,4,8,3,6,9,4,5,5,8,7,8,3,5,1,2,2,3,3
435,vt9_Tre_Karkuvuori,2020/06/01,2,"11 HA-PA",102,75,45,43,139,565,1666,2108,1474,1153,1133,1261,1223,1323,1622,2260,2044,1601,1253,1037,829,542,348,160
435,vt9_Tre_Karkuvuori,2020/06/01,2,"12 KAIP",2,6,3,4,7,20,75,90,90,68,82,82,108,89,85,72,54,36,30,23,20,16,15,4
435,vt9_Tre_Karkuvuori,2020/06/01,2,"13 Linja-autot",,,,,,,1,,,,1,1,1,,2,1,,,2,2,1,1,,
435,vt9_Tre_Karkuvuori,2020/06/01,2,"14 KAPP",2,,1,5,3,2,4,8,18,12,16,15,23,33,16,27,16,11,16,4,6,5,7,10
435,vt9_Tre_Karkuvuori,2020/06/01,2,"15 KATP",4,10,4,8,6,13,31,28,32,45,31,32,41,41,33,52,32,33,22,24,24,19,14,18
435,vt9_Tre_Karkuvuori,2020/06/01,2,"16 HA + PK",2,,1,4,1,6,26,37,26,32,43,33,53,42,44,45,48,47,37,31,15,9,1,
435,vt9_Tre_Karkuvuori,2020/06/01,2,"17 HA + AV",,1,,,,,7,3,9,4,8,9,8,11,5,8,5,4,3,,1,,1,4
435,vt9_Tre_Karkuvuori,2020/06/02,1,"11 HA-PA",140,80,74,60,95,356,1127,1455,1248,995,1000,1101,1181,1345,1636,2499,2649,1775,1534,1236,917,656,400,221
435,vt9_Tre_Karkuvuori,2020/06/02,1,"12 KAIP",8,3,5,5,12,25,52,85,79,89,87,70,89,82,87,68,52,51,31,27,22,4,6,8
435,vt9_Tre_Karkuvuori,2020/06/02,1,"13 Linja-autot",1,,,,,1,,2,1,1,3,4,3,3,1,,1,,2,,,1,,
435,vt9_Tre_Karkuvuori,2020/06/02,1,"14 KAPP",11,12,10,5,7,4,16,14,18,31,26,32,17,21,17,18,16,16,19,8,9,5,14,12
435,vt9_Tre_Karkuvuori,2020/06/02,1,"15 KATP",8,13,13,4,7,15,25,48,26,42,42,37,30,35,41,38,31,45,30,21,31,33,18,19
435,vt9_Tre_Karkuvuori,2020/06/02,1,"16 HA + PK",1,1,,,,1,12,16,33,27,45,25,40,34,34,59,43,50,46,30,18,11,8,8
435,vt9_Tre_Karkuvuori,2020/06/02,1,"17 HA + AV",6,4,2,2,2,2,1,6,4,2,5,6,5,1,6,8,8,6,3,2,2,2,4,3
435,vt9_Tre_Karkuvuori,2020/06/02,2,"11 HA-PA",125,70,66,59,129,527,1617,1977,1387,1089,1000,1165,1235,1254,1507,2224,2013,1645,1250,1039,828,575,379,171
435,vt9_Tre_Karkuvuori,2020/06/02,2,"12 KAIP",3,6,8,7,4,23,76,74,69,86,76,68,94,89,89,71,50,51,25,20,22,14,10,13
435,vt9_Tre_Karkuvuori,2020/06/02,2,"13 Linja-autot",,,,,1,,,1,,2,2,1,4,3,2,3,2,,,2,,2,,
435,vt9_Tre_Karkuvuori,2020/06/02,2,"14 KAPP",5,13,7,4,9,5,10,16,18,23,17,26,29,27,27,22,16,14,16,13,12,8,7,7
435,vt9_Tre_Karkuvuori,2020/06/02,2,"15 KATP",19,12,19,8,17,20,34,30,43,45,39,33,36,40,34,45,30,33,41,30,25,17,17,18
435,vt9_Tre_Karkuvuori,2020/06/02,2,"16 HA + PK",2,1,,,2,2,10,28,32,32,31,32,30,48,38,38,48,47,33,40,24,15,3,2
435,vt9_Tre_Karkuvuori,2020/06/02,2,"17 HA + AV",3,5,6,3,3,3,1,4,7,10,5,7,5,2,5,10,9,5,2,9,4,5,,2
435,vt9_Tre_Karkuvuori,2020/06/03,1,"11 HA-PA",131,81,54,43,101,337,1138,1440,1261,1060,962,1188,1322,1386,1724,2568,2687,1836,1501,1272,990,656,413,232
435,vt9_Tre_Karkuvuori,2020/06/03,1,"12 KAIP",11,11,3,10,18,29,53,85,96,87,82,72,75,87,78,76,65,41,32,26,17,9,6,13
435,vt9_Tre_Karkuvuori,2020/06/03,1,"13 Linja-autot",,,1,,,1,2,1,1,2,,2,2,2,3,3,1,,1,,,1,,
435,vt9_Tre_Karkuvuori,2020/06/03,1,"14 KAPP",11,12,13,7,11,13,10,22,21,20,23,19,19,28,14,17,18,13,11,11,10,9,10,11
435,vt9_Tre_Karkuvuori,2020/06/03,1,"15 KATP",14,13,7,8,7,14,28,39,47,61,39,35,41,41,45,35,43,43,27,22,24,24,26,19
435,vt9_Tre_Karkuvuori,2020/06/03,1,"16 HA + PK",2,,,,1,6,13,22,33,34,37,27,35,39,36,59,43,52,45,28,21,12,5,3
435,vt9_Tre_Karkuvuori,2020/06/03,1,"17 HA + AV",6,7,3,3,5,5,1,9,1,5,3,6,4,4,6,8,5,6,6,3,3,,3,5
435,vt9_Tre_Karkuvuori,2020/06/03,2,"11 HA-PA",112,75,60,40,133,499,1585,2035,1421,1143,1066,1199,1308,1294,1601,2280,2108,1697,1363,1115,828,598,424,203
435,vt9_Tre_Karkuvuori,2020/06/03,2,"12 KAIP",12,7,8,8,11,28,74,74,84,78,86,68,80,90,83,80,72,36,29,16,15,21,3,11
435,vt9_Tre_Karkuvuori,2020/06/03,2,"13 Linja-autot",1,,,,,,1,1,1,,1,1,2,1,4,3,4,,,,2,,,1
435,vt9_Tre_Karkuvuori,2020/06/03,2,"14 KAPP",6,3,7,2,3,4,17,12,17,33,15,20,16,25,26,13,19,11,15,15,8,14,5,12
435,vt9_Tre_Karkuvuori,2020/06/03,2,"15 KATP",10,15,12,11,11,23,31,32,34,46,47,46,39,44,41,39,38,33,32,34,25,15,17,27
435,vt9_Tre_Karkuvuori,2020/06/03,2,"16 HA + PK",2,2,,1,2,4,12,26,35,31,34,25,24,32,45,38,45,36,46,29,18,19,6,5
435,vt9_Tre_Karkuvuori,2020/06/03,2,"17 HA + AV",2,5,1,,3,,5,4,2,2,7,4,7,11,7,6,4,3,5,9,7,6,2,4
435,vt9_Tre_Karkuvuori,2020/06/04,1,"11 HA-PA",127,75,49,53,96,370,1114,1389,1262,1041,983,1143,1235,1520,1771,2624,2647,1924,1582,1388,1055,627,402,240
435,vt9_Tre_Karkuvuori,2020/06/04,1,"12 KAIP",8,12,7,12,12,21,51,79,103,73,105,68,105,94,114,80,73,50,39,23,15,6,12,5
435,vt9_Tre_Karkuvuori,2020/06/04,1,"13 Linja-autot",1,,,,,2,1,,1,2,1,3,4,1,,2,1,,2,1,1,,1,
435,vt9_Tre_Karkuvuori,2020/06/04,1,"14 KAPP",12,9,8,3,7,5,14,17,16,33,22,27,22,16,16,23,16,15,21,16,5,3,12,8
435,vt9_Tre_Karkuvuori,2020/06/04,1,"15 KATP",12,12,15,6,7,20,27,43,45,58,45,39,49,46,49,43,49,45,18,26,26,32,23,19
435,vt9_Tre_Karkuvuori,2020/06/04,1,"16 HA + PK",1,1,,,,4,11,23,32,31,37,27,38,51,54,47,72,58,41,36,25,16,10,3
435,vt9_Tre_Karkuvuori,2020/06/04,1,"17 HA + AV",7,6,6,2,3,,3,7,5,4,10,2,6,13,6,9,5,4,2,3,1,1,3,1
435,vt9_Tre_Karkuvuori,2020/06/04,2,"11 HA-PA",125,74,55,43,130,496,1521,1990,1466,1111,1082,1166,1281,1365,1622,2281,2211,1715,1444,1149,885,534,410,207
435,vt9_Tre_Karkuvuori,2020/06/04,2,"12 KAIP",11,10,3,9,9,22,77,81,71,89,95,96,88,106,89,84,68,46,30,27,21,23,3,8
435,vt9_Tre_Karkuvuori,2020/06/04,2,"13 Linja-autot",1,,,,1,,,,1,2,2,4,,4,1,2,3,2,1,2,,1,1,
435,vt9_Tre_Karkuvuori,2020/06/04,2,"14 KAPP",12,12,13,7,9,6,5,13,20,10,27,15,24,15,17,25,16,16,18,18,6,9,6,10
435,vt9_Tre_Karkuvuori,2020/06/04,2,"15 KATP",11,9,15,11,16,14,42,29,45,51,51,38,57,37,50,39,44,28,31,33,22,22,18,20
435,vt9_Tre_Karkuvuori,2020/06/04,2,"16 HA + PK",2,1,,,,3,11,25,33,28,24,32,46,35,39,55,56,45,45,29,27,15,8,3
435,vt9_Tre_Karkuvuori,2020/06/04,2,"17 HA + AV",9,7,6,4,6,1,9,5,7,8,8,2,8,6,3,4,6,11,7,5,6,9,,2
435,vt9_Tre_Karkuvuori,2020/06/05,1,"11 HA-PA",127,75,56,47,95,353,1069,1301,1149,1007,1087,1263,1545,1659,2190,2851,2776,2140,1704,1322,943,549,422,327
435,vt9_Tre_Karkuvuori,2020/06/05,1,"12 KAIP",7,4,4,12,14,29,55,82,83,87,80,88,83,91,89,79,50,33,17,21,19,6,6,6
435,vt9_Tre_Karkuvuori,2020/06/05,1,"13 Linja-autot",,,,,,2,2,,,,2,2,,,1,3,,2,,2,,,,
435,vt9_Tre_Karkuvuori,2020/06/05,1,"14 KAPP",11,3,3,6,7,5,11,16,17,27,22,21,16,11,14,12,11,6,14,3,5,5,6,2
435,vt9_Tre_Karkuvuori,2020/06/05,1,"15 KATP",16,6,6,5,2,17,25,37,40,49,51,33,36,36,23,41,31,26,23,14,19,23,14,17
435,vt9_Tre_Karkuvuori,2020/06/05,1,"16 HA + PK",1,,,,5,4,10,23,31,28,35,42,46,48,55,69,73,75,42,33,39,8,7,3
