"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"11 HA-PA",97,52,42,43,80,383,1497,1836,1700,1201,1117,1224,1286,1335,1382,1657,1759,1411,1107,1039,832,567,368,167
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"12 KAIP",,,,2,5,12,20,31,34,25,26,37,24,26,19,22,15,16,6,8,3,8,2,3
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"13 Linja-autot",1,,,,2,6,6,11,10,10,9,9,7,8,10,8,9,9,7,7,8,6,12,4
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"14 KAPP",1,1,,,,3,5,5,8,10,6,7,6,8,7,7,9,8,8,5,7,6,7,5
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"15 KATP",1,2,1,1,,,1,3,4,3,7,2,2,5,2,2,4,2,1,2,2,,4,1
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"16 HA + PK",,,,,2,5,15,16,14,13,26,17,15,19,21,20,30,21,22,15,11,7,4,1
452,Vt12_Tre_Onkiniemi,2020/06/01,1,"17 HA + AV",,,,,,,1,1,4,3,3,5,3,1,,3,,1,1,1,1,,,5
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"11 HA-PA",100,58,38,22,62,202,649,945,902,830,804,914,982,1107,1275,2098,1830,1230,1082,893,648,547,307,181
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"12 KAIP",,1,,,6,4,15,28,19,21,26,25,32,14,22,26,20,9,8,1,4,2,2,4
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"13 Linja-autot",,,,,,3,1,1,,,,,,1,,,,1,,,,,,
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"14 KAPP",,,,,4,4,10,7,5,2,1,1,6,4,4,3,4,3,,1,,1,2,2
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"15 KATP",2,1,,1,1,1,3,3,4,5,8,4,8,3,4,6,5,1,3,4,3,3,4,2
452,Vt12_Tre_Onkiniemi,2020/06/01,2,"16 HA + PK",3,,,,,,2,12,16,10,17,15,19,6,20,29,13,20,19,15,7,9,5,1
