"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
461,vt4_Vierumäki,2020/06/01,1,"11 HA-PA",22,25,12,16,42,138,281,437,496,541,597,689,618,592,576,637,640,577,359,283,252,173,93,51
461,vt4_Vierumäki,2020/06/01,1,"12 KAIP",2,1,1,5,1,6,13,23,17,16,17,15,15,20,15,9,12,13,7,9,4,2,3,1
461,vt4_Vierumäki,2020/06/01,1,"13 Linja-autot",,,,1,,,,,,3,1,1,2,1,1,,1,1,2,,1,,,
461,vt4_Vierumäki,2020/06/01,1,"14 KAPP",2,1,2,2,3,3,7,13,17,23,28,22,29,19,12,23,25,24,19,16,16,17,3,6
461,vt4_Vierumäki,2020/06/01,1,"15 KATP",8,6,10,3,7,18,17,24,21,31,35,35,32,22,35,41,41,31,43,44,46,35,41,34
461,vt4_Vierumäki,2020/06/01,1,"16 HA + PK",1,3,1,1,3,1,6,10,21,30,25,31,32,34,31,29,32,26,17,11,19,7,3,2
461,vt4_Vierumäki,2020/06/01,1,"17 HA + AV",,1,,,,,2,3,7,6,5,7,6,9,2,2,6,2,3,2,2,1,,
461,vt4_Vierumäki,2020/06/01,2,"11 HA-PA",65,29,31,29,81,230,414,471,421,449,434,465,516,534,654,698,683,530,482,434,303,249,161,59
461,vt4_Vierumäki,2020/06/01,2,"12 KAIP",5,2,2,1,4,7,15,12,28,9,12,18,10,14,21,18,13,18,7,14,5,5,2,2
461,vt4_Vierumäki,2020/06/01,2,"13 Linja-autot",,,,1,,,,1,,,1,1,1,2,1,,3,2,,1,,1,,1
461,vt4_Vierumäki,2020/06/01,2,"14 KAPP",,,,,4,4,3,4,3,7,11,15,15,13,19,14,22,21,21,10,16,6,6,2
461,vt4_Vierumäki,2020/06/01,2,"15 KATP",8,9,5,12,8,16,17,20,17,24,26,30,30,43,25,35,26,29,33,24,21,21,11,16
461,vt4_Vierumäki,2020/06/01,2,"16 HA + PK",3,3,,4,,1,10,12,20,21,17,24,21,32,41,29,33,21,18,26,26,7,6,4
461,vt4_Vierumäki,2020/06/01,2,"17 HA + AV",1,2,1,1,3,3,2,5,9,6,4,6,3,6,4,8,8,4,5,5,4,1,4,1
461,vt4_Vierumäki,2020/06/02,1,"11 HA-PA",36,17,14,18,30,134,282,426,407,467,561,614,567,545,544,632,683,563,404,335,243,144,82,45
461,vt4_Vierumäki,2020/06/02,1,"12 KAIP",1,2,1,2,2,8,15,16,19,11,15,19,7,19,10,11,10,9,11,6,3,4,,3
461,vt4_Vierumäki,2020/06/02,1,"13 Linja-autot",,,,,,1,1,1,1,3,2,,,2,2,,2,1,1,,1,,,
461,vt4_Vierumäki,2020/06/02,1,"14 KAPP",4,4,1,2,5,2,8,12,23,28,18,34,17,19,12,9,25,34,17,10,13,10,5,7
461,vt4_Vierumäki,2020/06/02,1,"15 KATP",26,12,10,12,11,12,20,17,28,30,35,31,30,29,38,37,38,42,44,42,45,39,33,38
461,vt4_Vierumäki,2020/06/02,1,"16 HA + PK",1,,,1,,1,1,15,22,27,41,43,31,31,23,24,30,23,15,15,9,8,5,
461,vt4_Vierumäki,2020/06/02,1,"17 HA + AV",2,,,,,2,2,1,6,6,4,8,7,8,3,4,3,5,3,6,,2,,2
461,vt4_Vierumäki,2020/06/02,2,"11 HA-PA",47,21,15,9,43,120,294,374,331,323,340,397,393,451,536,609,620,481,474,445,300,291,135,67
