"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
622,vt13_Kangasniemi,2020/06/01,1,"11 HA-PA",2,3,,2,5,23,27,44,54,55,42,47,46,54,48,50,59,42,38,15,28,11,7,5
622,vt13_Kangasniemi,2020/06/01,1,"12 KAIP",,,,,,,2,4,1,2,3,4,3,1,2,1,2,,4,1,,1,1,
622,vt13_Kangasniemi,2020/06/01,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,1,,,,,
622,vt13_Kangasniemi,2020/06/01,1,"14 KAPP",,,,,,1,1,,2,2,3,1,5,3,1,3,1,2,3,,,,1,
622,vt13_Kangasniemi,2020/06/01,1,"15 KATP",3,2,,,,2,1,,3,2,3,8,3,2,5,5,3,7,3,2,5,2,,2
622,vt13_Kangasniemi,2020/06/01,1,"16 HA + PK",1,,,,,1,1,3,3,8,,2,2,5,3,2,4,,,3,2,,,1
622,vt13_Kangasniemi,2020/06/01,1,"17 HA + AV",,,,,,,,,1,,3,2,1,,,,,2,,1,2,1,,
622,vt13_Kangasniemi,2020/06/01,2,"11 HA-PA",5,2,2,3,2,20,32,32,36,38,39,65,51,54,58,67,58,49,32,34,26,21,11,1
622,vt13_Kangasniemi,2020/06/01,2,"12 KAIP",,,,,,1,,1,,6,1,1,2,3,,2,1,1,1,,1,1,1,
622,vt13_Kangasniemi,2020/06/01,2,"13 Linja-autot",,,,,,1,1,,,,,,,1,,,,,,,,,,
622,vt13_Kangasniemi,2020/06/01,2,"14 KAPP",,,,,,,,,3,,3,1,,2,,,1,,,,,,,
622,vt13_Kangasniemi,2020/06/01,2,"15 KATP",,1,1,2,3,1,2,6,3,2,1,4,1,3,3,5,5,2,3,1,2,6,7,2
622,vt13_Kangasniemi,2020/06/01,2,"16 HA + PK",,,,1,,,3,3,2,1,1,2,2,2,1,5,3,2,4,2,1,,2,1
622,vt13_Kangasniemi,2020/06/01,2,"17 HA + AV",,,,,1,,,,1,,2,1,1,,,,2,,,1,,,,
622,vt13_Kangasniemi,2020/06/02,1,"11 HA-PA",,,,2,7,17,21,45,43,53,44,57,52,58,66,55,64,41,46,26,17,19,7,3
622,vt13_Kangasniemi,2020/06/02,1,"12 KAIP",,,,,,2,1,,2,4,2,2,3,1,,3,,2,,2,,,,
622,vt13_Kangasniemi,2020/06/02,1,"13 Linja-autot",,,,,,,,,,1,1,1,,,1,,,,1,,,,,
