"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
726,vt9_Ylämylly,2020/06/01,1,"11 HA-PA",21,18,11,11,34,212,385,419,402,332,352,366,324,323,352,436,440,294,239,204,193,134,58,26
726,vt9_Ylämylly,2020/06/01,1,"12 KAIP",1,1,,,2,8,9,11,14,11,10,13,6,12,12,9,11,7,3,10,5,2,3,1
726,vt9_Ylämylly,2020/06/01,1,"13 Linja-autot",,,,,1,,,,,,,,,,1,,1,,,,,,1,1
726,vt9_Ylämylly,2020/06/01,1,"14 KAPP",2,2,1,1,,3,4,11,2,2,8,3,5,5,,4,3,1,2,1,4,,3,2
726,vt9_Ylämylly,2020/06/01,1,"15 KATP",3,5,5,3,9,6,9,8,5,9,7,6,9,10,15,15,15,9,15,7,7,7,6,6
726,vt9_Ylämylly,2020/06/01,1,"16 HA + PK",1,,,1,,7,15,12,10,18,13,16,14,24,23,26,17,22,15,8,15,3,4,4
726,vt9_Ylämylly,2020/06/01,1,"17 HA + AV",,,,,,,1,4,4,4,5,3,6,3,6,7,1,5,1,2,1,,1,
726,vt9_Ylämylly,2020/06/01,2,"11 HA-PA",22,17,6,9,30,91,209,277,220,237,268,342,364,373,427,542,571,336,271,197,151,109,72,29
726,vt9_Ylämylly,2020/06/01,2,"12 KAIP",2,,,,6,10,21,23,9,17,16,17,23,16,12,12,25,9,5,7,2,8,1,1
726,vt9_Ylämylly,2020/06/01,2,"13 Linja-autot",,,,,,2,,,,3,1,3,,2,2,,3,1,2,3,,,,
726,vt9_Ylämylly,2020/06/01,2,"14 KAPP",1,,,,1,1,1,1,2,5,7,8,7,1,4,3,2,1,3,1,,2,1,
726,vt9_Ylämylly,2020/06/01,2,"15 KATP",2,3,2,2,1,13,8,14,18,22,16,14,10,13,16,21,15,12,15,21,12,6,1,2
726,vt9_Ylämylly,2020/06/01,2,"16 HA + PK",,1,,1,1,2,3,16,20,13,24,19,28,24,24,23,36,20,16,8,8,2,1,1
726,vt9_Ylämylly,2020/06/01,2,"17 HA + AV",,,,,1,,7,13,2,5,2,4,4,2,2,2,,,4,2,,,3,
726,vt9_Ylämylly,2020/06/02,1,"11 HA-PA",28,30,10,13,31,190,397,369,321,310,260,314,265,345,344,486,411,317,289,233,187,157,76,28
726,vt9_Ylämylly,2020/06/02,1,"12 KAIP",,,,1,1,8,13,10,10,15,19,16,12,13,17,11,6,13,5,3,2,2,2,4
726,vt9_Ylämylly,2020/06/02,1,"13 Linja-autot",,,,,,,,2,,1,,1,,,,,,1,1,,,,1,1
726,vt9_Ylämylly,2020/06/02,1,"14 KAPP",5,2,1,1,1,2,1,4,6,7,3,,1,7,3,5,,2,5,,4,1,5,2
726,vt9_Ylämylly,2020/06/02,1,"15 KATP",5,8,5,8,14,5,12,7,9,12,7,15,9,7,18,13,7,13,10,3,4,5,3,4
