"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
729,vt9_Kaurila,2020/06/01,1,"11 HA-PA",,,2,,1,6,20,16,17,17,7,12,12,23,17,23,16,17,12,7,7,9,3,
729,vt9_Kaurila,2020/06/01,1,"12 KAIP",,,,,,1,1,,,,,,1,2,,2,,,,1,,,,
729,vt9_Kaurila,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
729,vt9_Kaurila,2020/06/01,1,"14 KAPP",3,,1,,1,2,3,4,1,4,4,2,5,1,5,3,2,12,6,6,3,7,6,5
729,vt9_Kaurila,2020/06/01,1,"15 KATP",,,,,,1,1,1,1,1,4,1,4,2,1,1,,1,2,6,1,3,3,
729,vt9_Kaurila,2020/06/01,1,"16 HA + PK",,,,,,,,1,,,1,,3,1,,2,,,,,,,,
729,vt9_Kaurila,2020/06/01,1,"17 HA + AV",,,,,,,,,,,,,1,,1,1,,,,,1,,,
729,vt9_Kaurila,2020/06/01,2,"11 HA-PA",1,1,,1,2,6,9,18,19,17,13,17,22,24,13,19,11,8,13,4,10,3,2,1
729,vt9_Kaurila,2020/06/01,2,"12 KAIP",,,,,,,,1,,2,,1,,2,1,2,1,,,,,1,,
729,vt9_Kaurila,2020/06/01,2,"13 Linja-autot",,,,,,,,,1,,1,,1,,,,,,,,1,,,
729,vt9_Kaurila,2020/06/01,2,"14 KAPP",2,3,3,2,1,1,6,4,2,3,4,7,6,8,4,9,7,6,5,6,2,1,6,3
729,vt9_Kaurila,2020/06/01,2,"15 KATP",,,,,1,2,2,,2,3,,,2,3,3,3,2,,1,2,1,1,1,2
729,vt9_Kaurila,2020/06/01,2,"16 HA + PK",,,,,,,1,1,1,3,1,2,2,2,,,1,,,,,,,
729,vt9_Kaurila,2020/06/01,2,"17 HA + AV",,,,,,,,1,1,,,,2,,,,,1,,,,,,
729,vt9_Kaurila,2020/06/02,1,"11 HA-PA",1,,,,1,4,19,17,13,14,18,28,17,13,16,17,12,17,8,10,6,8,3,1
729,vt9_Kaurila,2020/06/02,1,"12 KAIP",,,,,,,2,1,,1,1,,4,1,,,,,,,,,,
729,vt9_Kaurila,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,1
729,vt9_Kaurila,2020/06/02,1,"14 KAPP",4,1,1,,,4,2,1,5,8,7,9,2,8,8,4,8,5,5,8,5,5,5,8
729,vt9_Kaurila,2020/06/02,1,"15 KATP",,,,3,,,4,2,,2,1,5,2,,1,3,3,3,,2,3,1,1,2
729,vt9_Kaurila,2020/06/02,1,"16 HA + PK",,1,,,,,1,,1,,2,,2,1,8,1,1,2,,,,,,
729,vt9_Kaurila,2020/06/02,1,"17 HA + AV",,1,,,,,,,,,,,1,,,,,,,2,,1,,
729,vt9_Kaurila,2020/06/02,2,"11 HA-PA",,,,,3,2,11,14,13,8,7,19,25,27,18,17,17,16,14,4,3,5,5,1
729,vt9_Kaurila,2020/06/02,2,"12 KAIP",,,,,,,1,1,1,,1,,1,3,,1,,,,,1,,,
729,vt9_Kaurila,2020/06/02,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,,,,,,,,
729,vt9_Kaurila,2020/06/02,2,"14 KAPP",3,4,6,4,3,3,7,1,8,1,7,2,9,3,7,5,5,9,4,3,8,3,6,5
729,vt9_Kaurila,2020/06/02,2,"15 KATP",1,1,1,2,3,3,,2,3,,1,2,2,2,4,2,3,1,1,1,3,,1,1
729,vt9_Kaurila,2020/06/02,2,"16 HA + PK",,,,,,,2,,,3,,,,1,3,1,,,1,,1,,,
729,vt9_Kaurila,2020/06/02,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,1,,,
729,vt9_Kaurila,2020/06/03,1,"11 HA-PA",3,,,,2,6,15,16,17,13,15,10,20,20,19,16,18,17,18,3,5,9,3,1
729,vt9_Kaurila,2020/06/03,1,"12 KAIP",,,2,,,,,,,1,2,1,,,,,1,,,,,1,,
729,vt9_Kaurila,2020/06/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,1,,,1,
729,vt9_Kaurila,2020/06/03,1,"14 KAPP",3,1,2,1,1,1,6,2,6,2,8,8,6,6,3,6,7,3,7,6,2,5,10,6
729,vt9_Kaurila,2020/06/03,1,"15 KATP",1,,2,2,,1,2,,1,1,5,1,,1,2,,3,1,4,1,,6,3,3
729,vt9_Kaurila,2020/06/03,1,"16 HA + PK",,,,,,,,2,,2,,,2,,2,2,,1,,2,,,,
729,vt9_Kaurila,2020/06/03,1,"17 HA + AV",,,,,,,1,,,2,,1,,,,1,,,,,,1,,
729,vt9_Kaurila,2020/06/03,2,"11 HA-PA",,,,,2,2,14,12,12,19,18,14,13,23,19,15,27,14,17,6,5,,3,1
729,vt9_Kaurila,2020/06/03,2,"12 KAIP",,,,1,,,,1,,1,,1,,,1,1,,,,,,,1,
729,vt9_Kaurila,2020/06/03,2,"13 Linja-autot",,1,,,,,,,,,,1,,1,,,,1,,,1,,,
729,vt9_Kaurila,2020/06/03,2,"14 KAPP",4,9,3,3,4,3,5,5,8,9,4,3,4,2,5,5,7,4,6,4,3,,2,2
729,vt9_Kaurila,2020/06/03,2,"15 KATP",,1,3,,3,3,5,,,1,1,3,1,1,,4,2,3,1,2,2,,4,1
729,vt9_Kaurila,2020/06/03,2,"16 HA + PK",,,,,,,,1,1,,1,1,1,2,1,1,1,,2,1,,,,
729,vt9_Kaurila,2020/06/03,2,"17 HA + AV",,,,,,,,,1,,,1,,,1,,,,,,,,,
729,vt9_Kaurila,2020/06/04,1,"11 HA-PA",,1,1,,3,7,19,14,17,15,12,17,21,16,20,14,15,18,13,4,6,2,1,
729,vt9_Kaurila,2020/06/04,1,"12 KAIP",,,,,,,,,2,1,,1,1,1,2,,1,,1,,,,,
729,vt9_Kaurila,2020/06/04,1,"13 Linja-autot",,,,,1,,,,,,,,,,,,,,1,,,,,
729,vt9_Kaurila,2020/06/04,1,"14 KAPP",3,1,4,2,1,1,5,4,4,8,11,2,7,4,4,8,2,8,6,3,4,2,6,4
729,vt9_Kaurila,2020/06/04,1,"15 KATP",2,2,,,1,,2,2,1,1,1,3,2,3,2,5,2,1,4,3,1,3,1,1
729,vt9_Kaurila,2020/06/04,1,"16 HA + PK",,,,,,,,,,2,2,1,,,2,2,1,2,,,1,,,
729,vt9_Kaurila,2020/06/04,1,"17 HA + AV",,,,,,,1,,,,,1,,4,,1,,1,,,,,1,1
729,vt9_Kaurila,2020/06/04,2,"11 HA-PA",1,1,1,1,1,2,12,13,13,16,16,23,19,16,12,19,25,16,13,9,6,,,2
729,vt9_Kaurila,2020/06/04,2,"12 KAIP",,,,,,,,,1,,,1,,,3,,,1,,1,,,,
729,vt9_Kaurila,2020/06/04,2,"13 Linja-autot",,,,,,,,,,,,,,,,,2,,,,,,,
729,vt9_Kaurila,2020/06/04,2,"14 KAPP",6,8,2,4,3,5,10,4,7,3,5,5,5,6,4,8,,4,8,3,6,2,10,4
729,vt9_Kaurila,2020/06/04,2,"15 KATP",,1,2,2,2,2,3,3,4,2,1,,,3,,1,4,4,3,2,2,,,1
729,vt9_Kaurila,2020/06/04,2,"16 HA + PK",,,,,,,,1,,1,1,,,2,1,,3,,,1,1,,1,
729,vt9_Kaurila,2020/06/04,2,"17 HA + AV",,,,1,,,2,,,,,,,,,1,1,,,,,,,
729,vt9_Kaurila,2020/06/05,1,"11 HA-PA",1,1,1,1,1,6,18,10,14,16,23,21,23,20,7,21,19,16,15,7,7,9,4,
729,vt9_Kaurila,2020/06/05,1,"12 KAIP",,,,,,1,,1,1,,2,,1,3,1,,,,,,1,,,
