"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
828,vt5_Rahusenlampi,2020/06/01,1,"11 HA-PA",57,27,18,24,80,313,698,950,692,649,768,867,958,1095,1245,1966,1717,1207,913,694,465,323,194,94
828,vt5_Rahusenlampi,2020/06/01,1,"12 KAIP",2,3,2,2,7,17,34,35,36,30,30,26,43,32,37,50,43,22,15,13,15,5,4,8
828,vt5_Rahusenlampi,2020/06/01,1,"13 Linja-autot",,,,,2,7,7,4,4,4,4,2,4,5,4,6,9,3,3,2,2,3,1,
828,vt5_Rahusenlampi,2020/06/01,1,"14 KAPP",,1,3,,,3,4,8,7,7,7,7,10,7,12,8,11,10,11,8,4,8,4,1
828,vt5_Rahusenlampi,2020/06/01,1,"15 KATP",10,4,18,9,8,10,20,23,23,22,25,28,19,33,30,26,30,31,16,19,16,13,20,14
828,vt5_Rahusenlampi,2020/06/01,1,"16 HA + PK",2,2,2,1,2,6,13,18,23,23,25,40,31,43,34,62,52,36,43,22,14,9,3,
828,vt5_Rahusenlampi,2020/06/01,1,"17 HA + AV",1,,,,1,,2,5,4,3,3,1,5,2,5,3,6,3,4,2,,,1,1
828,vt5_Rahusenlampi,2020/06/01,2,"11 HA-PA",45,22,23,42,104,323,1300,1354,992,939,869,958,975,902,905,1228,1218,869,678,579,512,422,215,94
828,vt5_Rahusenlampi,2020/06/01,2,"12 KAIP",7,3,2,1,6,9,36,40,42,36,40,26,38,35,34,21,27,28,23,13,11,14,9,5
828,vt5_Rahusenlampi,2020/06/01,2,"13 Linja-autot",1,,,,,1,5,10,4,4,7,2,3,3,4,4,6,6,5,4,3,2,5,3
828,vt5_Rahusenlampi,2020/06/01,2,"14 KAPP",,3,,,,1,8,6,9,4,5,6,10,13,11,10,11,12,8,10,3,3,2,
828,vt5_Rahusenlampi,2020/06/01,2,"15 KATP",5,4,7,7,8,9,24,27,23,25,23,24,27,26,33,33,27,30,27,30,27,17,14,15
828,vt5_Rahusenlampi,2020/06/01,2,"16 HA + PK",,,,1,1,7,26,26,23,32,40,31,28,27,23,42,27,30,27,26,13,9,5,5
828,vt5_Rahusenlampi,2020/06/01,2,"17 HA + AV",,1,,,1,2,,7,4,4,5,4,,2,,4,3,4,2,5,1,4,,
828,vt5_Rahusenlampi,2020/06/02,1,"11 HA-PA",60,43,37,26,58,283,671,931,765,681,686,864,875,1055,1180,1947,1713,1240,871,707,496,318,201,84
828,vt5_Rahusenlampi,2020/06/02,1,"12 KAIP",3,5,8,5,5,15,18,38,25,29,22,26,37,39,20,50,22,22,11,12,12,8,15,7
828,vt5_Rahusenlampi,2020/06/02,1,"13 Linja-autot",,,,,2,7,8,6,5,4,5,3,5,4,4,6,9,3,5,2,3,3,1,
828,vt5_Rahusenlampi,2020/06/02,1,"14 KAPP",,2,4,2,2,,9,5,7,11,10,11,9,10,5,20,14,8,5,4,4,6,5,2
828,vt5_Rahusenlampi,2020/06/02,1,"15 KATP",13,17,31,13,18,14,31,27,41,24,24,34,25,30,17,22,20,25,13,22,15,16,11,18
828,vt5_Rahusenlampi,2020/06/02,1,"16 HA + PK",2,,,,,2,6,16,13,22,30,31,33,39,45,50,45,28,32,18,15,8,6,1
828,vt5_Rahusenlampi,2020/06/02,1,"17 HA + AV",1,,,,1,2,1,3,5,3,1,7,3,6,7,2,7,4,4,2,1,1,1,
828,vt5_Rahusenlampi,2020/06/02,2,"11 HA-PA",59,39,21,42,77,308,1231,1330,901,782,758,864,848,837,947,1244,1312,883,794,650,534,377,236,110
828,vt5_Rahusenlampi,2020/06/02,2,"12 KAIP",4,5,,6,4,8,35,38,29,25,30,25,29,45,30,27,26,25,14,12,8,10,4,10
828,vt5_Rahusenlampi,2020/06/02,2,"13 Linja-autot",1,,,,,1,5,8,4,4,7,3,4,3,3,4,5,8,7,3,2,2,4,4
828,vt5_Rahusenlampi,2020/06/02,2,"14 KAPP",1,1,,1,,,4,9,14,6,14,9,9,8,14,10,15,9,9,4,6,2,3,3
828,vt5_Rahusenlampi,2020/06/02,2,"15 KATP",15,8,13,8,17,13,24,22,27,25,28,32,27,28,28,44,33,28,31,15,21,18,20,14
828,vt5_Rahusenlampi,2020/06/02,2,"16 HA + PK",1,,1,,1,4,15,24,23,19,27,25,33,30,20,37,30,30,27,20,11,10,5,2
828,vt5_Rahusenlampi,2020/06/02,2,"17 HA + AV",1,,1,,,1,5,7,8,6,1,1,4,7,4,3,3,2,2,2,1,,,1
