"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
836,vt5_Vuorela,2020/06/01,1,"11 HA-PA",39,21,11,15,56,175,409,504,407,356,426,469,537,598,720,1265,1062,728,512,379,293,280,139,46
836,vt5_Vuorela,2020/06/01,1,"12 KAIP",,,1,,4,7,19,20,25,16,14,15,16,8,14,23,16,14,8,2,8,5,1,2
836,vt5_Vuorela,2020/06/01,1,"13 Linja-autot",,,,,1,2,3,1,1,,,,1,,3,1,3,1,2,1,,1,2,1
836,vt5_Vuorela,2020/06/01,1,"14 KAPP",2,1,2,1,1,1,4,5,7,5,6,3,8,6,3,7,6,5,7,7,2,4,5,1
836,vt5_Vuorela,2020/06/01,1,"15 KATP",8,4,13,5,4,8,18,31,28,20,21,30,24,30,21,19,28,24,23,22,18,10,11,13
836,vt5_Vuorela,2020/06/01,1,"16 HA + PK",2,2,,,2,5,10,12,14,14,21,18,26,31,21,34,32,27,24,15,8,15,6,1
836,vt5_Vuorela,2020/06/01,1,"17 HA + AV",,1,,,1,1,,2,3,1,2,1,3,3,1,2,1,1,2,1,1,2,,
836,vt5_Vuorela,2020/06/01,2,"11 HA-PA",18,13,20,32,73,262,1000,860,567,508,454,518,516,546,526,676,667,562,370,310,285,203,118,44
836,vt5_Vuorela,2020/06/01,2,"12 KAIP",2,1,1,,6,5,26,21,24,15,13,12,21,13,16,13,18,19,11,4,9,3,2,3
836,vt5_Vuorela,2020/06/01,2,"13 Linja-autot",1,,,,,,,5,1,4,3,,1,3,,6,4,3,4,2,1,,1,1
836,vt5_Vuorela,2020/06/01,2,"14 KAPP",2,,,,2,1,4,2,7,7,4,7,7,9,8,4,6,5,8,7,,,2,3
836,vt5_Vuorela,2020/06/01,2,"15 KATP",7,4,6,3,4,10,23,25,24,21,25,24,21,27,23,26,26,37,23,29,23,16,17,9
836,vt5_Vuorela,2020/06/01,2,"16 HA + PK",1,,,1,1,5,17,27,17,20,34,24,22,18,21,31,22,25,17,13,11,6,2,6
836,vt5_Vuorela,2020/06/01,2,"17 HA + AV",,1,,,,1,2,3,2,2,5,3,3,2,3,5,1,1,3,2,,2,,
836,vt5_Vuorela,2020/06/02,1,"11 HA-PA",35,34,24,19,37,160,387,512,422,388,422,484,516,558,690,1224,1061,781,524,416,300,191,146,64
836,vt5_Vuorela,2020/06/02,1,"12 KAIP",1,2,5,1,3,6,10,20,13,11,10,16,19,22,10,19,16,7,8,5,8,6,8,3
836,vt5_Vuorela,2020/06/02,1,"13 Linja-autot",,,,,1,3,3,1,1,1,2,,2,,2,1,2,1,4,,,2,1,
836,vt5_Vuorela,2020/06/02,1,"14 KAPP",,2,3,4,3,1,9,4,6,6,6,3,8,4,6,10,10,9,5,2,2,4,2,1
836,vt5_Vuorela,2020/06/02,1,"15 KATP",12,14,23,10,14,14,30,27,31,24,24,22,34,24,14,16,25,21,15,17,20,15,11,15
836,vt5_Vuorela,2020/06/02,1,"16 HA + PK",2,,,,,2,3,10,11,17,16,24,26,29,22,25,32,24,22,12,9,5,6,1
836,vt5_Vuorela,2020/06/02,1,"17 HA + AV",1,,1,,,2,1,2,2,2,,3,2,3,,,5,2,2,4,1,1,2,
836,vt5_Vuorela,2020/06/02,2,"11 HA-PA",30,15,13,38,52,236,897,853,508,436,373,490,455,486,529,703,698,511,436,393,334,227,140,63
836,vt5_Vuorela,2020/06/02,2,"12 KAIP",1,3,,2,4,2,16,13,15,12,8,11,15,17,15,12,7,12,8,3,5,8,4,3
836,vt5_Vuorela,2020/06/02,2,"13 Linja-autot",1,,,,,,,5,,3,3,,2,2,1,2,5,4,2,2,1,,1,2
836,vt5_Vuorela,2020/06/02,2,"14 KAPP",1,,,,2,1,2,5,9,5,7,5,6,7,7,9,5,7,7,2,1,2,2,3
836,vt5_Vuorela,2020/06/02,2,"15 KATP",11,10,8,10,10,12,27,22,35,19,24,25,24,25,21,40,31,28,23,16,12,12,20,9
836,vt5_Vuorela,2020/06/02,2,"16 HA + PK",,,3,1,1,6,20,15,12,11,18,24,21,21,15,23,23,31,18,17,3,8,3,1
836,vt5_Vuorela,2020/06/02,2,"17 HA + AV",1,,,,1,,2,6,3,3,1,2,3,2,2,4,4,5,8,1,,,,4
836,vt5_Vuorela,2020/06/03,1,"11 HA-PA",27,31,21,13,41,142,408,528,397,372,391,473,507,552,753,1226,1096,722,568,428,309,243,131,71
836,vt5_Vuorela,2020/06/03,1,"12 KAIP",1,2,5,2,3,9,14,21,14,9,9,13,15,12,13,22,12,11,10,7,3,3,1,2
836,vt5_Vuorela,2020/06/03,1,"13 Linja-autot",,,,,1,3,3,2,1,,1,,1,,2,1,4,1,1,,1,1,,
836,vt5_Vuorela,2020/06/03,1,"14 KAPP",4,,2,3,1,1,5,9,7,8,3,8,5,5,4,3,10,5,8,7,5,3,2,1
836,vt5_Vuorela,2020/06/03,1,"15 KATP",12,13,24,9,12,17,28,29,35,24,16,18,18,15,23,18,18,16,20,11,12,11,13,14
836,vt5_Vuorela,2020/06/03,1,"16 HA + PK",1,2,,2,1,1,2,8,10,16,11,20,13,23,33,27,25,30,14,21,9,10,5,3
836,vt5_Vuorela,2020/06/03,1,"17 HA + AV",,1,,,,,,2,2,3,1,3,,2,1,3,,1,2,,,1,,
836,vt5_Vuorela,2020/06/03,2,"11 HA-PA",26,18,22,27,67,224,896,847,554,460,425,483,511,529,546,715,697,512,442,358,315,269,134,62
836,vt5_Vuorela,2020/06/03,2,"12 KAIP",2,2,3,3,3,7,21,14,12,11,8,6,17,15,14,20,15,15,6,7,6,1,1,3
