"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1035,kt63_Kauhava,2020/03/01,1,"11 HA-PA",13,6,3,5,9,7,3,13,24,26,49,41,62,64,71,94,88,84,51,49,38,25,12,6
1035,kt63_Kauhava,2020/03/01,1,"12 KAIP",,1,,,,,,1,1,,,3,,2,1,,1,2,1,,,,,
1035,kt63_Kauhava,2020/03/01,1,"13 Linja-autot",1,,,,,1,,,,,2,,,1,,1,2,3,1,1,1,,,
1035,kt63_Kauhava,2020/03/01,1,"14 KAPP",,,,,,,,,,,,1,,3,,,,1,1,1,3,,,
1035,kt63_Kauhava,2020/03/01,1,"15 KATP",,,2,2,,2,,1,1,,,2,1,1,2,5,4,1,2,1,,2,2,2
1035,kt63_Kauhava,2020/03/01,1,"16 HA + PK",,,,1,,,,1,1,,2,3,6,,,1,,1,2,,,,1,1
1035,kt63_Kauhava,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,1,,2,,,,,,,,
1035,kt63_Kauhava,2020/03/01,2,"11 HA-PA",9,7,3,2,5,2,7,6,11,23,53,62,76,91,102,120,111,94,92,78,48,30,15,6
1035,kt63_Kauhava,2020/03/01,2,"12 KAIP",,,,,2,1,,1,1,2,1,3,4,5,3,2,3,4,3,5,2,1,1,
1035,kt63_Kauhava,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,,2,,1,,1,1,,,,,
1035,kt63_Kauhava,2020/03/01,2,"14 KAPP",,,,,,,,,,,1,,1,,,,2,,,,,,,
1035,kt63_Kauhava,2020/03/01,2,"15 KATP",1,,1,,1,1,1,,,1,,,1,3,5,2,3,7,3,2,2,1,7,2
1035,kt63_Kauhava,2020/03/01,2,"16 HA + PK",1,,,2,,,1,,,1,2,1,5,5,2,6,6,6,4,5,2,,1,3
1035,kt63_Kauhava,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,1,,,2,1,1,,1,1,,
1035,kt63_Kauhava,2020/03/02,1,"11 HA-PA",1,4,3,4,7,18,24,46,57,45,47,57,67,62,75,95,95,74,39,39,24,17,8,4
1035,kt63_Kauhava,2020/03/02,1,"12 KAIP",1,,,,1,,1,6,3,4,2,1,2,4,8,2,4,,,2,,,,
1035,kt63_Kauhava,2020/03/02,1,"13 Linja-autot",,,,,,,,2,1,,1,1,,1,1,1,3,,1,1,,,,
1035,kt63_Kauhava,2020/03/02,1,"14 KAPP",,,,,,1,1,,1,1,1,1,2,2,3,1,2,2,2,1,,,,
1035,kt63_Kauhava,2020/03/02,1,"15 KATP",,3,3,1,,4,4,1,4,6,4,7,2,8,4,3,4,6,4,4,4,6,1,6
1035,kt63_Kauhava,2020/03/02,1,"16 HA + PK",1,,,,,,2,1,1,2,,1,2,,1,4,3,2,1,,1,,,
1035,kt63_Kauhava,2020/03/02,1,"17 HA + AV",1,,,1,,,1,,2,1,,,,1,,1,1,,,,1,,,
1035,kt63_Kauhava,2020/03/02,2,"11 HA-PA",4,5,3,2,8,29,41,86,74,60,52,68,51,46,52,50,58,41,29,27,20,9,3,6
1035,kt63_Kauhava,2020/03/02,2,"12 KAIP",,,,,,2,4,3,12,5,1,4,6,4,6,2,7,1,3,2,2,,1,1
1035,kt63_Kauhava,2020/03/02,2,"13 Linja-autot",,,,,,,1,,,1,1,1,1,,,,,1,,,,,,
1035,kt63_Kauhava,2020/03/02,2,"14 KAPP",,,,,,1,,,1,1,1,1,1,,,,1,2,,1,,,,1
1035,kt63_Kauhava,2020/03/02,2,"15 KATP",1,3,1,,1,1,3,2,4,5,6,2,6,4,3,6,1,5,2,5,5,5,5,2
1035,kt63_Kauhava,2020/03/02,2,"16 HA + PK",,,,,1,2,,1,4,2,5,4,6,4,5,8,6,1,1,2,2,,2,
1035,kt63_Kauhava,2020/03/02,2,"17 HA + AV",,,,,,,,,,1,3,,1,,1,2,,1,1,1,,,1,
1035,kt63_Kauhava,2020/03/03,1,"11 HA-PA",6,1,2,1,3,9,30,43,47,43,44,50,68,72,72,99,112,67,50,38,31,18,7,1
