"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1036,kt68_Pietarsaari,2020/03/01,1,"11 HA-PA",30,19,23,9,13,17,27,15,35,59,69,82,106,110,156,155,189,204,159,145,152,92,36,15
1036,kt68_Pietarsaari,2020/03/01,1,"12 KAIP",1,,,,,,,1,,,1,1,,,,,2,1,2,2,4,,1,
1036,kt68_Pietarsaari,2020/03/01,1,"13 Linja-autot",,,,,1,,,,,,,,1,,1,,,,1,,,,,
1036,kt68_Pietarsaari,2020/03/01,1,"14 KAPP",,,,,,,,,1,,,,,3,,,,2,,1,,,,
1036,kt68_Pietarsaari,2020/03/01,1,"15 KATP",1,1,,,,1,1,1,1,2,2,2,3,1,2,2,2,2,7,2,5,2,6,2
1036,kt68_Pietarsaari,2020/03/01,1,"16 HA + PK",2,,,,,,,,,,,1,2,3,1,3,4,4,,4,2,,,
1036,kt68_Pietarsaari,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
1036,kt68_Pietarsaari,2020/03/01,2,"11 HA-PA",69,60,29,24,23,31,12,10,21,35,68,114,108,126,174,135,151,154,121,121,131,94,61,20
1036,kt68_Pietarsaari,2020/03/01,2,"12 KAIP",,,,,,,,,2,,,,,,,1,1,1,,,1,1,,
1036,kt68_Pietarsaari,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,2,2,,1,,,,,2,,,1,
1036,kt68_Pietarsaari,2020/03/01,2,"14 KAPP",,,,,,,,,1,,,,,,1,,,,1,,,,,1
1036,kt68_Pietarsaari,2020/03/01,2,"15 KATP",1,,1,,,,,3,,2,2,1,3,2,2,,2,1,2,7,1,2,2,2
1036,kt68_Pietarsaari,2020/03/01,2,"16 HA + PK",,,,,,,,,,1,1,1,3,2,2,3,2,,2,3,1,,,
1036,kt68_Pietarsaari,2020/03/02,1,"11 HA-PA",14,13,3,6,12,156,394,377,272,210,124,158,168,216,223,304,215,161,145,119,100,79,40,32
1036,kt68_Pietarsaari,2020/03/02,1,"12 KAIP",,1,1,,2,1,4,11,12,8,9,4,5,8,13,9,6,3,3,,1,1,,1
1036,kt68_Pietarsaari,2020/03/02,1,"13 Linja-autot",,,,,,1,1,4,1,,,1,,,3,3,1,2,1,,,,,
1036,kt68_Pietarsaari,2020/03/02,1,"14 KAPP",,,,,,,,5,1,2,1,6,4,3,4,5,3,3,1,3,,1,1,
1036,kt68_Pietarsaari,2020/03/02,1,"15 KATP",2,2,,,4,5,18,17,19,13,16,12,17,21,20,14,17,10,11,13,14,1,13,3
1036,kt68_Pietarsaari,2020/03/02,1,"16 HA + PK",,,,,,,3,4,9,4,3,4,7,2,1,2,6,9,4,4,,,1,
1036,kt68_Pietarsaari,2020/03/02,1,"17 HA + AV",,,,,,,1,2,,,4,4,,3,1,1,1,1,,,,,,1
1036,kt68_Pietarsaari,2020/03/02,2,"11 HA-PA",18,8,3,8,39,93,147,166,162,137,132,156,197,208,313,500,432,252,175,137,105,104,82,26
1036,kt68_Pietarsaari,2020/03/02,2,"12 KAIP",,3,,1,1,,3,6,9,7,10,6,8,7,10,13,8,2,6,1,1,1,,
1036,kt68_Pietarsaari,2020/03/02,2,"13 Linja-autot",,,,,,,2,2,3,,1,,1,2,4,1,4,,1,1,,,,
1036,kt68_Pietarsaari,2020/03/02,2,"14 KAPP",,1,,,,,1,2,3,4,1,4,2,4,5,5,,1,1,1,,,,
1036,kt68_Pietarsaari,2020/03/02,2,"15 KATP",3,3,2,,1,4,9,19,20,22,16,14,16,24,17,21,14,19,12,10,13,10,9,5
1036,kt68_Pietarsaari,2020/03/02,2,"16 HA + PK",,,,,,,1,3,3,2,3,2,6,6,4,3,3,5,3,4,,,1,1
1036,kt68_Pietarsaari,2020/03/02,2,"17 HA + AV",,,,,,,,2,1,2,1,4,1,,4,1,1,,1,,,,,
1036,kt68_Pietarsaari,2020/03/03,1,"11 HA-PA",10,10,1,4,18,159,373,396,264,201,153,155,174,215,228,278,241,213,156,143,110,106,43,19
1036,kt68_Pietarsaari,2020/03/03,1,"12 KAIP",,,,,,3,5,11,6,7,7,5,4,8,8,10,4,3,3,1,3,1,,
1036,kt68_Pietarsaari,2020/03/03,1,"13 Linja-autot",,,,,,,,2,,,1,2,,,,4,1,1,2,,,,,
1036,kt68_Pietarsaari,2020/03/03,1,"14 KAPP",,,,,1,,,7,6,7,,3,,5,4,,1,,2,2,,2,1,1
1036,kt68_Pietarsaari,2020/03/03,1,"15 KATP",6,5,3,4,5,9,12,21,23,15,21,19,22,17,20,15,13,9,10,14,14,10,7,7
1036,kt68_Pietarsaari,2020/03/03,1,"16 HA + PK",1,,,,,3,4,4,2,2,3,2,2,4,4,4,3,3,1,,2,1,,
1036,kt68_Pietarsaari,2020/03/03,1,"17 HA + AV",,,,,,,,1,1,,2,1,1,2,1,1,,1,,,1,,1,
1036,kt68_Pietarsaari,2020/03/03,2,"11 HA-PA",9,2,2,3,25,94,159,164,148,124,144,155,218,210,301,538,435,234,184,147,161,101,62,23
1036,kt68_Pietarsaari,2020/03/03,2,"12 KAIP",,1,,,1,,1,7,8,14,3,7,10,3,10,13,5,4,3,5,2,,,2
1036,kt68_Pietarsaari,2020/03/03,2,"13 Linja-autot",,,,,,,1,2,2,1,2,,1,1,3,,3,,1,1,,,,
1036,kt68_Pietarsaari,2020/03/03,2,"14 KAPP",,,,,,1,1,1,5,1,6,7,,1,4,2,2,1,,1,1,,2,2
1036,kt68_Pietarsaari,2020/03/03,2,"15 KATP",8,7,4,4,3,6,9,15,16,25,23,14,15,24,19,25,13,12,15,8,12,8,12,9
1036,kt68_Pietarsaari,2020/03/03,2,"16 HA + PK",,,,,,,,1,4,1,5,3,3,4,4,6,3,,3,1,,2,,
1036,kt68_Pietarsaari,2020/03/03,2,"17 HA + AV",,,,,,,2,1,1,2,1,1,,2,,2,,,,,,,,
1036,kt68_Pietarsaari,2020/03/04,1,"11 HA-PA",11,12,6,2,20,161,386,404,278,190,136,164,180,223,240,276,258,216,161,106,125,97,44,21
1036,kt68_Pietarsaari,2020/03/04,1,"12 KAIP",,,1,,1,3,7,6,7,11,17,12,7,6,2,7,4,,1,4,,,,1
1036,kt68_Pietarsaari,2020/03/04,1,"13 Linja-autot",,,,,,,,1,,1,,3,,,3,6,2,1,,,,,,
1036,kt68_Pietarsaari,2020/03/04,1,"14 KAPP",,,1,,,2,,6,4,5,3,6,4,1,6,,,4,1,,,,,1
1036,kt68_Pietarsaari,2020/03/04,1,"15 KATP",6,5,3,8,6,4,16,15,18,26,16,10,14,19,17,17,12,8,12,9,10,7,8,4
1036,kt68_Pietarsaari,2020/03/04,1,"16 HA + PK",,,,,1,,3,3,4,2,2,8,3,4,6,5,2,2,1,1,,1,,
1036,kt68_Pietarsaari,2020/03/04,1,"17 HA + AV",,1,,,,1,,1,1,,,2,2,,1,3,3,,,1,,,1,
1036,kt68_Pietarsaari,2020/03/04,2,"11 HA-PA",15,2,2,5,28,95,144,156,188,122,146,158,197,219,342,537,435,267,161,134,141,111,99,18
