"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1039,kt68_Ähtäri,2020/03/01,1,"11 HA-PA",8,2,5,4,1,3,10,6,5,23,30,48,50,41,58,60,47,48,40,32,21,12,17,2
1039,kt68_Ähtäri,2020/03/01,1,"12 KAIP",,,,,,,,,,1,1,,,,,,1,1,1,,1,,,
1039,kt68_Ähtäri,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1039,kt68_Ähtäri,2020/03/01,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,
1039,kt68_Ähtäri,2020/03/01,1,"15 KATP",,,,,,,,,,,1,,,,,1,,,,,1,,,
1039,kt68_Ähtäri,2020/03/01,1,"16 HA + PK",,,,,,,,1,,1,1,2,1,1,,1,1,,1,1,,,,
1039,kt68_Ähtäri,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,,,
1039,kt68_Ähtäri,2020/03/01,2,"11 HA-PA",2,6,4,6,2,1,6,7,15,26,34,42,60,56,64,79,48,52,49,42,24,18,7,1
1039,kt68_Ähtäri,2020/03/01,2,"12 KAIP",,,,,,,,,1,,,,,1,,1,,,,,,1,,
1039,kt68_Ähtäri,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1039,kt68_Ähtäri,2020/03/01,2,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,,,
1039,kt68_Ähtäri,2020/03/01,2,"15 KATP",,,,,,,,,,2,,,,,,,,,,1,2,,,
1039,kt68_Ähtäri,2020/03/01,2,"16 HA + PK",,,,,,,,,,,1,3,2,1,3,4,,2,3,,,1,,
1039,kt68_Ähtäri,2020/03/01,2,"17 HA + AV",,,,,,,,,,1,,,,,,2,,,,,,,,
1039,kt68_Ähtäri,2020/03/02,1,"11 HA-PA",3,2,2,3,3,31,42,80,68,44,37,48,43,63,52,61,67,46,38,31,14,13,8,4
1039,kt68_Ähtäri,2020/03/02,1,"12 KAIP",,,1,2,,1,1,,1,3,7,1,3,6,1,1,1,,,,,1,1,1
1039,kt68_Ähtäri,2020/03/02,1,"13 Linja-autot",,1,,,,,2,2,1,,,,1,1,1,1,,1,,,,1,,
1039,kt68_Ähtäri,2020/03/02,1,"14 KAPP",,,,,,,,1,,,2,,,,,1,,,2,,,,,
1039,kt68_Ähtäri,2020/03/02,1,"15 KATP",,,,,,,,,1,,1,1,2,,,2,,1,1,,1,,,
1039,kt68_Ähtäri,2020/03/02,1,"16 HA + PK",,,,,,,,,2,,,1,,,2,,3,2,2,,1,,,
1039,kt68_Ähtäri,2020/03/02,1,"17 HA + AV",,,,1,,,1,,,,,,,1,2,,,,,,,,,
1039,kt68_Ähtäri,2020/03/02,2,"11 HA-PA",1,,1,2,9,18,22,39,41,45,46,39,48,48,68,101,90,40,51,31,26,20,7,2
1039,kt68_Ähtäri,2020/03/02,2,"12 KAIP",,,1,2,,,1,4,3,6,1,3,1,4,,2,4,2,,,,1,1,1
1039,kt68_Ähtäri,2020/03/02,2,"13 Linja-autot",,,,,,,1,1,1,3,,,,,1,1,1,,1,,,,,
1039,kt68_Ähtäri,2020/03/02,2,"14 KAPP",,,,,,,1,,1,2,1,,,1,,,,,,,,,,
1039,kt68_Ähtäri,2020/03/02,2,"15 KATP",,,,,,,1,,1,2,3,2,2,,1,,2,1,1,,,,,
1039,kt68_Ähtäri,2020/03/02,2,"16 HA + PK",,,,,,,,,2,,,3,,1,2,2,1,1,1,1,,,,
1039,kt68_Ähtäri,2020/03/02,2,"17 HA + AV",,,1,,,,,,,,,,,1,,1,,,,,,,,
1039,kt68_Ähtäri,2020/03/03,1,"11 HA-PA",5,1,1,2,4,26,47,75,50,67,38,37,55,50,57,46,62,57,29,27,12,12,6,3
1039,kt68_Ähtäri,2020/03/03,1,"12 KAIP",,,,,,,1,2,4,2,4,3,2,2,1,4,2,,2,,,1,,
1039,kt68_Ähtäri,2020/03/03,1,"13 Linja-autot",,,,,,1,,1,2,,,,1,2,,1,,1,,,,,,
1039,kt68_Ähtäri,2020/03/03,1,"14 KAPP",,,,,,,1,2,,,,,1,2,1,,,,,1,1,,,
1039,kt68_Ähtäri,2020/03/03,1,"15 KATP",,,,,,,2,,4,2,2,1,1,1,,,2,3,1,,1,,,
1039,kt68_Ähtäri,2020/03/03,1,"16 HA + PK",,,,,,,,1,,3,3,1,,1,4,,1,1,1,,,,,
1039,kt68_Ähtäri,2020/03/03,2,"11 HA-PA",2,,,1,3,15,20,39,30,35,53,33,51,60,62,89,90,60,44,38,21,22,5,2
1039,kt68_Ähtäri,2020/03/03,2,"12 KAIP",1,,,,1,,1,3,4,6,2,,4,3,3,3,2,1,1,,,,,
1039,kt68_Ähtäri,2020/03/03,2,"13 Linja-autot",,,,,,,,1,1,,,,1,,1,1,1,,,,,,,
1039,kt68_Ähtäri,2020/03/03,2,"14 KAPP",,,,,,1,1,,2,1,1,,1,,2,1,1,,,,1,,,
1039,kt68_Ähtäri,2020/03/03,2,"15 KATP",,1,,,,1,,2,1,,1,2,2,3,1,3,2,2,1,1,,,,1
1039,kt68_Ähtäri,2020/03/03,2,"16 HA + PK",,,,,,1,,,2,2,1,,2,1,2,1,2,2,2,,,,,1
1039,kt68_Ähtäri,2020/03/03,2,"17 HA + AV",,,,,,,,,,,,,,,2,,,,,,,,,
1039,kt68_Ähtäri,2020/03/04,1,"11 HA-PA",2,2,,1,5,33,42,79,59,45,33,48,61,46,63,39,64,42,40,27,20,5,10,8
1039,kt68_Ähtäri,2020/03/04,1,"12 KAIP",,,,,,,1,2,1,,3,4,3,2,2,4,2,1,,1,,,,
1039,kt68_Ähtäri,2020/03/04,1,"13 Linja-autot",,,,,,2,,1,2,,,,1,2,,1,,,,,,,1,
