"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1043,yt17367_Kurikka_Panttila,2020/03/01,1,"11 HA-PA",,2,,,,1,,2,2,5,3,4,4,4,5,5,7,10,5,2,11,4,2,
1043,yt17367_Kurikka_Panttila,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/01,2,"11 HA-PA",1,,,,,2,,1,5,1,4,5,10,7,6,5,6,7,9,3,1,4,3,1
1043,yt17367_Kurikka_Panttila,2020/03/01,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,,,,1
1043,yt17367_Kurikka_Panttila,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/02,1,"11 HA-PA",,,,1,1,4,2,4,,5,7,6,13,9,17,6,8,9,11,6,3,2,,
1043,yt17367_Kurikka_Panttila,2020/03/02,1,"12 KAIP",,,,,,,,,,,,,,1,,,1,,1,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/02,1,"16 HA + PK",,,,,1,,,,,,,,,,,,,,,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/02,2,"11 HA-PA",1,,,1,2,,5,3,12,7,5,8,5,8,9,5,6,8,7,2,1,1,1,
1043,yt17367_Kurikka_Panttila,2020/03/02,2,"12 KAIP",,,,,,,,1,,,,,,,1,,,,,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/02,2,"16 HA + PK",,,,,1,,,,,,,,,,,,,,,,,,,
1043,yt17367_Kurikka_Panttila,2020/03/03,1,"11 HA-PA",,,,,,2,3,3,2,6,4,6,5,10,8,8,11,10,8,9,5,5,,1
1043,yt17367_Kurikka_Panttila,2020/03/03,1,"12 KAIP",,,,,,,,,,1,1,,,,1,,,,,,,,,
