"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"11 HA-PA",17,11,13,7,22,87,188,302,239,188,202,177,270,267,315,552,491,285,201,140,128,103,64,31
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"12 KAIP",2,1,4,8,3,9,13,8,14,5,4,6,10,10,4,5,8,2,9,1,,1,1,
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"13 Linja-autot",,,,1,1,2,7,1,2,,1,1,2,2,,,2,,1,,,,,
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"14 KAPP",1,,2,,2,1,1,4,5,10,9,5,7,5,11,2,7,7,8,4,4,1,4,1
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"15 KATP",10,8,4,4,11,19,14,12,25,17,13,18,15,11,14,19,16,8,15,13,9,13,16,9
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"16 HA + PK",1,,,,,,3,4,8,7,10,11,6,3,6,2,6,6,3,8,2,2,1,
1207,vt4_Oulu_Haukipudas,2020/03/16,1,"17 HA + AV",,,1,,,,2,3,,1,2,1,3,,1,,1,1,1,2,1,1,,1
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"11 HA-PA",14,22,11,10,20,57,152,269,209,165,194,191,215,232,333,570,450,267,181,140,110,102,72,21
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"12 KAIP",2,1,3,4,6,4,11,11,8,7,6,10,11,4,8,7,2,6,8,3,4,4,2,2
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"13 Linja-autot",,,,,1,2,8,1,,,2,1,1,3,,1,2,,2,,2,,,1
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"14 KAPP",1,1,2,1,2,2,4,6,7,12,9,2,10,10,8,4,5,5,4,9,3,1,2,
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"15 KATP",6,12,11,18,16,16,13,11,21,24,21,13,15,21,15,19,12,10,12,16,10,7,13,12
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"16 HA + PK",,,,,,,3,4,3,2,8,4,5,7,3,2,10,5,1,2,4,8,4,
1207,vt4_Oulu_Haukipudas,2020/03/17,1,"17 HA + AV",,,,,,,,,,2,1,,,,3,,2,1,1,2,1,,1,1
1207,vt4_Oulu_Haukipudas,2020/03/17,2,"11 HA-PA",,,,,,,,,,,,,,,,,1,,,,,,,
1207,vt4_Oulu_Haukipudas,2020/03/18,1,"11 HA-PA",16,25,14,9,22,60,117,219,207,150,179,158,221,243,333,551,461,265,174,129,124,94,61,23
1207,vt4_Oulu_Haukipudas,2020/03/18,1,"12 KAIP",1,4,2,5,2,6,7,8,11,6,4,6,4,6,8,4,5,5,5,6,2,1,2,2
