"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1228,st847_Haukipudas,2020/03/01,1,"11 HA-PA",43,27,27,18,15,12,21,27,39,62,86,156,230,210,252,242,252,213,225,133,117,71,38,18
1228,st847_Haukipudas,2020/03/01,1,"12 KAIP",1,,,,,,,,1,1,6,1,2,2,1,2,3,2,1,,4,1,,
1228,st847_Haukipudas,2020/03/01,1,"13 Linja-autot",1,1,,1,,,,1,1,,4,1,4,1,3,2,1,2,2,2,1,,1,2
1228,st847_Haukipudas,2020/03/01,1,"14 KAPP",,,,,,,,,,1,,1,,,,,,,,,,1,,
1228,st847_Haukipudas,2020/03/01,1,"15 KATP",1,,,,,,,,,,,,,,1,,,1,,1,,,,
1228,st847_Haukipudas,2020/03/01,1,"16 HA + PK",1,,,,,,,,,3,3,1,1,4,5,5,3,,3,3,2,3,1,
1228,st847_Haukipudas,2020/03/01,1,"17 HA + AV",,,,,,,,,,1,,,,,,1,,,1,,1,,,
1228,st847_Haukipudas,2020/03/01,2,"11 HA-PA",22,22,20,13,13,22,34,35,39,63,116,157,236,243,242,255,227,248,195,155,115,57,30,21
1228,st847_Haukipudas,2020/03/01,2,"12 KAIP",,,,,,1,1,,1,,3,2,2,1,3,,1,2,3,,1,2,1,1
1228,st847_Haukipudas,2020/03/01,2,"13 Linja-autot",,,1,,,,,,1,1,1,1,2,3,2,1,2,,1,2,2,,2,
1228,st847_Haukipudas,2020/03/01,2,"14 KAPP",,,,,,,,,,,,1,,,,,,1,,,,1,,
1228,st847_Haukipudas,2020/03/01,2,"15 KATP",,,,,,,,,,,,,,1,1,2,,1,1,1,,,,
1228,st847_Haukipudas,2020/03/01,2,"16 HA + PK",,,,,,,1,,3,2,5,5,3,4,4,6,4,5,3,1,1,,,
1228,st847_Haukipudas,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,1,,1,,,,
1228,st847_Haukipudas,2020/03/02,1,"11 HA-PA",16,5,14,3,12,32,78,112,130,120,157,172,234,226,282,513,410,313,217,157,128,95,45,10
1228,st847_Haukipudas,2020/03/02,1,"12 KAIP",,,1,,,1,3,2,6,4,4,4,5,4,4,5,4,4,2,2,2,1,,
1228,st847_Haukipudas,2020/03/02,1,"13 Linja-autot",1,,,,1,1,1,5,5,4,4,4,4,6,5,6,8,7,5,5,3,2,1,1
1228,st847_Haukipudas,2020/03/02,1,"14 KAPP",,,1,1,,,,2,1,,2,2,3,2,1,,,1,,,,,1,
1228,st847_Haukipudas,2020/03/02,1,"15 KATP",,,,,,1,3,2,4,4,1,6,3,4,3,1,1,,1,1,,,,
1228,st847_Haukipudas,2020/03/02,1,"16 HA + PK",,,,,,,,,2,1,8,4,,7,4,3,1,1,1,5,2,1,1,1
1228,st847_Haukipudas,2020/03/02,1,"17 HA + AV",,,,,,1,,1,,1,4,,1,,1,1,,,,1,,,,
1228,st847_Haukipudas,2020/03/02,2,"11 HA-PA",11,10,8,11,19,69,327,344,250,183,157,221,239,220,212,248,224,216,176,149,114,72,23,18
1228,st847_Haukipudas,2020/03/02,2,"12 KAIP",3,,,,1,,2,5,3,6,2,3,7,4,4,3,3,4,4,4,1,,2,
1228,st847_Haukipudas,2020/03/02,2,"13 Linja-autot",,,,,,2,6,8,7,6,4,6,6,5,6,6,6,5,3,3,1,2,,1
1228,st847_Haukipudas,2020/03/02,2,"14 KAPP",,,,,,,,1,3,1,1,2,2,1,2,1,,,,,1,,,
1228,st847_Haukipudas,2020/03/02,2,"15 KATP",,,,,1,,1,5,3,5,1,3,5,4,2,2,3,1,,,1,1,1,
1228,st847_Haukipudas,2020/03/02,2,"16 HA + PK",,,,,1,1,4,2,5,6,7,5,9,5,6,4,3,3,4,3,3,1,1,
1228,st847_Haukipudas,2020/03/02,2,"17 HA + AV",,,,,,,1,1,,1,1,2,,1,,1,,1,,1,1,,,
1228,st847_Haukipudas,2020/03/03,1,"11 HA-PA",11,7,6,6,7,37,90,109,128,98,171,173,235,235,275,484,429,288,236,178,127,73,48,18
1228,st847_Haukipudas,2020/03/03,1,"12 KAIP",,1,,,,1,3,2,6,4,5,5,4,9,3,5,1,5,3,1,,1,,1
1228,st847_Haukipudas,2020/03/03,1,"13 Linja-autot",,,,,1,2,1,5,6,4,4,5,3,5,5,6,9,4,7,5,2,3,,1
1228,st847_Haukipudas,2020/03/03,1,"14 KAPP",,,,,,1,,,,,,,,,1,,,,,,,,,
1228,st847_Haukipudas,2020/03/03,1,"15 KATP",,,,,,,3,4,8,4,3,6,1,2,2,3,1,2,1,1,,,1,
1228,st847_Haukipudas,2020/03/03,1,"16 HA + PK",,,,,,,,,4,3,,4,6,5,3,6,9,4,3,2,2,,,
1228,st847_Haukipudas,2020/03/03,1,"17 HA + AV",,,,,,1,,1,1,,2,1,1,2,,,1,,1,,,,,
1228,st847_Haukipudas,2020/03/03,2,"11 HA-PA",4,5,2,8,20,74,315,328,208,163,155,210,235,211,227,270,232,230,188,170,117,88,28,18
1228,st847_Haukipudas,2020/03/03,2,"12 KAIP",,1,1,,1,1,2,1,6,3,6,5,6,3,7,2,1,1,1,4,2,,2,
1228,st847_Haukipudas,2020/03/03,2,"13 Linja-autot",,,,,,3,5,7,5,6,5,4,6,4,8,5,6,5,4,3,2,2,,1
1228,st847_Haukipudas,2020/03/03,2,"14 KAPP",,,1,,,1,1,,,2,,2,1,1,1,,,,,,,,,
1228,st847_Haukipudas,2020/03/03,2,"15 KATP",,,,,,,9,4,4,4,3,4,5,5,3,3,2,,1,1,1,,,
1228,st847_Haukipudas,2020/03/03,2,"16 HA + PK",,,,,2,2,5,3,1,2,5,6,8,7,7,5,1,4,3,2,1,,,1
1228,st847_Haukipudas,2020/03/03,2,"17 HA + AV",,,1,,,,,1,1,,1,,,1,1,1,1,1,1,,,,,
1228,st847_Haukipudas,2020/03/04,1,"11 HA-PA",12,13,6,7,10,40,76,111,142,135,156,209,243,257,315,491,405,325,268,167,139,80,62,20
1228,st847_Haukipudas,2020/03/04,1,"12 KAIP",1,1,,,,1,4,1,8,3,5,4,6,5,5,1,6,1,2,,1,3,2,1
1228,st847_Haukipudas,2020/03/04,1,"13 Linja-autot",,,,,1,2,2,6,5,4,4,5,4,6,5,9,6,7,5,5,3,3,2,1
1228,st847_Haukipudas,2020/03/04,1,"14 KAPP",,,,,,1,,1,,,2,1,,1,,1,1,,1,,,,,
1228,st847_Haukipudas,2020/03/04,1,"15 KATP",,,,,,2,2,1,6,6,1,4,2,3,2,1,,,1,1,1,,,
1228,st847_Haukipudas,2020/03/04,1,"16 HA + PK",,1,,,,,2,,4,2,3,4,2,4,5,7,6,4,,3,5,,,
1228,st847_Haukipudas,2020/03/04,1,"17 HA + AV",,,,,,,1,,1,3,,2,,1,1,2,1,1,1,,,,,
1228,st847_Haukipudas,2020/03/04,2,"11 HA-PA",17,11,4,8,15,74,291,307,207,176,212,231,228,242,255,265,243,192,209,172,116,71,39,19
1228,st847_Haukipudas,2020/03/04,2,"12 KAIP",1,,1,,2,,3,4,4,2,3,5,5,4,6,3,3,3,,2,1,1,1,
1228,st847_Haukipudas,2020/03/04,2,"13 Linja-autot",,,,,,2,6,8,6,6,5,5,7,5,6,6,8,4,5,3,4,2,1,1
1228,st847_Haukipudas,2020/03/04,2,"14 KAPP",,,,,,1,1,,1,,2,1,1,2,,2,,,,,,,,
1228,st847_Haukipudas,2020/03/04,2,"15 KATP",,,,,,1,3,3,4,2,5,4,3,6,2,3,,2,4,,3,2,,
1228,st847_Haukipudas,2020/03/04,2,"16 HA + PK",,,,,,1,3,2,7,3,6,6,6,4,7,6,4,3,6,2,3,3,1,
1228,st847_Haukipudas,2020/03/04,2,"17 HA + AV",,,,,,,,2,1,,1,1,2,4,1,1,,1,1,,,,,
1228,st847_Haukipudas,2020/03/05,1,"11 HA-PA",23,11,9,2,9,38,83,100,98,129,132,191,199,229,325,450,437,306,239,183,146,88,46,16
1228,st847_Haukipudas,2020/03/05,1,"12 KAIP",,2,,1,,,5,4,2,4,4,4,3,4,2,6,1,2,2,1,,,1,1
