"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
126,st101_Konala,2020/03/01,1,"11 HA-PA",337,190,176,142,155,243,232,321,552,965,1274,1622,1775,2118,2319,2300,2211,2267,2114,1706,1087,745,548,219
126,st101_Konala,2020/03/01,1,"12 KAIP",2,1,1,,,1,1,4,2,3,9,4,7,10,13,8,9,6,9,7,6,13,6,2
126,st101_Konala,2020/03/01,1,"13 Linja-autot",5,,,2,,2,,3,3,1,1,2,3,2,2,9,3,3,5,4,3,4,2,5
126,st101_Konala,2020/03/01,1,"14 KAPP",,,,,,1,2,,,1,1,3,8,19,17,18,50,4,1,35,2,35,37,4
126,st101_Konala,2020/03/01,1,"15 KATP",1,1,,,,,,,,,2,2,2,1,3,1,7,3,2,4,1,5,3,1
126,st101_Konala,2020/03/01,1,"16 HA + PK",,3,,,1,,2,,4,8,8,11,8,9,14,6,8,13,4,12,6,2,1,
126,st101_Konala,2020/03/01,1,"17 HA + AV",,,,,,,,,,1,1,,2,1,1,1,4,,,1,1,1,,
126,st101_Konala,2020/03/01,2,"11 HA-PA",414,212,170,123,154,175,234,308,494,745,1167,1550,1826,2292,2480,2434,2351,2447,2292,1803,1348,827,548,369
126,st101_Konala,2020/03/01,2,"12 KAIP",,,,1,1,1,1,6,12,3,9,7,16,5,10,7,10,6,10,10,5,7,5,4
126,st101_Konala,2020/03/01,2,"13 Linja-autot",2,,1,,,3,9,6,2,2,4,4,5,6,5,6,6,3,3,2,4,,1,
126,st101_Konala,2020/03/01,2,"14 KAPP",,,,,,2,3,5,17,2,2,9,8,5,15,5,7,5,1,4,2,9,4,1
126,st101_Konala,2020/03/01,2,"15 KATP",1,,,,,1,,2,4,2,2,,2,1,2,2,1,4,2,1,5,3,5,2
126,st101_Konala,2020/03/01,2,"16 HA + PK",,1,,,,,,2,4,1,4,9,13,11,11,18,16,7,15,7,9,3,4,2
126,st101_Konala,2020/03/01,2,"17 HA + AV",,,,,1,,,1,2,,1,2,1,,2,,1,,1,1,,,,
126,st101_Konala,2020/03/02,1,"11 HA-PA",176,100,47,73,148,578,2264,3556,4033,2270,1774,1766,1860,2125,2904,4077,3443,3242,2225,1577,1316,974,472,286
126,st101_Konala,2020/03/02,1,"12 KAIP",6,3,7,6,12,19,32,37,61,75,103,81,87,98,104,71,40,36,33,25,21,13,7,6
126,st101_Konala,2020/03/02,1,"13 Linja-autot",3,4,1,,,2,4,5,8,14,9,4,6,7,8,7,7,5,8,9,8,7,10,8
126,st101_Konala,2020/03/02,1,"14 KAPP",16,3,2,3,4,7,26,9,31,48,73,14,25,46,47,12,65,6,15,18,2,43,43,6
126,st101_Konala,2020/03/02,1,"15 KATP",1,6,5,3,3,8,13,10,20,14,26,26,21,33,16,15,19,8,6,8,5,8,10,6
126,st101_Konala,2020/03/02,1,"16 HA + PK",,,,,,1,5,8,12,11,18,14,12,13,24,11,16,12,7,8,3,3,,1
126,st101_Konala,2020/03/02,1,"17 HA + AV",,,,,,,2,2,7,1,3,5,3,3,6,3,5,1,2,3,3,,1,
126,st101_Konala,2020/03/02,2,"11 HA-PA",210,127,59,58,142,710,3040,3833,3492,2494,1748,1686,1809,1834,2346,3664,4257,3238,2108,1567,1345,957,568,375
126,st101_Konala,2020/03/02,2,"12 KAIP",3,3,8,12,18,34,121,82,85,81,66,67,97,79,76,39,30,31,13,19,12,10,6,4
126,st101_Konala,2020/03/02,2,"13 Linja-autot",2,4,,,5,17,14,14,4,8,4,5,6,13,8,10,6,8,6,6,7,5,3,3
126,st101_Konala,2020/03/02,2,"14 KAPP",5,3,5,3,6,15,21,21,23,23,23,40,38,45,30,21,37,40,20,19,11,5,7,4
126,st101_Konala,2020/03/02,2,"15 KATP",2,5,6,4,7,9,23,16,12,28,17,27,34,20,24,17,15,13,6,12,11,4,5,1
126,st101_Konala,2020/03/02,2,"16 HA + PK",,1,,1,2,3,13,8,11,29,24,14,22,22,17,21,15,15,9,10,3,4,,1
126,st101_Konala,2020/03/02,2,"17 HA + AV",,,,,1,3,14,5,4,4,8,5,8,3,3,6,1,1,5,1,1,,2,
126,st101_Konala,2020/03/03,1,"11 HA-PA",131,62,48,58,143,553,2263,3689,3966,2311,1742,1798,1877,2090,2999,3984,3455,3214,2349,1654,1396,1031,484,317
126,st101_Konala,2020/03/03,1,"12 KAIP",4,4,8,12,14,17,48,42,79,83,92,95,99,83,93,76,36,32,33,24,15,13,5,4
126,st101_Konala,2020/03/03,1,"13 Linja-autot",9,2,3,1,3,4,5,7,7,9,8,6,6,5,12,5,5,7,9,10,9,8,9,9
126,st101_Konala,2020/03/03,1,"14 KAPP",27,10,3,3,4,7,14,14,35,52,73,20,26,57,39,7,33,5,11,37,4,54,38,1
126,st101_Konala,2020/03/03,1,"15 KATP",7,2,3,3,5,5,12,13,28,22,36,14,25,19,23,14,9,12,11,9,2,7,4,3
126,st101_Konala,2020/03/03,1,"16 HA + PK",2,1,1,,,1,3,8,10,14,13,8,16,14,9,13,5,7,9,4,3,2,1,
126,st101_Konala,2020/03/03,1,"17 HA + AV",,,,,,1,3,2,2,3,3,1,3,5,1,5,4,1,3,,1,,2,
126,st101_Konala,2020/03/03,2,"11 HA-PA",158,88,45,56,122,746,3153,3953,3384,2407,1595,1843,1840,1996,2364,3803,4352,3121,2182,1643,1488,980,670,402
126,st101_Konala,2020/03/03,2,"12 KAIP",4,4,9,13,15,48,113,120,86,84,86,76,86,79,63,45,30,21,16,14,14,3,5,5
126,st101_Konala,2020/03/03,2,"13 Linja-autot",4,2,1,2,7,23,10,13,9,6,6,9,7,9,6,10,9,6,6,5,6,6,1,4
126,st101_Konala,2020/03/03,2,"14 KAPP",4,2,5,6,5,16,32,32,36,31,22,30,28,48,46,27,33,42,22,28,15,13,6,6
126,st101_Konala,2020/03/03,2,"15 KATP",2,4,6,3,6,15,34,17,15,25,20,27,24,25,16,23,12,11,8,8,6,7,10,4
126,st101_Konala,2020/03/03,2,"16 HA + PK",1,,,,3,6,13,20,16,18,24,17,27,15,10,13,12,8,16,6,2,3,1,
126,st101_Konala,2020/03/03,2,"17 HA + AV",,,,,3,2,4,5,3,7,3,6,11,5,4,3,3,4,4,,,1,,1
126,st101_Konala,2020/03/04,1,"11 HA-PA",148,65,51,60,140,582,2155,3653,3907,2292,1709,1859,1911,2225,2962,3673,1572,2921,2252,1647,1386,1036,490,274
126,st101_Konala,2020/03/04,1,"12 KAIP",2,6,4,8,12,18,45,42,76,75,92,80,88,98,89,82,26,29,22,21,12,14,9,5
126,st101_Konala,2020/03/04,1,"13 Linja-autot",7,4,3,1,3,3,4,4,7,19,7,8,4,11,11,5,5,11,11,8,8,6,8,10
126,st101_Konala,2020/03/04,1,"14 KAPP",3,28,2,4,3,5,14,9,22,61,68,15,16,66,10,32,19,9,12,33,5,44,44,4
126,st101_Konala,2020/03/04,1,"15 KATP",5,6,4,3,5,6,12,24,19,30,37,25,26,17,19,14,13,6,8,10,5,7,6,5
126,st101_Konala,2020/03/04,1,"16 HA + PK",1,1,,,,1,6,4,9,9,10,9,9,9,13,5,,8,5,9,9,3,,
126,st101_Konala,2020/03/04,1,"17 HA + AV",2,,,1,,,1,2,4,5,3,2,1,2,3,3,4,3,2,2,,1,2,
126,st101_Konala,2020/03/04,2,"11 HA-PA",165,74,56,53,148,737,2995,3654,3652,2322,1728,1775,1802,1772,2460,3527,3899,3056,2157,1585,1443,955,578,371
126,st101_Konala,2020/03/04,2,"12 KAIP",3,3,8,8,23,42,116,99,80,76,97,74,88,86,74,50,28,25,21,17,9,4,4,7
126,st101_Konala,2020/03/04,2,"13 Linja-autot",2,2,,,6,15,15,14,6,8,7,7,12,10,9,9,6,11,10,5,4,4,1,4
126,st101_Konala,2020/03/04,2,"14 KAPP",1,2,3,5,12,23,30,24,31,23,36,41,45,45,38,42,33,31,19,23,12,9,4,3
126,st101_Konala,2020/03/04,2,"15 KATP",,6,8,3,5,13,31,27,27,23,26,25,29,30,19,17,19,6,14,7,12,4,6,7
126,st101_Konala,2020/03/04,2,"16 HA + PK",2,,1,,2,6,6,16,7,14,13,16,13,12,8,13,14,9,9,5,7,3,3,1
126,st101_Konala,2020/03/04,2,"17 HA + AV",,,1,1,1,5,4,8,6,5,5,6,2,4,4,2,4,1,1,2,,1,1,
126,st101_Konala,2020/03/05,1,"11 HA-PA",138,74,45,66,145,596,2160,3714,2132,2106,1742,1873,1952,2300,3017,4127,3487,3202,2384,1753,1415,1076,485,309
126,st101_Konala,2020/03/05,1,"12 KAIP",3,4,6,7,12,19,44,58,53,80,105,92,97,101,100,71,40,52,38,27,15,14,8,3
126,st101_Konala,2020/03/05,1,"13 Linja-autot",6,2,1,,1,3,5,4,8,8,8,7,7,9,8,6,7,4,9,13,9,8,6,9
126,st101_Konala,2020/03/05,1,"14 KAPP",39,10,2,3,2,6,19,15,6,39,43,14,26,49,38,13,40,12,21,20,4,36,23,3
126,st101_Konala,2020/03/05,1,"15 KATP",9,6,3,2,3,7,14,19,12,16,34,25,25,25,29,23,15,8,10,6,6,6,3,6
126,st101_Konala,2020/03/05,1,"16 HA + PK",,1,,,,1,4,7,3,14,7,10,15,22,12,8,8,6,4,3,8,2,1,
126,st101_Konala,2020/03/05,1,"17 HA + AV",,,,,,,2,,2,4,3,2,2,3,2,3,4,2,,2,2,,,
126,st101_Konala,2020/03/05,2,"11 HA-PA",178,89,47,59,142,733,3150,3888,3438,2335,1783,1815,1961,1979,2506,3766,4091,3176,2126,1785,1459,963,633,428
126,st101_Konala,2020/03/05,2,"12 KAIP",6,3,11,12,19,55,124,94,87,88,89,91,79,88,76,45,31,33,27,19,6,8,7,6
126,st101_Konala,2020/03/05,2,"13 Linja-autot",3,,,,5,17,13,12,6,5,6,5,10,8,11,10,6,4,7,9,8,4,2,4
126,st101_Konala,2020/03/05,2,"14 KAPP",6,3,3,4,7,30,40,33,38,19,25,45,31,54,34,28,35,33,26,34,19,7,6,5
126,st101_Konala,2020/03/05,2,"15 KATP",3,3,4,1,6,12,38,32,35,30,36,27,31,31,32,19,14,12,13,8,14,6,6,5
126,st101_Konala,2020/03/05,2,"16 HA + PK",,2,,,5,1,21,15,16,22,18,9,15,17,13,17,6,13,10,6,4,2,4,
126,st101_Konala,2020/03/05,2,"17 HA + AV",,,,,1,,6,7,3,7,11,6,7,3,6,5,1,4,3,1,,2,1,1
126,st101_Konala,2020/03/06,1,"11 HA-PA",141,76,61,75,152,557,1959,3363,3547,2098,1876,1964,2221,2601,3514,3019,2781,2773,2144,1543,1227,1108,697,395
126,st101_Konala,2020/03/06,1,"12 KAIP",3,5,7,12,9,24,33,40,57,78,88,81,74,109,98,52,50,29,21,22,16,13,8,3
126,st101_Konala,2020/03/06,1,"13 Linja-autot",9,5,6,,,2,11,9,12,11,9,9,11,9,8,8,6,7,8,8,11,4,4,7
126,st101_Konala,2020/03/06,1,"14 KAPP",29,4,6,2,3,5,15,13,37,30,28,13,27,23,16,8,11,2,4,6,2,13,8,2
126,st101_Konala,2020/03/06,1,"15 KATP",9,4,4,1,2,6,18,29,24,26,30,26,19,21,14,10,9,2,7,5,5,3,4,2
126,st101_Konala,2020/03/06,1,"16 HA + PK",1,,1,,1,1,5,6,10,10,17,15,5,8,14,8,8,15,4,13,3,4,1,
126,st101_Konala,2020/03/06,1,"17 HA + AV",,,,,,,2,2,2,1,4,2,7,8,6,1,1,2,,1,1,2,,1
126,st101_Konala,2020/03/06,2,"11 HA-PA",188,67,71,42,132,691,2987,3443,3261,2237,1652,1950,2003,2197,2748,3842,3964,2994,2148,1554,1318,1035,736,535
126,st101_Konala,2020/03/06,2,"12 KAIP",3,7,13,12,20,43,119,95,106,72,71,69,76,86,56,41,31,18,19,14,11,9,2,1
126,st101_Konala,2020/03/06,2,"13 Linja-autot",2,1,3,1,7,21,13,9,7,5,9,8,7,10,6,9,8,12,10,5,6,6,1,3
126,st101_Konala,2020/03/06,2,"14 KAPP",2,1,2,4,11,28,42,31,45,23,13,52,35,43,49,26,29,29,23,26,15,9,5,1
126,st101_Konala,2020/03/06,2,"15 KATP",1,7,6,1,4,12,43,29,38,21,23,27,21,20,18,18,9,8,7,9,5,3,4,2
126,st101_Konala,2020/03/06,2,"16 HA + PK",1,,1,1,3,2,7,19,14,21,16,11,18,19,14,14,13,8,10,8,4,9,,
126,st101_Konala,2020/03/06,2,"17 HA + AV",,,1,,1,5,4,7,6,5,4,3,6,2,4,5,,6,1,1,1,1,2,1
126,st101_Konala,2020/03/07,1,"11 HA-PA",258,164,116,117,169,301,376,568,959,1587,1750,2021,2080,2346,2445,2247,2340,2072,1745,1428,1002,791,880,966
126,st101_Konala,2020/03/07,1,"12 KAIP",3,3,3,6,6,7,8,7,14,14,10,13,9,10,9,9,8,7,10,3,6,7,4,2
126,st101_Konala,2020/03/07,1,"13 Linja-autot",5,1,1,,2,2,2,1,3,2,4,2,2,5,4,1,3,3,6,6,6,4,4,7
126,st101_Konala,2020/03/07,1,"14 KAPP",9,2,3,2,7,2,2,2,9,6,6,4,7,5,14,2,7,2,4,2,,21,4,1
126,st101_Konala,2020/03/07,1,"15 KATP",,3,2,,,1,3,,1,1,2,,3,7,4,4,3,1,2,,2,7,3,
126,st101_Konala,2020/03/07,1,"16 HA + PK",,,,,,1,1,1,3,7,6,9,19,15,21,11,8,13,11,4,2,,,2
126,st101_Konala,2020/03/07,1,"17 HA + AV",,,,,,,,,1,,1,,,,2,1,,2,1,1,1,,,
126,st101_Konala,2020/03/07,2,"11 HA-PA",310,208,147,77,122,223,449,553,849,1226,1536,1816,2094,2387,2437,2408,2385,2334,2243,1784,1261,845,739,595
126,st101_Konala,2020/03/07,2,"12 KAIP",5,3,2,4,7,7,9,12,8,9,10,18,7,12,2,13,9,5,2,11,6,3,5,2
126,st101_Konala,2020/03/07,2,"13 Linja-autot",1,1,1,,1,7,7,8,9,7,5,6,5,4,4,4,1,6,6,1,1,4,5,1
126,st101_Konala,2020/03/07,2,"14 KAPP",3,3,2,5,10,26,19,17,25,6,7,16,20,8,6,3,5,2,1,2,,,1,1
126,st101_Konala,2020/03/07,2,"15 KATP",2,,2,2,,7,9,7,5,7,9,8,5,2,,1,4,3,3,2,,,,
126,st101_Konala,2020/03/07,2,"16 HA + PK",,2,1,,3,3,3,4,8,15,15,16,17,12,14,10,11,19,12,5,4,3,,
126,st101_Konala,2020/03/07,2,"17 HA + AV",,,,,1,2,,1,,2,4,1,,1,,,3,1,,,,,,1
126,st101_Konala,2020/03/08,1,"11 HA-PA",341,270,141,124,150,248,225,339,614,926,1422,1735,1896,2239,2376,2390,2352,2277,1974,1543,1153,795,530,241
126,st101_Konala,2020/03/08,1,"12 KAIP",1,2,2,1,,,,,1,9,5,8,3,3,5,2,7,4,3,9,9,11,4,4
126,st101_Konala,2020/03/08,1,"13 Linja-autot",6,1,2,,,1,1,,1,3,4,2,4,3,4,5,6,2,4,3,8,5,4,5
126,st101_Konala,2020/03/08,1,"14 KAPP",,,1,2,1,1,,,,5,1,2,13,21,19,11,30,,14,22,4,46,23,3
126,st101_Konala,2020/03/08,1,"15 KATP",,,,,,1,,,1,2,1,1,3,3,4,4,4,2,3,3,2,2,5,3
