"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1402,vt4_Ivalo,2020/03/01,1,"11 HA-PA",16,6,5,6,20,5,2,14,8,15,37,50,46,51,71,75,77,75,54,42,41,37,14,10
1402,vt4_Ivalo,2020/03/01,1,"12 KAIP",1,,,,1,,1,,,1,1,,2,2,1,1,,2,3,1,4,,,
1402,vt4_Ivalo,2020/03/01,1,"13 Linja-autot",,,,,1,,,3,,,5,4,4,3,3,4,,3,1,3,3,,2,2
1402,vt4_Ivalo,2020/03/01,1,"14 KAPP",,,,,,,,,,2,,,2,2,,,5,1,2,1,3,1,,
1402,vt4_Ivalo,2020/03/01,1,"15 KATP",,,,1,,,,,,1,1,1,1,3,3,,1,2,2,,3,1,,1
1402,vt4_Ivalo,2020/03/01,1,"16 HA + PK",,,1,,,,,1,,2,,1,1,3,,6,2,,5,4,4,1,1,1
1402,vt4_Ivalo,2020/03/01,1,"17 HA + AV",,,,,,,,2,,,,1,,2,1,1,2,,,,2,,2,
1402,vt4_Ivalo,2020/03/01,2,"11 HA-PA",11,2,2,9,9,11,17,17,30,42,54,56,66,62,68,62,46,31,35,24,14,23,18,7
1402,vt4_Ivalo,2020/03/01,2,"12 KAIP",1,,,2,,2,3,1,2,3,6,5,4,5,5,3,1,5,3,3,4,,5,1
1402,vt4_Ivalo,2020/03/01,2,"13 Linja-autot",,,1,,,,1,,3,2,2,2,,1,2,,2,1,1,1,,,,
1402,vt4_Ivalo,2020/03/01,2,"14 KAPP",,,,,,1,,,,1,,1,,2,,1,1,1,,,,1,1,
1402,vt4_Ivalo,2020/03/01,2,"15 KATP",,,,,,,,,,,1,,,3,,3,,1,1,1,1,,2,
1402,vt4_Ivalo,2020/03/01,2,"16 HA + PK",,1,,1,,,,,2,2,1,1,2,4,2,4,,2,2,2,1,,1,
1402,vt4_Ivalo,2020/03/01,2,"17 HA + AV",,,,,,,,,,1,,1,1,,2,1,,,1,,,,,
1402,vt4_Ivalo,2020/03/02,1,"11 HA-PA",3,3,4,2,4,1,4,45,28,42,46,44,52,57,69,81,84,90,61,39,31,27,19,10
1402,vt4_Ivalo,2020/03/02,1,"12 KAIP",3,,,,,,,2,1,7,2,4,5,2,6,1,,2,2,,2,,,
1402,vt4_Ivalo,2020/03/02,1,"13 Linja-autot",1,,,,,,,2,,,3,1,3,1,3,1,,2,1,3,1,3,,2
1402,vt4_Ivalo,2020/03/02,1,"14 KAPP",,,,,,1,3,1,,,,3,1,1,1,,1,,,,,,,
1402,vt4_Ivalo,2020/03/02,1,"15 KATP",,,1,,,,1,3,2,1,3,3,,1,1,,4,1,,,4,,1,
1402,vt4_Ivalo,2020/03/02,1,"16 HA + PK",,,,,,1,,2,,1,1,2,3,3,2,7,1,1,1,1,,,,1
1402,vt4_Ivalo,2020/03/02,1,"17 HA + AV",,,,,,,,1,,,1,3,1,2,1,,2,3,,,,,,
1402,vt4_Ivalo,2020/03/02,2,"11 HA-PA",1,2,1,1,3,11,21,29,48,54,47,54,57,52,49,46,60,48,30,28,16,12,12,11
1402,vt4_Ivalo,2020/03/02,2,"12 KAIP",,1,,,,1,3,3,3,3,5,5,4,6,4,2,3,2,4,4,,2,2,
1402,vt4_Ivalo,2020/03/02,2,"13 Linja-autot",,,,,,,,1,1,,3,2,,3,2,2,2,,,,,,,1
1402,vt4_Ivalo,2020/03/02,2,"14 KAPP",1,,,,,,1,,1,1,,1,1,3,1,2,2,1,,1,,2,2,
