"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
141,vt7_Box,2020/03/01,1,"11 HA-PA",196,81,32,26,48,29,89,107,183,269,459,550,636,657,742,787,815,765,710,590,404,237,186,117
141,vt7_Box,2020/03/01,1,"12 KAIP",3,1,1,,,1,,3,1,3,2,3,7,6,6,5,4,10,6,4,7,2,2,1
141,vt7_Box,2020/03/01,1,"13 Linja-autot",,,1,1,,,,,1,2,4,3,,6,3,5,5,4,5,4,12,2,3,1
141,vt7_Box,2020/03/01,1,"14 KAPP",2,,,,,,1,1,1,4,13,5,4,3,3,7,7,7,4,7,8,6,14,4
141,vt7_Box,2020/03/01,1,"15 KATP",,3,,2,2,1,1,4,,3,2,3,5,2,3,7,5,6,4,6,6,5,7,6
141,vt7_Box,2020/03/01,1,"16 HA + PK",,,1,1,,,,,,1,4,6,3,11,7,9,7,8,6,8,5,2,1,2
141,vt7_Box,2020/03/01,1,"17 HA + AV",,,,,,,,,,1,1,,,,,,1,1,,1,1,2,1,
141,vt7_Box,2020/03/01,2,"11 HA-PA",68,40,34,28,44,83,122,147,197,391,541,690,799,959,949,971,921,919,813,588,403,258,145,66
141,vt7_Box,2020/03/01,2,"12 KAIP",1,1,,,,,1,2,2,3,1,4,6,9,9,5,2,3,7,1,3,3,,2
141,vt7_Box,2020/03/01,2,"13 Linja-autot",,,,1,,1,,,2,2,,8,8,3,,5,5,4,3,4,,2,,
141,vt7_Box,2020/03/01,2,"14 KAPP",3,1,2,2,4,,5,1,2,1,5,10,9,9,11,7,5,7,14,6,8,6,2,4
141,vt7_Box,2020/03/01,2,"15 KATP",1,2,2,1,,2,2,1,3,4,2,5,5,4,5,,3,6,11,6,3,8,7,4
141,vt7_Box,2020/03/01,2,"16 HA + PK",1,,,,1,,,1,3,2,7,5,9,13,11,9,6,6,9,8,3,1,2,
141,vt7_Box,2020/03/01,2,"17 HA + AV",2,,,,,,,,,,1,1,1,,2,,2,,,,1,,,1
141,vt7_Box,2020/03/02,1,"11 HA-PA",56,66,20,14,32,119,711,852,801,508,477,519,486,574,728,1436,1659,1133,695,446,302,263,229,93
141,vt7_Box,2020/03/02,1,"12 KAIP",1,3,,6,7,10,10,29,32,25,34,23,30,28,22,30,18,10,8,5,4,3,5,4
141,vt7_Box,2020/03/02,1,"13 Linja-autot",2,,,,,,2,7,6,2,2,6,2,1,4,8,8,7,4,3,5,2,4,
141,vt7_Box,2020/03/02,1,"14 KAPP",2,2,5,5,1,1,9,26,26,33,47,48,37,37,34,33,31,25,18,8,5,3,18,6
141,vt7_Box,2020/03/02,1,"15 KATP",7,8,8,5,8,14,16,16,29,32,26,27,21,18,19,24,16,14,29,20,12,13,15,12
141,vt7_Box,2020/03/02,1,"16 HA + PK",,,,,,,1,3,2,4,5,7,6,8,4,15,13,4,5,4,3,,,1
141,vt7_Box,2020/03/02,1,"17 HA + AV",,,,,,,1,2,3,1,,3,3,3,2,2,1,2,1,,1,,,
141,vt7_Box,2020/03/02,2,"11 HA-PA",25,19,13,39,104,504,1319,1667,1287,726,512,534,536,602,612,883,1034,642,458,365,261,198,73,48
141,vt7_Box,2020/03/02,2,"12 KAIP",3,3,7,7,4,21,35,25,28,32,23,21,34,22,17,16,14,14,8,3,3,,1,2
141,vt7_Box,2020/03/02,2,"13 Linja-autot",7,5,,2,,2,4,2,4,3,3,5,4,7,3,6,4,5,3,2,1,,,
141,vt7_Box,2020/03/02,2,"14 KAPP",5,3,5,2,1,8,20,13,27,35,34,36,33,33,42,43,50,45,29,23,13,7,5,2
141,vt7_Box,2020/03/02,2,"15 KATP",1,1,6,13,14,18,23,16,22,25,32,15,23,31,26,28,27,19,14,28,18,9,14,6
141,vt7_Box,2020/03/02,2,"16 HA + PK",,,,,,2,7,8,4,5,7,4,7,7,4,1,5,6,5,3,2,1,,
141,vt7_Box,2020/03/02,2,"17 HA + AV",,,1,1,,,4,2,1,1,3,1,4,3,3,1,1,,,,,,,
