"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1433,st937_Pello,2020/03/01,1,"11 HA-PA",1,1,,,1,1,1,4,2,9,20,22,40,39,46,43,48,32,22,19,7,9,3,
1433,st937_Pello,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1433,st937_Pello,2020/03/01,1,"14 KAPP",,,,,,,,,,,,,,1,,,1,1,,,,,,
1433,st937_Pello,2020/03/01,1,"16 HA + PK",,,,,,,,,,2,,,,1,1,1,2,2,,1,,1,,
1433,st937_Pello,2020/03/01,2,"11 HA-PA",1,2,,1,,,1,,3,7,10,22,43,41,51,29,43,49,24,12,7,7,4,
1433,st937_Pello,2020/03/01,2,"12 KAIP",,,,,,,,1,,,,1,,,,,,1,,,,,,
1433,st937_Pello,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,1,,,,
1433,st937_Pello,2020/03/01,2,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,,
1433,st937_Pello,2020/03/01,2,"16 HA + PK",,,,,,,,,,,1,,1,,,1,4,1,,,,,,
1433,st937_Pello,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,,,
1433,st937_Pello,2020/03/02,1,"11 HA-PA",2,1,,,3,3,3,5,6,26,46,40,58,32,36,38,47,39,21,20,5,6,4,
1433,st937_Pello,2020/03/02,1,"12 KAIP",,,,,,,1,,,,2,,,,,,1,,,,,,,
1433,st937_Pello,2020/03/02,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,,,
1433,st937_Pello,2020/03/02,1,"15 KATP",,,,,,1,,1,,1,1,,,,,,,1,,,,,,
1433,st937_Pello,2020/03/02,1,"16 HA + PK",,,,,,,,,,,,3,,1,1,1,,1,1,,1,,,1
1433,st937_Pello,2020/03/02,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1433,st937_Pello,2020/03/02,2,"11 HA-PA",1,1,1,1,1,,4,2,8,19,42,40,51,38,37,40,44,41,27,23,6,4,3,2
1433,st937_Pello,2020/03/02,2,"12 KAIP",,,,,,,,1,,,1,,,,,,,,,,,,,
1433,st937_Pello,2020/03/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1433,st937_Pello,2020/03/02,2,"15 KATP",,,,,,,,,,,1,,,1,,1,,1,1,,,,,
1433,st937_Pello,2020/03/02,2,"16 HA + PK",,,,,,,,,,,,2,,2,1,,1,,,1,1,,,
1433,st937_Pello,2020/03/03,1,"11 HA-PA",1,,,1,2,,6,5,7,26,33,64,72,50,41,58,47,37,35,18,10,3,2,2
1433,st937_Pello,2020/03/03,1,"12 KAIP",,,,,,,,,,1,,,,,,,,,,,,,,
1433,st937_Pello,2020/03/03,1,"13 Linja-autot",,,,,,,,,,1,,1,,,,,1,,,,,,,
1433,st937_Pello,2020/03/03,1,"14 KAPP",,,,,,,,1,1,,,,,,,,,,1,,,,,
1433,st937_Pello,2020/03/03,1,"15 KATP",,,,,1,,1,1,,,,,,,,,,,,1,,,,
1433,st937_Pello,2020/03/03,1,"16 HA + PK",,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,,
1433,st937_Pello,2020/03/03,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1433,st937_Pello,2020/03/03,2,"11 HA-PA",,1,,,3,2,4,2,7,21,36,45,57,56,47,50,43,50,39,17,6,6,1,1
1433,st937_Pello,2020/03/03,2,"12 KAIP",,,,,,,,,,1,,,1,,,2,,,,,,1,,
1433,st937_Pello,2020/03/03,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
1433,st937_Pello,2020/03/03,2,"14 KAPP",,,,,,1,,,,,,,,,,,,1,,,,,,
1433,st937_Pello,2020/03/03,2,"15 KATP",,,,,,,,,,,2,,,,,1,,,,1,,,,
1433,st937_Pello,2020/03/03,2,"16 HA + PK",,,,,,,,,,,1,,,,2,1,,2,,1,,1,,
1433,st937_Pello,2020/03/03,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,1,,
1433,st937_Pello,2020/03/04,1,"11 HA-PA",,,,1,2,,6,4,5,15,33,47,50,65,42,58,44,38,58,15,13,5,2,1
1433,st937_Pello,2020/03/04,1,"12 KAIP",,,,,,,1,1,,,,,1,1,,,,,,,,,,
1433,st937_Pello,2020/03/04,1,"13 Linja-autot",,,,,,,,,,,1,1,,,,,,,,,,,,
