"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
145,st101_Kannelmäki,2020/03/01,1,"11 HA-PA",366,219,197,163,182,257,288,369,638,1060,1463,1849,2086,2381,2609,2658,2446,2496,2397,1901,1215,828,665,236
145,st101_Kannelmäki,2020/03/01,1,"12 KAIP",1,,1,,1,2,,4,5,7,10,7,13,11,14,16,15,9,14,11,7,12,5,8
145,st101_Kannelmäki,2020/03/01,1,"13 Linja-autot",8,1,3,1,1,1,1,2,3,1,1,4,2,2,2,8,5,3,4,8,6,3,1,3
145,st101_Kannelmäki,2020/03/01,1,"14 KAPP",2,,,1,,1,1,1,,1,2,2,8,15,10,11,39,5,2,36,2,25,34,3
145,st101_Kannelmäki,2020/03/01,1,"15 KATP",1,1,,,1,,,,2,,2,4,6,5,7,2,22,4,2,6,1,9,7,3
145,st101_Kannelmäki,2020/03/01,1,"16 HA + PK",6,2,,,1,,2,,3,10,11,15,10,18,19,10,11,15,9,15,9,2,2,1
145,st101_Kannelmäki,2020/03/01,1,"17 HA + AV",1,1,,,,,,,1,1,,1,,2,1,2,2,,1,1,1,3,1,
145,st101_Kannelmäki,2020/03/01,2,"11 HA-PA",490,245,206,145,191,220,306,378,573,879,1463,1790,2107,2634,2861,2878,2788,2819,2682,2092,1558,995,634,400
145,st101_Kannelmäki,2020/03/01,2,"12 KAIP",,1,,,,2,3,4,14,4,9,9,14,7,8,10,11,10,12,8,12,7,4,5
145,st101_Kannelmäki,2020/03/01,2,"13 Linja-autot",,,1,,1,5,7,7,3,3,3,3,4,4,4,5,7,3,2,1,3,1,1,
145,st101_Kannelmäki,2020/03/01,2,"14 KAPP",1,,,,,2,4,5,20,1,3,9,8,8,15,2,8,5,,2,3,8,6,5
145,st101_Kannelmäki,2020/03/01,2,"15 KATP",1,,,,,,,1,1,3,3,,5,1,3,1,5,3,3,2,5,4,4,3
145,st101_Kannelmäki,2020/03/01,2,"16 HA + PK",,1,,,,,,1,5,2,9,11,13,11,11,14,13,5,15,4,7,1,2,2
145,st101_Kannelmäki,2020/03/01,2,"17 HA + AV",,,,,,,,1,1,,,1,1,1,4,1,3,1,2,,,1,,
145,st101_Kannelmäki,2020/03/02,1,"11 HA-PA",194,114,56,73,171,651,2445,3794,4306,2470,1980,2035,2140,2513,3476,5013,4289,3755,2664,1917,1557,1142,587,339
145,st101_Kannelmäki,2020/03/02,1,"12 KAIP",6,5,7,8,11,20,55,69,87,106,111,100,111,116,122,90,49,48,37,25,19,20,14,5
145,st101_Kannelmäki,2020/03/02,1,"13 Linja-autot",8,4,1,,1,5,4,5,9,18,6,6,5,4,8,12,8,8,10,9,7,5,7,5
145,st101_Kannelmäki,2020/03/02,1,"14 KAPP",12,5,5,5,9,5,28,12,35,52,73,20,34,45,46,18,54,9,12,20,7,37,35,4
145,st101_Kannelmäki,2020/03/02,1,"15 KATP",3,5,5,3,5,10,14,20,33,30,38,37,29,45,30,27,34,12,10,16,6,16,16,6
145,st101_Kannelmäki,2020/03/02,1,"16 HA + PK",,1,1,1,,1,10,18,30,19,24,20,26,18,33,26,16,21,14,13,9,6,2,2
145,st101_Kannelmäki,2020/03/02,1,"17 HA + AV",,,,,,3,7,5,8,4,11,8,3,10,9,3,5,3,3,3,3,,,
145,st101_Kannelmäki,2020/03/02,2,"11 HA-PA",254,145,82,75,175,959,3731,4702,4138,2975,2085,2092,2178,2242,2787,4172,4498,3590,2415,1874,1543,1105,667,415
145,st101_Kannelmäki,2020/03/02,2,"12 KAIP",5,7,13,16,31,55,141,114,94,100,99,109,116,112,107,46,41,43,28,20,11,13,6,6
145,st101_Kannelmäki,2020/03/02,2,"13 Linja-autot",1,3,1,,6,22,18,14,7,6,3,5,9,11,10,7,5,5,5,4,4,3,1,2
