"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
155,st170_Kulosaari,2020/03/01,1,"11 HA-PA",379,391,340,319,299,220,152,127,167,319,557,728,1005,1116,1227,1333,1318,1239,1212,1097,830,587,340,211
155,st170_Kulosaari,2020/03/01,1,"12 KAIP",5,2,1,,2,,2,,2,1,6,5,6,9,5,8,8,6,7,9,2,4,,1
155,st170_Kulosaari,2020/03/01,1,"13 Linja-autot",9,10,1,2,,3,2,,1,1,,,3,1,1,2,1,2,4,2,2,,,1
155,st170_Kulosaari,2020/03/01,1,"14 KAPP",16,15,15,13,13,1,4,3,4,6,9,7,8,6,7,4,6,9,6,7,8,6,9,10
155,st170_Kulosaari,2020/03/01,1,"15 KATP",,,,,,,,,,1,2,,,1,,,,2,1,2,1,,,
155,st170_Kulosaari,2020/03/01,1,"16 HA + PK",,,1,1,,,,,2,1,1,1,4,5,7,7,7,3,7,3,1,5,1,1
155,st170_Kulosaari,2020/03/01,1,"17 HA + AV",,,,,,,,1,,,1,,,,1,1,1,,,2,,,1,
155,st170_Kulosaari,2020/03/01,2,"11 HA-PA",326,293,273,217,235,155,169,177,338,580,776,949,1063,1119,1139,1245,1044,1084,927,794,666,358,186,114
155,st170_Kulosaari,2020/03/01,2,"12 KAIP",3,2,,6,,,1,1,5,2,3,4,4,5,10,3,12,4,2,2,5,,,3
155,st170_Kulosaari,2020/03/01,2,"13 Linja-autot",10,8,3,2,3,4,2,,4,2,2,,1,,,1,3,1,,2,1,2,1,5
155,st170_Kulosaari,2020/03/01,2,"14 KAPP",12,9,11,11,3,,4,4,3,5,6,8,6,7,7,8,7,5,6,6,5,5,5,9
155,st170_Kulosaari,2020/03/01,2,"15 KATP",,1,,,,,,,,,,,,,1,,1,1,,,,,,
155,st170_Kulosaari,2020/03/01,2,"16 HA + PK",1,,,,,,,,,,2,6,7,3,5,6,2,5,3,1,1,,,
155,st170_Kulosaari,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,,,
155,st170_Kulosaari,2020/03/02,1,"11 HA-PA",159,88,75,57,73,117,456,677,950,1014,1008,1069,1069,1229,1583,2537,2699,1976,1501,1018,989,633,354,218
155,st170_Kulosaari,2020/03/02,1,"12 KAIP",1,1,,1,4,7,13,16,35,29,46,52,42,29,32,36,19,11,6,14,10,2,5,
155,st170_Kulosaari,2020/03/02,1,"13 Linja-autot",9,5,2,,1,3,4,4,4,7,8,7,6,7,2,4,3,4,4,1,2,,,1
155,st170_Kulosaari,2020/03/02,1,"14 KAPP",9,7,,,1,8,16,22,19,24,20,13,12,14,23,22,23,20,14,13,8,8,9,9
155,st170_Kulosaari,2020/03/02,1,"15 KATP",,,,,,,,1,1,,4,3,,1,3,4,1,,,1,2,,,
155,st170_Kulosaari,2020/03/02,1,"16 HA + PK",,,,,,,1,1,2,5,9,3,8,3,6,5,3,7,8,4,4,2,2,
155,st170_Kulosaari,2020/03/02,1,"17 HA + AV",1,,,,,,1,,3,1,2,,,,2,1,1,1,,,,,,
155,st170_Kulosaari,2020/03/02,2,"11 HA-PA",92,38,43,44,125,328,1296,2115,2204,1596,1075,1040,1118,1093,1052,1225,1267,1179,984,745,643,396,207,128
155,st170_Kulosaari,2020/03/02,2,"12 KAIP",,1,,2,3,9,21,31,30,37,30,47,45,34,33,21,17,12,5,12,4,2,1,
155,st170_Kulosaari,2020/03/02,2,"13 Linja-autot",11,7,,1,1,4,4,10,8,4,5,5,2,4,2,5,3,4,2,2,2,2,1,9
155,st170_Kulosaari,2020/03/02,2,"14 KAPP",5,3,,,,7,17,17,21,27,15,13,13,11,21,22,23,18,9,8,8,4,6,9
155,st170_Kulosaari,2020/03/02,2,"15 KATP",,,,,,,,,2,2,3,2,3,,4,1,2,2,1,,1,,,1
155,st170_Kulosaari,2020/03/02,2,"16 HA + PK",,,,,,1,4,5,4,6,1,5,1,4,2,2,2,4,1,1,1,,,
155,st170_Kulosaari,2020/03/02,2,"17 HA + AV",,,,,,,,2,3,,,,1,2,1,,,,,,,1,,
155,st170_Kulosaari,2020/03/03,1,"11 HA-PA",129,81,72,43,68,114,432,699,914,968,989,1075,1180,1224,1608,2546,2650,1915,1438,1126,1030,942,450,252
155,st170_Kulosaari,2020/03/03,1,"12 KAIP",2,1,1,2,4,5,14,25,28,32,47,44,35,37,41,31,15,15,7,7,4,2,3,
155,st170_Kulosaari,2020/03/03,1,"13 Linja-autot",13,8,3,,2,3,3,4,7,16,4,5,5,4,3,4,6,8,1,3,3,5,2,4
155,st170_Kulosaari,2020/03/03,1,"14 KAPP",8,5,1,,2,10,13,25,25,24,22,12,15,13,23,24,22,25,13,8,10,8,9,8
155,st170_Kulosaari,2020/03/03,1,"15 KATP",,,,,,,2,1,,1,1,1,2,2,,2,,4,,2,,,,
155,st170_Kulosaari,2020/03/03,1,"16 HA + PK",,,,,,,3,1,1,4,7,5,5,10,3,7,6,12,2,4,3,,3,1
155,st170_Kulosaari,2020/03/03,1,"17 HA + AV",,,,,,,,,2,3,,,1,,,2,1,1,,,,,,
155,st170_Kulosaari,2020/03/03,2,"11 HA-PA",96,38,41,55,110,332,1348,2181,2252,1484,1038,1167,1184,1115,1064,1272,1307,1282,1013,750,683,409,221,124
155,st170_Kulosaari,2020/03/03,2,"12 KAIP",,,2,3,7,7,23,25,33,38,28,44,36,34,30,19,9,10,4,7,6,1,2,1
155,st170_Kulosaari,2020/03/03,2,"13 Linja-autot",10,8,,,1,2,3,7,6,7,9,1,2,6,5,8,3,8,2,4,2,3,1,9
155,st170_Kulosaari,2020/03/03,2,"14 KAPP",7,4,,,,8,18,20,20,21,15,12,13,10,22,21,21,17,13,8,11,6,6,8
155,st170_Kulosaari,2020/03/03,2,"15 KATP",,,1,1,,,,7,3,4,4,2,,2,2,,2,1,2,1,,,,
155,st170_Kulosaari,2020/03/03,2,"16 HA + PK",,,,,,1,2,4,2,5,7,3,3,5,3,2,3,1,4,1,2,1,,1
