"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
162,st102_Olarinluoma,2020/03/01,1,"11 HA-PA",293,187,149,117,119,152,170,266,425,688,999,1342,1559,1784,1882,1858,1879,1675,1580,1154,852,603,322,146
162,st102_Olarinluoma,2020/03/01,1,"12 KAIP",,,,,,,,4,2,1,2,2,3,5,11,8,9,7,6,3,2,3,1,2
162,st102_Olarinluoma,2020/03/01,1,"13 Linja-autot",5,,,,3,,3,,1,1,2,2,5,2,1,3,6,3,4,4,2,,4,9
162,st102_Olarinluoma,2020/03/01,1,"14 KAPP",3,,,1,2,,,,,,,1,4,,8,9,7,1,6,2,3,12,7,3
162,st102_Olarinluoma,2020/03/01,1,"15 KATP",,,,,,,,,,2,1,,1,1,4,2,,1,1,2,1,,1,1
162,st102_Olarinluoma,2020/03/01,1,"16 HA + PK",,,,,,,1,,1,3,2,5,4,9,10,6,8,6,11,3,2,,2,1
162,st102_Olarinluoma,2020/03/01,1,"17 HA + AV",1,,,1,,,,,1,,,,1,,,1,2,1,,,1,4,,
162,st102_Olarinluoma,2020/03/01,2,"11 HA-PA",313,204,120,106,103,92,119,212,349,630,876,1303,1476,1638,1834,1940,1849,1867,1687,1284,942,552,327,174
162,st102_Olarinluoma,2020/03/01,2,"12 KAIP",,,,,1,3,1,3,4,3,,4,11,4,3,7,8,4,3,5,4,3,3,
162,st102_Olarinluoma,2020/03/01,2,"13 Linja-autot",,,,,,5,7,3,2,2,1,6,1,2,2,2,3,4,3,3,2,,,1
162,st102_Olarinluoma,2020/03/01,2,"14 KAPP",1,,,,,,3,2,1,2,1,2,6,,1,2,2,2,2,1,2,,4,2
162,st102_Olarinluoma,2020/03/01,2,"15 KATP",,,,,,,,,2,,,,,,1,,,,,1,1,1,3,
162,st102_Olarinluoma,2020/03/01,2,"16 HA + PK",1,,,,,,,1,1,,6,7,8,7,5,5,8,7,5,5,3,2,1,
162,st102_Olarinluoma,2020/03/01,2,"17 HA + AV",1,,,,,,,2,,,,,1,,,2,3,1,1,,,,1,
162,st102_Olarinluoma,2020/03/02,1,"11 HA-PA",108,62,27,63,102,363,1464,2460,2613,1665,1212,1302,1346,1531,1963,2989,2825,2443,1991,1521,1149,843,358,179
162,st102_Olarinluoma,2020/03/02,1,"12 KAIP",5,2,1,4,7,10,18,53,64,69,81,65,83,88,70,54,30,36,15,13,11,6,8,2
162,st102_Olarinluoma,2020/03/02,1,"13 Linja-autot",4,2,,,,1,4,3,9,12,5,4,5,3,4,4,3,10,11,6,3,4,8,5
162,st102_Olarinluoma,2020/03/02,1,"14 KAPP",7,3,1,1,1,2,5,10,19,27,32,10,19,23,26,13,16,5,24,5,2,16,4,4
162,st102_Olarinluoma,2020/03/02,1,"15 KATP",1,3,,,3,2,2,14,6,6,10,12,12,10,10,8,6,4,6,5,,5,2,2
162,st102_Olarinluoma,2020/03/02,1,"16 HA + PK",,,,,,,3,6,4,6,8,8,5,8,9,8,12,5,7,9,1,1,1,
162,st102_Olarinluoma,2020/03/02,1,"17 HA + AV",,,,,1,,3,3,6,3,3,1,5,4,3,4,3,,,1,1,3,1,
162,st102_Olarinluoma,2020/03/02,2,"11 HA-PA",121,50,31,39,82,373,1735,2399,2204,1648,1208,1238,1307,1445,1681,2520,2782,2381,1818,1455,1164,768,360,215
162,st102_Olarinluoma,2020/03/02,2,"12 KAIP",3,2,2,3,8,18,85,59,66,70,63,68,73,62,71,30,22,23,14,9,10,6,4,1
162,st102_Olarinluoma,2020/03/02,2,"13 Linja-autot",,3,,,4,12,12,6,7,5,1,1,2,3,10,9,7,2,5,,1,1,1,2
162,st102_Olarinluoma,2020/03/02,2,"14 KAPP",1,3,,2,3,6,21,13,6,21,11,21,18,17,25,24,5,7,6,4,5,1,3,2
162,st102_Olarinluoma,2020/03/02,2,"15 KATP",1,1,2,3,2,5,6,15,4,8,13,13,8,14,7,10,3,4,9,3,3,,2,
162,st102_Olarinluoma,2020/03/02,2,"16 HA + PK",,,,1,,,1,4,10,9,12,11,14,5,7,4,6,5,9,3,4,1,,
