"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
192,vt1_Veikkola,2020/03/01,1,"11 HA-PA",266,103,63,39,49,44,104,227,248,358,615,810,865,929,1082,1176,1272,1127,1052,896,467,312,213,117
192,vt1_Veikkola,2020/03/01,1,"12 KAIP",2,,1,,,,,,,2,6,4,6,5,5,8,12,6,7,8,4,2,5,6
192,vt1_Veikkola,2020/03/01,1,"13 Linja-autot",5,2,,1,,1,,,2,1,2,4,9,5,10,7,16,12,9,8,9,3,2,2
192,vt1_Veikkola,2020/03/01,1,"14 KAPP",1,6,1,1,,2,1,3,,1,3,7,8,11,7,16,19,9,10,22,4,4,13,5
192,vt1_Veikkola,2020/03/01,1,"15 KATP",,1,,,,2,,1,,4,,,3,8,7,5,2,8,11,8,7,4,6,8
192,vt1_Veikkola,2020/03/01,1,"16 HA + PK",,,,1,,,,1,3,6,7,8,5,7,10,11,17,16,15,12,8,5,,1
192,vt1_Veikkola,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,1,1,,3,2,,3,,3,,
192,vt1_Veikkola,2020/03/01,2,"11 HA-PA",105,81,54,49,51,116,150,207,273,500,732,972,1125,1385,1340,1502,1396,1378,1182,840,663,418,172,75
192,vt1_Veikkola,2020/03/01,2,"12 KAIP",,,,,1,2,,3,2,4,2,6,4,4,9,10,5,8,7,6,2,2,2,
192,vt1_Veikkola,2020/03/01,2,"13 Linja-autot",2,,,2,,3,2,,7,3,9,4,7,10,10,9,9,6,6,9,4,2,3,1
192,vt1_Veikkola,2020/03/01,2,"14 KAPP",1,,2,1,1,,,,3,14,3,9,5,3,3,8,,6,2,8,10,27,11,1
192,vt1_Veikkola,2020/03/01,2,"15 KATP",,,,1,,,,,3,11,7,5,,7,6,8,6,13,9,6,11,14,10,7
192,vt1_Veikkola,2020/03/01,2,"16 HA + PK",2,,1,,,,2,3,7,8,13,6,10,24,25,14,9,18,19,7,6,3,2,
192,vt1_Veikkola,2020/03/01,2,"17 HA + AV",,,,,,,,,1,,,2,2,1,2,3,1,1,3,1,1,1,,1
192,vt1_Veikkola,2020/03/02,1,"11 HA-PA",75,68,16,25,38,142,433,859,757,567,604,621,680,840,1336,2664,2714,1698,994,648,542,431,238,133
192,vt1_Veikkola,2020/03/02,1,"12 KAIP",7,3,3,2,4,17,12,27,31,32,41,34,33,42,29,59,26,18,15,7,3,5,8,3
192,vt1_Veikkola,2020/03/02,1,"13 Linja-autot",2,2,,2,,,2,8,6,7,10,10,10,9,10,9,19,12,9,5,4,5,3,3
192,vt1_Veikkola,2020/03/02,1,"14 KAPP",6,6,3,5,2,7,19,10,33,33,37,34,29,34,29,32,25,39,26,26,17,9,11,1
192,vt1_Veikkola,2020/03/02,1,"15 KATP",9,6,11,1,11,15,24,19,16,28,32,36,37,31,43,39,34,27,19,24,13,17,13,23
192,vt1_Veikkola,2020/03/02,1,"16 HA + PK",1,,,,,2,1,3,3,4,4,8,9,7,13,15,13,10,6,4,4,1,2,
192,vt1_Veikkola,2020/03/02,1,"17 HA + AV",,1,,,,1,1,,2,3,3,1,1,1,4,3,2,,,2,,,,
192,vt1_Veikkola,2020/03/02,2,"11 HA-PA",47,18,26,54,163,853,2671,2786,2057,1113,721,700,654,699,767,932,938,815,609,474,393,243,118,56
192,vt1_Veikkola,2020/03/02,2,"12 KAIP",2,2,5,2,12,25,64,45,27,29,30,33,30,27,35,21,21,11,19,7,11,2,3,3
192,vt1_Veikkola,2020/03/02,2,"13 Linja-autot",2,,,1,2,5,13,14,12,12,12,5,8,9,10,11,6,8,7,5,3,4,1,
192,vt1_Veikkola,2020/03/02,2,"14 KAPP",2,4,1,2,4,8,18,24,28,57,40,40,39,34,36,23,24,10,20,10,12,27,4,7
192,vt1_Veikkola,2020/03/02,2,"15 KATP",6,3,8,2,9,22,34,35,41,53,43,36,24,36,27,24,23,27,20,15,15,27,23,14
192,vt1_Veikkola,2020/03/02,2,"16 HA + PK",,,,,,2,10,9,4,8,8,7,10,6,6,7,11,2,6,4,4,3,,
192,vt1_Veikkola,2020/03/02,2,"17 HA + AV",,1,,,,2,7,3,3,4,1,4,1,3,,,,,1,1,,,,
192,vt1_Veikkola,2020/03/03,1,"11 HA-PA",66,52,16,18,24,119,387,932,803,578,544,610,694,860,1349,2656,2668,1808,1060,708,587,560,280,141
192,vt1_Veikkola,2020/03/03,1,"12 KAIP",1,4,3,1,8,12,21,29,41,38,35,37,39,42,37,55,30,25,16,10,9,5,6,2
192,vt1_Veikkola,2020/03/03,1,"13 Linja-autot",2,2,,2,,1,3,7,10,13,7,9,8,8,11,9,17,11,11,3,7,2,2,1
192,vt1_Veikkola,2020/03/03,1,"14 KAPP",3,9,9,3,5,6,22,25,28,23,33,29,35,45,28,29,37,26,17,27,11,8,13,4
192,vt1_Veikkola,2020/03/03,1,"15 KATP",14,19,11,9,7,13,16,18,21,34,28,44,33,36,31,38,29,25,23,25,17,10,21,19
192,vt1_Veikkola,2020/03/03,1,"16 HA + PK",,,,1,,,3,3,10,2,10,9,14,13,14,11,16,10,9,4,2,,,
192,vt1_Veikkola,2020/03/03,1,"17 HA + AV",,,,,,,2,1,2,3,1,2,,3,2,8,,2,,3,,1,,
192,vt1_Veikkola,2020/03/03,2,"11 HA-PA",34,18,14,48,131,797,2620,2724,1914,1131,734,696,680,669,764,1023,1051,917,582,483,418,270,140,61
192,vt1_Veikkola,2020/03/03,2,"12 KAIP",1,5,5,5,10,23,65,39,38,37,35,25,28,33,32,23,21,20,16,10,7,5,2,
192,vt1_Veikkola,2020/03/03,2,"13 Linja-autot",2,,,1,2,4,11,17,11,12,10,6,8,21,7,9,9,9,8,5,3,1,2,2
192,vt1_Veikkola,2020/03/03,2,"14 KAPP",4,3,1,4,4,14,15,20,20,49,41,36,40,43,32,29,28,20,18,11,17,46,16,8
192,vt1_Veikkola,2020/03/03,2,"15 KATP",15,4,6,11,11,13,38,19,20,42,50,40,38,25,34,17,25,22,27,14,21,21,26,13
192,vt1_Veikkola,2020/03/03,2,"16 HA + PK",,,,,,1,8,7,12,13,9,9,9,9,5,5,9,10,5,1,2,5,1,
192,vt1_Veikkola,2020/03/03,2,"17 HA + AV",,,,1,,1,7,5,2,3,4,4,2,2,1,1,,6,1,,1,1,,
192,vt1_Veikkola,2020/03/04,1,"11 HA-PA",67,52,20,21,29,118,412,894,830,564,528,574,594,820,1413,2456,2554,1693,1037,690,572,454,264,144
192,vt1_Veikkola,2020/03/04,1,"12 KAIP",1,3,9,4,7,13,19,34,34,30,37,43,39,41,42,49,39,21,11,13,7,10,2,4
192,vt1_Veikkola,2020/03/04,1,"13 Linja-autot",1,3,,1,,,2,7,7,4,7,8,8,9,13,10,23,13,11,5,4,2,2,2
192,vt1_Veikkola,2020/03/04,1,"14 KAPP",5,4,9,3,2,8,18,20,24,29,38,36,27,44,36,33,38,34,14,25,17,6,9,7
192,vt1_Veikkola,2020/03/04,1,"15 KATP",17,12,14,7,11,8,22,25,24,21,25,43,34,25,35,26,30,25,30,21,18,18,12,15
192,vt1_Veikkola,2020/03/04,1,"16 HA + PK",,,1,,,,1,2,2,6,4,2,4,1,7,11,9,6,1,5,5,11,2,1
192,vt1_Veikkola,2020/03/04,1,"17 HA + AV",,,,,,,,,,2,2,4,1,1,4,5,2,2,3,,1,,,
192,vt1_Veikkola,2020/03/04,2,"11 HA-PA",32,18,19,45,127,790,2558,2634,1804,1061,642,637,637,595,774,831,1018,845,613,490,427,276,156,78
