"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
196,Niinisaarentie,2020/03/01,1,"11 HA-PA",11,7,7,5,3,9,14,13,27,38,41,62,44,67,52,62,52,61,64,40,44,21,11,11
196,Niinisaarentie,2020/03/01,1,"12 KAIP",,,,,1,,,,,,1,1,1,,,,1,,1,,,,,
196,Niinisaarentie,2020/03/01,1,"13 Linja-autot",1,,,1,5,1,,,,,,,,,,,,,,,,,,
196,Niinisaarentie,2020/03/01,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,1,,,
196,Niinisaarentie,2020/03/01,1,"15 KATP",,,,,,,,,,,,,,,1,,,,,,,1,,
196,Niinisaarentie,2020/03/01,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,1,,,
196,Niinisaarentie,2020/03/01,2,"11 HA-PA",17,10,11,2,5,1,5,18,20,19,48,47,52,56,71,52,79,77,75,41,36,32,15,10
196,Niinisaarentie,2020/03/01,2,"12 KAIP",,,,,1,1,1,,,,3,1,1,1,,,1,,,2,,,,
196,Niinisaarentie,2020/03/01,2,"13 Linja-autot",,,,1,,,,,,,,,,,,,,,,,,,1,1
196,Niinisaarentie,2020/03/01,2,"14 KAPP",,,,,,,,,,1,,,,1,,,,,,,,,,1
196,Niinisaarentie,2020/03/01,2,"16 HA + PK",,1,,,,,,,,,,1,1,1,,,,1,,,,,,
196,Niinisaarentie,2020/03/02,1,"11 HA-PA",5,,4,1,9,37,94,103,87,55,51,65,45,74,66,110,56,48,67,50,30,30,18,10
196,Niinisaarentie,2020/03/02,1,"12 KAIP",,,,,,1,5,5,7,4,4,2,5,3,5,2,3,4,,1,,1,,
196,Niinisaarentie,2020/03/02,1,"13 Linja-autot",,2,,,,,,,,,,,,,,,,,,,1,1,,
196,Niinisaarentie,2020/03/02,1,"14 KAPP",2,2,,,,,1,,,,,,,,,,,,,,1,1,,
196,Niinisaarentie,2020/03/02,1,"15 KATP",,,,,,,,,,,,,,2,,,,,,,,,,
196,Niinisaarentie,2020/03/02,1,"16 HA + PK",,,,,,,,1,1,,1,,,,,,,,,,,,,
196,Niinisaarentie,2020/03/02,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,1,,,,,,
196,Niinisaarentie,2020/03/02,2,"11 HA-PA",6,4,4,1,4,18,61,31,54,46,38,41,51,50,87,131,130,87,76,65,56,35,25,12
196,Niinisaarentie,2020/03/02,2,"12 KAIP",,,,,,,7,8,5,3,6,6,5,6,2,2,5,2,1,1,,3,,1
196,Niinisaarentie,2020/03/02,2,"13 Linja-autot",1,,,,1,1,,,,,,,,,,,,,,,,,,2
