"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
211,vt12_Lappi_tl,2020/03/01,1,"11 HA-PA",19,13,12,9,9,8,15,24,36,42,60,77,103,105,150,144,145,123,119,89,61,30,14,6
211,vt12_Lappi_tl,2020/03/01,1,"12 KAIP",,,1,,,,,1,,,1,3,4,3,5,2,2,3,1,2,1,,,
211,vt12_Lappi_tl,2020/03/01,1,"13 Linja-autot",,,,,,,,,1,,,,1,,,,,,,,,,,
211,vt12_Lappi_tl,2020/03/01,1,"14 KAPP",,,,,,,,1,,,,,,,,1,2,,1,1,,,2,
211,vt12_Lappi_tl,2020/03/01,1,"15 KATP",,,,,,,3,,3,5,2,2,1,4,2,1,3,6,2,2,2,3,2,
211,vt12_Lappi_tl,2020/03/01,1,"16 HA + PK",,,,,,,,,1,1,1,4,2,3,3,3,2,5,3,2,1,,,
211,vt12_Lappi_tl,2020/03/01,1,"17 HA + AV",,,,1,,,,,,,,,,1,,,,,,,,,,
211,vt12_Lappi_tl,2020/03/01,2,"11 HA-PA",21,17,17,4,8,11,17,12,23,54,62,83,119,123,147,133,126,149,127,112,79,56,25,10
211,vt12_Lappi_tl,2020/03/01,2,"12 KAIP",,1,,,1,,,1,1,1,,2,5,3,3,4,2,3,5,3,2,1,,
211,vt12_Lappi_tl,2020/03/01,2,"13 Linja-autot",,2,,,,1,1,,,,,1,1,1,2,2,3,2,2,1,,,,
211,vt12_Lappi_tl,2020/03/01,2,"14 KAPP",,,,,,,,2,1,,,1,1,,1,,,2,,5,,1,,
211,vt12_Lappi_tl,2020/03/01,2,"15 KATP",,1,1,,1,1,1,2,3,,4,2,2,2,1,2,1,1,,2,3,4,2,2
211,vt12_Lappi_tl,2020/03/01,2,"16 HA + PK",,,,,,,,,1,1,,4,5,1,5,6,1,3,4,1,,1,,
211,vt12_Lappi_tl,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,1,,1,2,,,,,1,,,,
211,vt12_Lappi_tl,2020/03/02,1,"11 HA-PA",3,2,6,6,12,53,127,132,96,95,88,105,125,137,187,325,241,145,118,99,57,58,41,47
211,vt12_Lappi_tl,2020/03/02,1,"12 KAIP",,,,,1,1,4,5,3,2,4,5,4,3,6,2,3,4,4,,1,1,2,1
211,vt12_Lappi_tl,2020/03/02,1,"13 Linja-autot",,,,,,1,4,,2,,,1,2,1,2,3,1,,2,,,,,
211,vt12_Lappi_tl,2020/03/02,1,"14 KAPP",,,,,,3,1,1,4,3,4,4,4,3,4,5,2,3,,1,1,,1,
211,vt12_Lappi_tl,2020/03/02,1,"15 KATP",2,2,1,4,2,6,6,9,13,10,14,15,11,12,17,12,8,10,12,9,4,7,3,5
211,vt12_Lappi_tl,2020/03/02,1,"16 HA + PK",,,,,,1,6,3,4,8,4,4,10,4,9,11,10,4,3,2,1,1,,
211,vt12_Lappi_tl,2020/03/02,1,"17 HA + AV",,,,,,,1,,2,1,3,4,,2,2,2,2,1,1,1,1,,,
211,vt12_Lappi_tl,2020/03/02,2,"11 HA-PA",6,2,5,17,14,77,252,214,176,131,116,132,121,116,188,179,204,116,83,57,45,39,18,6
211,vt12_Lappi_tl,2020/03/02,2,"12 KAIP",,,2,,1,1,10,8,6,3,6,9,4,7,7,3,4,4,2,,1,2,,1
211,vt12_Lappi_tl,2020/03/02,2,"13 Linja-autot",,,,1,,2,4,4,3,3,1,1,,1,2,1,1,3,2,1,,1,1,
211,vt12_Lappi_tl,2020/03/02,2,"14 KAPP",,1,,,2,2,3,7,3,3,4,4,3,5,6,3,3,2,3,1,1,,,
211,vt12_Lappi_tl,2020/03/02,2,"15 KATP",1,3,4,3,5,10,15,6,8,10,7,9,7,18,7,8,19,10,5,7,6,4,5,11
211,vt12_Lappi_tl,2020/03/02,2,"16 HA + PK",,,1,,,1,2,6,3,3,2,4,3,6,8,5,3,2,2,1,1,1,,
211,vt12_Lappi_tl,2020/03/02,2,"17 HA + AV",,,,,,,1,,,,2,2,1,,1,,,1,1,2,,,,
211,vt12_Lappi_tl,2020/03/03,1,"11 HA-PA",5,1,3,2,16,48,122,148,104,71,61,106,141,118,181,318,276,156,116,91,70,58,46,41
211,vt12_Lappi_tl,2020/03/03,1,"12 KAIP",,,,,,,5,3,,5,8,,3,2,4,6,6,3,2,3,1,1,3,1
211,vt12_Lappi_tl,2020/03/03,1,"13 Linja-autot",,,,,1,,5,,3,,5,4,1,2,1,2,,,,1,,1,,
211,vt12_Lappi_tl,2020/03/03,1,"14 KAPP",,,1,,,1,1,1,1,4,1,3,4,3,6,4,1,1,1,1,1,,,
211,vt12_Lappi_tl,2020/03/03,1,"15 KATP",5,7,7,4,5,1,11,11,14,13,13,13,7,13,14,10,9,10,16,10,6,9,9,6
211,vt12_Lappi_tl,2020/03/03,1,"16 HA + PK",,,,,,1,4,3,4,4,1,7,1,5,2,12,7,2,4,2,1,1,1,
211,vt12_Lappi_tl,2020/03/03,1,"17 HA + AV",,,,1,,,,1,3,2,,1,,5,,2,1,,,1,,,,
211,vt12_Lappi_tl,2020/03/03,2,"11 HA-PA",3,4,9,17,14,75,220,257,156,116,104,115,113,129,181,184,188,136,71,58,48,40,19,9
211,vt12_Lappi_tl,2020/03/03,2,"12 KAIP",,,,,1,1,5,4,7,3,5,4,2,,6,6,3,1,3,1,1,2,1,
211,vt12_Lappi_tl,2020/03/03,2,"13 Linja-autot",,,,1,,,1,4,2,3,1,2,1,1,3,1,1,2,,1,1,,,
211,vt12_Lappi_tl,2020/03/03,2,"14 KAPP",,,,1,1,2,2,2,6,,7,2,5,9,4,3,4,2,3,2,2,2,,
211,vt12_Lappi_tl,2020/03/03,2,"15 KATP",4,5,7,2,4,5,17,11,11,8,6,11,6,13,7,10,9,10,18,3,8,5,4,4
211,vt12_Lappi_tl,2020/03/03,2,"16 HA + PK",,,,,,1,3,3,3,2,,2,4,4,4,3,3,2,3,,1,1,1,
211,vt12_Lappi_tl,2020/03/03,2,"17 HA + AV",,,,,,,,2,2,,,2,1,1,,,2,1,,,1,,,1
211,vt12_Lappi_tl,2020/03/04,1,"11 HA-PA",8,3,2,2,21,49,109,146,101,84,81,93,130,112,159,312,247,159,108,94,71,65,33,52
211,vt12_Lappi_tl,2020/03/04,1,"12 KAIP",,,,,,,6,3,5,5,10,5,5,4,12,4,11,5,1,,4,2,,
211,vt12_Lappi_tl,2020/03/04,1,"13 Linja-autot",,,,,,,3,2,1,,,3,2,2,,,,1,1,,,,,
211,vt12_Lappi_tl,2020/03/04,1,"14 KAPP",,,,,1,2,1,3,2,2,3,1,2,4,4,3,1,6,,,,,1,
211,vt12_Lappi_tl,2020/03/04,1,"15 KATP",2,5,5,2,5,6,6,6,15,4,15,14,14,9,16,9,17,12,8,5,6,5,6,6
211,vt12_Lappi_tl,2020/03/04,1,"16 HA + PK",,,,,,,4,7,3,1,4,,7,13,5,7,8,6,4,2,2,,1,
211,vt12_Lappi_tl,2020/03/04,1,"17 HA + AV",,,,,,2,3,1,1,1,3,1,3,,1,,1,,2,,,,,
211,vt12_Lappi_tl,2020/03/04,2,"11 HA-PA",6,5,5,20,13,79,206,241,152,122,117,124,111,121,170,173,168,139,80,67,46,47,29,7
211,vt12_Lappi_tl,2020/03/04,2,"12 KAIP",,,,1,2,,6,3,5,11,5,5,5,5,5,4,7,4,5,3,6,,,
211,vt12_Lappi_tl,2020/03/04,2,"13 Linja-autot",,,,,,,2,4,2,3,3,1,1,1,2,4,1,,4,,2,,,
211,vt12_Lappi_tl,2020/03/04,2,"14 KAPP",,,,,1,,2,4,1,8,2,5,11,5,3,6,4,,2,2,1,2,,1
211,vt12_Lappi_tl,2020/03/04,2,"15 KATP",2,5,4,5,4,6,13,12,11,11,8,9,10,12,7,7,10,7,4,7,2,6,3,6
211,vt12_Lappi_tl,2020/03/04,2,"16 HA + PK",,,,,,1,1,6,3,5,6,,3,2,2,4,7,,1,1,1,1,1,
211,vt12_Lappi_tl,2020/03/04,2,"17 HA + AV",,,,,,1,,3,,4,2,1,1,,,2,,1,,1,,,,
211,vt12_Lappi_tl,2020/03/05,1,"11 HA-PA",10,4,2,1,14,57,122,131,108,76,80,123,121,161,198,308,265,160,117,97,85,68,42,51
211,vt12_Lappi_tl,2020/03/05,1,"12 KAIP",,,,,,1,5,9,7,3,3,1,8,3,3,3,4,5,,4,4,2,2,1
211,vt12_Lappi_tl,2020/03/05,1,"13 Linja-autot",1,,,,,,4,,3,,,2,2,4,2,1,2,,,1,,,,
211,vt12_Lappi_tl,2020/03/05,1,"14 KAPP",,,,,1,,1,1,4,3,1,3,2,,1,2,2,1,2,,2,,,
211,vt12_Lappi_tl,2020/03/05,1,"15 KATP",4,6,4,4,3,,8,15,17,19,19,14,13,19,16,8,18,13,17,11,3,8,8,8
211,vt12_Lappi_tl,2020/03/05,1,"16 HA + PK",,,,,1,1,4,6,4,1,2,4,8,6,6,5,8,2,2,,2,1,,1
211,vt12_Lappi_tl,2020/03/05,1,"17 HA + AV",,1,,1,,,1,,2,,2,2,2,,,1,3,,1,,3,,,
211,vt12_Lappi_tl,2020/03/05,2,"11 HA-PA",6,6,10,15,12,69,206,226,173,115,111,109,131,138,176,174,175,130,92,65,60,52,29,6
211,vt12_Lappi_tl,2020/03/05,2,"12 KAIP",,,1,,,3,3,9,7,7,7,2,3,6,2,9,4,7,,4,2,3,1,
211,vt12_Lappi_tl,2020/03/05,2,"13 Linja-autot",,,,,,2,2,4,4,6,2,3,2,3,3,3,1,3,2,,,,1,
211,vt12_Lappi_tl,2020/03/05,2,"14 KAPP",,1,,,2,1,3,6,4,4,4,5,3,2,5,2,4,3,1,2,,,,
211,vt12_Lappi_tl,2020/03/05,2,"15 KATP",3,7,1,3,3,13,12,17,15,12,8,14,19,8,11,14,14,6,10,7,7,4,5,2
211,vt12_Lappi_tl,2020/03/05,2,"16 HA + PK",,,,1,,,3,2,3,6,3,2,1,6,1,9,3,4,,2,1,2,1,
211,vt12_Lappi_tl,2020/03/05,2,"17 HA + AV",,,,,,,1,,1,2,,1,,1,2,1,2,1,3,1,,,,
211,vt12_Lappi_tl,2020/03/06,1,"11 HA-PA",9,3,3,2,13,53,103,112,98,90,122,119,164,158,289,356,300,158,130,120,73,67,49,48
211,vt12_Lappi_tl,2020/03/06,1,"12 KAIP",,,,1,,2,5,4,4,7,3,7,8,5,5,3,2,4,2,,2,2,2,
211,vt12_Lappi_tl,2020/03/06,1,"13 Linja-autot",,,,,1,,1,4,2,,1,2,3,3,2,4,1,,,,,,,
211,vt12_Lappi_tl,2020/03/06,1,"14 KAPP",,1,,,1,1,1,3,3,3,3,1,6,1,2,4,2,1,1,,1,,,
211,vt12_Lappi_tl,2020/03/06,1,"15 KATP",2,4,5,3,5,3,9,14,14,10,17,14,14,16,16,15,16,5,13,10,5,8,7,2
211,vt12_Lappi_tl,2020/03/06,1,"16 HA + PK",,,,,1,2,3,5,4,5,2,5,7,5,10,10,11,2,4,4,2,,,1
211,vt12_Lappi_tl,2020/03/06,1,"17 HA + AV",,,,,1,,1,,,1,1,2,2,1,1,1,4,1,,2,,,,1
211,vt12_Lappi_tl,2020/03/06,2,"11 HA-PA",7,2,4,20,15,74,210,231,149,112,119,123,139,158,223,191,195,136,126,79,59,50,50,17
211,vt12_Lappi_tl,2020/03/06,2,"12 KAIP",,2,,1,1,3,5,9,8,6,4,5,3,6,6,6,5,2,1,3,1,2,,1
