"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
233,kt40_Hauninen,2020/03/01,1,"11 HA-PA",96,72,55,32,35,72,100,144,246,359,550,839,1081,1137,1261,1317,1211,1040,970,684,460,218,121,53
233,kt40_Hauninen,2020/03/01,1,"12 KAIP",2,2,1,2,2,1,1,2,5,6,1,6,12,5,8,4,11,7,7,5,1,1,1,1
233,kt40_Hauninen,2020/03/01,1,"13 Linja-autot",,,,,,,1,,3,2,1,1,1,2,2,,,1,2,4,1,3,2,1
233,kt40_Hauninen,2020/03/01,1,"14 KAPP",1,1,,3,,,1,16,3,7,2,4,8,2,6,3,2,10,6,34,32,3,2,2
233,kt40_Hauninen,2020/03/01,1,"15 KATP",1,1,,,1,1,3,8,5,3,,8,7,3,7,6,10,11,10,28,17,8,3,1
233,kt40_Hauninen,2020/03/01,1,"16 HA + PK",,,1,,,,3,2,2,3,3,15,12,16,9,19,20,14,11,10,5,2,2,1
233,kt40_Hauninen,2020/03/01,1,"17 HA + AV",,,,,,,,,,,1,1,1,1,2,6,3,2,2,3,2,2,,
233,kt40_Hauninen,2020/03/01,2,"11 HA-PA",117,136,65,37,39,50,107,123,187,376,537,750,939,961,1096,1060,1053,1031,860,660,509,311,115,54
233,kt40_Hauninen,2020/03/01,2,"12 KAIP",,,,2,4,,3,2,6,5,4,6,8,15,4,12,12,12,9,2,7,6,4,1
233,kt40_Hauninen,2020/03/01,2,"13 Linja-autot",1,,,,,2,,1,4,2,2,1,1,4,2,5,2,3,3,2,3,2,,
233,kt40_Hauninen,2020/03/01,2,"14 KAPP",2,,2,,2,3,1,2,5,7,4,3,2,2,11,6,8,15,10,7,10,9,4,1
233,kt40_Hauninen,2020/03/01,2,"15 KATP",1,1,2,1,1,3,11,9,4,5,5,7,5,4,9,9,9,4,13,11,7,6,3,5
233,kt40_Hauninen,2020/03/01,2,"16 HA + PK",,1,1,,,2,1,5,3,4,13,16,9,14,17,15,13,13,10,6,4,3,2,1
233,kt40_Hauninen,2020/03/01,2,"17 HA + AV",,,,,,,,,1,1,,3,,,,1,,1,2,,1,,1,
233,kt40_Hauninen,2020/03/02,1,"11 HA-PA",39,19,21,40,137,417,1145,1565,1150,756,714,827,815,992,1211,2064,1919,1237,981,714,495,303,206,81
233,kt40_Hauninen,2020/03/02,1,"12 KAIP",,3,3,4,12,10,33,50,66,61,78,49,71,55,60,66,40,32,21,7,9,7,2,1
233,kt40_Hauninen,2020/03/02,1,"13 Linja-autot",,2,1,,,,2,3,4,4,2,8,1,4,3,2,3,3,1,2,2,1,2,3
233,kt40_Hauninen,2020/03/02,1,"14 KAPP",3,,2,,4,6,26,69,44,35,48,36,40,34,38,23,26,18,22,19,21,7,8,3
233,kt40_Hauninen,2020/03/02,1,"15 KATP",1,4,5,5,10,24,29,57,58,56,42,47,42,30,53,46,42,34,20,27,34,21,15,12
233,kt40_Hauninen,2020/03/02,1,"16 HA + PK",,,,,,,8,14,14,15,15,15,18,12,11,15,13,9,17,5,4,1,,
233,kt40_Hauninen,2020/03/02,1,"17 HA + AV",,,,1,1,,8,2,5,5,5,5,3,4,4,3,8,3,3,,,,,1
233,kt40_Hauninen,2020/03/02,2,"11 HA-PA",53,30,23,16,74,360,1193,1503,1165,814,714,859,776,864,1120,1711,1728,1191,890,623,494,289,203,102
233,kt40_Hauninen,2020/03/02,2,"12 KAIP",6,2,4,7,3,16,50,60,83,70,75,54,56,62,57,60,33,37,26,12,12,5,3,2
233,kt40_Hauninen,2020/03/02,2,"13 Linja-autot",,1,,,2,8,9,2,4,2,4,4,6,6,2,2,1,2,2,2,1,,1,1
233,kt40_Hauninen,2020/03/02,2,"14 KAPP",1,1,3,3,6,18,17,29,36,43,37,45,33,27,31,30,32,33,34,21,21,11,9,10
233,kt40_Hauninen,2020/03/02,2,"15 KATP",1,1,7,11,18,15,34,58,38,46,41,37,47,40,54,51,53,31,44,36,35,28,15,14
233,kt40_Hauninen,2020/03/02,2,"16 HA + PK",3,,,,1,1,7,19,18,12,23,22,20,26,22,17,26,18,12,13,6,5,2,1
233,kt40_Hauninen,2020/03/02,2,"17 HA + AV",,,,,,1,4,3,9,9,6,5,5,4,4,7,1,4,1,3,2,,3,
233,kt40_Hauninen,2020/03/03,1,"11 HA-PA",36,17,19,27,79,374,1116,1540,1043,704,689,817,904,984,1183,2021,1922,1178,981,765,511,342,201,77
233,kt40_Hauninen,2020/03/03,1,"12 KAIP",,2,3,5,8,14,34,53,79,63,68,64,58,77,58,63,47,27,21,8,9,4,4,1
233,kt40_Hauninen,2020/03/03,1,"13 Linja-autot",,,,,,2,,1,3,2,3,3,2,,3,2,4,,,1,2,2,2,2
233,kt40_Hauninen,2020/03/03,1,"14 KAPP",5,1,4,2,1,3,21,59,47,38,35,45,28,30,39,26,28,19,23,55,57,8,12,3
233,kt40_Hauninen,2020/03/03,1,"15 KATP",12,7,10,4,8,12,34,66,71,52,56,38,53,42,50,41,41,23,24,29,50,26,7,12
233,kt40_Hauninen,2020/03/03,1,"16 HA + PK",,,,,1,1,4,10,11,12,22,14,14,15,11,18,20,12,18,7,6,,1,
233,kt40_Hauninen,2020/03/03,1,"17 HA + AV",,,,,,,,5,3,4,7,4,3,6,9,5,3,4,2,,,,,
233,kt40_Hauninen,2020/03/03,2,"11 HA-PA",76,28,19,23,54,323,1155,1492,1102,759,776,814,820,860,1125,1692,1751,1172,853,644,481,309,194,89
233,kt40_Hauninen,2020/03/03,2,"12 KAIP",,1,3,2,7,23,57,69,60,67,69,66,65,57,68,68,35,27,21,11,11,10,4,2
233,kt40_Hauninen,2020/03/03,2,"13 Linja-autot",,,,,2,3,6,7,5,1,3,4,5,3,1,2,1,2,2,3,,1,,
233,kt40_Hauninen,2020/03/03,2,"14 KAPP",7,3,2,5,6,10,22,31,44,39,32,36,25,30,40,34,33,19,35,25,15,15,4,7
233,kt40_Hauninen,2020/03/03,2,"15 KATP",9,11,14,16,21,15,33,48,54,40,47,56,45,45,46,59,45,41,48,42,32,24,16,12
233,kt40_Hauninen,2020/03/03,2,"16 HA + PK",1,,,,,2,17,22,22,19,21,9,27,20,19,23,25,20,18,9,2,1,2,
233,kt40_Hauninen,2020/03/03,2,"17 HA + AV",,,,,,1,6,14,8,4,6,2,3,4,4,4,4,1,1,,,,,
233,kt40_Hauninen,2020/03/04,1,"11 HA-PA",34,13,24,24,88,386,1050,1389,1058,690,687,760,852,879,1091,2010,1837,1256,935,657,586,490,185,56
233,kt40_Hauninen,2020/03/04,1,"12 KAIP",1,3,3,4,6,8,43,60,63,66,66,71,62,70,67,63,40,23,15,16,8,6,3,2
233,kt40_Hauninen,2020/03/04,1,"13 Linja-autot",,,,,,,2,2,7,5,2,6,,,,2,3,1,3,3,1,3,2,2
233,kt40_Hauninen,2020/03/04,1,"14 KAPP",4,,4,3,,5,10,77,62,45,41,31,34,36,28,28,31,22,22,32,73,10,15,3
233,kt40_Hauninen,2020/03/04,1,"15 KATP",12,10,8,5,11,19,26,95,77,52,40,38,49,38,40,36,29,21,22,25,55,19,15,9
233,kt40_Hauninen,2020/03/04,1,"16 HA + PK",,,,,,2,4,13,13,10,13,9,10,8,17,14,8,14,11,7,6,2,1,
233,kt40_Hauninen,2020/03/04,1,"17 HA + AV",,,,,,,1,1,3,4,3,3,1,1,7,5,2,4,2,2,1,1,,
233,kt40_Hauninen,2020/03/04,2,"11 HA-PA",64,30,17,22,59,324,1153,1467,1059,689,707,714,788,820,991,1578,1696,1256,852,661,447,348,199,76
233,kt40_Hauninen,2020/03/04,2,"12 KAIP",,4,1,4,6,20,61,73,71,59,66,62,59,87,69,64,18,25,10,18,9,4,1,3
233,kt40_Hauninen,2020/03/04,2,"13 Linja-autot",,,,,3,5,9,5,1,2,3,2,3,2,3,1,1,1,,3,2,2,,
233,kt40_Hauninen,2020/03/04,2,"14 KAPP",3,4,6,2,8,9,22,28,35,37,37,40,30,30,39,27,30,23,35,18,20,15,6,12
233,kt40_Hauninen,2020/03/04,2,"15 KATP",9,7,13,24,26,25,37,36,43,40,46,47,45,43,31,43,27,48,28,36,31,23,9,12
233,kt40_Hauninen,2020/03/04,2,"16 HA + PK",,,1,,,1,12,17,12,25,17,17,18,16,14,27,20,16,17,10,7,3,3,
233,kt40_Hauninen,2020/03/04,2,"17 HA + AV",,1,,,,,7,3,8,5,8,4,9,6,4,4,1,6,2,5,1,1,,1
233,kt40_Hauninen,2020/03/05,1,"11 HA-PA",27,26,14,39,84,372,1075,1503,1097,722,701,834,919,1044,1267,2121,1964,1325,967,739,614,377,189,92
233,kt40_Hauninen,2020/03/05,1,"12 KAIP",,6,1,2,7,10,25,50,70,57,63,46,56,65,67,57,34,23,28,14,11,8,2,3
233,kt40_Hauninen,2020/03/05,1,"13 Linja-autot",1,,,,,,,4,6,6,2,5,,3,1,,4,4,4,,4,4,2,1
233,kt40_Hauninen,2020/03/05,1,"14 KAPP",2,2,2,2,2,4,17,79,70,33,34,28,41,26,32,20,24,21,15,29,88,13,13,6
233,kt40_Hauninen,2020/03/05,1,"15 KATP",13,10,11,7,13,18,25,95,64,61,47,48,44,48,35,38,27,28,24,31,48,29,15,15
233,kt40_Hauninen,2020/03/05,1,"16 HA + PK",,,,,1,,9,15,9,9,10,11,18,14,12,15,11,17,13,12,5,3,,
233,kt40_Hauninen,2020/03/05,1,"17 HA + AV",,,,,,,1,7,3,5,4,4,4,1,5,4,4,2,3,2,,2,,
233,kt40_Hauninen,2020/03/05,2,"11 HA-PA",90,30,18,19,64,335,1148,1414,1108,770,807,820,886,933,1111,1754,1774,1267,912,672,512,332,208,95
233,kt40_Hauninen,2020/03/05,2,"12 KAIP",,2,2,5,6,19,49,58,76,69,71,49,45,55,53,49,30,23,22,26,9,8,6,3
233,kt40_Hauninen,2020/03/05,2,"13 Linja-autot",,,1,,2,3,5,5,6,3,1,6,4,5,2,,4,,,,1,3,,1
233,kt40_Hauninen,2020/03/05,2,"14 KAPP",5,2,3,6,5,11,24,30,27,31,38,30,40,31,36,25,21,31,19,27,18,15,9,7
233,kt40_Hauninen,2020/03/05,2,"15 KATP",11,11,17,22,16,22,44,46,64,51,50,51,37,45,38,48,52,29,47,31,23,32,10,7
233,kt40_Hauninen,2020/03/05,2,"16 HA + PK",1,1,,,,3,16,10,21,22,17,28,29,11,23,29,16,12,16,16,3,3,2,
