"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"11 HA-PA",90,91,45,27,19,29,87,111,118,172,249,367,452,439,521,577,569,586,539,563,356,222,107,53
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"12 KAIP",2,,,,,1,,,,1,2,1,3,1,1,2,1,1,7,5,1,,,
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"13 Linja-autot",3,3,2,1,,1,,1,,2,1,3,2,3,2,3,5,5,7,3,6,4,5,1
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"14 KAPP",,,,,,1,,,,,,,,,,,1,4,,,,1,,
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"15 KATP",,,,1,,,,,,1,1,,,,1,,3,,2,2,2,,2,
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"16 HA + PK",,,,1,1,,1,3,1,2,2,,3,4,2,5,6,1,4,5,2,5,,1
240,vt1_Kaarina_Piikkiö,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,1,1,,,,1,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"11 HA-PA",62,39,33,39,37,22,50,84,161,246,330,465,546,494,569,543,542,521,400,366,266,139,64,27
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"12 KAIP",,,,1,,,1,1,1,1,2,3,3,4,3,1,,4,2,1,,,,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"13 Linja-autot",,,,2,2,,1,1,3,3,2,2,4,4,3,3,3,3,3,2,4,1,2,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"14 KAPP",,,,,,,2,1,1,2,1,,2,2,,1,2,,,,1,3,,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"15 KATP",,,,,,,,,,1,,1,,1,,2,,,1,2,2,,,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"16 HA + PK",,,,,,,,,1,1,4,3,8,4,3,8,13,5,3,,2,1,,
240,vt1_Kaarina_Piikkiö,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"11 HA-PA",39,19,19,14,17,131,682,1039,856,481,354,395,388,369,424,630,672,527,410,274,232,142,94,54
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"12 KAIP",2,1,,2,3,6,11,11,9,11,14,16,11,13,14,8,12,10,2,2,,2,,1
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"13 Linja-autot",2,1,2,1,,1,1,3,2,3,2,5,2,2,2,3,6,4,6,5,3,1,2,1
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"14 KAPP",,,1,,,,,5,4,10,6,8,8,5,7,3,2,1,3,,1,1,,
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"15 KATP",,,2,1,2,1,5,6,7,2,2,4,4,7,5,7,4,7,2,3,2,,1,2
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"16 HA + PK",,,,,,,2,4,4,4,4,6,3,2,3,2,7,4,1,5,3,,,
240,vt1_Kaarina_Piikkiö,2020/03/02,1,"17 HA + AV",,,,,,,,2,,1,,1,1,1,,,1,,,,,,,
240,vt1_Kaarina_Piikkiö,2020/03/02,2,"11 HA-PA",12,17,9,9,37,123,381,709,528,308,322,312,347,385,513,990,1056,569,384,361,298,135,69,34
240,vt1_Kaarina_Piikkiö,2020/03/02,2,"12 KAIP",1,3,,1,1,4,7,16,11,9,11,11,11,9,10,10,9,3,5,3,4,1,,1
