"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
242,vt1_Paimionjoki,2020/03/01,1,"11 HA-PA",90,116,51,24,19,36,88,143,165,213,323,487,614,585,654,755,755,804,720,666,466,253,116,77
242,vt1_Paimionjoki,2020/03/01,1,"12 KAIP",1,,1,1,,1,1,1,1,4,3,4,3,4,2,3,5,7,4,7,2,2,3,
242,vt1_Paimionjoki,2020/03/01,1,"13 Linja-autot",2,3,2,,,1,,1,1,3,1,2,3,4,3,6,4,6,5,6,5,5,4,2
242,vt1_Paimionjoki,2020/03/01,1,"14 KAPP",1,2,3,,2,2,4,,2,3,5,3,2,8,4,8,10,16,11,7,10,4,3,6
242,vt1_Paimionjoki,2020/03/01,1,"15 KATP",,,,1,1,,3,,2,,2,3,3,3,6,12,8,4,9,5,9,1,3,2
242,vt1_Paimionjoki,2020/03/01,1,"16 HA + PK",1,,,1,1,3,1,2,3,5,6,6,10,5,6,9,7,9,6,11,11,3,3,2
242,vt1_Paimionjoki,2020/03/01,1,"17 HA + AV",,,,,,,,1,,,1,1,,,,1,,,1,,,1,1,
242,vt1_Paimionjoki,2020/03/01,2,"11 HA-PA",57,38,21,26,38,30,66,119,214,338,444,602,705,641,748,711,713,666,561,473,350,183,72,30
242,vt1_Paimionjoki,2020/03/01,2,"12 KAIP",1,,,2,1,,2,2,5,4,3,6,7,7,7,8,8,9,6,4,5,4,2,
242,vt1_Paimionjoki,2020/03/01,2,"13 Linja-autot",,1,1,2,1,1,,5,1,6,6,6,10,7,5,5,4,5,2,3,4,1,2,1
242,vt1_Paimionjoki,2020/03/01,2,"14 KAPP",,2,,,1,1,2,6,4,5,5,3,1,4,4,3,3,1,1,27,15,6,2,1
242,vt1_Paimionjoki,2020/03/01,2,"15 KATP",1,1,1,,,,,7,5,6,2,3,8,9,12,15,5,14,13,21,31,9,1,3
242,vt1_Paimionjoki,2020/03/01,2,"16 HA + PK",,,,,,,1,1,2,4,4,15,12,6,5,18,15,9,10,11,4,2,,1
