"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"11 HA-PA",16,6,11,12,15,17,32,18,39,63,43,77,98,87,91,73,77,105,79,50,41,38,31,15
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"12 KAIP",,,1,,2,2,,1,3,2,4,3,,1,1,1,3,2,1,,4,,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"13 Linja-autot",1,,,,,1,,,,,,,,,1,,2,1,2,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"14 KAPP",8,2,2,,1,,,,5,18,26,12,15,9,5,7,1,4,1,,,1,,6
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"15 KATP",1,,,,,,,,,,,,2,1,,,,,1,,,,,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"16 HA + PK",,,,,,,,,1,2,,1,,,,1,,,1,1,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,1,"17 HA + AV",,,,1,1,,,,,,,,1,,,1,3,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"11 HA-PA",18,12,7,12,18,13,27,23,36,36,67,77,98,96,101,122,106,104,79,94,71,45,47,34
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"12 KAIP",1,1,,,4,,,2,,1,2,3,,2,4,4,4,,2,4,4,3,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"13 Linja-autot",,,,,,,,1,,,1,,,,,,,,,,,1,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"14 KAPP",3,8,4,3,5,7,3,9,5,9,21,16,7,10,18,13,8,10,13,8,7,5,9,4
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"15 KATP",1,,,,,,1,,1,,,,1,1,2,,,1,,1,,,,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"16 HA + PK",,,,,,,,1,,,,,,,1,,3,3,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/01,2,"17 HA + AV",,,,2,,,,,2,,,,,,1,1,1,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"11 HA-PA",5,7,11,11,16,31,42,64,81,62,72,62,68,71,64,84,67,60,61,42,40,30,26,25
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"12 KAIP",,,1,2,,1,3,2,4,8,12,6,3,3,4,2,1,1,4,2,3,1,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"13 Linja-autot",,,,,,,,,,,1,,,,1,,1,1,,1,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"14 KAPP",8,2,1,,,,2,2,2,5,6,27,29,29,20,30,33,29,18,15,7,5,2,2
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"15 KATP",,,,,,1,1,,3,3,2,2,1,3,6,1,2,2,2,3,2,1,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"16 HA + PK",,,,,,,1,,,,,,2,1,1,1,1,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,1,"17 HA + AV",,,,,,,,,,,,,,1,,1,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"11 HA-PA",13,17,9,12,11,26,61,57,67,69,69,63,73,71,78,89,87,74,37,47,28,37,34,18
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"12 KAIP",3,2,2,,1,,,4,6,4,7,5,4,5,1,,5,2,2,2,1,1,,2
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"13 Linja-autot",,1,,,,,,,,,,,,,,,1,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"14 KAPP",13,10,4,4,8,13,11,14,17,9,11,13,14,18,15,18,14,11,6,4,,2,8,9
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"15 KATP",,,,1,2,,,1,5,2,,,3,,1,,1,2,2,1,,,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/02,2,"16 HA + PK",,,,,,1,,1,,,,,,,2,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"11 HA-PA",16,15,7,7,11,38,48,71,79,86,70,89,83,81,62,83,78,65,52,46,43,32,27,23
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"12 KAIP",,,,,,,1,3,2,3,2,1,2,3,4,2,2,4,4,3,,2,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"13 Linja-autot",1,,,,,,,,1,,,,,,,,,,,1,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"14 KAPP",7,3,2,,,3,2,1,7,11,18,26,22,24,31,35,29,19,17,13,4,3,5,4
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"15 KATP",1,1,,,,1,2,1,6,1,3,4,1,2,5,1,1,2,2,2,2,3,3,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"16 HA + PK",,,,,,1,1,,,,,,,,,,,1,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"11 HA-PA",25,29,13,14,11,18,52,61,68,70,57,71,67,81,65,95,72,80,55,47,42,37,34,27
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"12 KAIP",3,,2,,4,3,2,,3,1,1,4,,2,1,2,1,1,1,,,,,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"14 KAPP",4,11,4,1,15,10,7,11,11,9,7,7,12,9,11,16,4,12,6,8,4,7,6,4
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"15 KATP",1,,,,1,,,1,3,2,2,4,1,2,1,3,3,1,3,2,1,,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"16 HA + PK",,,,,,,,2,1,,,,2,1,,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/03,2,"17 HA + AV",,,,,,,,,,,,2,,1,,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"11 HA-PA",10,12,9,13,7,32,46,64,65,85,72,52,70,75,62,66,70,47,53,48,45,34,16,14
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"12 KAIP",,1,,,,,,3,3,3,4,5,3,3,2,3,1,5,4,1,2,2,2,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"14 KAPP",5,2,5,,1,,2,4,4,16,12,23,23,27,18,17,22,17,19,9,5,1,3,2
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"15 KATP",1,,1,1,,2,1,1,3,4,4,5,3,1,5,5,2,2,1,,,2,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"16 HA + PK",,,,,,,,,,1,,1,,,,,,,,,,1,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,1,"17 HA + AV",1,1,,,,,,,,,,,,,2,,,,1,,1,1,,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"11 HA-PA",14,17,9,8,19,20,49,56,56,74,67,51,66,79,81,93,76,43,47,33,34,17,38,13
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"12 KAIP",2,,,,1,,3,2,3,2,2,6,5,5,2,1,1,2,5,3,2,3,3,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"13 Linja-autot",,1,,,,,,,,,1,1,,,,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"14 KAPP",8,2,4,8,3,3,8,11,8,8,11,11,12,4,13,3,6,3,4,10,5,1,2,1
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"15 KATP",2,,,,1,3,,1,2,1,3,,3,3,4,1,1,,1,2,1,2,1,2
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"16 HA + PK",,,,,,,,,,,1,,2,,,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/04,2,"17 HA + AV",,,,,,,,,1,1,,,,,,,,1,,1,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"11 HA-PA",15,2,2,7,12,20,48,64,73,67,69,63,82,73,67,86,100,80,62,48,57,41,21,21
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"12 KAIP",,,,,,2,,2,1,2,2,3,3,1,1,1,2,3,2,1,2,1,1,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"14 KAPP",11,9,1,,,1,,2,2,21,8,15,15,10,12,32,11,22,18,8,3,3,3,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"15 KATP",1,1,,,2,1,,2,1,4,,1,2,5,1,2,2,6,2,3,1,1,,2
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,1,"16 HA + PK",,,,,,,,,,,1,,,,,,,,,,1,,,
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,2,"11 HA-PA",13,20,9,5,12,25,37,51,63,69,48,69,74,63,77,100,90,67,49,56,35,31,32,27
310,vt7_Virolahti_Vaalimaan_tunneli_itä,2020/03/05,2,"12 KAIP",3,,,,2,1,,,1,4,2,2,,3,5,3,2,1,,3,1,2,3,1
