"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
406,vt11_Nokia_Linnavuori,2020/03/01,1,"11 HA-PA",46,25,21,15,14,22,17,20,45,63,101,156,193,196,244,238,267,253,180,177,109,94,39,22
406,vt11_Nokia_Linnavuori,2020/03/01,1,"12 KAIP",2,,,1,,,,,1,1,3,1,8,3,2,2,4,3,,2,1,,3,
406,vt11_Nokia_Linnavuori,2020/03/01,1,"13 Linja-autot",,,,,,,,,,1,,,,1,,,2,,2,,,,1,1
406,vt11_Nokia_Linnavuori,2020/03/01,1,"14 KAPP",,,,,,,,,,,,,2,1,2,1,1,,1,,,,3,
406,vt11_Nokia_Linnavuori,2020/03/01,1,"15 KATP",,,,,,,1,,,3,,1,3,2,1,2,2,2,3,2,3,5,3,1
406,vt11_Nokia_Linnavuori,2020/03/01,1,"16 HA + PK",1,,,,,,,1,1,2,6,6,1,3,3,4,6,9,4,1,3,1,,1
406,vt11_Nokia_Linnavuori,2020/03/01,1,"17 HA + AV",,,,,,,,,,1,,2,,1,,,1,1,,,,,,
406,vt11_Nokia_Linnavuori,2020/03/01,2,"11 HA-PA",21,16,20,14,10,18,25,39,53,87,164,224,259,283,273,268,300,311,236,183,126,61,33,22
406,vt11_Nokia_Linnavuori,2020/03/01,2,"12 KAIP",,,1,,1,,,3,,,6,2,2,3,4,4,1,7,5,2,,2,1,1
406,vt11_Nokia_Linnavuori,2020/03/01,2,"13 Linja-autot",,,,,,,,,,1,1,1,,,,,1,1,,,,,1,
406,vt11_Nokia_Linnavuori,2020/03/01,2,"14 KAPP",,1,,,,,,,,,,1,1,1,,,,,,,,,,
406,vt11_Nokia_Linnavuori,2020/03/01,2,"15 KATP",1,,,,,1,,,,,,1,3,,,1,,1,3,,1,1,,2
406,vt11_Nokia_Linnavuori,2020/03/01,2,"16 HA + PK",,,,1,,,,,1,6,2,2,3,7,3,4,5,4,3,,,2,4,1
406,vt11_Nokia_Linnavuori,2020/03/01,2,"17 HA + AV",,,,,,,,1,,,1,2,1,,,1,1,2,,,,,,1
406,vt11_Nokia_Linnavuori,2020/03/02,1,"11 HA-PA",19,11,7,5,8,107,202,290,228,139,140,142,176,196,246,399,447,270,187,152,116,86,56,26
406,vt11_Nokia_Linnavuori,2020/03/02,1,"12 KAIP",,1,2,,2,,4,7,7,6,6,3,4,7,5,7,5,5,4,1,,1,,
406,vt11_Nokia_Linnavuori,2020/03/02,1,"13 Linja-autot",,,,,,,1,,1,,2,,,1,1,,1,,,,,,,
406,vt11_Nokia_Linnavuori,2020/03/02,1,"14 KAPP",,,1,,1,4,,3,7,5,2,5,5,4,5,4,2,2,,4,1,,,
406,vt11_Nokia_Linnavuori,2020/03/02,1,"15 KATP",,,1,2,4,6,11,4,10,9,14,13,11,12,13,12,5,6,4,9,3,8,6,4
406,vt11_Nokia_Linnavuori,2020/03/02,1,"16 HA + PK",,,,,,,1,2,2,2,3,,4,6,2,3,7,2,1,3,1,,,
406,vt11_Nokia_Linnavuori,2020/03/02,1,"17 HA + AV",,,,,2,,,3,2,1,2,3,,,2,1,,1,1,,,,,
406,vt11_Nokia_Linnavuori,2020/03/02,2,"11 HA-PA",11,14,8,14,42,150,410,433,316,213,161,173,192,174,237,312,321,262,117,102,50,64,57,11
406,vt11_Nokia_Linnavuori,2020/03/02,2,"12 KAIP",,,,2,1,1,4,7,13,5,5,10,9,9,6,3,10,5,,5,1,1,1,
406,vt11_Nokia_Linnavuori,2020/03/02,2,"13 Linja-autot",,,,,,,,,1,1,1,,,,1,1,1,1,1,,1,1,,
406,vt11_Nokia_Linnavuori,2020/03/02,2,"14 KAPP",,1,,,2,1,1,4,8,4,3,5,4,4,4,4,3,3,,2,1,,,
