"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
465,vt3_Hämeenlinna_E,2020/03/01,1,"11 HA-PA",299,166,85,48,28,59,54,92,184,359,439,708,813,867,819,835,881,956,776,631,605,350,164,119
465,vt3_Hämeenlinna_E,2020/03/01,1,"12 KAIP",1,2,1,2,3,,,,3,3,5,9,3,5,1,1,1,12,8,7,5,7,1,4
465,vt3_Hämeenlinna_E,2020/03/01,1,"13 Linja-autot",1,1,,,,,,1,,7,2,2,1,3,3,2,6,5,7,2,3,2,6,1
465,vt3_Hämeenlinna_E,2020/03/01,1,"14 KAPP",1,1,1,,,,1,1,1,1,1,4,4,9,7,6,11,25,9,15,14,15,7,4
465,vt3_Hämeenlinna_E,2020/03/01,1,"15 KATP",,3,,,1,2,1,2,4,1,2,3,6,4,3,5,10,6,17,10,17,4,10,9
465,vt3_Hämeenlinna_E,2020/03/01,1,"16 HA + PK",,2,1,,1,1,,,6,4,3,13,7,8,12,8,8,15,10,8,4,,1,
465,vt3_Hämeenlinna_E,2020/03/01,1,"17 HA + AV",,,,,,,,,,,2,,1,,2,,3,1,1,1,,,,
465,vt3_Hämeenlinna_E,2020/03/01,2,"11 HA-PA",107,70,53,49,55,72,78,72,162,264,481,651,804,958,995,982,1157,1120,869,739,516,389,158,74
465,vt3_Hämeenlinna_E,2020/03/01,2,"12 KAIP",2,2,3,1,,2,,,3,5,5,6,8,16,8,3,5,6,8,11,4,4,2,3
465,vt3_Hämeenlinna_E,2020/03/01,2,"13 Linja-autot",2,,2,1,1,3,1,1,,1,3,3,5,5,6,2,4,4,4,3,1,1,,
465,vt3_Hämeenlinna_E,2020/03/01,2,"14 KAPP",1,,,2,2,,,1,1,1,1,1,5,4,4,5,3,6,6,4,3,4,5,4
465,vt3_Hämeenlinna_E,2020/03/01,2,"15 KATP",2,,1,2,,2,4,1,2,2,3,4,14,8,7,5,6,12,12,19,17,14,11,9
465,vt3_Hämeenlinna_E,2020/03/01,2,"16 HA + PK",,,,,,,,2,1,7,10,6,14,13,16,16,14,6,13,5,3,4,3,
465,vt3_Hämeenlinna_E,2020/03/01,2,"17 HA + AV",,,,,,,,,,1,1,1,1,1,1,2,3,2,4,1,1,,,
465,vt3_Hämeenlinna_E,2020/03/02,1,"11 HA-PA",80,60,52,14,45,145,511,896,906,671,554,628,573,597,760,1104,1169,978,585,351,283,179,184,109
465,vt3_Hämeenlinna_E,2020/03/02,1,"12 KAIP",,1,3,3,2,10,20,20,34,33,22,25,27,27,27,32,18,14,15,11,6,3,12,6
465,vt3_Hämeenlinna_E,2020/03/02,1,"13 Linja-autot",2,2,,,,1,1,2,1,5,6,3,1,5,3,5,5,4,5,3,2,2,1,1
465,vt3_Hämeenlinna_E,2020/03/02,1,"14 KAPP",1,3,8,5,6,9,13,22,23,47,39,41,43,26,30,27,32,43,25,20,18,11,6,7
465,vt3_Hämeenlinna_E,2020/03/02,1,"15 KATP",6,9,9,4,7,11,12,18,19,19,39,25,43,25,40,37,28,25,26,22,38,33,28,29
465,vt3_Hämeenlinna_E,2020/03/02,1,"16 HA + PK",,,1,,,1,2,7,7,8,7,7,11,5,6,5,7,10,5,3,5,2,1,
465,vt3_Hämeenlinna_E,2020/03/02,1,"17 HA + AV",,,,,,,2,2,2,1,3,3,,4,1,2,2,1,,,,,,2
465,vt3_Hämeenlinna_E,2020/03/02,2,"11 HA-PA",27,18,27,45,95,493,731,1123,933,606,543,519,615,669,742,922,974,723,570,395,277,223,105,47
465,vt3_Hämeenlinna_E,2020/03/02,2,"12 KAIP",1,,2,15,8,6,18,24,28,34,29,29,23,30,26,30,15,12,12,7,6,8,4,2
465,vt3_Hämeenlinna_E,2020/03/02,2,"13 Linja-autot",,,1,,1,5,3,10,4,4,5,2,4,6,4,4,6,3,1,2,1,2,1,
465,vt3_Hämeenlinna_E,2020/03/02,2,"14 KAPP",4,1,2,2,3,7,11,8,10,24,22,33,33,28,41,37,33,30,22,13,15,4,9,4
465,vt3_Hämeenlinna_E,2020/03/02,2,"15 KATP",8,8,8,10,7,24,26,30,34,31,30,32,27,35,34,29,26,31,23,26,31,19,21,23
465,vt3_Hämeenlinna_E,2020/03/02,2,"16 HA + PK",1,,1,,1,2,6,7,14,5,11,13,8,4,7,6,7,12,3,6,4,3,,
465,vt3_Hämeenlinna_E,2020/03/02,2,"17 HA + AV",,,,,,,,2,,4,5,3,3,3,3,1,2,,,1,2,1,,1
465,vt3_Hämeenlinna_E,2020/03/03,1,"11 HA-PA",60,29,24,17,34,132,494,855,954,735,551,615,604,622,812,1144,1388,1106,636,383,263,253,166,102
465,vt3_Hämeenlinna_E,2020/03/03,1,"12 KAIP",1,4,1,4,5,9,26,30,30,26,43,31,31,25,33,26,31,17,12,9,6,3,5,4
465,vt3_Hämeenlinna_E,2020/03/03,1,"13 Linja-autot",2,2,3,,,1,1,4,1,6,7,2,2,2,4,4,6,4,4,5,2,2,2,1
465,vt3_Hämeenlinna_E,2020/03/03,1,"14 KAPP",3,2,6,4,4,7,10,22,26,37,30,33,33,21,34,24,32,34,32,16,17,13,7,9
465,vt3_Hämeenlinna_E,2020/03/03,1,"15 KATP",15,15,13,9,11,11,12,21,29,22,31,27,37,41,39,33,38,37,31,27,30,33,26,32
465,vt3_Hämeenlinna_E,2020/03/03,1,"16 HA + PK",,,,,,2,3,5,4,3,8,10,11,6,9,9,7,8,4,5,5,2,,
465,vt3_Hämeenlinna_E,2020/03/03,1,"17 HA + AV",,,,,,1,1,,3,2,1,1,5,,5,2,2,3,,2,1,1,,
465,vt3_Hämeenlinna_E,2020/03/03,2,"11 HA-PA",33,27,13,31,66,369,680,1193,923,584,535,554,584,706,749,967,1130,827,586,446,427,336,127,46
465,vt3_Hämeenlinna_E,2020/03/03,2,"12 KAIP",2,2,3,11,4,15,17,29,36,33,31,34,26,34,33,23,19,22,7,15,8,4,4,3
465,vt3_Hämeenlinna_E,2020/03/03,2,"13 Linja-autot",1,1,1,,2,2,1,6,4,3,6,4,8,6,3,5,3,4,2,3,1,1,2,
465,vt3_Hämeenlinna_E,2020/03/03,2,"14 KAPP",4,1,3,2,6,10,7,9,24,29,36,28,28,42,39,37,26,28,26,21,13,3,3,3
465,vt3_Hämeenlinna_E,2020/03/03,2,"15 KATP",15,15,14,10,8,28,22,27,22,43,38,33,29,39,43,26,27,29,24,27,17,25,18,16
465,vt3_Hämeenlinna_E,2020/03/03,2,"16 HA + PK",,,,,,,,1,4,11,7,1,8,7,6,8,10,14,8,8,6,1,2,1
465,vt3_Hämeenlinna_E,2020/03/03,2,"17 HA + AV",,,1,,,1,2,2,4,7,2,3,3,4,4,1,5,2,3,,,,,
465,vt3_Hämeenlinna_E,2020/03/04,1,"11 HA-PA",56,41,32,12,41,133,441,860,840,664,536,564,595,659,787,1115,1229,945,622,352,308,198,168,103
