"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
579,vt7_Siltakylä2,2020/03/01,1,"11 HA-PA",56,51,12,4,7,10,22,36,21,67,118,199,213,254,223,277,327,304,268,248,169,113,76,46
579,vt7_Siltakylä2,2020/03/01,1,"12 KAIP",2,,1,1,,,,2,2,2,4,3,2,3,4,2,7,3,5,3,1,9,,1
579,vt7_Siltakylä2,2020/03/01,1,"13 Linja-autot",,,,,1,,,,,,,1,,,1,1,,1,2,2,1,2,,
579,vt7_Siltakylä2,2020/03/01,1,"14 KAPP",2,2,,,,,,1,,3,3,12,7,3,3,5,8,4,3,4,3,,7,8
579,vt7_Siltakylä2,2020/03/01,1,"15 KATP",,,,,,,,1,1,2,3,4,2,1,1,4,6,3,3,4,8,1,2,3
579,vt7_Siltakylä2,2020/03/01,1,"16 HA + PK",,,,,,,,,,1,4,4,1,2,7,3,6,2,1,4,3,1,3,
579,vt7_Siltakylä2,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,,1,1,
579,vt7_Siltakylä2,2020/03/01,2,"11 HA-PA",13,17,18,18,22,35,41,57,76,143,175,243,251,313,316,317,360,300,242,178,146,67,40,23
579,vt7_Siltakylä2,2020/03/01,2,"12 KAIP",,1,1,1,,1,,,1,,2,3,6,3,2,5,2,4,1,1,1,1,,
579,vt7_Siltakylä2,2020/03/01,2,"13 Linja-autot",,,,1,1,,,1,1,1,4,,1,1,3,4,1,3,2,,1,,,
579,vt7_Siltakylä2,2020/03/01,2,"14 KAPP",,1,,2,1,3,1,1,3,4,10,13,9,9,4,6,10,3,4,5,8,6,1,
579,vt7_Siltakylä2,2020/03/01,2,"15 KATP",1,2,,,1,1,3,,,,1,8,7,2,3,2,3,3,2,2,1,8,1,1
579,vt7_Siltakylä2,2020/03/01,2,"16 HA + PK",,,,,,,,1,1,5,3,9,2,6,5,7,3,4,4,3,1,2,,1
579,vt7_Siltakylä2,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,,,,2,,,1,,,1,
579,vt7_Siltakylä2,2020/03/02,1,"11 HA-PA",30,22,19,4,11,32,150,260,223,214,155,202,169,153,195,311,331,239,173,140,90,75,63,42
