"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
583,vt7_Petäjäsuo,2020/03/01,1,"11 HA-PA",77,55,27,12,9,25,40,42,37,99,178,271,304,326,293,322,388,370,362,260,213,142,82,54
583,vt7_Petäjäsuo,2020/03/01,1,"12 KAIP",1,,1,1,,,,1,,2,4,1,1,1,7,1,4,4,2,2,2,3,,1
583,vt7_Petäjäsuo,2020/03/01,1,"13 Linja-autot",,,,,1,,,,,,,1,3,1,2,1,2,2,3,2,2,2,2,
583,vt7_Petäjäsuo,2020/03/01,1,"14 KAPP",3,1,1,,1,1,,1,1,2,3,8,5,3,3,3,8,2,3,3,2,,6,6
583,vt7_Petäjäsuo,2020/03/01,1,"15 KATP",,,,,,,1,1,2,4,4,5,2,2,1,4,5,2,4,3,7,1,3,5
583,vt7_Petäjäsuo,2020/03/01,1,"16 HA + PK",,,,,,,,,,1,4,6,4,5,5,6,5,2,3,4,4,1,2,
583,vt7_Petäjäsuo,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,1,2,
583,vt7_Petäjäsuo,2020/03/01,2,"11 HA-PA",32,44,21,26,26,37,44,67,83,179,226,283,327,395,407,400,448,361,315,232,175,110,47,25
583,vt7_Petäjäsuo,2020/03/01,2,"12 KAIP",,2,1,1,1,,,,3,3,6,4,2,4,6,4,4,9,3,4,1,1,,
583,vt7_Petäjäsuo,2020/03/01,2,"13 Linja-autot",,,,,,,,,1,2,4,2,2,4,5,3,1,2,,,1,,,
583,vt7_Petäjäsuo,2020/03/01,2,"14 KAPP",,1,1,3,3,3,2,1,2,3,12,9,8,4,2,4,6,5,2,5,5,3,2,
583,vt7_Petäjäsuo,2020/03/01,2,"15 KATP",1,,,,2,1,3,2,3,3,3,14,6,5,6,2,9,6,2,2,4,9,3,1
583,vt7_Petäjäsuo,2020/03/01,2,"16 HA + PK",,,,,,,,2,2,3,3,11,4,14,9,6,5,7,4,4,3,3,2,2
583,vt7_Petäjäsuo,2020/03/01,2,"17 HA + AV",,,,,,,,,,,1,,3,,,1,2,2,,,,,,
583,vt7_Petäjäsuo,2020/03/02,1,"11 HA-PA",33,27,19,7,15,99,303,499,383,320,254,306,241,273,278,411,452,352,261,197,127,107,71,53
583,vt7_Petäjäsuo,2020/03/02,1,"12 KAIP",,,,,,5,4,10,14,12,12,13,15,5,10,9,5,4,5,3,3,4,,
583,vt7_Petäjäsuo,2020/03/02,1,"13 Linja-autot",1,,,,,,,1,5,2,,2,1,2,4,2,3,5,1,2,2,,2,
583,vt7_Petäjäsuo,2020/03/02,1,"14 KAPP",3,1,3,3,5,,2,8,6,15,12,21,24,13,26,21,15,14,14,10,1,3,2,5
583,vt7_Petäjäsuo,2020/03/02,1,"15 KATP",4,2,3,3,3,7,10,15,5,21,15,32,14,19,22,14,24,11,8,7,6,8,5,4
583,vt7_Petäjäsuo,2020/03/02,1,"16 HA + PK",,,,,,,1,1,3,5,2,2,7,4,6,5,2,4,5,4,1,1,1,
583,vt7_Petäjäsuo,2020/03/02,1,"17 HA + AV",,,,,,,,,,1,2,1,1,1,,,1,,,,,,,
583,vt7_Petäjäsuo,2020/03/02,2,"11 HA-PA",22,12,15,19,46,203,311,295,258,215,203,241,274,288,336,485,513,314,224,189,161,121,61,24
583,vt7_Petäjäsuo,2020/03/02,2,"12 KAIP",1,,1,,1,8,14,7,15,7,10,6,15,6,9,13,6,5,,3,1,,1,
583,vt7_Petäjäsuo,2020/03/02,2,"13 Linja-autot",,,1,1,,1,5,2,3,5,5,2,1,,5,3,3,1,1,1,1,,,
583,vt7_Petäjäsuo,2020/03/02,2,"14 KAPP",,2,6,3,9,1,3,10,7,17,13,13,13,12,19,23,15,18,11,8,4,1,2,2
583,vt7_Petäjäsuo,2020/03/02,2,"15 KATP",5,2,4,8,7,10,16,18,19,34,31,41,27,24,18,31,22,19,17,8,11,6,4,1
583,vt7_Petäjäsuo,2020/03/02,2,"16 HA + PK",,,,,,3,7,5,2,9,5,5,5,8,6,8,5,4,3,4,1,5,,1
583,vt7_Petäjäsuo,2020/03/02,2,"17 HA + AV",,,,,,1,,3,5,4,3,3,2,4,1,,1,1,,1,1,,,
583,vt7_Petäjäsuo,2020/03/03,1,"11 HA-PA",29,16,8,2,13,87,276,465,395,333,277,258,264,297,271,429,425,374,278,182,128,112,79,54
583,vt7_Petäjäsuo,2020/03/03,1,"12 KAIP",1,1,2,,2,4,9,4,12,6,11,8,12,13,16,13,8,4,2,3,2,4,1,2
583,vt7_Petäjäsuo,2020/03/03,1,"13 Linja-autot",,,1,,,,,1,2,1,,1,,2,2,2,3,,2,1,1,1,,1
583,vt7_Petäjäsuo,2020/03/03,1,"14 KAPP",4,5,,2,4,4,8,15,16,13,20,24,22,29,31,18,18,16,5,7,6,2,3,9
583,vt7_Petäjäsuo,2020/03/03,1,"15 KATP",4,2,2,7,4,4,19,19,15,19,10,13,23,21,14,21,17,7,10,10,6,9,5,5
583,vt7_Petäjäsuo,2020/03/03,1,"16 HA + PK",,,,,,1,3,4,7,,3,3,3,7,4,6,6,1,3,4,2,1,,
583,vt7_Petäjäsuo,2020/03/03,1,"17 HA + AV",,,,,,1,1,1,,,1,1,2,1,1,1,,1,,,,,1,
583,vt7_Petäjäsuo,2020/03/03,2,"11 HA-PA",9,10,9,12,31,142,272,310,232,186,218,262,300,306,415,489,532,322,248,242,128,111,53,17
583,vt7_Petäjäsuo,2020/03/03,2,"12 KAIP",,1,3,1,3,6,15,16,10,7,13,16,13,13,15,13,9,4,2,5,4,,,2
583,vt7_Petäjäsuo,2020/03/03,2,"13 Linja-autot",1,,,1,,3,5,3,1,4,2,2,1,,1,2,2,2,3,1,1,,1,
583,vt7_Petäjäsuo,2020/03/03,2,"14 KAPP",3,2,1,1,3,5,4,11,4,13,14,11,8,14,16,11,13,8,5,12,4,2,,3
583,vt7_Petäjäsuo,2020/03/03,2,"15 KATP",3,,5,11,6,12,18,19,32,27,18,24,29,27,29,21,18,19,11,13,13,13,7,5
583,vt7_Petäjäsuo,2020/03/03,2,"16 HA + PK",,,,,,,1,9,3,5,5,6,7,5,7,6,5,5,5,2,1,,1,1
583,vt7_Petäjäsuo,2020/03/03,2,"17 HA + AV",,1,1,,1,3,3,3,2,2,2,3,4,1,2,2,5,,,1,,,1,
583,vt7_Petäjäsuo,2020/03/04,1,"11 HA-PA",41,23,16,7,9,99,287,463,400,306,246,254,260,260,243,374,405,348,278,181,153,119,77,52
583,vt7_Petäjäsuo,2020/03/04,1,"12 KAIP",1,,,,,3,6,12,10,16,15,10,18,8,10,13,6,4,4,7,2,2,,
583,vt7_Petäjäsuo,2020/03/04,1,"13 Linja-autot",,,,,,1,,1,2,1,2,2,2,4,,1,1,4,2,3,2,1,1,
583,vt7_Petäjäsuo,2020/03/04,1,"14 KAPP",3,4,1,2,1,3,7,14,9,18,16,22,30,19,18,17,16,15,15,5,4,5,1,11
583,vt7_Petäjäsuo,2020/03/04,1,"15 KATP",5,9,8,2,5,11,13,10,18,27,21,29,23,17,23,20,12,19,9,3,9,7,3,9
583,vt7_Petäjäsuo,2020/03/04,1,"16 HA + PK",,,1,,,,4,4,5,8,4,2,4,4,,2,1,2,3,2,,3,1,1
583,vt7_Petäjäsuo,2020/03/04,1,"17 HA + AV",1,,,,,,,1,,1,1,1,,1,2,,,,1,,1,,,1
583,vt7_Petäjäsuo,2020/03/04,2,"11 HA-PA",16,11,14,8,38,145,290,309,234,191,220,263,229,313,418,491,454,309,225,218,137,125,45,17
583,vt7_Petäjäsuo,2020/03/04,2,"12 KAIP",1,,,1,1,5,9,9,17,9,7,16,14,14,14,7,7,2,6,7,2,1,,1
583,vt7_Petäjäsuo,2020/03/04,2,"13 Linja-autot",,,1,,,3,,3,2,2,4,4,2,4,3,4,4,1,,,,,,
583,vt7_Petäjäsuo,2020/03/04,2,"14 KAPP",2,1,,6,3,4,8,1,8,17,14,23,13,13,17,13,11,8,8,6,3,1,2,2
583,vt7_Petäjäsuo,2020/03/04,2,"15 KATP",5,2,5,6,6,9,21,29,21,27,27,28,24,30,28,20,19,14,18,11,13,10,6,2
583,vt7_Petäjäsuo,2020/03/04,2,"16 HA + PK",,1,,,,2,3,6,6,3,3,4,8,7,5,5,7,6,2,2,2,1,1,
583,vt7_Petäjäsuo,2020/03/04,2,"17 HA + AV",,,,,,2,2,1,4,3,2,2,2,2,2,2,2,,1,1,,,,
583,vt7_Petäjäsuo,2020/03/05,1,"11 HA-PA",26,14,7,7,10,83,295,466,400,319,236,282,302,283,316,419,455,424,293,217,191,117,75,51
583,vt7_Petäjäsuo,2020/03/05,1,"12 KAIP",1,1,,,1,5,6,11,9,8,13,15,10,17,7,10,5,6,2,5,3,3,,
583,vt7_Petäjäsuo,2020/03/05,1,"13 Linja-autot",1,,,,,,,1,2,1,3,2,3,2,3,1,4,1,2,1,,1,1,1
583,vt7_Petäjäsuo,2020/03/05,1,"14 KAPP",7,3,,1,1,3,7,12,16,13,14,20,17,28,26,17,22,16,9,5,5,1,2,13
583,vt7_Petäjäsuo,2020/03/05,1,"15 KATP",8,2,2,4,3,8,25,13,28,24,24,19,24,21,24,12,11,16,7,14,14,9,7,3
583,vt7_Petäjäsuo,2020/03/05,1,"16 HA + PK",,,,,,,2,3,2,5,2,3,4,3,2,3,6,5,6,1,2,4,1,
583,vt7_Petäjäsuo,2020/03/05,1,"17 HA + AV",,1,,,,1,1,,,1,1,1,2,3,1,,,1,3,,,,,
583,vt7_Petäjäsuo,2020/03/05,2,"11 HA-PA",3,18,10,21,36,148,264,305,225,240,242,238,289,326,428,521,520,365,273,216,165,121,61,21
583,vt7_Petäjäsuo,2020/03/05,2,"12 KAIP",,1,3,,2,4,9,10,10,7,15,11,15,7,8,23,10,7,10,6,2,3,1,2
583,vt7_Petäjäsuo,2020/03/05,2,"13 Linja-autot",,,1,,,2,3,2,3,1,2,1,2,2,,4,,2,1,1,1,,,
583,vt7_Petäjäsuo,2020/03/05,2,"14 KAPP",,,,2,3,7,6,12,14,17,15,19,8,15,13,18,17,22,10,16,2,3,3,1
583,vt7_Petäjäsuo,2020/03/05,2,"15 KATP",1,4,2,8,11,3,16,25,37,45,25,36,32,19,34,19,23,12,13,11,11,15,2,3
583,vt7_Petäjäsuo,2020/03/05,2,"16 HA + PK",2,,,,,3,7,4,6,2,5,7,10,9,7,2,12,12,4,2,2,2,,1
583,vt7_Petäjäsuo,2020/03/05,2,"17 HA + AV",,,,,,1,1,4,3,3,3,1,1,2,3,2,1,2,,,2,1,,
583,vt7_Petäjäsuo,2020/03/06,1,"11 HA-PA",25,18,5,,11,84,274,403,336,293,306,300,327,405,402,563,605,547,400,308,195,173,93,71
583,vt7_Petäjäsuo,2020/03/06,1,"12 KAIP",1,,,,,4,9,10,9,9,8,17,7,15,10,12,11,5,1,,1,,1,1
583,vt7_Petäjäsuo,2020/03/06,1,"13 Linja-autot",1,,,,,,,1,2,2,1,2,3,1,1,1,2,4,1,2,3,,2,
583,vt7_Petäjäsuo,2020/03/06,1,"14 KAPP",5,2,2,4,2,4,9,8,12,12,19,18,23,26,20,13,19,14,14,3,2,,2,13
583,vt7_Petäjäsuo,2020/03/06,1,"15 KATP",4,2,6,4,4,16,15,18,18,16,27,19,26,34,23,17,7,12,9,4,5,2,4,1
583,vt7_Petäjäsuo,2020/03/06,1,"16 HA + PK",,1,,,,,4,4,5,1,7,4,3,3,8,4,5,3,4,4,5,3,2,2
583,vt7_Petäjäsuo,2020/03/06,1,"17 HA + AV",,,,,,,1,1,,1,1,,2,,1,1,2,,1,,,,,
583,vt7_Petäjäsuo,2020/03/06,2,"11 HA-PA",17,16,15,11,35,141,259,263,249,214,264,341,381,412,476,635,541,354,305,252,163,121,111,58
583,vt7_Petäjäsuo,2020/03/06,2,"12 KAIP",3,,1,1,2,4,15,15,9,12,12,9,5,14,12,10,6,6,5,2,1,1,,3
583,vt7_Petäjäsuo,2020/03/06,2,"13 Linja-autot",,,,1,,3,1,2,2,2,,1,1,1,1,3,3,1,3,,,,,
583,vt7_Petäjäsuo,2020/03/06,2,"14 KAPP",3,,4,,6,3,7,5,7,12,17,8,17,14,14,20,7,13,6,6,1,1,1,
583,vt7_Petäjäsuo,2020/03/06,2,"15 KATP",1,1,4,13,7,8,20,31,36,29,25,23,30,30,25,17,21,11,7,8,7,7,4,4
583,vt7_Petäjäsuo,2020/03/06,2,"16 HA + PK",,1,,,1,3,4,8,7,8,7,9,8,4,8,8,7,4,,1,4,1,1,
583,vt7_Petäjäsuo,2020/03/06,2,"17 HA + AV",,,,,,1,1,3,4,3,3,4,2,2,1,2,1,1,,1,,,,
