"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
623,vt4_Hartola,2020/03/01,1,"11 HA-PA",20,52,24,9,7,13,19,32,30,81,118,171,209,227,227,260,242,216,210,166,98,85,21,19
623,vt4_Hartola,2020/03/01,1,"12 KAIP",1,1,1,,,,2,2,1,1,,3,3,3,1,3,1,1,2,5,,4,3,
623,vt4_Hartola,2020/03/01,1,"13 Linja-autot",,,,,1,,,,,,,2,,1,,3,1,1,1,2,2,1,2,
623,vt4_Hartola,2020/03/01,1,"14 KAPP",1,,1,,,,,,2,2,6,6,9,4,7,8,5,6,12,7,8,7,2,1
623,vt4_Hartola,2020/03/01,1,"15 KATP",1,,,1,,,1,1,7,3,,2,9,6,10,11,8,7,17,10,8,5,5,1
623,vt4_Hartola,2020/03/01,1,"16 HA + PK",,,2,,,2,1,,5,3,2,3,4,6,3,4,4,5,6,,4,3,1,
623,vt4_Hartola,2020/03/01,1,"17 HA + AV",,,,,,1,1,,,2,,,,1,2,1,,2,,,,,1,1
623,vt4_Hartola,2020/03/01,2,"11 HA-PA",19,17,15,8,10,15,19,23,51,97,137,228,277,326,382,389,397,396,300,211,162,87,25,60
623,vt4_Hartola,2020/03/01,2,"12 KAIP",,,1,,1,,1,,,,1,1,2,3,2,2,1,5,5,1,3,,,
623,vt4_Hartola,2020/03/01,2,"13 Linja-autot",1,,,1,,1,,,2,2,1,,2,4,,1,1,2,1,,2,,,1
623,vt4_Hartola,2020/03/01,2,"14 KAPP",,1,4,1,2,2,2,,1,3,3,,4,2,4,2,1,3,2,3,,1,,3
623,vt4_Hartola,2020/03/01,2,"15 KATP",,1,,4,,1,,4,4,3,3,6,5,4,4,1,7,13,9,12,10,5,1,1
