"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
827,vt9_Jännevirta,2020/03/01,1,"11 HA-PA",22,15,5,9,9,8,22,39,51,98,141,139,165,197,191,195,183,165,169,103,71,55,30,10
827,vt9_Jännevirta,2020/03/01,1,"12 KAIP",1,1,,1,,,,1,,2,1,,,3,1,,1,3,1,1,2,,2,1
827,vt9_Jännevirta,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,1,1,1,1,,,1,3,,1,,1,1,
827,vt9_Jännevirta,2020/03/01,1,"14 KAPP",,,,,,,,2,,,,,,1,2,1,,,1,1,1,,,1
827,vt9_Jännevirta,2020/03/01,1,"15 KATP",,1,,1,,,,,,,2,,,3,,4,3,1,3,3,1,1,5,3
827,vt9_Jännevirta,2020/03/01,1,"16 HA + PK",1,,,,,,2,,2,6,4,4,5,5,8,5,7,1,3,1,2,1,1,1
827,vt9_Jännevirta,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,,1,1,,,,2,1,
827,vt9_Jännevirta,2020/03/01,2,"11 HA-PA",13,12,2,4,4,9,27,38,47,99,175,220,214,269,265,245,216,206,184,144,68,46,20,9
827,vt9_Jännevirta,2020/03/01,2,"12 KAIP",,,1,,,,,,1,,2,1,1,2,1,,,2,1,4,,,2,
827,vt9_Jännevirta,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,1,2,,1,2,1,1,3,,1,1,,
827,vt9_Jännevirta,2020/03/01,2,"14 KAPP",,,,,,,,,,,,,3,1,,,1,2,1,,1,,,
827,vt9_Jännevirta,2020/03/01,2,"15 KATP",,,,,,,,,,,,3,2,2,2,1,2,,1,3,2,2,2,2
827,vt9_Jännevirta,2020/03/01,2,"16 HA + PK",,,1,,,,,1,3,6,2,8,8,4,6,10,8,7,2,3,,2,,1
827,vt9_Jännevirta,2020/03/01,2,"17 HA + AV",,,,,,,,,,,2,,6,1,3,,,,,1,,1,,1
827,vt9_Jännevirta,2020/03/02,1,"11 HA-PA",4,6,6,4,16,24,89,106,115,108,129,155,171,199,272,363,390,231,147,121,74,52,35,14
827,vt9_Jännevirta,2020/03/02,1,"12 KAIP",1,1,2,1,3,4,6,3,2,3,4,3,4,2,2,4,1,3,6,1,1,2,1,
827,vt9_Jännevirta,2020/03/02,1,"13 Linja-autot",,,1,,,4,2,1,,1,1,,1,3,2,1,2,1,2,1,2,,,
827,vt9_Jännevirta,2020/03/02,1,"14 KAPP",2,,1,,,,,3,,,,,1,,,1,1,1,,3,,,,
827,vt9_Jännevirta,2020/03/02,1,"15 KATP",2,,3,4,4,7,5,3,7,3,8,9,5,5,5,7,5,3,4,3,4,5,3,5
827,vt9_Jännevirta,2020/03/02,1,"16 HA + PK",,,,,,,1,4,4,6,3,4,4,5,6,9,6,4,5,5,,2,,
827,vt9_Jännevirta,2020/03/02,1,"17 HA + AV",,,,1,,1,2,,1,1,2,2,1,1,,,,,,,,,,1
827,vt9_Jännevirta,2020/03/02,2,"11 HA-PA",9,13,8,11,31,111,296,294,202,200,214,233,204,179,194,195,174,126,97,68,57,33,14,10
827,vt9_Jännevirta,2020/03/02,2,"12 KAIP",,2,,,1,1,3,5,6,7,3,7,7,6,5,4,3,5,5,3,,1,2,
827,vt9_Jännevirta,2020/03/02,2,"13 Linja-autot",,,1,,,,1,2,2,2,1,1,1,,1,3,,2,1,,1,,1,
827,vt9_Jännevirta,2020/03/02,2,"14 KAPP",,1,1,,2,,,,2,6,,3,1,,1,1,,2,,,,,,1
827,vt9_Jännevirta,2020/03/02,2,"15 KATP",,1,3,3,,2,8,2,5,5,6,8,7,5,9,9,6,5,5,8,4,4,3,4
827,vt9_Jännevirta,2020/03/02,2,"16 HA + PK",,,,,,,1,3,4,7,2,11,2,2,2,7,1,1,2,3,1,,1,
827,vt9_Jännevirta,2020/03/02,2,"17 HA + AV",,,,1,,,,3,,2,,1,,,2,2,,,,,,,,
827,vt9_Jännevirta,2020/03/03,1,"11 HA-PA",8,6,4,5,14,20,76,140,124,112,110,165,193,185,230,388,371,229,190,113,85,59,37,6
827,vt9_Jännevirta,2020/03/03,1,"12 KAIP",,1,2,,,4,5,8,6,5,4,7,1,4,1,4,3,5,2,1,1,1,1,
827,vt9_Jännevirta,2020/03/03,1,"13 Linja-autot",,,,,,2,1,1,,2,,,2,2,2,2,1,1,1,1,,,,
827,vt9_Jännevirta,2020/03/03,1,"14 KAPP",1,1,3,,1,,1,1,,1,1,4,1,3,1,1,4,2,2,,1,,,
827,vt9_Jännevirta,2020/03/03,1,"15 KATP",4,6,3,5,6,4,4,6,5,12,7,6,3,5,3,7,8,6,6,5,5,1,1,7
827,vt9_Jännevirta,2020/03/03,1,"16 HA + PK",,,,,,,,3,4,3,8,7,7,4,5,3,4,4,5,3,3,,,
827,vt9_Jännevirta,2020/03/03,1,"17 HA + AV",,,,,,2,2,,,3,1,,1,,,1,1,4,1,,,,,
827,vt9_Jännevirta,2020/03/03,2,"11 HA-PA",9,9,3,12,24,95,272,236,213,206,205,247,193,191,175,185,174,133,113,86,52,27,17,18
827,vt9_Jännevirta,2020/03/03,2,"12 KAIP",,,,,,1,1,4,5,9,7,6,7,6,4,3,5,4,5,1,1,,,1
827,vt9_Jännevirta,2020/03/03,2,"13 Linja-autot",,,,,,,,2,,2,1,1,2,,1,3,1,4,1,,1,,1,
827,vt9_Jännevirta,2020/03/03,2,"14 KAPP",,,,1,,,1,2,1,4,,2,2,2,3,1,1,2,1,,,,1,
827,vt9_Jännevirta,2020/03/03,2,"15 KATP",1,4,3,1,2,4,3,6,10,4,7,8,9,14,9,8,3,6,5,6,7,3,3,4
827,vt9_Jännevirta,2020/03/03,2,"16 HA + PK",,,,1,,1,2,6,5,4,3,6,4,2,4,4,6,3,4,1,3,,,
827,vt9_Jännevirta,2020/03/03,2,"17 HA + AV",1,,,,,1,,1,,,,,,,,,,,,,,2,,
827,vt9_Jännevirta,2020/03/04,1,"11 HA-PA",6,6,5,4,11,18,80,115,131,139,123,150,184,194,238,408,346,254,173,128,89,63,33,18
827,vt9_Jännevirta,2020/03/04,1,"12 KAIP",,1,1,,,4,4,2,5,1,5,3,3,7,5,12,6,3,7,1,1,1,,1
827,vt9_Jännevirta,2020/03/04,1,"13 Linja-autot",,,,,,3,1,2,,,1,,2,3,2,5,2,2,1,,,1,,
827,vt9_Jännevirta,2020/03/04,1,"14 KAPP",,1,1,2,1,,,1,1,3,4,3,1,,1,,,,2,1,,4,1,1
827,vt9_Jännevirta,2020/03/04,1,"15 KATP",3,6,6,5,8,5,4,5,6,10,6,9,2,2,4,6,5,5,7,3,5,4,3,4
827,vt9_Jännevirta,2020/03/04,1,"16 HA + PK",1,,,,,,1,3,5,4,7,,4,4,8,2,11,6,4,4,2,2,,
827,vt9_Jännevirta,2020/03/04,1,"17 HA + AV",,,,,,1,,1,,1,,,2,,,,1,1,1,,,,,1
827,vt9_Jännevirta,2020/03/04,2,"11 HA-PA",7,4,8,9,26,90,267,241,164,211,258,213,184,177,226,206,185,155,112,81,61,41,25,9
827,vt9_Jännevirta,2020/03/04,2,"12 KAIP",,,,,,1,2,3,3,7,6,3,6,7,4,2,3,4,3,3,1,2,,1
827,vt9_Jännevirta,2020/03/04,2,"13 Linja-autot",,,,,,,1,2,,3,1,1,1,,1,3,,2,1,,1,,1,1
827,vt9_Jännevirta,2020/03/04,2,"14 KAPP",,,1,,1,2,1,1,3,1,3,2,,,1,2,1,2,2,,,1,1,
827,vt9_Jännevirta,2020/03/04,2,"15 KATP",,2,1,,,3,3,7,9,9,9,8,11,6,3,7,5,8,9,6,4,3,3,4
827,vt9_Jännevirta,2020/03/04,2,"16 HA + PK",,,,,,1,,2,8,5,3,4,1,5,10,5,3,4,,1,1,2,,
827,vt9_Jännevirta,2020/03/04,2,"17 HA + AV",,,,,,,,2,1,,1,,1,,,,1,,,,,,,1
827,vt9_Jännevirta,2020/03/05,1,"11 HA-PA",16,4,4,3,12,22,78,115,111,105,118,152,171,193,260,327,363,260,145,142,114,78,41,17
827,vt9_Jännevirta,2020/03/05,1,"12 KAIP",,2,1,1,,3,,,1,2,5,3,3,4,5,3,3,3,4,4,1,3,,1
827,vt9_Jännevirta,2020/03/05,1,"13 Linja-autot",,,,,1,3,3,1,,2,2,1,,2,2,3,3,1,1,,,,,
827,vt9_Jännevirta,2020/03/05,1,"14 KAPP",2,1,2,,2,2,2,3,,1,3,1,3,1,1,,2,1,1,5,1,,3,
827,vt9_Jännevirta,2020/03/05,1,"15 KATP",3,8,8,5,5,4,3,5,11,1,8,7,4,9,10,6,8,9,5,5,5,2,4,3
827,vt9_Jännevirta,2020/03/05,1,"16 HA + PK",,1,,,,,1,3,4,6,2,7,3,4,6,11,5,3,9,10,3,3,,
