"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
832,vt5_Levänen,2020/03/01,1,"11 HA-PA",119,98,91,71,71,63,194,152,181,402,648,728,846,994,1092,1177,1041,955,830,521,488,315,132,114
832,vt5_Levänen,2020/03/01,1,"12 KAIP",2,3,,1,2,2,4,3,2,7,10,9,5,5,5,10,10,15,9,4,4,8,2,2
832,vt5_Levänen,2020/03/01,1,"13 Linja-autot",,2,,1,1,,,,,,,,1,,1,2,1,,2,2,1,2,2,5
832,vt5_Levänen,2020/03/01,1,"14 KAPP",1,,,,,,,,,,,,2,2,2,2,3,4,4,,6,5,2,2
832,vt5_Levänen,2020/03/01,1,"15 KATP",3,2,,2,1,2,1,1,3,5,6,6,6,5,6,5,8,6,8,8,6,12,14,14
832,vt5_Levänen,2020/03/01,1,"16 HA + PK",2,1,2,,,,1,1,5,11,10,9,15,14,14,24,26,16,13,4,4,2,2,2
832,vt5_Levänen,2020/03/01,1,"17 HA + AV",2,,,,,,,1,2,2,3,2,1,3,,2,2,,,,,3,2,
832,vt5_Levänen,2020/03/01,2,"11 HA-PA",152,109,73,63,78,83,100,161,178,417,695,999,1220,1279,1191,1218,1041,974,754,575,391,287,134,83
832,vt5_Levänen,2020/03/01,2,"12 KAIP",4,6,3,4,2,5,5,9,13,11,10,15,18,17,19,14,22,10,14,6,7,7,8,2
832,vt5_Levänen,2020/03/01,2,"13 Linja-autot",,,,,,,2,,,,4,1,5,6,2,1,1,1,,2,,1,,
832,vt5_Levänen,2020/03/01,2,"14 KAPP",1,,1,,,1,,,1,1,1,3,1,4,4,1,4,2,4,2,4,3,,2
832,vt5_Levänen,2020/03/01,2,"15 KATP",2,1,2,1,1,,2,4,7,7,9,8,6,6,7,6,10,12,12,8,13,12,6,8
832,vt5_Levänen,2020/03/01,2,"16 HA + PK",2,2,2,2,1,,,1,5,11,22,22,22,36,33,17,25,14,13,12,3,4,2,2
832,vt5_Levänen,2020/03/01,2,"17 HA + AV",,,,1,,,,,,3,,,2,5,3,4,4,,,,2,2,,2
832,vt5_Levänen,2020/03/02,1,"11 HA-PA",41,41,49,53,74,305,1118,1530,1115,816,816,992,991,1078,991,1295,1214,1029,756,637,452,367,177,94
832,vt5_Levänen,2020/03/02,1,"12 KAIP",3,6,5,6,15,23,33,51,41,46,39,40,41,56,43,37,21,25,12,14,7,6,3,7
832,vt5_Levänen,2020/03/02,1,"13 Linja-autot",3,1,,,1,2,3,5,2,4,5,1,1,4,1,6,9,8,3,4,1,1,2,3
832,vt5_Levänen,2020/03/02,1,"14 KAPP",2,4,3,2,1,1,2,11,7,9,11,8,10,11,3,9,3,6,6,7,6,5,3,4
832,vt5_Levänen,2020/03/02,1,"15 KATP",7,4,14,8,8,13,25,21,20,16,20,25,18,26,24,14,16,17,13,11,17,13,17,22
832,vt5_Levänen,2020/03/02,1,"16 HA + PK",2,2,2,1,,2,9,22,12,16,12,21,12,20,20,15,21,16,11,11,5,2,1,2
832,vt5_Levänen,2020/03/02,1,"17 HA + AV",2,,1,,2,4,2,7,4,2,4,7,5,5,2,4,2,3,6,1,2,,3,
832,vt5_Levänen,2020/03/02,2,"11 HA-PA",69,52,34,59,95,263,547,793,610,684,885,927,1056,1000,1192,1835,1621,1144,781,621,454,299,149,98
