"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
833,kt75_Pajukoski,2020/03/01,1,"11 HA-PA",17,4,6,2,3,6,13,18,48,81,117,117,126,133,179,126,131,112,95,101,55,41,22,7
833,kt75_Pajukoski,2020/03/01,1,"12 KAIP",,1,,,,,,,2,2,1,,4,2,,,,,1,,,,,
833,kt75_Pajukoski,2020/03/01,1,"13 Linja-autot",1,,,,,,1,,1,,1,1,,3,1,,,,,1,,,,
833,kt75_Pajukoski,2020/03/01,1,"14 KAPP",,,,,,,,,1,,1,1,,1,1,,,,1,,,,,1
833,kt75_Pajukoski,2020/03/01,1,"15 KATP",,1,,,,,,,,,,2,1,1,2,2,1,1,1,1,,,2,1
833,kt75_Pajukoski,2020/03/01,1,"16 HA + PK",,,,,,,,3,4,3,3,8,5,5,3,1,10,2,1,2,,,,
833,kt75_Pajukoski,2020/03/01,1,"17 HA + AV",1,,,1,,,,,,2,,,2,,1,1,,1,,,,,,
833,kt75_Pajukoski,2020/03/01,2,"11 HA-PA",14,15,6,4,9,15,18,24,45,83,157,279,309,245,262,192,191,154,106,82,45,20,11,4
833,kt75_Pajukoski,2020/03/01,2,"12 KAIP",,,,,1,,,1,,2,2,3,4,3,6,2,2,,1,2,2,,,2
833,kt75_Pajukoski,2020/03/01,2,"13 Linja-autot",,2,,,,1,2,,2,2,6,8,5,4,6,5,6,5,1,1,,,,1
833,kt75_Pajukoski,2020/03/01,2,"14 KAPP",,,,,,,,1,1,1,2,5,1,,1,3,1,3,1,2,,,,
833,kt75_Pajukoski,2020/03/01,2,"15 KATP",,,,,,,1,,1,1,1,4,4,3,1,4,1,2,2,1,3,3,,
833,kt75_Pajukoski,2020/03/01,2,"16 HA + PK",,,,,,,,,1,,9,7,12,10,7,14,5,8,4,,2,1,,
833,kt75_Pajukoski,2020/03/01,2,"17 HA + AV",,,,1,,,,,,,,2,5,2,,6,1,,,,,,1,
833,kt75_Pajukoski,2020/03/02,1,"11 HA-PA",7,4,2,1,7,21,52,66,63,88,119,139,123,132,207,209,241,139,131,90,41,48,15,6
833,kt75_Pajukoski,2020/03/02,1,"12 KAIP",1,,1,,2,1,2,5,2,4,1,3,4,4,4,1,3,2,2,2,,2,1,
833,kt75_Pajukoski,2020/03/02,1,"13 Linja-autot",,,,,,,1,2,1,1,1,,,,,1,4,,,,,,,
833,kt75_Pajukoski,2020/03/02,1,"14 KAPP",,,,,,,2,1,3,1,4,1,1,3,,1,1,1,1,,,,,1
833,kt75_Pajukoski,2020/03/02,1,"15 KATP",1,,1,4,1,2,1,2,4,8,1,4,3,3,1,5,3,3,1,1,1,2,2,1
833,kt75_Pajukoski,2020/03/02,1,"16 HA + PK",,,,,,,,4,3,2,6,3,4,4,4,3,2,5,5,1,,,,
833,kt75_Pajukoski,2020/03/02,1,"17 HA + AV",,,,1,,,1,,,2,1,,,,1,,,,1,1,,1,,
833,kt75_Pajukoski,2020/03/02,2,"11 HA-PA",1,7,6,3,20,60,157,126,103,128,126,147,115,122,123,111,129,98,70,45,39,21,12,4
833,kt75_Pajukoski,2020/03/02,2,"12 KAIP",,,2,,4,2,3,3,5,6,1,2,4,4,3,3,6,2,2,1,,2,2,1
833,kt75_Pajukoski,2020/03/02,2,"13 Linja-autot",,,,,,4,5,4,5,8,4,3,6,1,1,3,2,2,1,,,2,,1
833,kt75_Pajukoski,2020/03/02,2,"14 KAPP",,1,,,1,,1,2,3,,1,,1,1,1,1,,1,1,2,3,3,,2
833,kt75_Pajukoski,2020/03/02,2,"15 KATP",,,,1,2,,4,3,2,4,1,2,4,4,5,4,6,6,2,1,1,,1,
833,kt75_Pajukoski,2020/03/02,2,"16 HA + PK",,,,,,2,1,3,1,2,3,4,4,1,2,4,1,5,4,2,,,1,
833,kt75_Pajukoski,2020/03/02,2,"17 HA + AV",,,,,,,,,,,1,,,,1,,1,,,,,,,
833,kt75_Pajukoski,2020/03/03,1,"11 HA-PA",3,3,5,2,10,14,44,67,75,122,122,134,127,151,156,234,221,155,113,87,66,33,19,8
833,kt75_Pajukoski,2020/03/03,1,"12 KAIP",,2,,,3,4,4,3,4,,4,6,5,1,4,4,6,4,4,2,1,2,1,
833,kt75_Pajukoski,2020/03/03,1,"13 Linja-autot",,,,,1,,,2,,,1,1,,3,1,3,1,,,1,,,,
833,kt75_Pajukoski,2020/03/03,1,"14 KAPP",1,,1,,,,2,2,4,,3,1,1,2,,,,2,3,,,,,
833,kt75_Pajukoski,2020/03/03,1,"15 KATP",1,2,3,2,,2,3,9,4,3,2,6,8,1,2,4,2,2,2,,1,3,1,1
833,kt75_Pajukoski,2020/03/03,1,"16 HA + PK",,,,,,,,1,1,3,3,2,5,3,6,4,3,2,2,2,1,,,
833,kt75_Pajukoski,2020/03/03,1,"17 HA + AV",,,,,,,1,,1,1,1,1,1,2,,,,,,,,,,
833,kt75_Pajukoski,2020/03/03,2,"11 HA-PA",2,3,3,4,14,64,153,113,92,107,140,134,126,112,126,140,138,115,85,62,41,17,9,8
833,kt75_Pajukoski,2020/03/03,2,"12 KAIP",,,,,,4,3,3,4,3,5,4,6,3,,3,3,5,2,4,1,,,2
833,kt75_Pajukoski,2020/03/03,2,"13 Linja-autot",1,1,1,,,4,6,4,2,3,8,4,3,5,6,1,3,7,3,1,3,,1,1
