"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
922,vt9_Muurame,2020/03/01,1,"11 HA-PA",29,27,20,22,19,21,41,36,58,125,206,282,321,360,401,366,403,337,368,236,175,101,56,38
922,vt9_Muurame,2020/03/01,1,"12 KAIP",,,2,1,,,,,,1,,4,3,2,3,1,1,1,2,,4,5,2,
922,vt9_Muurame,2020/03/01,1,"13 Linja-autot",2,,1,,,,,,1,,2,1,2,3,2,2,1,2,5,3,2,3,2,
922,vt9_Muurame,2020/03/01,1,"14 KAPP",,,,,,,,,1,,,,1,1,1,,1,2,3,2,1,3,1,
922,vt9_Muurame,2020/03/01,1,"15 KATP",1,,2,,1,,,2,,1,3,3,2,2,2,7,5,4,2,6,7,8,6,3
922,vt9_Muurame,2020/03/01,1,"16 HA + PK",,,1,,,2,,1,2,,10,6,6,7,8,11,7,3,6,5,4,2,1,
922,vt9_Muurame,2020/03/01,1,"17 HA + AV",,,,,,,,1,,2,1,1,,1,1,,,,,1,2,,,
922,vt9_Muurame,2020/03/01,2,"11 HA-PA",38,21,25,14,20,16,25,44,67,153,199,283,390,450,500,522,493,485,385,242,168,133,51,32
922,vt9_Muurame,2020/03/01,2,"12 KAIP",1,,,,,1,1,,1,2,2,3,3,5,4,2,5,,2,,3,6,1,
922,vt9_Muurame,2020/03/01,2,"13 Linja-autot",,1,,2,,,,2,,3,1,1,1,3,2,1,2,3,2,1,2,,3,2
922,vt9_Muurame,2020/03/01,2,"14 KAPP",1,1,,,,1,,,,2,2,1,4,,1,2,2,2,2,1,2,,,4
922,vt9_Muurame,2020/03/01,2,"15 KATP",,1,,,2,1,2,1,,1,3,5,5,4,9,2,7,8,10,7,4,7,4,3
