"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1026,vt8_Kovjoki,2020/05/01,1,"11 HA-PA",27,9,8,8,9,10,8,18,12,44,56,83,122,125,118,110,113,117,98,53,50,27,16,21
1026,vt8_Kovjoki,2020/05/01,1,"12 KAIP",,,1,,1,,,2,3,2,,1,1,,2,5,,,1,2,,,2,
1026,vt8_Kovjoki,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,1,1,,,,
1026,vt8_Kovjoki,2020/05/01,1,"14 KAPP",,2,2,1,,,,1,1,2,2,1,1,1,1,,,,,1,,,1,
1026,vt8_Kovjoki,2020/05/01,1,"15 KATP",6,5,15,7,7,2,1,3,6,4,2,5,4,4,1,5,2,4,3,1,4,4,1,3
1026,vt8_Kovjoki,2020/05/01,1,"16 HA + PK",,1,,,,1,,,1,4,8,8,8,4,12,8,6,7,6,3,3,,,2
1026,vt8_Kovjoki,2020/05/01,1,"17 HA + AV",,1,,,,,,,4,2,,,1,3,1,1,,5,,,,,,
1026,vt8_Kovjoki,2020/05/01,2,"11 HA-PA",10,4,7,4,3,9,12,15,35,51,66,90,106,99,90,99,97,68,61,52,62,41,27,21
1026,vt8_Kovjoki,2020/05/01,2,"12 KAIP",1,,1,,,,,1,5,2,1,1,1,6,4,1,4,5,2,1,,2,,
1026,vt8_Kovjoki,2020/05/01,2,"13 Linja-autot",,,,,,,,,1,1,,,,,,,,,,,,,,1
1026,vt8_Kovjoki,2020/05/01,2,"14 KAPP",,,,1,,1,,,,2,1,1,3,2,,1,2,1,2,,,,,
1026,vt8_Kovjoki,2020/05/01,2,"15 KATP",,5,3,2,1,6,3,3,9,4,9,6,4,6,2,5,4,1,3,5,2,2,,5
1026,vt8_Kovjoki,2020/05/01,2,"16 HA + PK",,1,,,,,2,,4,7,7,9,9,6,7,5,5,3,6,6,4,1,1,2
1026,vt8_Kovjoki,2020/05/01,2,"17 HA + AV",,,,,,,,,1,,4,2,,1,,,,1,2,,,1,,
1026,vt8_Kovjoki,2020/05/02,1,"11 HA-PA",10,5,6,4,2,6,9,13,22,39,59,85,95,92,95,105,85,106,83,72,44,35,27,21
1026,vt8_Kovjoki,2020/05/02,1,"12 KAIP",,1,,,,2,,1,2,3,2,3,4,,2,,5,1,,1,,2,,
1026,vt8_Kovjoki,2020/05/02,1,"14 KAPP",,,1,,,,,,,2,,2,,2,,1,1,,1,,,,,1
1026,vt8_Kovjoki,2020/05/02,1,"15 KATP",5,4,1,1,1,3,2,2,2,3,2,5,2,6,3,3,1,3,3,2,3,3,1,1
1026,vt8_Kovjoki,2020/05/02,1,"16 HA + PK",,,,,,,1,2,,1,8,7,2,9,9,3,8,5,3,3,3,2,,
1026,vt8_Kovjoki,2020/05/02,1,"17 HA + AV",,,,,,,,,,2,,,1,1,3,,,3,1,,,,,
1026,vt8_Kovjoki,2020/05/02,2,"11 HA-PA",4,3,5,5,,9,11,20,39,56,77,85,83,115,96,96,83,78,77,68,62,41,28,19
1026,vt8_Kovjoki,2020/05/02,2,"12 KAIP",2,,1,1,,1,2,6,9,1,4,1,4,1,1,,2,2,4,,,1,,
1026,vt8_Kovjoki,2020/05/02,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,,,
1026,vt8_Kovjoki,2020/05/02,2,"14 KAPP",,,,,,,,,2,1,1,,,2,1,1,,,1,,,,2,
1026,vt8_Kovjoki,2020/05/02,2,"15 KATP",1,1,2,2,1,2,3,4,2,3,2,3,3,5,3,1,4,4,6,,,3,,3
1026,vt8_Kovjoki,2020/05/02,2,"16 HA + PK",,,,,,,1,3,8,8,8,4,4,7,3,7,1,3,5,4,4,1,,
1026,vt8_Kovjoki,2020/05/02,2,"17 HA + AV",1,,,,,,1,1,,1,,1,,,1,1,1,,1,,,,,
1026,vt8_Kovjoki,2020/05/03,1,"11 HA-PA",16,4,8,6,6,6,6,13,3,28,47,80,85,114,126,125,131,126,129,128,84,54,22,9
1026,vt8_Kovjoki,2020/05/03,1,"12 KAIP",2,,,,1,,,1,,,,2,1,1,2,1,,1,,,1,1,1,
1026,vt8_Kovjoki,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1026,vt8_Kovjoki,2020/05/03,1,"14 KAPP",2,,,,,,,,,,1,,2,2,2,1,5,2,2,4,5,5,2,
1026,vt8_Kovjoki,2020/05/03,1,"15 KATP",,,1,,,,,1,,,2,3,6,3,6,6,9,10,6,2,4,5,2,4
1026,vt8_Kovjoki,2020/05/03,1,"16 HA + PK",4,,1,,,1,,1,3,2,4,1,7,6,7,11,8,10,14,7,6,3,2,
1026,vt8_Kovjoki,2020/05/03,1,"17 HA + AV",,,,,,1,,,,,1,,1,2,1,,4,1,1,3,,,,
1026,vt8_Kovjoki,2020/05/03,2,"11 HA-PA",15,6,9,4,3,6,8,7,16,32,53,60,136,114,160,164,164,164,141,98,68,41,22,7
1026,vt8_Kovjoki,2020/05/03,2,"12 KAIP",,,,,,,,,1,,1,1,,2,6,2,3,5,2,4,,,,
1026,vt8_Kovjoki,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1026,vt8_Kovjoki,2020/05/03,2,"14 KAPP",1,,,,,,,1,,,,,2,1,3,1,4,2,1,2,2,,,
1026,vt8_Kovjoki,2020/05/03,2,"15 KATP",,1,,,,1,2,3,2,3,1,6,4,7,9,6,7,9,6,3,9,7,6,2
