"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"11 HA-PA",5,4,3,6,3,1,7,4,11,13,32,45,50,43,44,39,40,41,21,19,23,10,5,4
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"12 KAIP",,1,,,,,,1,1,1,2,1,,,2,3,2,,1,,,,1,
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"13 Linja-autot",,,1,,,,,,,,,,,,,,,1,,2,,,,
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"14 KAPP",,2,1,1,,,2,3,2,2,1,2,,1,,,,1,,,,1,,1
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"15 KATP",4,7,8,7,4,1,2,2,2,2,2,3,2,2,2,5,3,2,2,1,3,1,2,6
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"16 HA + PK",,2,,,,,,,,2,1,2,3,1,3,4,1,2,1,1,,,1,
1031,vt19_Alahärmä_Voltti,2020/05/01,1,"17 HA + AV",,,,,,,,,,1,1,,1,1,,,1,3,,,,,,
1031,vt19_Alahärmä_Voltti,2020/05/01,2,"11 HA-PA",5,2,1,3,2,4,5,7,19,23,41,33,34,43,48,44,50,36,27,13,19,15,7,4
1031,vt19_Alahärmä_Voltti,2020/05/01,2,"12 KAIP",,,,,,,,,6,,,1,,2,2,,1,3,,1,,1,1,
1031,vt19_Alahärmä_Voltti,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
1031,vt19_Alahärmä_Voltti,2020/05/01,2,"14 KAPP",,,,,1,,3,2,1,1,,,2,2,,,1,2,2,,,,,
