"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1033,vt18_Alavus_Tuuri,2020/05/01,1,"11 HA-PA",8,3,2,4,1,,9,21,41,89,126,128,167,156,158,141,122,100,79,65,55,39,24,14
1033,vt18_Alavus_Tuuri,2020/05/01,1,"12 KAIP",,,,,,,,1,1,,2,2,1,2,2,3,,2,2,2,,,,
1033,vt18_Alavus_Tuuri,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/01,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,,,1
1033,vt18_Alavus_Tuuri,2020/05/01,1,"15 KATP",,1,,1,,,,1,,2,,3,2,3,3,,,1,2,1,,1,,
1033,vt18_Alavus_Tuuri,2020/05/01,1,"16 HA + PK",,,,1,,1,,,3,5,6,6,7,6,12,6,4,2,1,3,3,1,,
1033,vt18_Alavus_Tuuri,2020/05/01,1,"17 HA + AV",,,,,,,1,,,1,2,1,,,4,,1,,,,,,1,
1033,vt18_Alavus_Tuuri,2020/05/01,2,"11 HA-PA",6,5,5,3,2,6,16,15,17,30,68,106,123,144,145,167,135,115,150,74,100,53,29,18
1033,vt18_Alavus_Tuuri,2020/05/01,2,"12 KAIP",,,,,,,,1,1,1,2,3,1,3,1,,2,,,1,1,1,1,
1033,vt18_Alavus_Tuuri,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,2,,,1,,1,,
1033,vt18_Alavus_Tuuri,2020/05/01,2,"14 KAPP",,,,,,,,1,,,1,,,1,1,,,1,3,1,,,,
1033,vt18_Alavus_Tuuri,2020/05/01,2,"15 KATP",,1,,1,1,1,,,3,1,1,4,3,1,3,,4,1,,2,,,,1
1033,vt18_Alavus_Tuuri,2020/05/01,2,"16 HA + PK",,,,,,,,1,1,4,6,3,8,4,3,8,9,6,5,1,1,,1,
1033,vt18_Alavus_Tuuri,2020/05/01,2,"17 HA + AV",,,,,,,,,,1,1,1,,,3,1,1,2,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"11 HA-PA",12,10,5,2,4,2,13,14,48,122,164,156,204,227,174,163,145,100,76,60,45,32,17,25
1033,vt18_Alavus_Tuuri,2020/05/02,1,"12 KAIP",,,,,,,2,1,2,2,,1,2,2,3,1,,2,4,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"14 KAPP",,,,,,,,,,,,,,1,,,1,1,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"15 KATP",,,,,,,1,1,,,1,2,4,,,1,,,4,1,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"16 HA + PK",,,,,,,,,1,3,7,9,10,5,6,4,2,7,1,1,3,,,
1033,vt18_Alavus_Tuuri,2020/05/02,1,"17 HA + AV",,,,,,,,,1,,,2,1,1,,1,,,,1,1,,,
1033,vt18_Alavus_Tuuri,2020/05/02,2,"11 HA-PA",10,11,1,5,2,2,21,10,24,63,101,122,153,192,180,237,176,177,144,118,89,62,22,22
1033,vt18_Alavus_Tuuri,2020/05/02,2,"12 KAIP",,,,,,,,2,,1,1,2,3,5,,2,3,4,1,2,1,,1,
1033,vt18_Alavus_Tuuri,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,1,,1,,1,,1,,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,2,"14 KAPP",,,,,,,1,,,,,,,1,,,2,1,,,,,,
1033,vt18_Alavus_Tuuri,2020/05/02,2,"15 KATP",,,,,,,,,1,1,3,1,3,3,4,,2,1,,1,,2,,
1033,vt18_Alavus_Tuuri,2020/05/02,2,"16 HA + PK",,,,,,,1,,5,3,4,10,3,9,8,9,10,9,6,3,,3,1,1
1033,vt18_Alavus_Tuuri,2020/05/02,2,"17 HA + AV",,,,,,,,,1,1,,,,3,2,,2,1,1,1,,1,,
1033,vt18_Alavus_Tuuri,2020/05/03,1,"11 HA-PA",8,6,6,8,2,1,6,11,24,64,80,113,119,147,162,140,106,130,80,86,50,41,13,7
