"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"11 HA-PA",26,9,8,7,9,7,15,28,28,67,98,141,156,158,170,173,149,134,111,93,91,65,36,22
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"12 KAIP",2,,1,1,,1,,1,,1,,2,3,1,2,1,,1,,1,,1,1,
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"13 Linja-autot",,,,,,,1,,,,,1,,,,,,,,,,,,1
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"14 KAPP",,,,1,,,1,,,,,,1,,,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"15 KATP",,,,,,7,2,1,1,2,2,3,1,,1,,1,,1,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"16 HA + PK",,,,,,,,2,3,8,5,4,6,3,6,5,3,4,3,7,2,1,,
1053,vt18_Laihia_Vedenoja,2020/05/01,1,"17 HA + AV",,,,,,,,,,,1,,1,,1,1,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"11 HA-PA",19,8,8,6,9,13,34,20,24,54,78,116,142,152,140,163,138,131,127,108,81,63,45,19
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"12 KAIP",,2,,,,1,,,1,,,1,1,,,,2,1,,,,1,1,
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"13 Linja-autot",1,,,,,,,,,,,,,,,,,1,,,,,1,
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,1
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"15 KATP",2,2,2,2,7,,1,1,1,2,,1,,1,3,3,,2,,1,,,1,1
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"16 HA + PK",,,,,,,,3,3,1,3,9,6,6,4,10,5,5,6,3,3,,,1
1053,vt18_Laihia_Vedenoja,2020/05/01,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"11 HA-PA",10,17,14,10,6,7,16,26,42,110,126,177,207,170,164,145,133,136,108,82,57,55,48,22
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"12 KAIP",,,,,,2,,3,,1,4,1,1,2,2,1,2,2,1,,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"14 KAPP",2,,,,,,,,,1,,,,,,2,,1,,1,,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"15 KATP",1,,,1,2,4,1,,,2,,,1,1,1,,3,,2,,2,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"16 HA + PK",,,,,,,1,,3,12,11,4,9,5,9,9,9,6,9,5,2,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,1,"17 HA + AV",,,,,,,,,,1,2,1,1,,,,,1,,1,,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"11 HA-PA",13,18,16,11,10,7,27,24,36,64,115,156,197,173,160,156,141,149,128,99,70,63,47,33
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"12 KAIP",,1,,,1,4,1,,2,2,,,2,,,1,2,1,1,1,1,,,1
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,1,,1,,
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"15 KATP",1,2,,3,,,,,,1,,1,2,3,5,,4,1,1,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"16 HA + PK",,,,,,,,1,1,6,8,11,13,12,8,16,8,2,10,8,2,3,1,2
1053,vt18_Laihia_Vedenoja,2020/05/02,2,"17 HA + AV",,,,,,,,1,1,,,2,1,1,1,,,,2,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"11 HA-PA",16,9,14,8,8,8,11,14,27,52,85,89,145,150,160,165,141,154,123,107,90,64,25,11
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"12 KAIP",,,,1,,1,1,,,1,1,1,1,2,1,,1,2,1,3,1,,,1
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"14 KAPP",,,,,,,,,,,,,,,,1,,1,1,2,1,,1,
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"15 KATP",,,,,,,,,,,1,,3,2,1,1,2,1,6,,2,1,,
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"16 HA + PK",,,,,,,,1,1,4,5,8,9,9,4,10,11,7,9,3,2,5,,1
1053,vt18_Laihia_Vedenoja,2020/05/03,1,"17 HA + AV",,,,,,,,,,,,1,1,2,,,1,,,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"11 HA-PA",28,9,18,7,7,8,25,14,14,40,56,96,133,164,174,192,172,181,170,158,113,84,44,17
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"12 KAIP",,1,,,,,,,,,1,3,1,1,,1,3,1,1,3,3,,1,
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"13 Linja-autot",,,,,1,,1,,,,,,,,2,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"14 KAPP",,,,,,1,,,,,,,1,,1,,,,,,3,1,,
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"15 KATP",,1,,,,,,1,,1,2,,,1,,,1,,,2,3,1,5,1
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"16 HA + PK",,,,,,,,1,1,2,2,5,10,12,9,8,4,9,15,10,7,2,3,
1053,vt18_Laihia_Vedenoja,2020/05/03,2,"17 HA + AV",,,,,,,,,1,,,,,1,1,,1,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"11 HA-PA",2,7,2,6,10,53,125,136,126,165,154,141,195,204,207,350,313,171,114,99,63,43,27,33
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"12 KAIP",,,1,1,1,2,9,12,4,9,8,4,8,4,8,1,12,3,7,,2,,1,
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,1,
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"14 KAPP",,,,,,,1,3,3,5,3,2,5,2,6,,2,,2,2,,,2,
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"15 KATP",1,5,1,2,3,5,3,3,11,11,11,4,6,7,9,8,7,7,5,3,,5,1,3
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"16 HA + PK",,,,,,1,,3,6,7,9,7,7,5,9,14,7,9,8,6,1,,,1
1053,vt18_Laihia_Vedenoja,2020/05/04,1,"17 HA + AV",,,,,,,1,,,1,1,,,1,1,,1,1,,,,,1,
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"11 HA-PA",6,4,3,3,24,94,279,221,157,158,140,139,148,184,198,227,227,180,127,109,66,65,44,11
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"12 KAIP",,2,,1,3,6,14,12,3,10,5,9,4,7,5,7,5,7,2,2,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"13 Linja-autot",,,,,,,,,,1,,,,1,,,,2,,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"14 KAPP",1,1,,,,,3,3,2,3,,1,5,5,3,2,2,1,1,1,,1,,
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"15 KATP",3,1,6,6,1,8,10,7,4,7,11,8,14,6,9,4,5,4,6,4,6,3,2,2
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"16 HA + PK",,,,,,2,7,4,4,3,5,6,5,5,11,7,11,9,8,8,8,1,3,1
1053,vt18_Laihia_Vedenoja,2020/05/04,2,"17 HA + AV",,,,,,,,3,,3,2,1,,1,,,,2,,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"11 HA-PA",13,3,4,7,6,45,107,138,136,146,136,157,160,154,233,362,313,183,129,90,74,42,32,36
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"12 KAIP",,,1,1,2,3,7,5,10,10,6,6,12,10,6,8,11,5,3,5,3,,,1
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"14 KAPP",,,,,,,,1,,1,4,,1,3,1,3,3,1,,1,,,2,3
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"15 KATP",2,1,3,3,5,6,6,7,12,12,10,4,10,8,5,9,6,9,6,2,8,2,,
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"16 HA + PK",,,,,,1,,2,2,7,10,6,4,5,5,10,7,3,7,3,1,2,,
1053,vt18_Laihia_Vedenoja,2020/05/05,1,"17 HA + AV",,,,,,,1,,1,1,,1,2,4,,2,1,1,,1,,,,1
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"11 HA-PA",9,9,3,5,21,98,284,183,155,137,116,130,150,147,211,241,234,176,129,105,90,53,42,17
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"12 KAIP",1,2,,3,3,3,14,13,5,7,5,8,2,8,10,10,5,5,3,,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"13 Linja-autot",,,,,,,,1,1,,1,,1,,,1,1,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"14 KAPP",,1,1,,,1,,,6,1,3,4,2,2,5,3,6,3,1,,,,1,
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"15 KATP",5,4,7,7,4,10,7,4,6,5,10,9,8,6,5,2,10,2,1,1,6,3,4,4
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"16 HA + PK",,,,,,2,5,9,2,6,6,7,4,8,5,9,9,9,5,8,1,2,,
1053,vt18_Laihia_Vedenoja,2020/05/05,2,"17 HA + AV",,,,,,,,3,1,,,1,,3,1,4,,,2,1,3,1,,
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"11 HA-PA",12,4,4,5,10,52,98,129,161,146,135,126,166,184,220,356,326,185,126,89,68,46,34,30
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"12 KAIP",1,,1,1,1,3,6,9,9,12,11,11,7,4,5,6,9,5,2,2,2,1,,
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"13 Linja-autot",,,,,,,,,,1,,1,,,,1,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"14 KAPP",,,,,,4,1,,4,3,6,5,4,3,5,1,1,4,1,1,,,1,
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"15 KATP",3,2,4,1,7,4,4,1,9,6,7,8,9,5,16,6,8,5,3,8,2,3,2,2
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"16 HA + PK",,,,,,,2,5,5,9,6,6,12,6,8,2,11,6,8,4,3,2,1,
1053,vt18_Laihia_Vedenoja,2020/05/06,1,"17 HA + AV",,,,,,,,,,1,,3,2,1,1,,,3,,1,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"11 HA-PA",7,11,2,7,30,90,273,189,145,115,141,118,159,193,192,214,245,186,121,108,89,60,47,7
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"12 KAIP",,1,1,,3,8,8,13,6,4,13,12,2,5,4,11,5,6,3,1,2,,,1
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"13 Linja-autot",,,,,,,2,,,,,,,,,,,,1,1,,,,
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"14 KAPP",,,,,,,1,2,3,2,3,1,2,6,3,2,4,1,2,1,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"15 KATP",2,5,5,7,6,7,8,7,6,4,5,10,10,6,12,3,3,8,4,3,4,2,3,8
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"16 HA + PK",,,,1,,2,,6,2,4,9,7,6,9,5,10,9,7,11,5,1,2,1,
1053,vt18_Laihia_Vedenoja,2020/05/06,2,"17 HA + AV",,,,,,,1,,1,2,,1,3,2,2,1,1,2,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"11 HA-PA",11,6,3,5,8,45,104,142,149,150,148,167,219,205,251,373,333,212,130,104,104,60,28,30
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"12 KAIP",1,,2,,1,3,4,17,7,7,8,10,8,10,2,6,11,7,3,1,1,1,3,1
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"13 Linja-autot",,,,,,,,,,1,,,1,1,2,,1,,,,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"14 KAPP",,2,,,1,1,,3,7,4,7,5,3,6,3,4,2,1,,4,,,,
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"15 KATP",2,2,,3,7,4,5,3,13,10,13,5,7,6,11,4,3,6,5,4,1,3,2,2
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"16 HA + PK",,,,,,1,1,3,3,7,3,4,8,9,7,10,15,5,5,3,2,3,,1
1053,vt18_Laihia_Vedenoja,2020/05/07,1,"17 HA + AV",,,,,,,,3,,,,,2,1,1,1,2,,1,,,,,1
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"11 HA-PA",10,5,4,6,28,100,269,166,174,143,138,173,176,190,222,266,238,194,139,118,116,74,43,23
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"12 KAIP",,1,1,1,3,5,12,10,6,8,9,12,10,10,6,13,7,1,1,1,1,,1,1
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"13 Linja-autot",,,,,,,2,,,,1,,,,,1,,,,1,,1,,
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"14 KAPP",,,,1,1,,1,4,2,3,5,4,6,7,3,2,2,1,2,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"15 KATP",1,3,7,5,8,7,10,5,3,6,9,11,11,3,3,6,7,8,5,,4,2,3,4
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"16 HA + PK",1,,,,,2,6,2,3,1,4,6,8,8,6,7,13,16,9,8,5,2,1,1
1053,vt18_Laihia_Vedenoja,2020/05/07,2,"17 HA + AV",,,,,,,,,1,,,1,,2,,1,1,1,1,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"11 HA-PA",6,2,1,3,11,40,96,143,149,155,187,178,222,244,315,398,347,224,199,124,100,76,52,30
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"12 KAIP",,,3,1,,2,10,7,3,13,5,4,3,7,6,12,9,6,2,4,3,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"13 Linja-autot",,1,,,,,1,1,,1,,,,,,,1,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"14 KAPP",1,1,,,,1,2,2,4,5,4,,2,4,3,1,2,,,,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"15 KATP",2,,5,1,6,5,7,8,8,5,5,7,6,13,7,8,6,8,7,5,,1,,1
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"16 HA + PK",,,,,,,2,6,3,6,6,14,8,5,12,11,12,8,9,7,5,3,1,1
1053,vt18_Laihia_Vedenoja,2020/05/08,1,"17 HA + AV",,,,,,,1,,,1,1,1,2,4,2,,1,,2,1,,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"11 HA-PA",11,5,4,10,27,91,265,158,158,149,140,174,210,225,270,265,291,205,153,129,102,71,64,27
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"12 KAIP",1,1,1,,3,11,7,7,8,9,8,3,5,6,5,8,6,3,,1,3,3,,1
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"13 Linja-autot",,,,,,,,2,,1,,,,1,,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"14 KAPP",,,,,1,2,,4,5,,6,4,4,4,1,1,1,,,1,,,,
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"15 KATP",2,4,7,6,5,7,9,6,7,5,8,10,7,4,8,6,10,4,1,2,1,3,1,5
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"16 HA + PK",,,,,,1,5,3,4,9,14,11,4,8,6,11,11,6,7,7,3,1,4,
1053,vt18_Laihia_Vedenoja,2020/05/08,2,"17 HA + AV",,,,,,,2,,1,1,1,2,1,2,2,1,1,1,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"11 HA-PA",15,11,6,11,5,7,15,32,81,157,232,247,267,240,211,206,166,160,136,121,111,65,45,26
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"12 KAIP",1,,2,,,,,3,1,3,7,2,2,5,3,1,,3,1,2,1,1,1,
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"14 KAPP",,,1,,1,,,1,1,3,1,1,2,1,,,,,,,,,,1
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"15 KATP",,1,1,,1,7,1,2,1,1,3,3,4,2,1,1,,,1,1,1,1,,1
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"16 HA + PK",1,,,,,,2,2,8,9,12,14,9,8,4,5,6,6,5,6,3,1,1,
1053,vt18_Laihia_Vedenoja,2020/05/09,1,"17 HA + AV",,,,,,,,,,,,2,,1,,,,,,1,1,,,1
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"11 HA-PA",15,11,11,6,13,9,29,31,52,112,169,213,210,237,226,219,204,185,169,145,124,95,53,28
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"12 KAIP",,1,,,2,4,1,2,,3,1,3,3,1,3,4,1,,1,1,,1,,
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"13 Linja-autot",,,,,,,,,,,,1,,1,,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"14 KAPP",1,,,,,1,2,1,1,,2,1,,,,1,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"15 KATP",2,2,3,3,2,1,,1,,1,3,1,1,4,,1,,3,,,4,2,,
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"16 HA + PK",,,,,,1,1,2,,8,9,9,7,8,11,10,14,10,7,8,4,1,2,1
1053,vt18_Laihia_Vedenoja,2020/05/09,2,"17 HA + AV",,,,,,,,1,1,,,,1,,1,1,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"11 HA-PA",23,16,12,15,2,6,14,11,23,48,102,154,181,220,217,176,160,120,139,102,72,47,15,12
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"12 KAIP",1,,1,,,,,1,,2,1,1,,,1,,1,,3,1,1,,1,
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"14 KAPP",1,1,,,1,,,,,,,,,,,,,1,,2,,1,2,1
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"15 KATP",,,,,,,,,,,1,,2,,2,2,1,1,,1,3,,1,1
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"16 HA + PK",2,,,,,,1,,1,1,4,5,7,6,8,5,2,4,2,2,1,1,,
1053,vt18_Laihia_Vedenoja,2020/05/10,1,"17 HA + AV",,,,,,,,,,,1,,1,1,1,,,,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"11 HA-PA",16,11,9,10,9,9,15,12,19,40,74,133,148,201,172,213,228,217,215,167,121,66,31,13
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"12 KAIP",,1,,,,,,,,,,3,,2,,1,1,1,1,1,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"14 KAPP",,,,,1,,,,,1,,,,1,,,,1,1,,1,,,
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"15 KATP",,,,,,1,2,,,1,2,1,2,1,3,,3,1,1,2,1,2,2,2
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"16 HA + PK",2,,,,,,,,,1,3,5,6,6,5,3,5,5,8,8,1,2,,1
1053,vt18_Laihia_Vedenoja,2020/05/10,2,"17 HA + AV",,,,,,,1,,,,1,,,,,1,1,2,,1,,1,,
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"11 HA-PA",4,,1,5,8,47,121,134,121,126,124,120,166,161,207,360,291,165,136,92,68,47,23,36
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"12 KAIP",,,1,3,1,2,7,5,8,12,9,6,9,5,5,7,9,5,8,,1,,2,
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"13 Linja-autot",,,,,,,,,1,1,,,,1,,1,,,,,,2,,
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"14 KAPP",,,,,,1,,,4,3,5,3,1,2,3,5,2,1,1,,,1,2,
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"15 KATP",2,2,1,,3,2,3,4,10,5,6,3,6,8,11,6,6,6,7,5,5,2,1,2
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"16 HA + PK",,,,,1,,1,2,2,5,1,10,6,3,5,7,12,10,2,1,4,,,
1053,vt18_Laihia_Vedenoja,2020/05/11,1,"17 HA + AV",,,,,,,,1,,2,,2,1,,1,1,1,2,1,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"11 HA-PA",5,4,3,7,22,96,288,193,160,120,100,148,158,155,200,221,220,147,114,115,77,47,39,15
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"12 KAIP",1,1,1,1,2,8,10,16,5,6,5,9,8,7,3,11,5,8,3,2,1,,1,
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"13 Linja-autot",,,,,,,,1,,,1,1,1,2,1,,1,,1,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"14 KAPP",,,1,,,1,2,2,3,3,3,2,4,3,4,2,1,1,1,2,1,2,,
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"15 KATP",1,3,2,5,4,5,9,4,5,4,7,12,5,7,4,5,6,1,3,6,4,3,3,3
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"16 HA + PK",,,,,,1,6,2,5,2,5,5,2,5,4,4,11,9,2,6,4,3,,
1053,vt18_Laihia_Vedenoja,2020/05/11,2,"17 HA + AV",,,,,1,,,1,1,1,,1,2,1,,1,1,,1,,,,,
1053,vt18_Laihia_Vedenoja,2020/05/12,1,"11 HA-PA",14,9,1,3,7,44,105,137,132,127,114,165,157,165,223,355,308,178,130,99,89,42,29,34
1053,vt18_Laihia_Vedenoja,2020/05/12,1,"12 KAIP",,,2,,1,1,7,6,5,13,7,6,8,8,6,16,12,8,2,2,,1,1,
1053,vt18_Laihia_Vedenoja,2020/05/12,1,"13 Linja-autot",,,,,,,,1,,,,,1,1,,,,,,,,,2,
1053,vt18_Laihia_Vedenoja,2020/05/12,1,"14 KAPP",,,,1,,2,1,1,3,2,1,2,1,6,2,3,3,1,1,,,1,1,
