"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1064,vt13_Perho_Möttönen,2020/05/01,1,"11 HA-PA",5,1,,1,1,4,2,8,13,18,19,27,22,19,29,26,18,20,24,21,15,8,6,5
1064,vt13_Perho_Möttönen,2020/05/01,1,"12 KAIP",,,,,,,,1,,1,,,,,,1,,,,,,,,1
1064,vt13_Perho_Möttönen,2020/05/01,1,"14 KAPP",,,,,,1,,,,,,,,,,,,1,,,,,,
1064,vt13_Perho_Möttönen,2020/05/01,1,"15 KATP",,,,,,,,2,1,2,,2,1,2,2,1,,,1,1,,,,1
1064,vt13_Perho_Möttönen,2020/05/01,1,"16 HA + PK",,,,,,,1,2,8,11,13,2,9,5,,1,2,2,1,,2,,,
1064,vt13_Perho_Möttönen,2020/05/01,1,"17 HA + AV",,,,,,,1,1,1,2,2,,,,,,1,,,,,1,,
1064,vt13_Perho_Möttönen,2020/05/01,2,"11 HA-PA",2,4,,2,1,1,4,3,7,11,24,18,25,35,28,30,26,29,26,16,16,10,11,9
1064,vt13_Perho_Möttönen,2020/05/01,2,"12 KAIP",,,,,,,,,,,,1,,,,1,3,1,,1,,,,
1064,vt13_Perho_Möttönen,2020/05/01,2,"14 KAPP",,,,,,2,,1,,1,2,,,,,,,,,1,1,,,
1064,vt13_Perho_Möttönen,2020/05/01,2,"15 KATP",,,2,3,2,2,,1,1,1,,1,,,1,1,1,1,,1,1,1,2,
1064,vt13_Perho_Möttönen,2020/05/01,2,"16 HA + PK",,1,,,,,,3,7,10,13,,9,2,5,2,2,2,,2,,,,
1064,vt13_Perho_Möttönen,2020/05/01,2,"17 HA + AV",,,,,,,,1,3,1,,,,,,,2,,1,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,1,"11 HA-PA",3,5,2,,,2,3,3,13,14,39,36,26,34,26,22,30,18,25,9,12,8,5,6
1064,vt13_Perho_Möttönen,2020/05/02,1,"12 KAIP",,,,1,,,,,,1,2,1,,1,,,1,,2,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,1,"14 KAPP",,1,,,,,,,1,,,,1,,,,,,,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,1,"15 KATP",1,,,1,,1,,,2,1,,1,1,2,3,1,,,1,1,2,1,1,
1064,vt13_Perho_Möttönen,2020/05/02,1,"16 HA + PK",,,,,,1,,,1,2,2,4,2,2,1,2,3,1,1,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,1,"17 HA + AV",,,,,,,,1,,1,,1,,2,,1,1,,1,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,2,"11 HA-PA",6,2,2,,2,2,3,2,9,15,38,31,25,35,21,23,24,23,25,12,12,11,6,3
1064,vt13_Perho_Möttönen,2020/05/02,2,"12 KAIP",,,1,,,,1,1,,2,,,,1,1,1,1,,1,,,,,
1064,vt13_Perho_Möttönen,2020/05/02,2,"14 KAPP",1,,,,,1,,,,,,,,,,,,,,1,,,,
1064,vt13_Perho_Möttönen,2020/05/02,2,"15 KATP",2,,1,,,1,,,4,,,1,1,2,4,,2,2,,1,,,,
1064,vt13_Perho_Möttönen,2020/05/02,2,"16 HA + PK",,,,,,,,,,2,4,4,2,3,2,1,1,,2,2,,,,
1064,vt13_Perho_Möttönen,2020/05/02,2,"17 HA + AV",,,,,,,,,1,2,2,1,,2,1,1,1,,,,,1,,
1064,vt13_Perho_Möttönen,2020/05/03,1,"11 HA-PA",6,5,3,2,,2,1,1,4,10,20,19,36,39,39,30,34,27,32,21,18,12,7,1
1064,vt13_Perho_Möttönen,2020/05/03,1,"12 KAIP",,,,,,,1,,,,2,1,,,2,,2,,2,,,,,
1064,vt13_Perho_Möttönen,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,2,,,,,
1064,vt13_Perho_Möttönen,2020/05/03,1,"14 KAPP",,,,,,,,,,,,,1,,,,,1,,1,,1,,
1064,vt13_Perho_Möttönen,2020/05/03,1,"15 KATP",1,,,,,,1,,1,,1,2,1,,2,2,1,1,2,1,1,1,2,
1064,vt13_Perho_Möttönen,2020/05/03,1,"16 HA + PK",,,,,,,,,,2,1,4,2,5,2,4,1,3,,1,,,,
1064,vt13_Perho_Möttönen,2020/05/03,1,"17 HA + AV",,,,,,,,,,,2,,2,,,1,,1,,,1,,1,
1064,vt13_Perho_Möttönen,2020/05/03,2,"11 HA-PA",8,5,2,2,,1,,3,6,7,12,15,25,30,34,39,34,32,30,30,21,19,11,1
1064,vt13_Perho_Möttönen,2020/05/03,2,"12 KAIP",,,,,,,,,,1,,,,,3,,,,,,,1,,
1064,vt13_Perho_Möttönen,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
