"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
112,vt7_Treksilä,2020/05/01,1,"11 HA-PA",57,37,27,17,30,28,141,182,223,443,678,852,849,752,671,607,484,411,446,295,190,130,91,80
112,vt7_Treksilä,2020/05/01,1,"12 KAIP",3,,1,1,1,,2,3,2,4,5,5,5,6,9,2,5,7,3,3,2,1,1,1
112,vt7_Treksilä,2020/05/01,1,"13 Linja-autot",,,,,,,,1,2,1,1,3,4,,,1,,1,2,,,,,1
112,vt7_Treksilä,2020/05/01,1,"14 KAPP",4,,2,1,,1,1,2,2,6,2,5,3,4,3,2,3,3,2,1,4,2,18,12
112,vt7_Treksilä,2020/05/01,1,"15 KATP",8,6,4,4,4,3,6,7,7,9,12,12,6,9,8,12,6,10,7,5,5,2,14,7
112,vt7_Treksilä,2020/05/01,1,"16 HA + PK",,,,,1,1,2,2,10,16,25,37,19,15,10,17,11,9,4,3,3,2,,
112,vt7_Treksilä,2020/05/01,1,"17 HA + AV",,,,,1,,1,,1,1,6,6,5,3,2,4,5,1,1,2,,1,1,
112,vt7_Treksilä,2020/05/01,2,"11 HA-PA",63,36,23,18,23,76,260,82,120,174,222,362,414,445,461,477,507,482,533,351,284,223,150,76
112,vt7_Treksilä,2020/05/01,2,"12 KAIP",5,3,1,1,1,,1,3,2,3,1,3,7,2,3,5,2,3,6,6,2,,2,
112,vt7_Treksilä,2020/05/01,2,"13 Linja-autot",,,,,,,1,1,,,,1,1,,,,1,,1,,,,,
112,vt7_Treksilä,2020/05/01,2,"14 KAPP",1,,,1,,2,5,7,4,3,2,2,3,3,5,1,4,2,4,3,2,2,2,
112,vt7_Treksilä,2020/05/01,2,"15 KATP",3,4,1,1,4,5,7,10,8,6,8,6,8,7,4,7,7,4,5,8,8,2,3,1
112,vt7_Treksilä,2020/05/01,2,"16 HA + PK",,,,,,2,,,7,4,10,9,12,8,6,8,6,6,10,11,7,1,3,1
112,vt7_Treksilä,2020/05/01,2,"17 HA + AV",,1,,,,,,1,,,,1,,,,,1,3,2,1,1,,1,
112,vt7_Treksilä,2020/05/02,1,"11 HA-PA",47,40,19,19,12,25,134,158,220,417,649,729,768,640,630,562,446,399,431,283,162,118,88,57
112,vt7_Treksilä,2020/05/02,1,"12 KAIP",,1,2,1,,,2,4,7,6,11,9,12,8,2,14,3,8,5,3,2,,3,1
112,vt7_Treksilä,2020/05/02,1,"13 Linja-autot",,1,,,,,2,1,1,1,3,2,2,1,3,,1,2,1,3,1,1,,
112,vt7_Treksilä,2020/05/02,1,"14 KAPP",,,1,,2,1,,2,5,3,2,5,2,6,9,2,5,1,1,,1,3,6,3
112,vt7_Treksilä,2020/05/02,1,"15 KATP",7,1,5,1,3,3,2,7,8,16,8,3,8,5,8,10,6,8,3,2,3,4,4,
112,vt7_Treksilä,2020/05/02,1,"16 HA + PK",,,,,,,,1,14,15,22,33,21,13,13,16,11,13,10,10,4,4,3,
112,vt7_Treksilä,2020/05/02,1,"17 HA + AV",2,,,,,,1,1,2,2,5,7,3,1,2,4,3,,1,3,,,1,
112,vt7_Treksilä,2020/05/02,2,"11 HA-PA",40,26,23,26,27,67,225,125,139,299,367,432,572,636,695,656,691,656,653,476,342,201,146,93
112,vt7_Treksilä,2020/05/02,2,"12 KAIP",2,3,3,4,1,4,3,8,4,4,6,7,7,6,5,5,3,2,6,5,2,1,,
112,vt7_Treksilä,2020/05/02,2,"13 Linja-autot",,,,,,,3,2,,,1,,1,,,,1,,2,,,,,
112,vt7_Treksilä,2020/05/02,2,"14 KAPP",,,,1,1,,4,1,1,1,2,2,1,4,1,7,5,5,7,10,4,2,2,
112,vt7_Treksilä,2020/05/02,2,"15 KATP",2,1,1,5,6,4,8,7,5,7,5,7,6,10,5,5,4,2,7,5,7,1,2,
112,vt7_Treksilä,2020/05/02,2,"16 HA + PK",1,,,,,,2,2,9,19,13,30,21,17,15,11,17,10,13,16,10,4,5,
112,vt7_Treksilä,2020/05/02,2,"17 HA + AV",,,,,,,,1,,1,,5,2,4,3,,2,2,,,4,,,
112,vt7_Treksilä,2020/05/03,1,"11 HA-PA",50,29,15,14,18,17,121,109,148,295,488,602,644,664,607,540,514,481,536,371,284,199,88,62
112,vt7_Treksilä,2020/05/03,1,"12 KAIP",1,,,,2,,2,1,1,2,5,,7,5,10,9,7,7,6,7,5,2,4,1
112,vt7_Treksilä,2020/05/03,1,"13 Linja-autot",,1,,,,,,1,,,2,2,3,1,2,,,1,3,2,,,,1
112,vt7_Treksilä,2020/05/03,1,"14 KAPP",,1,,,,1,,1,2,,1,1,3,3,,1,13,5,5,3,4,2,4,5
112,vt7_Treksilä,2020/05/03,1,"15 KATP",,1,1,1,,,3,4,6,8,8,5,1,8,7,5,16,8,8,15,9,9,10,10
112,vt7_Treksilä,2020/05/03,1,"16 HA + PK",,,,,,1,,4,8,13,14,21,19,15,8,14,7,12,9,8,14,6,2,3
112,vt7_Treksilä,2020/05/03,1,"17 HA + AV",,,,,,,,3,4,1,4,5,5,3,2,5,2,2,2,1,2,2,,
112,vt7_Treksilä,2020/05/03,2,"11 HA-PA",43,34,21,14,16,51,215,71,109,203,328,542,803,1035,1145,1325,1450,1486,1346,989,626,390,170,64
112,vt7_Treksilä,2020/05/03,2,"12 KAIP",,1,,,1,1,,1,1,4,,7,7,5,5,10,10,7,5,7,7,1,1,3
112,vt7_Treksilä,2020/05/03,2,"13 Linja-autot",,,,,,,2,,,,1,,1,,,,1,,1,1,,1,,
112,vt7_Treksilä,2020/05/03,2,"14 KAPP",,1,,1,,1,2,,1,2,2,3,3,4,7,9,2,7,13,8,8,6,7,3
112,vt7_Treksilä,2020/05/03,2,"15 KATP",1,,,,,2,3,4,2,8,4,2,7,6,8,7,5,14,13,17,11,9,7,2
112,vt7_Treksilä,2020/05/03,2,"16 HA + PK",2,,,,,,1,1,3,12,10,17,19,34,43,37,63,44,47,51,32,9,7,3
112,vt7_Treksilä,2020/05/03,2,"17 HA + AV",,,,,,,,,,1,2,3,4,4,4,4,2,6,9,3,4,3,1,
112,vt7_Treksilä,2020/05/04,1,"11 HA-PA",42,16,11,17,35,73,377,529,421,418,445,470,494,526,754,1456,1293,807,658,429,238,166,134,57
112,vt7_Treksilä,2020/05/04,1,"12 KAIP",1,2,1,3,5,8,23,32,35,40,33,38,51,35,39,47,28,21,15,16,6,4,1,4
